Term: learners                       Term Frequency: 26        
Term: Fraser                         Term Frequency: 0         
Term: Individual                     Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: was                            Term Frequency: 0         
Term: We                             Term Frequency: 0         
Term: Bars                           Term Frequency: 0         
Term: Math                           Term Frequency: 0         
Term: Quantities                     Term Frequency: 0         
Term: Vancouver                      Term Frequency: 0         
Term: Research                       Term Frequency: 0         
Term: Particularly                   Term Frequency: 0         
Term: Lipkus                         Term Frequency: 0         
Term: Applied                        Term Frequency: 0         
Term: Perspectives                   Term Frequency: 0         
Term: Alabi                          Term Frequency: 0         
Term: Gabard                         Term Frequency: 0         
Term: Across                         Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: Visualization                  Term Frequency: 0         
Term: 0A3                            Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: ACM                            Term Frequency: 0         
Term: Economic                       Term Frequency: 0         
Term: Stone                          Term Frequency: 0         
Term: Though                         Term Frequency: 0         
Term: BACKGROUND                     Term Frequency: 0         
Term: Instead                        Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: AGQ                            Term Frequency: 0         
Term: ACKNOWLEDGMENTS                Term Frequency: 0         
Term: if                             Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: Reflection                     Term Frequency: 0         
Term: it                             Term Frequency: 0         
Term: Together                       Term Frequency: 0         
Term: Use                            Term Frequency: 0         
Term: FUTURE                         Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: McGregor                       Term Frequency: 0         
Term: no                             Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: Scale                          Term Frequency: 0         
Term: they                           Term Frequency: 0         
Term: then                           Term Frequency: 0         
Term: Questionnaires                 Term Frequency: 0         
Term: Communication                  Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: but                            Term Frequency: 0         
Term: Schulz                         Term Frequency: 0         
Term: DIRECTIONS                     Term Frequency: 0         
Term: this                           Term Frequency: 0         
Term: Specifically                   Term Frequency: 0         
Term: Numeracy                       Term Frequency: 0         
Term: Risk                           Term Frequency: 0         
Term: Health                         Term Frequency: 0         
Term: Internal                       Term Frequency: 0         
Term: Frederick                      Term Frequency: 0         
Term: Comprehension                  Term Frequency: 0         
Term: Avenue                         Term Frequency: 0         
Term: Intentions                     Term Frequency: 0         
Term: When                           Term Frequency: 0         
Term: Larger                         Term Frequency: 0         
Term: JOL                            Term Frequency: 0         
Term: Spatial                        Term Frequency: 0         
