Term: facebook                       Term Frequency: 123       
Term: choices                        Term Frequency: 2         
Term: enact                          Term Frequency: 2         
Term: spaces                         Term Frequency: 2         
Term: benefits                       Term Frequency: 2         
Term: discourse                      Term Frequency: 2         
Term: developers                     Term Frequency: 2         
Term: lends                          Term Frequency: 2         
Term: protect                        Term Frequency: 2         
Term: accounts                       Term Frequency: 2         
Term: conceptually                   Term Frequency: 2         
Term: profit                         Term Frequency: 2         
Term: increase                       Term Frequency: 2         
Term: boyd                           Term Frequency: 2         
Term: joined                         Term Frequency: 2         
Term: integrate                      Term Frequency: 2         
Term: over                           Term Frequency: 2         
Term: big                            Term Frequency: 2         
Term: modes                          Term Frequency: 2         
Term: begin                          Term Frequency: 2         
Term: inquiry                        Term Frequency: 2         
Term: remixing                       Term Frequency: 2         
Term: 189                            Term Frequency: 2         
Term: goal                           Term Frequency: 2         
Term: forwarded                      Term Frequency: 2         
Term: feature                        Term Frequency: 2         
Term: towards                        Term Frequency: 2         
Term: upload                         Term Frequency: 1         
Term: squares                        Term Frequency: 1         
Term: after                          Term Frequency: 1         
Term: hand                           Term Frequency: 1         
Term: exciting                       Term Frequency: 1         
Term: myriad                         Term Frequency: 1         
Term: predicted                      Term Frequency: 1         
Term: provides                       Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: poignant                       Term Frequency: 1         
Term: 2.0                            Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: 2.2                            Term Frequency: 1         
Term: abilities                      Term Frequency: 1         
Term: including                      Term Frequency: 1         
Term: 206                            Term Frequency: 1         
Term: eigenvalues                    Term Frequency: 1         
Term: effective                      Term Frequency: 1         
Term: 218                            Term Frequency: 1         
Term: comments                       Term Frequency: 1         
Term: bonding                        Term Frequency: 1         
Term: worked                         Term Frequency: 1         
Term: 239                            Term Frequency: 1         
Term: 90.74                          Term Frequency: 1         
Term: 246                            Term Frequency: 1         
Term: moment                         Term Frequency: 1         
Term: 259                            Term Frequency: 1         
Term: creation                       Term Frequency: 1         
Term: immigrants                     Term Frequency: 1         
Term: services                       Term Frequency: 1         
Term: team                           Term Frequency: 1         
Term: 265                            Term Frequency: 1         
Term: speech                         Term Frequency: 1         
Term: eastern                        Term Frequency: 1         
Term: surprising                     Term Frequency: 1         
Term: 296                            Term Frequency: 1         
Term: evaluator                      Term Frequency: 1         
Term: short                          Term Frequency: 1         
Term: measured                       Term Frequency: 1         
Term: required                       Term Frequency: 1         
Term: creative                       Term Frequency: 1         
Term: umd.edu                        Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: consume                        Term Frequency: 1         
Term: uploaded                       Term Frequency: 1         
Term: performed                      Term Frequency: 1         
Term: outlines                       Term Frequency: 1         
Term: outlined                       Term Frequency: 1         
Term: build                          Term Frequency: 1         
Term: impact                         Term Frequency: 1         
Term: finer                          Term Frequency: 1         
Term: nascent                        Term Frequency: 1         
Term: term                           Term Frequency: 1         
Term: 1130                           Term Frequency: 1         
Term: stage                          Term Frequency: 1         
Term: tweets                         Term Frequency: 1         
Term: 0.05                           Term Frequency: 1         
Term: 0.02                           Term Frequency: 1         
Term: test                           Term Frequency: 1         
Term: learns                         Term Frequency: 1         
Term: 0.23                           Term Frequency: 1         
Term: 0.20                           Term Frequency: 1         
Term: 0.17                           Term Frequency: 1         
Term: 0.18                           Term Frequency: 1         
Term: 0.14                           Term Frequency: 1         
Term: 0.33                           Term Frequency: 1         
Term: 1161                           Term Frequency: 1         
Term: 0.30                           Term Frequency: 1         
Term: visualizations                 Term Frequency: 1         
Term: 0.36                           Term Frequency: 1         
Term: grant                          Term Frequency: 1         
Term: 0.53                           Term Frequency: 1         
Term: construct                      Term Frequency: 1         
Term: attempt                        Term Frequency: 1         
Term: 0.50                           Term Frequency: 1         
Term: 0.65                           Term Frequency: 1         
Term: 0.60                           Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: 3.2                            Term Frequency: 1         
Term: 0.71                           Term Frequency: 1         
Term: 0.87                           Term Frequency: 1         
Term: 0.92                           Term Frequency: 1         
Term: 0.95                           Term Frequency: 1         
Term: 0.93                           Term Frequency: 1         
Term: 316                            Term Frequency: 1         
Term: credit                         Term Frequency: 1         
Term: 329                            Term Frequency: 1         
Term: negotiating                    Term Frequency: 1         
Term: transformed                    Term Frequency: 1         
Term: suppressed                     Term Frequency: 1         
Term: 347                            Term Frequency: 1         
Term: clustering                     Term Frequency: 1         
Term: inform                         Term Frequency: 1         
Term: 04                             Term Frequency: 1         
Term: meaning                        Term Frequency: 1         
Term: interpretations                Term Frequency: 1         
Term: 10.65                          Term Frequency: 1         
Term: benefit                        Term Frequency: 1         
Term: participated                   Term Frequency: 1         
Term: examines                       Term Frequency: 1         
Term: long                           Term Frequency: 1         
Term: identifiable                   Term Frequency: 1         
Term: examined                       Term Frequency: 1         
Term: relationship                   Term Frequency: 1         
Term: 31                             Term Frequency: 1         
Term: increasing                     Term Frequency: 1         
Term: 45                             Term Frequency: 1         
Term: 47                             Term Frequency: 1         
Term: 444.64                         Term Frequency: 1         
Term: seven                          Term Frequency: 1         
Term: arena                          Term Frequency: 1         
Term: lolcats                        Term Frequency: 1         
Term: 50                             Term Frequency: 1         
Term: 51                             Term Frequency: 1         
Term: invited                        Term Frequency: 1         
Term: 62                             Term Frequency: 1         
Term: 68                             Term Frequency: 1         
Term: mass                           Term Frequency: 1         
Term: 71                             Term Frequency: 1         
Term: 58.65                          Term Frequency: 1         
Term: 86                             Term Frequency: 1         
Term: 90                             Term Frequency: 1         
Term: usernames                      Term Frequency: 1         
Term: gathering                      Term Frequency: 1         
Term: regulations                    Term Frequency: 1         
Term: exploration                    Term Frequency: 1         
Term: mining                         Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: seems                          Term Frequency: 1         
Term: 22.53                          Term Frequency: 1         
Term: 15.67                          Term Frequency: 1         
Term: inspired                       Term Frequency: 1         
Term: version                        Term Frequency: 1         
Term: appropriate                    Term Frequency: 1         
Term: least                          Term Frequency: 1         
Term: assessment                     Term Frequency: 1         
Term: 64.31                          Term Frequency: 1         
Term: need                           Term Frequency: 1         
Term: tests                          Term Frequency: 1         
Term: traditions                     Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: 4.1                            Term Frequency: 1         
Term: 4.2                            Term Frequency: 1         
Term: called                         Term Frequency: 1         
Term: occurs                         Term Frequency: 1         
Term: shape                          Term Frequency: 1         
Term: authors                        Term Frequency: 1         
Term: valid                          Term Frequency: 1         
Term: asked                          Term Frequency: 1         
Term: screen                         Term Frequency: 1         
Term: undertake                      Term Frequency: 1         
Term: bridging                       Term Frequency: 1         
Term: intimately                     Term Frequency: 1         
Term: 0.002                          Term Frequency: 1         
Term: chose                          Term Frequency: 1         
Term: 463                            Term Frequency: 1         
Term: expertise                      Term Frequency: 1         
Term: companies                      Term Frequency: 1         
Term: 477                            Term Frequency: 1         
Term: 5.04                           Term Frequency: 1         
Term: likert                         Term Frequency: 1         
Term: developing                     Term Frequency: 1         
Term: leads                          Term Frequency: 1         
Term: experimenting                  Term Frequency: 1         
Term: grained                        Term Frequency: 1         
Term: urban                          Term Frequency: 1         
Term: instruments                    Term Frequency: 1         
Term: republish                      Term Frequency: 1         
Term: comfortable                    Term Frequency: 1         
Term: browse                         Term Frequency: 1         
Term: receiving                      Term Frequency: 1         
Term: feeds                          Term Frequency: 1         
Term: older                          Term Frequency: 1         
Term: meanings                       Term Frequency: 1         
Term: great                          Term Frequency: 1         
Term: organizing                     Term Frequency: 1         
Term: section                        Term Frequency: 1         
Term: effect                         Term Frequency: 1         
Term: cognizant                      Term Frequency: 1         
Term: recommended                    Term Frequency: 1         
Term: attention                      Term Frequency: 1         
Term: integrates                     Term Frequency: 1         
Term: voted                          Term Frequency: 1         
Term: honest                         Term Frequency: 1         
Term: proxy                          Term Frequency: 1         
Term: notions                        Term Frequency: 1         
Term: scoring                        Term Frequency: 1         
Term: predictive                     Term Frequency: 1         
Term: 3friending                     Term Frequency: 1         
Term: 5.1                            Term Frequency: 1         
Term: desktop                        Term Frequency: 1         
Term: rate                           Term Frequency: 1         
Term: plot                           Term Frequency: 1         
Term: go                             Term Frequency: 1         
Term: collaborators                  Term Frequency: 1         
Term: accrue                         Term Frequency: 1         
Term: reprint                        Term Frequency: 1         
Term: documented                     Term Frequency: 1         
Term: 571                            Term Frequency: 1         
Term: 580                            Term Frequency: 1         
Term: extremely                      Term Frequency: 1         
Term: recent                         Term Frequency: 1         
Term: grouped                        Term Frequency: 1         
Term: commentary                     Term Frequency: 1         
Term: so                             Term Frequency: 1         
Term: single                         Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: generations                    Term Frequency: 1         
Term: up                             Term Frequency: 1         
Term: us                             Term Frequency: 1         
Term: outreach                       Term Frequency: 1         
Term: know                           Term Frequency: 1         
Term: cumbersome                     Term Frequency: 1         
Term: combinations                   Term Frequency: 1         
Term: exact                          Term Frequency: 1         
Term: 142information                 Term Frequency: 1         
Term: power                          Term Frequency: 1         
Term: depth                          Term Frequency: 1         
Term: techniques                     Term Frequency: 1         
Term: challenges                     Term Frequency: 1         
Term: 1435                           Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: 1445                           Term Frequency: 1         
Term: introduces                     Term Frequency: 1         
Term: numerous                       Term Frequency: 1         
Term: recruiting                     Term Frequency: 1         
Term: recognizes                     Term Frequency: 1         
Term: novel                          Term Frequency: 1         
Term: reports                        Term Frequency: 1         
Term: lack                           Term Frequency: 1         
Term: formats                        Term Frequency: 1         
Term: regional                       Term Frequency: 1         
Term: youths                         Term Frequency: 1         
Term: mobile                         Term Frequency: 1         
Term: focus                          Term Frequency: 1         
Term: 169.24                         Term Frequency: 1         
Term: 630                            Term Frequency: 1         
Term: 634                            Term Frequency: 1         
Term: write                          Term Frequency: 1         
Term: underlying                     Term Frequency: 1         
Term: categorized                    Term Frequency: 1         
Term: consequence                    Term Frequency: 1         
Term: particularly                   Term Frequency: 1         
Term: discussed                      Term Frequency: 1         
Term: almost                         Term Frequency: 1         
Term: glean                          Term Frequency: 1         
Term: quantify                       Term Frequency: 1         
Term: basic                          Term Frequency: 1         
Term: policies                       Term Frequency: 1         
Term: styles                         Term Frequency: 1         
Term: combining                      Term Frequency: 1         
Term: 4affiliating                   Term Frequency: 1         
Term: align                          Term Frequency: 1         
Term: citing                         Term Frequency: 1         
Term: video                          Term Frequency: 1         
Term: happy                          Term Frequency: 1         
Term: her                            Term Frequency: 1         
Term: small                          Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: history                        Term Frequency: 1         
Term: affiliated                     Term Frequency: 1         
Term: qualitative                    Term Frequency: 1         
Term: natives                        Term Frequency: 1         
Term: answer                         Term Frequency: 1         
Term: pathways                       Term Frequency: 1         
Term: 14.61                          Term Frequency: 1         
Term: 26.42                          Term Frequency: 1         
Term: vision                         Term Frequency: 1         
Term: ecologically                   Term Frequency: 1         
Term: personalities                  Term Frequency: 1         
Term: outward                        Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: 141tap                         Term Frequency: 1         
Term: approximately                  Term Frequency: 1         
Term: distributions                  Term Frequency: 1         
Term: acting                         Term Frequency: 1         
Term: phenomenon                     Term Frequency: 1         
Term: geographic                     Term Frequency: 1         
Term: predicts                       Term Frequency: 1         
Term: 75th                           Term Frequency: 1         
Term: generalizable                  Term Frequency: 1         
Term: edits                          Term Frequency: 1         
Term: backdrop                       Term Frequency: 1         
Term: methodologies                  Term Frequency: 1         
Term: fundamental                    Term Frequency: 1         
Term: stakeholders                   Term Frequency: 1         
Term: 4.41                           Term Frequency: 1         
Term: evolve                         Term Frequency: 1         
Term: afforded                       Term Frequency: 1         
Term: 4.67                           Term Frequency: 1         
Term: enable                         Term Frequency: 1         
Term: 14.25                          Term Frequency: 1         
Term: arise                          Term Frequency: 1         
Term: tracked                        Term Frequency: 1         
Term: delineate                      Term Frequency: 1         
Term: perfect                        Term Frequency: 1         
Term: fewer                          Term Frequency: 1         
Term: insights                       Term Frequency: 1         
Term: fans                           Term Frequency: 1         
Term: definitions                    Term Frequency: 1         
Term: providing                      Term Frequency: 1         
Term: close                          Term Frequency: 1         
Term: linked                         Term Frequency: 1         
Term: post                           Term Frequency: 1         
Term: article                        Term Frequency: 1         
Term: 873                            Term Frequency: 1         
Term: 879                            Term Frequency: 1         
Term: nothing                        Term Frequency: 1         
Term: hypotheses                     Term Frequency: 1         
Term: 892                            Term Frequency: 1         
Term: powerful                       Term Frequency: 1         
Term: blurs                          Term Frequency: 1         
Term: points                         Term Frequency: 1         
Term: real                           Term Frequency: 1         
Term: hybrid                         Term Frequency: 1         
Term: productive                     Term Frequency: 1         
Term: identification                 Term Frequency: 1         
Term: unexplored                     Term Frequency: 1         
Term: debate                         Term Frequency: 1         
Term: either                         Term Frequency: 1         
Term: description                    Term Frequency: 1         
Term: learned                        Term Frequency: 1         
Term: spyware                        Term Frequency: 1         
Term: detailing                      Term Frequency: 1         
Term: 1785                           Term Frequency: 1         
Term: daily                          Term Frequency: 1         
Term: billion                        Term Frequency: 1         
Term: projects                       Term Frequency: 1         
Term: complex                        Term Frequency: 1         
Term: 918                            Term Frequency: 1         
Term: humanists                      Term Frequency: 1         
Term: subsequent                     Term Frequency: 1         
Term: words                          Term Frequency: 1         
Term: 139media                       Term Frequency: 1         
Term: humorous                       Term Frequency: 1         
Term: 9.85                           Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: parse                          Term Frequency: 1         
Term: majority                       Term Frequency: 1         
Term: join                           Term Frequency: 1         
Term: ordinary                       Term Frequency: 1         
Term: judgement                      Term Frequency: 1         
Term: focuses                        Term Frequency: 1         
Term: comfort                        Term Frequency: 1         
Term: publication                    Term Frequency: 1         
Term: newliteracies                  Term Frequency: 1         
Term: total                          Term Frequency: 1         
Term: consumers                      Term Frequency: 1         
Term: informs                        Term Frequency: 1         
Term: plays                          Term Frequency: 1         
Term: facilitates                    Term Frequency: 1         
Term: composite                      Term Frequency: 1         
Term: exhibit                        Term Frequency: 1         
Term: captions                       Term Frequency: 1         
Term: specificity                    Term Frequency: 1         
Term: 20.73                          Term Frequency: 1         
Term: discerning                     Term Frequency: 1         
Term: 68.69                          Term Frequency: 1         
Term: dissemination                  Term Frequency: 1         
Term: intact                         Term Frequency: 1         
Term: drivers                        Term Frequency: 1         
Term: 381.62                         Term Frequency: 1         
Term: situ                           Term Frequency: 1         
Term: lead                           Term Frequency: 1         
Term: expect                         Term Frequency: 1         
Term: company’s                      Term Frequency: 1         
Term: surprisingly                   Term Frequency: 1         
Term: unobtrusively                  Term Frequency: 1         
Term: limited                        Term Frequency: 1         
Term: played                         Term Frequency: 1         
Term: interacting                    Term Frequency: 1         
Term: outcomes                       Term Frequency: 1         
Term: narrative                      Term Frequency: 1         
Term: left                           Term Frequency: 1         
Term: accessible                     Term Frequency: 1         
Term: address                        Term Frequency: 1         
Term: thank                          Term Frequency: 1         
Term: scholarship                    Term Frequency: 1         
Term: 13.69                          Term Frequency: 1         
Term: lens                           Term Frequency: 1         
Term: behavioral                     Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: versus                         Term Frequency: 1         
Term: implication                    Term Frequency: 1         
Term: considering                    Term Frequency: 1         
Term: bringing                       Term Frequency: 1         
Term: schools                        Term Frequency: 1         
Term: conjunction                    Term Frequency: 1         
Term: produce                        Term Frequency: 1         
Term: hobbies                        Term Frequency: 1         
Term: 3.03                           Term Frequency: 1         
Term: function                       Term Frequency: 1         
Term: law                            Term Frequency: 1         
Term: institutions                   Term Frequency: 1         
Term: 3.21                           Term Frequency: 1         
Term: 3.35                           Term Frequency: 1         
Term: precludes                      Term Frequency: 1         
Term: 3.27                           Term Frequency: 1         
Term: optimizing                     Term Frequency: 1         
Term: promote                        Term Frequency: 1         
Term: situation                      Term Frequency: 1         
Term: involved                       Term Frequency: 1         
Term: recruitment                    Term Frequency: 1         
Term: provide                        Term Frequency: 1         
Term: primary                        Term Frequency: 1         
Term: log                            Term Frequency: 1         
Term: 1996                           Term Frequency: 1         
Term: 5tech                          Term Frequency: 1         
Term: interests                      Term Frequency: 1         
Term: recognizing                    Term Frequency: 1         
Term: denote                         Term Frequency: 1         
Term: controversies                  Term Frequency: 1         
Term: combination                    Term Frequency: 1         
Term: principal                      Term Frequency: 1         
Term: browser                        Term Frequency: 1         
Term: seeking                        Term Frequency: 1         
Term: path                           Term Frequency: 1         
Term: depending                      Term Frequency: 1         
Term: record                         Term Frequency: 1         
Term: accepting                      Term Frequency: 1         
Term: easy                           Term Frequency: 1         
Term: profoundly                     Term Frequency: 1         
Term: boundaries                     Term Frequency: 1         
Term: remixer                        Term Frequency: 1         
Term: importance                     Term Frequency: 1         
Term: custom                         Term Frequency: 1         
Term: interpret                      Term Frequency: 1         
Term: serves                         Term Frequency: 1         
Term: websites                       Term Frequency: 1         
Term: teenage                        Term Frequency: 1         
Term: feed                           Term Frequency: 1         
Term: tinkering                      Term Frequency: 1         
Term: authentic                      Term Frequency: 1         
Term: interpreting                   Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: above                          Term Frequency: 1         
Term: goals                          Term Frequency: 1         
Term: collaborating                  Term Frequency: 1         
Term: middle                         Term Frequency: 1         
Term: proper                         Term Frequency: 1         
Term: humor                          Term Frequency: 1         
Term: attempts                       Term Frequency: 1         
Term: still                          Term Frequency: 1         
Term: linking                        Term Frequency: 1         
Term: books                          Term Frequency: 1         
Term: naturally                      Term Frequency: 1         
Term: orthogonal                     Term Frequency: 1         
Term: include                        Term Frequency: 1         
Term: 501.37                         Term Frequency: 1         
Term: 8.35                           Term Frequency: 1         
Term: distances                      Term Frequency: 1         
Term: agreement                      Term Frequency: 1         
Term: happening                      Term Frequency: 1         
Term: utility                        Term Frequency: 1         
Term: 8.71                           Term Frequency: 1         
Term: debates                        Term Frequency: 1         
Term: wrote                          Term Frequency: 1         
Term: connector                      Term Frequency: 1         
Term: creators                       Term Frequency: 1         
Term: login                          Term Frequency: 1         
Term: encourage                      Term Frequency: 1         
Term: elaborating                    Term Frequency: 1         
Term: tool                           Term Frequency: 1         
Term: networked                      Term Frequency: 1         
Term: respective                     Term Frequency: 1         
Term: shift                          Term Frequency: 1         
Term: exchanged                      Term Frequency: 1         
Term: permitted                      Term Frequency: 1         
Term: expectations                   Term Frequency: 1         
Term: mechanism                      Term Frequency: 1         
Term: documents                      Term Frequency: 1         
Term: boast                          Term Frequency: 1         
Term: cater                          Term Frequency: 1         
Term: blind                          Term Frequency: 1         
Term: non                            Term Frequency: 1         
Term: publics                        Term Frequency: 1         
Term: give                           Term Frequency: 1         
Term: lives                          Term Frequency: 1         
Term: explicitly                     Term Frequency: 1         
Term: enabled                        Term Frequency: 1         
Term: enables                        Term Frequency: 1         
Term: levels                         Term Frequency: 1         
Term: pursuing                       Term Frequency: 1         
Term: otherwise                      Term Frequency: 1         
Term: dialogue                       Term Frequency: 1         
Term: dilemmas                       Term Frequency: 1         
Term: approaches                     Term Frequency: 1         
Term: uses                           Term Frequency: 1         
Term: consideration                  Term Frequency: 1         
Term: search                         Term Frequency: 1         
Term: whom                           Term Frequency: 1         
Term: 138consisted                   Term Frequency: 1         
Term: 6gender                        Term Frequency: 1         
Term: clarify                        Term Frequency: 1         
Term: girls                          Term Frequency: 1         
Term: 136might                       Term Frequency: 1         
Term: chairs                         Term Frequency: 1         
Term: arose                          Term Frequency: 1         
Term: frame                          Term Frequency: 1         
Term: venues                         Term Frequency: 1         
Term: evaluators                     Term Frequency: 1         
Term: lower                          Term Frequency: 1         
Term: resulting                      Term Frequency: 1         
Term: exploring                      Term Frequency: 1         
Term: 134.02                         Term Frequency: 1         
Term: chosen                         Term Frequency: 1         
Term: expand                         Term Frequency: 1         
Term: 2.58                           Term Frequency: 1         
Term: 2.52                           Term Frequency: 1         
Term: allows                         Term Frequency: 1         
Term: brief                          Term Frequency: 1         
Term: manuscript                     Term Frequency: 1         
Term: 2.76                           Term Frequency: 1         
Term: apprenticeship                 Term Frequency: 1         
Term: aiding                         Term Frequency: 1         
Term: reviewers                      Term Frequency: 1         
Term: behaviours                     Term Frequency: 1         
Term: shapes                         Term Frequency: 1         
Term: cases                          Term Frequency: 1         
Term: presence                       Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: wiki                           Term Frequency: 1         
Term: consequences                   Term Frequency: 1         
Term: 12.38                          Term Frequency: 1         
Term: multidisciplinary              Term Frequency: 1         
Term: proposed                       Term Frequency: 1         
Term: considers                      Term Frequency: 1         
Term: stories                        Term Frequency: 1         
Term: challenge                      Term Frequency: 1         
Term: coalesced                      Term Frequency: 1         
Term: contributions                  Term Frequency: 1         
Term: calculate                      Term Frequency: 1         
Term: devices                        Term Frequency: 1         
Term: flyers                         Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: remixers                       Term Frequency: 1         
Term: combines                       Term Frequency: 1         
Term: days                           Term Frequency: 1         
Term: juneahn                        Term Frequency: 1         
Term: conversation                   Term Frequency: 1         
Term: perform                        Term Frequency: 1         
Term: occurring                      Term Frequency: 1         
Term: pdf                            Term Frequency: 1         
Term: affords                        Term Frequency: 1         
Term: ceased                         Term Frequency: 1         
Term: 17.98                          Term Frequency: 1         
Term: even                           Term Frequency: 1         
Term: engages                        Term Frequency: 1         
Term: linear                         Term Frequency: 1         
Term: robust                         Term Frequency: 1         
Term: rarely                         Term Frequency: 1         
Term: 1messaging                     Term Frequency: 1         
Term: overarching                    Term Frequency: 1         
Term: represents                     Term Frequency: 1         
Term: working                        Term Frequency: 1         
Term: followed                       Term Frequency: 1         
Term: interested                     Term Frequency: 1         
Term: accumulating                   Term Frequency: 1         
Term: facets                         Term Frequency: 1         
Term: displayed                      Term Frequency: 1         
Term: reality                        Term Frequency: 1         
Term: demonstration                  Term Frequency: 1         
Term: safeguard                      Term Frequency: 1         
Term: giving                         Term Frequency: 1         
Term: gives                          Term Frequency: 1         
Term: surplus                        Term Frequency: 1         
Term: correlates                     Term Frequency: 1         
Term: surroundings                   Term Frequency: 1         
Term: rotation                       Term Frequency: 1         
Term: configure                      Term Frequency: 1         
Term: typical                        Term Frequency: 1         
Term: identifies                     Term Frequency: 1         
Term: mirrors                        Term Frequency: 1         
Term: appropriating                  Term Frequency: 1         
Term: classrooms                     Term Frequency: 1         
Term: organized                      Term Frequency: 1         
Term: 137the                         Term Frequency: 1         
Term: synthesize                     Term Frequency: 1         
Term: managing                       Term Frequency: 1         
Term: request                        Term Frequency: 1         
Term: requirements                   Term Frequency: 1         
Term: listed                         Term Frequency: 1         
Term: 7.99                           Term Frequency: 1         
Term: evaluating                     Term Frequency: 1         
Term: utilizing                      Term Frequency: 1         
Term: tail                           Term Frequency: 1         
Term: phenomena                      Term Frequency: 1         
Term: tale                           Term Frequency: 1         
Term: 2006                           Term Frequency: 1         
Term: 2002                           Term Frequency: 1         
Term: existing                       Term Frequency: 1         
Term: owned                          Term Frequency: 1         
Term: explain                        Term Frequency: 1         
Term: scholarly                      Term Frequency: 1         
Term: uncannily                      Term Frequency: 1         
Term: together                       Term Frequency: 1         
Term: positive                       Term Frequency: 1         
Term: heart                          Term Frequency: 1         
Term: delete                         Term Frequency: 1         
Term: magazines                      Term Frequency: 1         
Term: sought                         Term Frequency: 1         
Term: writers                        Term Frequency: 1         
Term: writes                         Term Frequency: 1         
Term: except                         Term Frequency: 1         
Term: global                         Term Frequency: 1         
Term: unless                         Term Frequency: 1         
Term: 42.84                          Term Frequency: 1         
Term: ethnography                    Term Frequency: 1         
Term: channels                       Term Frequency: 1         
Term: analysts                       Term Frequency: 1         
Term: every                          Term Frequency: 1         
Term: answered                       Term Frequency: 1         
Term: again                          Term Frequency: 1         
Term: employ                         Term Frequency: 1         
Term: reasoning                      Term Frequency: 1         
Term: games                          Term Frequency: 1         
Term: agree                          Term Frequency: 1         
Term: favorite                       Term Frequency: 1         
Term: broadcast                      Term Frequency: 1         
Term: requests                       Term Frequency: 1         
Term: cannot                         Term Frequency: 1         
Term: storytellers                   Term Frequency: 1         
Term: planners                       Term Frequency: 1         
Term: 2information                   Term Frequency: 1         
Term: weblog                         Term Frequency: 1         
Term: solving                        Term Frequency: 1         
Term: frequent                       Term Frequency: 1         
Term: membership                     Term Frequency: 1         
Term: public                         Term Frequency: 1         
Term: track                          Term Frequency: 1         
Term: score                          Term Frequency: 1         
Term: navigate                       Term Frequency: 1         
Term: recorded                       Term Frequency: 1         
Term: decline                        Term Frequency: 1         
Term: 60.36                          Term Frequency: 1         
Term: algorithms                     Term Frequency: 1         
Term: 1.39                           Term Frequency: 1         
Term: speak                          Term Frequency: 1         
Term: outcome                        Term Frequency: 1         
Term: 7age                           Term Frequency: 1         
Term: always                         Term Frequency: 1         
Term: distills                       Term Frequency: 1         
Term: maintaining                    Term Frequency: 1         
Term: 1.85                           Term Frequency: 1         
Term: consists                       Term Frequency: 1         
Term: repertoire                     Term Frequency: 1         
Term: refine                         Term Frequency: 1         
Term: ask                            Term Frequency: 1         
Term: view                           Term Frequency: 1         
Term: overlap                        Term Frequency: 1         
Term: edition                        Term Frequency: 1         
Term: negative                       Term Frequency: 1         
Term: introduce                      Term Frequency: 1         
Term: modeling                       Term Frequency: 1         
Term: participating                  Term Frequency: 1         
Term: case                           Term Frequency: 1         
Term: item                           Term Frequency: 1         
Term: testable                       Term Frequency: 1         
Term: display                        Term Frequency: 1         
Term: cats                           Term Frequency: 1         
Term: broadly                        Term Frequency: 1         
Term: emailing                       Term Frequency: 1         
Term: connections                    Term Frequency: 1         
Term: described                      Term Frequency: 1         
Term: negotiate                      Term Frequency: 1         
Term: ascertain                      Term Frequency: 1         
Term: blogs.ubc.ca                   Term Frequency: 1         
Term: 11.58                          Term Frequency: 1         
Term: reflected                      Term Frequency: 1         
Term: posit                          Term Frequency: 1         
Term: inward                         Term Frequency: 1         
Term: compared                       Term Frequency: 1         
Term: little                         Term Frequency: 1         
Term: capable                        Term Frequency: 1         
Term: sic                            Term Frequency: 1         
Term: explained                      Term Frequency: 1         
Term: recruited                      Term Frequency: 1         
Term: identifications                Term Frequency: 1         
Term: comprehensive                  Term Frequency: 1         
Term: tasks                          Term Frequency: 1         
Term: 1.0                            Term Frequency: 1         
Term: comprised                      Term Frequency: 1         
Term: announcements                  Term Frequency: 1         
Term: mental                         Term Frequency: 1         
Term: naturalistic                   Term Frequency: 1         
Term: 103                            Term Frequency: 1         
Term: 107                            Term Frequency: 1         
Term: 109                            Term Frequency: 1         
Term: encouraged                     Term Frequency: 1         
Term: 119                            Term Frequency: 1         
Term: drawn                          Term Frequency: 1         
Term: multitask                      Term Frequency: 1         
Term: secondary                      Term Frequency: 1         
Term: interpreted                    Term Frequency: 1         
Term: grounded                       Term Frequency: 1         
Term: serving                        Term Frequency: 1         
Term: 142                            Term Frequency: 1         
Term: 143                            Term Frequency: 1         
Term: 144                            Term Frequency: 1         
Term: contacts                       Term Frequency: 1         
Term: 175                            Term Frequency: 1         
Term: normal                         Term Frequency: 1         
Term: 191                            Term Frequency: 1         
Term: substantially                  Term Frequency: 1         
Term: derive                         Term Frequency: 1         
Term: alumni                         Term Frequency: 1         
Term: elements                       Term Frequency: 1         
Term: tremendous                     Term Frequency: 1         
Term: posed                          Term Frequency: 1         
Term: files                          Term Frequency: 1         
Term: instances                      Term Frequency: 1         
Term: passive                        Term Frequency: 1         
Term: coefficients                   Term Frequency: 1         
Term: A                              Term Frequency: 0         
Term: B                              Term Frequency: 0         
Term: C                              Term Frequency: 0         
Term: D                              Term Frequency: 0         
Term: E                              Term Frequency: 0         
Term: G                              Term Frequency: 0         
Term: H                              Term Frequency: 0         
Term: I                              Term Frequency: 0         
Term: J                              Term Frequency: 0         
Term: K                              Term Frequency: 0         
