Term: social                         Term Frequency: 69        
Term: exploring                      Term Frequency: 1         
Term: while                          Term Frequency: 1         
Term: suggests                       Term Frequency: 1         
Term: faster                         Term Frequency: 1         
Term: claim                          Term Frequency: 1         
Term: author                         Term Frequency: 1         
Term: follows                        Term Frequency: 1         
Term: retrieve                       Term Frequency: 1         
Term: 2806.4                         Term Frequency: 1         
Term: 2.59                           Term Frequency: 1         
Term: easier                         Term Frequency: 1         
Term: estimate                       Term Frequency: 1         
Term: ndowell                        Term Frequency: 1         
Term: anthropological                Term Frequency: 1         
Term: seen                           Term Frequency: 1         
Term: so                             Term Frequency: 1         
Term: caution                        Term Frequency: 1         
Term: started                        Term Frequency: 1         
Term: attained                       Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: reasonable                     Term Frequency: 1         
Term: capturing                      Term Frequency: 1         
Term: us                             Term Frequency: 1         
Term: drop                           Term Frequency: 1         
Term: changes                        Term Frequency: 1         
Term: gap                            Term Frequency: 1         
Term: examination                    Term Frequency: 1         
Term: previous                       Term Frequency: 1         
Term: held                           Term Frequency: 1         
Term: type                           Term Frequency: 1         
Term: connection                     Term Frequency: 1         
Term: conclude                       Term Frequency: 1         
Term: out                            Term Frequency: 1         
Term: power                          Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: help                           Term Frequency: 1         
Term: self                           Term Frequency: 1         
Term: located                        Term Frequency: 1         
Term: connecting                     Term Frequency: 1         
Term: date                           Term Frequency: 1         
Term: reveal                         Term Frequency: 1         
Term: translate                      Term Frequency: 1         
Term: techniques                     Term Frequency: 1         
Term: purpose                        Term Frequency: 1         
Term: challenges                     Term Frequency: 1         
Term: line                           Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: allowing                       Term Frequency: 1         
Term: factors                        Term Frequency: 1         
Term: readability                    Term Frequency: 1         
Term: numerous                       Term Frequency: 1         
Term: 681.62                         Term Frequency: 1         
Term: explanation                    Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: ed.ac.uk                       Term Frequency: 1         
Term: 1473                           Term Frequency: 1         
Term: replies                        Term Frequency: 1         
Term: datasets                       Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: 6.1                            Term Frequency: 1         
Term: 6.2                            Term Frequency: 1         
Term: 6.3                            Term Frequency: 1         
Term: weighted                       Term Frequency: 1         
Term: interface                      Term Frequency: 1         
Term: 624                            Term Frequency: 1         
Term: period                         Term Frequency: 1         
Term: analyze                        Term Frequency: 1         
Term: particularly                   Term Frequency: 1         
Term: opportunities                  Term Frequency: 1         
Term: framework                      Term Frequency: 1         
Term: equally                        Term Frequency: 1         
Term: sustained                      Term Frequency: 1         
Term: convey                         Term Frequency: 1         
Term: despite                        Term Frequency: 1         
Term: conduct                        Term Frequency: 1         
Term: submmited                      Term Frequency: 1         
Term: recognize                      Term Frequency: 1         
Term: must                           Term Frequency: 1         
Term: sophisticated                  Term Frequency: 1         
Term: 4.2.1                          Term Frequency: 1         
Term: indicative                     Term Frequency: 1         
Term: 4.2.2                          Term Frequency: 1         
Term: 4.2.3                          Term Frequency: 1         
Term: pop                            Term Frequency: 1         
Term: emerging                       Term Frequency: 1         
Term: 390.28                         Term Frequency: 1         
Term: shaping                        Term Frequency: 1         
Term: implies                        Term Frequency: 1         
Term: instructors                    Term Frequency: 1         
Term: continue                       Term Frequency: 1         
Term: preserved                      Term Frequency: 1         
Term: inherent                       Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: editio                         Term Frequency: 1         
Term: correlated                     Term Frequency: 1         
Term: prudent                        Term Frequency: 1         
Term: evaluations                    Term Frequency: 1         
Term: communicative                  Term Frequency: 1         
Term: initially                      Term Frequency: 1         
Term: multi                          Term Frequency: 1         
Term: customarily                    Term Frequency: 1         
Term: 3.0.1                          Term Frequency: 1         
Term: sociolinguistic                Term Frequency: 1         
Term: foster                         Term Frequency: 1         
Term: organized                      Term Frequency: 1         
Term: facility                       Term Frequency: 1         
Term: small                          Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: consider                       Term Frequency: 1         
Term: potential                      Term Frequency: 1         
Term: process                        Term Frequency: 1         
Term: suggestions                    Term Frequency: 1         
Term: been                           Term Frequency: 1         
Term: noticeably                     Term Frequency: 1         
Term: reflects                       Term Frequency: 1         
Term: you                            Term Frequency: 1         
Term: integral                       Term Frequency: 1         
Term: embedded                       Term Frequency: 1         
Term: parsimonious                   Term Frequency: 1         
Term: advantages                     Term Frequency: 1         
Term: represent                      Term Frequency: 1         
Term: sometimes                      Term Frequency: 1         
Term: aggregating                    Term Frequency: 1         
Term: prior                          Term Frequency: 1         
Term: prerequisite                   Term Frequency: 1         
Term: some                           Term Frequency: 1         
Term: 2008                           Term Frequency: 1         
Term: 2004                           Term Frequency: 1         
Term: 2003                           Term Frequency: 1         
Term: alpha                          Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: material                       Term Frequency: 1         
Term: although                       Term Frequency: 1         
Term: owned                          Term Frequency: 1         
Term: regression                     Term Frequency: 1         
Term: explain                        Term Frequency: 1         
Term: paragraphs                     Term Frequency: 1         
Term: guidelines                     Term Frequency: 1         
Term: action                         Term Frequency: 1         
Term: 66.041                         Term Frequency: 1         
Term: phenomenon                     Term Frequency: 1         
Term: 65social                       Term Frequency: 1         
Term: observable                     Term Frequency: 1         
Term: efficiently                    Term Frequency: 1         
Term: return                         Term Frequency: 1         
Term: instance                       Term Frequency: 1         
Term: solution                       Term Frequency: 1         
Term: selected                       Term Frequency: 1         
Term: occur                          Term Frequency: 1         
Term: fill                           Term Frequency: 1         
Term: steps                          Term Frequency: 1         
Term: experiences                    Term Frequency: 1         
Term: predicts                       Term Frequency: 1         
Term: present                        Term Frequency: 1         
Term: surveys                        Term Frequency: 1         
Term: brokering                      Term Frequency: 1         
Term: positioning                    Term Frequency: 1         
Term: 4.13                           Term Frequency: 1         
Term: contribution                   Term Frequency: 1         
Term: symbolic                       Term Frequency: 1         
Term: brokerage                      Term Frequency: 1         
Term: 4.22                           Term Frequency: 1         
Term: processing                     Term Frequency: 1         
Term: 4.19                           Term Frequency: 1         
Term: fundamental                    Term Frequency: 1         
Term: collecting                     Term Frequency: 1         
Term: perspective                    Term Frequency: 1         
Term: 4.47                           Term Frequency: 1         
Term: 4.49                           Term Frequency: 1         
Term: triggering                     Term Frequency: 1         
Term: evolve                         Term Frequency: 1         
Term: reactions                      Term Frequency: 1         
Term: inside                         Term Frequency: 1         
Term: collection                     Term Frequency: 1         
Term: hashtags                       Term Frequency: 1         
Term: enable                         Term Frequency: 1         
Term: focusing                       Term Frequency: 1         
Term: 2951                           Term Frequency: 1         
Term: linguistics                    Term Frequency: 1         
Term: uniform                        Term Frequency: 1         
Term: demonstrated                   Term Frequency: 1         
Term: culture                        Term Frequency: 1         
Term: 0.0009                         Term Frequency: 1         
Term: perfect                        Term Frequency: 1         
Term: 0.0003                         Term Frequency: 1         
Term: stringent                      Term Frequency: 1         
Term: invariable                     Term Frequency: 1         
Term: interact                       Term Frequency: 1         
Term: initiators                     Term Frequency: 1         
Term: error                          Term Frequency: 1         
Term: array                          Term Frequency: 1         
Term: 64course                       Term Frequency: 1         
Term: quantity                       Term Frequency: 1         
Term: setting                        Term Frequency: 1         
Term: 1695                           Term Frequency: 1         
Term: indicators                     Term Frequency: 1         
Term: shortly                        Term Frequency: 1         
Term: rhetorical                     Term Frequency: 1         
Term: 3417                           Term Frequency: 1         
Term: textual                        Term Frequency: 1         
Term: indices                        Term Frequency: 1         
Term: 825                            Term Frequency: 1         
Term: helped                         Term Frequency: 1         
Term: utterances                     Term Frequency: 1         
Term: respect                        Term Frequency: 1         
Term: mutual                         Term Frequency: 1         
Term: parsed                         Term Frequency: 1         
Term: scope                          Term Frequency: 1         
Term: embrace                        Term Frequency: 1         
Term: identify                       Term Frequency: 1         
Term: smaller                        Term Frequency: 1         
Term: shorter                        Term Frequency: 1         
Term: system                         Term Frequency: 1         
Term: hypotheses                     Term Frequency: 1         
Term: acquaintance                   Term Frequency: 1         
Term: learner’s                      Term Frequency: 1         
Term: facilitate                     Term Frequency: 1         
Term: simpler                        Term Frequency: 1         
Term: predict                        Term Frequency: 1         
Term: commented                      Term Frequency: 1         
Term: suggested                      Term Frequency: 1         
Term: productive                     Term Frequency: 1         
Term: until                          Term Frequency: 1         
Term: accurate                       Term Frequency: 1         
Term: acts                           Term Frequency: 1         
Term: identification                 Term Frequency: 1         
Term: tagged                         Term Frequency: 1         
Term: frequently                     Term Frequency: 1         
Term: v.kovanovic                    Term Frequency: 1         
Term: taken                          Term Frequency: 1         
Term: 025                            Term Frequency: 1         
Term: strength                       Term Frequency: 1         
Term: challenging                    Term Frequency: 1         
Term: 032                            Term Frequency: 1         
Term: view                           Term Frequency: 1         
Term: either                         Term Frequency: 1         
Term: 040                            Term Frequency: 1         
Term: 042                            Term Frequency: 1         
Term: longer                         Term Frequency: 1         
Term: introduce                      Term Frequency: 1         
Term: estimated                      Term Frequency: 1         
Term: clarification                  Term Frequency: 1         
Term: broad                          Term Frequency: 1         
Term: participating                  Term Frequency: 1         
Term: 1755                           Term Frequency: 1         
Term: questionable                   Term Frequency: 1         
Term: responsibilities               Term Frequency: 1         
Term: sjoksimo                       Term Frequency: 1         
Term: percentage                     Term Frequency: 1         
Term: dgasevic                       Term Frequency: 1         
Term: transfer                       Term Frequency: 1         
Term: 9.06                           Term Frequency: 1         
Term: mentioned                      Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: amount                         Term Frequency: 1         
Term: original                       Term Frequency: 1         
Term: simply                         Term Frequency: 1         
Term: reflected                      Term Frequency: 1         
Term: gaining                        Term Frequency: 1         
Term: 3527                           Term Frequency: 1         
Term: strong                         Term Frequency: 1         
Term: 3541                           Term Frequency: 1         
Term: offered                        Term Frequency: 1         
Term: compared                       Term Frequency: 1         
Term: set                            Term Frequency: 1         
Term: contain                        Term Frequency: 1         
Term: integrate                      Term Frequency: 1         
Term: typically                      Term Frequency: 1         
Term: capable                        Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: captures                       Term Frequency: 1         
Term: 7th                            Term Frequency: 1         
Term: 2667.4                         Term Frequency: 1         
Term: improved                       Term Frequency: 1         
Term: 997                            Term Frequency: 1         
Term: 2266                           Term Frequency: 1         
Term: majority                       Term Frequency: 1         
Term: sentence                       Term Frequency: 1         
Term: focuses                        Term Frequency: 1         
Term: emerged                        Term Frequency: 1         
Term: predominate                    Term Frequency: 1         
Term: systematic                     Term Frequency: 1         
Term: expressed                      Term Frequency: 1         
Term: awaits                         Term Frequency: 1         
Term: eigenvector                    Term Frequency: 1         
Term: 3033.8                         Term Frequency: 1         
Term: mental                         Term Frequency: 1         
Term: total                          Term Frequency: 1         
Term: highly                         Term Frequency: 1         
Term: interesting                    Term Frequency: 1         
Term: editions                       Term Frequency: 1         
Term: acknowledge                    Term Frequency: 1         
Term: overfitted                     Term Frequency: 1         
Term: 3034.1                         Term Frequency: 1         
Term: facilitated                    Term Frequency: 1         
Term: dynamics                       Term Frequency: 1         
Term: 117                            Term Frequency: 1         
Term: actors                         Term Frequency: 1         
Term: 124                            Term Frequency: 1         
Term: dilemma’s                      Term Frequency: 1         
Term: access                         Term Frequency: 1         
Term: undirected                     Term Frequency: 1         
Term: grounded                       Term Frequency: 1         
Term: 132                            Term Frequency: 1         
Term: 133                            Term Frequency: 1         
Term: current                        Term Frequency: 1         
Term: express                        Term Frequency: 1         
Term: contexts                       Term Frequency: 1         
Term: frequency                      Term Frequency: 1         
Term: dynamic                        Term Frequency: 1         
Term: 164                            Term Frequency: 1         
Term: enhanced                       Term Frequency: 1         
Term: inquiries                      Term Frequency: 1         
Term: assessed                       Term Frequency: 1         
Term: 177                            Term Frequency: 1         
Term: exhibited                      Term Frequency: 1         
Term: goal                           Term Frequency: 1         
Term: natural                        Term Frequency: 1         
Term: sfu.ca                         Term Frequency: 1         
Term: place                          Term Frequency: 1         
Term: payoff                         Term Frequency: 1         
Term: suggest                        Term Frequency: 1         
Term: scarce                         Term Frequency: 1         
Term: describing                     Term Frequency: 1         
Term: mechanisms                     Term Frequency: 1         
Term: favorites                      Term Frequency: 1         
Term: said                           Term Frequency: 1         
Term: arguably                       Term Frequency: 1         
Term: corresponding                  Term Frequency: 1         
Term: counterparts                   Term Frequency: 1         
Term: independently                  Term Frequency: 1         
Term: 1.30Deep                       Term Frequency: 0         
Term: Massive                        Term Frequency: 0         
Term: Eventually                     Term Frequency: 0         
Term: A                              Term Frequency: 0         
Term: B                              Term Frequency: 0         
Term: C                              Term Frequency: 0         
Term: D                              Term Frequency: 0         
Term: E                              Term Frequency: 0         
Term: F                              Term Frequency: 0         
Term: G                              Term Frequency: 0         
Term: H                              Term Frequency: 0         
Term: J                              Term Frequency: 0         
Term: K                              Term Frequency: 0         
Term: L                              Term Frequency: 0         
Term: M                              Term Frequency: 0         
Term: N                              Term Frequency: 0         
Term: O                              Term Frequency: 0         
Term: P                              Term Frequency: 0         
Term: R                              Term Frequency: 0         
Term: S                              Term Frequency: 0         
Term: Institute                      Term Frequency: 0         
Term: T                              Term Frequency: 0         
Term: V                              Term Frequency: 0         
Term: W                              Term Frequency: 0         
Term: Y                              Term Frequency: 0         
Term: Z                              Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: Rand                           Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Freeman                        Term Frequency: 0         
Term: Rep                            Term Frequency: 0         
Term: Res                            Term Frequency: 0         
Term: Rev                            Term Frequency: 0         
Term: Intell                         Term Frequency: 0         
Term: Keywords                       Term Frequency: 0         
Term: Criterion                      Term Frequency: 0         
Term: Gary                           Term Frequency: 0         
Term: Microsoft                      Term Frequency: 0         
Term: Collaborative                  Term Frequency: 0         
Term: SNA                            Term Frequency: 0         
Term: Networked                      Term Frequency: 0         
Term: Academic                       Term Frequency: 0         
Term: Four                           Term Frequency: 0         
Term: All                            Term Frequency: 0         
Term: Copyright                      Term Frequency: 0         
Term: Education                      Term Frequency: 0         
Term: Dowell                         Term Frequency: 0         
Term: Consequently                   Term Frequency: 0         
Term: Anh                            Term Frequency: 0         
Term: Connectivism                   Term Frequency: 0         
Term: Connectivist                   Term Frequency: 0         
Term: That                           Term Frequency: 0         
Term: Jan                            Term Frequency: 0         
Term: THEORETICAL                    Term Frequency: 0         
Term: Are                            Term Frequency: 0         
Term: Toward                         Term Frequency: 0         
Term: Cohesion                       Term Frequency: 0         
Term: Group                          Term Frequency: 0         
Term: Cogn                           Term Frequency: 0         
Term: Creating                       Term Frequency: 0         
Term: Npost12t                       Term Frequency: 0         
Term: Knox                           Term Frequency: 0         
Term: There                          Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: Forces                         Term Frequency: 0         
Term: Npost11f                       Term Frequency: 0         
Term: Npost11b                       Term Frequency: 0         
Term: Joksimovic                     Term Frequency: 0         
Term: Npost11t                       Term Frequency: 0         
Term: Npost12b                       Term Frequency: 0         
Term: Npost12f                       Term Frequency: 0         
Term: Support                        Term Frequency: 0         
Term: Conference                     Term Frequency: 0         
Term: Network                        Term Frequency: 0         
Term: Computer                       Term Frequency: 0         
Term: Degree                         Term Frequency: 0         
Term: DISCUSSION                     Term Frequency: 0         
Term: Scholand                       Term Frequency: 0         
Term: Given                          Term Frequency: 0         
Term: Informatics                    Term Frequency: 0         
Term: Butler                         Term Frequency: 0         
Term: Characteristics                Term Frequency: 0         
Term: Mabry                          Term Frequency: 0         
Term: Educ                           Term Frequency: 0         
Term: August                         Term Frequency: 0         
Term: Oleksandra                     Term Frequency: 0         
Term: York                           Term Frequency: 0         
Term: Digital                        Term Frequency: 0         
Term: Coefficient                    Term Frequency: 0         
Term: Intraclass                     Term Frequency: 0         
Term: Data                           Term Frequency: 0         
Term: CCK                            Term Frequency: 0         
Term: Gaševi                         Term Frequency: 0         
Term: Margaryan                      Term Frequency: 0         
Term: Eigen                          Term Frequency: 0         
Term: Sci                            Term Frequency: 0         
Term: Sch                            Term Frequency: 0         
Term: Simon                          Term Frequency: 0         
Term: Thus                           Term Frequency: 0         
Term: Sep                            Term Frequency: 0         
Term: Computational                  Term Frequency: 0         
Term: Jun                            Term Frequency: 0         
Term: Analyzing                      Term Frequency: 0         
Term: Your                           Term Frequency: 0         
Term: Interaction                    Term Frequency: 0         
Term: Bates                          Term Frequency: 0         
Term: Laat                           Term Frequency: 0         
Term: University                     Term Frequency: 0         
Term: Wade                           Term Frequency: 0         
Term: Stewart                        Term Frequency: 0         
Term: U.K                            Term Frequency: 0         
Term: Patterns                       Term Frequency: 0         
Term: Distance                       Term Frequency: 0         
Term: Live                           Term Frequency: 0         
Term: Canada                         Term Frequency: 0         
Term: Adelaide                       Term Frequency: 0         
Term: Ncck12                         Term Frequency: 0         
Term: Ncck11                         Term Frequency: 0         
Term: Soc                            Term Frequency: 0         
Term: Educational                    Term Frequency: 0         
Term: LAK                            Term Frequency: 0         
Term: Likewise                       Term Frequency: 0         
Term: Organ                          Term Frequency: 0         
Term: Snow                           Term Frequency: 0         
Term: Vaquero                        Term Frequency: 0         
Term: Salerno                        Term Frequency: 0         
Term: Berlin                         Term Frequency: 0         
Term: Peer                           Term Frequency: 0         
Term: Walker                         Term Frequency: 0         
Term: PLUS                           Term Frequency: 0         
Term: Sre                            Term Frequency: 0         
Term: Information                    Term Frequency: 0         
Term: Edinburgh                      Term Frequency: 0         
Term: InterJournalournal             Term Frequency: 0         
Term: Burt                           Term Frequency: 0         
Term: Reading                        Term Frequency: 0         
Term: INTRODUCTION                   Term Frequency: 0         
Term: Measure                        Term Frequency: 0         
Term: Ties                           Term Frequency: 0         
Term: Categories                     Term Frequency: 0         
Term: Sui                            Term Frequency: 0         
Term: Workshops                      Term Frequency: 0         
Term: McNamara                       Term Frequency: 0         
Term: Participant                    Term Frequency: 0         
Term: Bernard                        Term Frequency: 0         
Term: Psychological                  Term Frequency: 0         
Term: March                          Term Frequency: 0         
Term: Elements                       Term Frequency: 0         
Term: into                           Term Frequency: 0         
Term: Centrality                     Term Frequency: 0         
Term: Australia                      Term Frequency: 0         
Term: Cognition                      Term Frequency: 0         
Term: Arts                           Term Frequency: 0         
Term: Santa                          Term Frequency: 0         
Term: Limitation                     Term Frequency: 0         
Term: Program                        Term Frequency: 0         
Term: AICc                           Term Frequency: 0         
Term: Mcauley                        Term Frequency: 0         
Term: Lockyer                        Term Frequency: 0         
Term: M.A                            Term Frequency: 0         
Term: Npost12                        Term Frequency: 0         
Term: Npost11                        Term Frequency: 0         
Term: Enhanc                         Term Frequency: 0         
Term: Chai                           Term Frequency: 0         
Term: Complex                        Term Frequency: 0         
Term: Kop                            Term Frequency: 0         
Term: CONCLUSIONS                    Term Frequency: 0         
Term: Interactive                    Term Frequency: 0         
Term: Cai                            Term Frequency: 0         
Term: Courses                        Term Frequency: 0         
Term: Source                         Term Frequency: 0         
Term: Wasserman                      Term Frequency: 0         
Term: A1                             Term Frequency: 0         
Term: Borokhovski                    Term Frequency: 0         
Term: RESEARCH                       Term Frequency: 0         
Term: Poughkeepsie                   Term Frequency: 0         
Term: B1                             Term Frequency: 0         
Term: Am                             Term Frequency: 0         
Term: An                             Term Frequency: 0         
Term: C1                             Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: At                             Term Frequency: 0         
Term: CA                             Term Frequency: 0         
Term: MOOCs                          Term Frequency: 0         
Term: Br                             Term Frequency: 0         
Term: Using                          Term Frequency: 0         
Term: Behav                          Term Frequency: 0         
Term: De                             Term Frequency: 0         
Term: Metrix                         Term Frequency: 0         
Term: Measuring                      Term Frequency: 0         
Term: Top                            Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: Is                             Term Frequency: 0         
Term: It                             Term Frequency: 0         
Term: Hatala                         Term Frequency: 0         
Term: Burnaby                        Term Frequency: 0         
Term: Coh                            Term Frequency: 0         
Term: USA                            Term Frequency: 0         
Term: L1                             Term Frequency: 0         
Term: L2                             Term Frequency: 0         
Term: L3                             Term Frequency: 0         
Term: Pedagogy                       Term Frequency: 0         
Term: Linguistic                     Term Frequency: 0         
Term: Carrington                     Term Frequency: 0         
Term: Introduction                   Term Frequency: 0         
Term: NY                             Term Frequency: 0         
Term: Csardi                         Term Frequency: 0         
Term: Understanding                  Term Frequency: 0         
Term: Analytics                      Term Frequency: 0         
Term: On                             Term Frequency: 0         
Term: Fini                           Term Frequency: 0         
Term: Meta                           Term Frequency: 0         
Term: R2                             Term Frequency: 0         
Term: RQ                             Term Frequency: 0         
Term: S4                             Term Frequency: 0         
Term: Kovanovi                       Term Frequency: 0         
Term: SD                             Term Frequency: 0         
Term: SE                             Term Frequency: 0         
Term: Lin                            Term Frequency: 0         
Term: such                           Term Frequency: 0         
Term: Scott                          Term Frequency: 0         
Term: Sy                             Term Frequency: 0         
Term: UK                             Term Frequency: 0         
Term: To                             Term Frequency: 0         
Term: Automated                      Term Frequency: 0         
Term: Individual                     Term Frequency: 0         
Term: Pennebaker                     Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: was                            Term Frequency: 0         
Term: We                             Term Frequency: 0         
Term: QUESTIONS                      Term Frequency: 0         
Term: Cebrian                        Term Frequency: 0         
Term: Five                           Term Frequency: 0         
Term: 0.001Referential               Term Frequency: 0         
Term: Concreteness                   Term Frequency: 0         
Term: Xu                             Term Frequency: 0         
Term: Research                       Term Frequency: 0         
Term: Elluminate                     Term Frequency: 0         
Term: Skrypnyk                       Term Frequency: 0         
Term: Implications                   Term Frequency: 0         
Term: EDM                            Term Frequency: 0         
Term: Milligan                       Term Frequency: 0         
Term: Cross                          Term Frequency: 0         
Term: RESULTS                        Term Frequency: 0         
Term: Syntactic                      Term Frequency: 0         
Term: From                           Term Frequency: 0         
Term: Sokolovskaya                   Term Frequency: 0         
Term: Acad                           Term Frequency: 0         
Term: Spec                           Term Frequency: 0         
Term: Technological                  Term Frequency: 0         
Term: Handbook                       Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: Eigenvalue                     Term Frequency: 0         
Term: cMOOC                          Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: MERLOT                         Term Frequency: 0         
Term: Syntax                         Term Frequency: 0         
Term: Types                          Term Frequency: 0         
Term: Adaptive                       Term Frequency: 0         
Term: BACKGROUND                     Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: Number                         Term Frequency: 0         
Term: Mining                         Term Frequency: 0         
Term: if                             Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: Position                       Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: it                             Term Frequency: 0         
Term: Mak                            Term Frequency: 0         
Term: Reflecting                     Term Frequency: 0         
Term: Structure                      Term Frequency: 0         
Term: Cade                           Term Frequency: 0         
Term: Use                            Term Frequency: 0         
Term: Abundance                      Term Frequency: 0         
Term: Paradigm                       Term Frequency: 0         
Term: Unit                           Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: 2.12Syntax                     Term Frequency: 0         
Term: Alam                           Term Frequency: 0         
Term: Med                            Term Frequency: 0         
Term: no                             Term Frequency: 0         
Term: Similar                        Term Frequency: 0         
Term: Engagement                     Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: Statistical                    Term Frequency: 0         
Term: 0.003Measure                   Term Frequency: 0         
Term: then                           Term Frequency: 0         
Term: London                         Term Frequency: 0         
Term: Additionally                   Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: Friedman                       Term Frequency: 0         
Term: this                           Term Frequency: 0         
Term: Specifically                   Term Frequency: 0         
Term: Twitter                        Term Frequency: 0         
Term: Faust                          Term Frequency: 0         
Term: Request                        Term Frequency: 0         
Term: Connections                    Term Frequency: 0         
Term: Translation                    Term Frequency: 0         
Term: Those                          Term Frequency: 0         
Term: Syst                           Term Frequency: 0         
Term: Hierarchical                   Term Frequency: 0         
Term: Case                           Term Frequency: 0         
Term: Table                          Term Frequency: 0         
Term: Littlejohn                     Term Frequency: 0         
Term: Model                          Term Frequency: 0         
Term: Online                         Term Frequency: 0         
Term: Eds                            Term Frequency: 0         
Term: Works                          Term Frequency: 0         
Term: Both                           Term Frequency: 0         
Term: Accumulation                   Term Frequency: 0         
Term: will                           Term Frequency: 0         
Term: Therefore                      Term Frequency: 0         
Term: these                          Term Frequency: 0         
Term: Providing                      Term Frequency: 0         
Term: Analysis                       Term Frequency: 0         
Term: Analyses                       Term Frequency: 0         
Term: Social                         Term Frequency: 0         
Term: Tamim                          Term Frequency: 0         
Term: 1.25Referential                Term Frequency: 0         
Term: Press                          Term Frequency: 0         
Term: Standard                       Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: there                          Term Frequency: 0         
Term: Community                      Term Frequency: 0         
Term: Deep                           Term Frequency: 0         
Term: Essentially                    Term Frequency: 0         
Term: Carceller                      Term Frequency: 0         
Term: Finally                        Term Frequency: 0         
Term: Intelligent                    Term Frequency: 0         
Term: 3.10Note                       Term Frequency: 0         
Term: New                            Term Frequency: 0         
Term: However                        Term Frequency: 0         
Term: Three                          Term Frequency: 0         
Term: xMOOC                          Term Frequency: 0         
Term: Through                        Term Frequency: 0         
Term: High                           Term Frequency: 0         
Term: Nia                            Term Frequency: 0         
Term: English                        Term Frequency: 0         
Term: Classmates                     Term Frequency: 0         
Term: Interactions                   Term Frequency: 0         
Term: Discourse                      Term Frequency: 0         
Term: Kulikowich                     Term Frequency: 0         
Term: Arthur                         Term Frequency: 0         
Term: Joksimovi                      Term Frequency: 0         
Term: MOOC                           Term Frequency: 0         
Term: Treatments                     Term Frequency: 0         
Term: Maechler                       Term Frequency: 0         
Term: Dragan                         Term Frequency: 0         
Term: SENarrativity                  Term Frequency: 0         
Term: Development                    Term Frequency: 0         
Term: Performance                    Term Frequency: 0         
Term: 0.003Word                      Term Frequency: 0         
Term: Connective                     Term Frequency: 0         
Term: Lead                           Term Frequency: 0         
Term: Corporation                    Term Frequency: 0         
Term: Technology                     Term Frequency: 0         
Term: Memphis                        Term Frequency: 0         
Term: 2.82Word                       Term Frequency: 0         
Term: Apeldoorn                      Term Frequency: 0         
Term: gRSShopper                     Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: Gasevic                        Term Frequency: 0         
Term: METHODS                        Term Frequency: 0         
Term: Betweenness                    Term Frequency: 0         
Term: Narrativity                    Term Frequency: 0         
Term: Correlation                    Term Frequency: 0         
Term: GPA                            Term Frequency: 0         
Term: Proceedings                    Term Frequency: 0         
Term: Nevertheless                   Term Frequency: 0         
Term: Course                         Term Frequency: 0         
Term: For                            Term Frequency: 0         
Term: Heidelberg                     Term Frequency: 0         
Term: School                         Term Frequency: 0         
Term: Language                       Term Frequency: 0         
Term: International                  Term Frequency: 0         
Term: Copyrights                     Term Frequency: 0         
Term: Siemens                        Term Frequency: 0         
Term: Human                          Term Frequency: 0         
Term: Practice                       Term Frequency: 0         
Term: Advances                       Term Frequency: 0         
Term: Cormier                        Term Frequency: 0         
Term: JOLT                           Term Frequency: 0         
Term: ABSTRACT                       Term Frequency: 0         
Term: Beings                         Term Frequency: 0         
Term: Independent                    Term Frequency: 0         
Term: Each                           Term Frequency: 0         
Term: Cambridge                      Term Frequency: 0         
Term: Department                     Term Frequency: 0         
Term: Permission                     Term Frequency: 0         
Term: Akaike                         Term Frequency: 0         
Term: Publications                   Term Frequency: 0         
Term: Inquiry                        Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: Closeness                      Term Frequency: 0         
Term: Bolker                         Term Frequency: 0         
Term: Presence                       Term Frequency: 0         
Term: Tibshirani                     Term Frequency: 0         
Term: Our                            Term Frequency: 0         
Term: Computing                      Term Frequency: 0         
