Term: forum                          Term Frequency: 88        
Term: 0.18                           Term Frequency: 1         
Term: 0.15                           Term Frequency: 1         
Term: 0.16                           Term Frequency: 1         
Term: 0.14                           Term Frequency: 1         
Term: final                          Term Frequency: 1         
Term: back                           Term Frequency: 1         
Term: states                         Term Frequency: 1         
Term: 0.26                           Term Frequency: 1         
Term: 0.25                           Term Frequency: 1         
Term: havealso                       Term Frequency: 1         
Term: partic                         Term Frequency: 1         
Term: 0.40                           Term Frequency: 1         
Term: dropoutsin                     Term Frequency: 1         
Term: schedule                       Term Frequency: 1         
Term: upcoming                       Term Frequency: 1         
Term: 0.56                           Term Frequency: 1         
Term: importantdiscussions           Term Frequency: 1         
Term: construct                      Term Frequency: 1         
Term: learnernetworks                Term Frequency: 1         
Term: 0.67                           Term Frequency: 1         
Term: being                          Term Frequency: 1         
Term: aftervideo                     Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: status                         Term Frequency: 1         
Term: 0.77                           Term Frequency: 1         
Term: comparably                     Term Frequency: 1         
Term: asmall                         Term Frequency: 1         
Term: kdays                          Term Frequency: 1         
Term: known                          Term Frequency: 1         
Term: 0.80                           Term Frequency: 1         
Term: 0.81                           Term Frequency: 1         
Term: toinformation                  Term Frequency: 1         
Term: 0.83                           Term Frequency: 1         
Term: 303                            Term Frequency: 1         
Term: continuous                     Term Frequency: 1         
Term: combina                        Term Frequency: 1         
Term: credit                         Term Frequency: 1         
Term: 323                            Term Frequency: 1         
Term: seekersand                     Term Frequency: 1         
Term: and7radial                     Term Frequency: 1         
Term: 343                            Term Frequency: 1         
Term: 2average                       Term Frequency: 1         
Term: properties                     Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: empirical                      Term Frequency: 1         
Term: 359                            Term Frequency: 1         
Term: mall                           Term Frequency: 1         
Term: highest                        Term Frequency: 1         
Term: determinedbased                Term Frequency: 1         
Term: long                           Term Frequency: 1         
Term: 376                            Term Frequency: 1         
Term: 377                            Term Frequency: 1         
Term: 33                             Term Frequency: 1         
Term: variables                      Term Frequency: 1         
Term: thefluctuation                 Term Frequency: 1         
Term: 37                             Term Frequency: 1         
Term: 383                            Term Frequency: 1         
Term: 2b                             Term Frequency: 1         
Term: progress                       Term Frequency: 1         
Term: worldn                         Term Frequency: 1         
Term: 49                             Term Frequency: 1         
Term: approximate                    Term Frequency: 1         
Term: 393                            Term Frequency: 1         
Term: 399                            Term Frequency: 1         
Term: 56                             Term Frequency: 1         
Term: coefficient                    Term Frequency: 1         
Term: 60                             Term Frequency: 1         
Term: 62                             Term Frequency: 1         
Term: 12,283                         Term Frequency: 1         
Term: subjectrelated                 Term Frequency: 1         
Term: themselves                     Term Frequency: 1         
Term: 70                             Term Frequency: 1         
Term: theloosely                     Term Frequency: 1         
Term: 77                             Term Frequency: 1         
Term: apply                          Term Frequency: 1         
Term: predictability                 Term Frequency: 1         
Term: 81                             Term Frequency: 1         
Term: 83                             Term Frequency: 1         
Term: dents                          Term Frequency: 1         
Term: 88                             Term Frequency: 1         
Term: trend                          Term Frequency: 1         
Term: frominactive                   Term Frequency: 1         
Term: permissionand                  Term Frequency: 1         
Term: relate                         Term Frequency: 1         
Term: val                            Term Frequency: 1         
Term: ofnetwork                      Term Frequency: 1         
Term: across                         Term Frequency: 1         
Term: 525,2015                       Term Frequency: 1         
Term: subjectof                      Term Frequency: 1         
Term: andsubstitution                Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: isinvestigated                 Term Frequency: 1         
Term: ifthe                          Term Frequency: 1         
Term: trajectories                   Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: instead                        Term Frequency: 1         
Term: keywordsvideo                  Term Frequency: 1         
Term: peersfor                       Term Frequency: 1         
Term: optimal                        Term Frequency: 1         
Term: via                            Term Frequency: 1         
Term: understanding                  Term Frequency: 1         
Term: 23rd                           Term Frequency: 1         
Term: larity                         Term Frequency: 1         
Term: inspired                       Term Frequency: 1         
Term: theinformation                 Term Frequency: 1         
Term: canoften                       Term Frequency: 1         
Term: postsor                        Term Frequency: 1         
Term: annotation                     Term Frequency: 1         
Term: stud                           Term Frequency: 1         
Term: discussionforums               Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: useful                         Term Frequency: 1         
Term: subsumed                       Term Frequency: 1         
Term: strand                         Term Frequency: 1         
Term: collectivist                   Term Frequency: 1         
Term: end                            Term Frequency: 1         
Term: tures                          Term Frequency: 1         
Term: special                        Term Frequency: 1         
Term: sidering                       Term Frequency: 1         
Term: shape                          Term Frequency: 1         
Term: mation                         Term Frequency: 1         
Term: forth                          Term Frequency: 1         
Term: 408                            Term Frequency: 1         
Term: findthe                        Term Frequency: 1         
Term: probabili                      Term Frequency: 1         
Term: cent                           Term Frequency: 1         
Term: nodesin                        Term Frequency: 1         
Term: 440                            Term Frequency: 1         
Term: 442                            Term Frequency: 1         
Term: centric                        Term Frequency: 1         
Term: 0.001                          Term Frequency: 1         
Term: 0.002                          Term Frequency: 1         
Term: evo                            Term Frequency: 1         
Term: requirement                    Term Frequency: 1         
Term: showthat                       Term Frequency: 1         
Term: 27.71                          Term Frequency: 1         
Term: establishing                   Term Frequency: 1         
Term: relatedstatistical             Term Frequency: 1         
Term: workson                        Term Frequency: 1         
Term: expertise                      Term Frequency: 1         
Term: remain                         Term Frequency: 1         
Term: 481                            Term Frequency: 1         
Term: argued                         Term Frequency: 1         
Term: oredges                        Term Frequency: 1         
Term: nificant                       Term Frequency: 1         
Term: structured                     Term Frequency: 1         
Term: newcomers                      Term Frequency: 1         
Term: classic                        Term Frequency: 1         
Term: metric                         Term Frequency: 1         
Term: firsttime                      Term Frequency: 1         
Term: dimen                          Term Frequency: 1         
Term: values9                        Term Frequency: 1         
Term: intothe                        Term Frequency: 1         
Term: leveldeclines                  Term Frequency: 1         
Term: next                           Term Frequency: 1         
Term: conclusion                     Term Frequency: 1         
Term: central                        Term Frequency: 1         
Term: 1http                          Term Frequency: 1         
Term: derived                        Term Frequency: 1         
Term: lution                         Term Frequency: 1         
Term: interpretable                  Term Frequency: 1         
Term: play                           Term Frequency: 1         
Term: plau                           Term Frequency: 1         
Term: issues                         Term Frequency: 1         
Term: plan                           Term Frequency: 1         
Term: 5.2.2                          Term Frequency: 1         
Term: portion                        Term Frequency: 1         
Term: categories                     Term Frequency: 1         
Term: great                          Term Frequency: 1         
Term: organizing                     Term Frequency: 1         
Term: fea                            Term Frequency: 1         
Term: distinction                    Term Frequency: 1         
Term: wasapplied                     Term Frequency: 1         
Term: fordiscussion                  Term Frequency: 1         
Term: usedonly                       Term Frequency: 1         
Term: presented                      Term Frequency: 1         
Term: dict                           Term Frequency: 1         
Term: produced                       Term Frequency: 1         
Term: contribute                     Term Frequency: 1         
Term: sincethey                      Term Frequency: 1         
Term: matters                        Term Frequency: 1         
Term: variance                       Term Frequency: 1         
Term: extent                         Term Frequency: 1         
Term: parent                         Term Frequency: 1         
Term: dissimilarity                  Term Frequency: 1         
Term: analyzing                      Term Frequency: 1         
Term: fromthe                        Term Frequency: 1         
Term: ac                             Term Frequency: 1         
Term: networkanalysis                Term Frequency: 1         
Term: extend                         Term Frequency: 1         
Term: fold                           Term Frequency: 1         
Term: interpretation                 Term Frequency: 1         
Term: bi                             Term Frequency: 1         
Term: rence                          Term Frequency: 1         
Term: cluded                         Term Frequency: 1         
Term: subgroupin                     Term Frequency: 1         
Term: notions                        Term Frequency: 1         
Term: co                             Term Frequency: 1         
Term: worldnetwork                   Term Frequency: 1         
Term: encode                         Term Frequency: 1         
Term: di                             Term Frequency: 1         
Term: ticipants0.65                  Term Frequency: 1         
Term: observa                        Term Frequency: 1         
Term: observe                        Term Frequency: 1         
Term: rare                           Term Frequency: 1         
Term: ticipants0.56                  Term Frequency: 1         
Term: ei                             Term Frequency: 1         
Term: en                             Term Frequency: 1         
Term: usedexponential                Term Frequency: 1         
Term: 5.1                            Term Frequency: 1         
Term: 5.2                            Term Frequency: 1         
Term: covers                         Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: trackdiscussion                Term Frequency: 1         
Term: 511                            Term Frequency: 1         
Term: fre                            Term Frequency: 1         
Term: context                        Term Frequency: 1         
Term: easily                         Term Frequency: 1         
Term: 519                            Term Frequency: 1         
Term: contrast                       Term Frequency: 1         
Term: crowd:communication            Term Frequency: 1         
Term: occurrence                     Term Frequency: 1         
Term: literature                     Term Frequency: 1         
Term: discussionthemes               Term Frequency: 1         
Term: situa                          Term Frequency: 1         
Term: places                         Term Frequency: 1         
Term: second                         Term Frequency: 1         
Term: suggests                       Term Frequency: 1         
Term: andclarifications              Term Frequency: 1         
Term: relationbetween                Term Frequency: 1         
Term: usersto                        Term Frequency: 1         
Term: sameauthor                     Term Frequency: 1         
Term: student                        Term Frequency: 1         
Term: perspectives                   Term Frequency: 1         
Term: po                             Term Frequency: 1         
Term: equivalences                   Term Frequency: 1         
Term: ther                           Term Frequency: 1         
Term: extractednumber                Term Frequency: 1         
Term: recent                         Term Frequency: 1         
Term: inevitable                     Term Frequency: 1         
Term: regressionmodels               Term Frequency: 1         
Term: discovered                     Term Frequency: 1         
Term: genrerally                     Term Frequency: 1         
Term: neighbours                     Term Frequency: 1         
Term: closed                         Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: lengthencoding                 Term Frequency: 1         
Term: un                             Term Frequency: 1         
Term: up                             Term Frequency: 1         
Term: us                             Term Frequency: 1         
Term: otherusers                     Term Frequency: 1         
Term: usual                          Term Frequency: 1         
Term: suggesting                     Term Frequency: 1         
Term: explainsthe                    Term Frequency: 1         
Term: tigated                        Term Frequency: 1         
Term: organisational                 Term Frequency: 1         
Term: conclude                       Term Frequency: 1         
Term: dicated                        Term Frequency: 1         
Term: andlearning                    Term Frequency: 1         
Term: andsynonyms                    Term Frequency: 1         
Term: possibleedges4average          Term Frequency: 1         
Term: influencesdiscussion           Term Frequency: 1         
Term: theemergence                   Term Frequency: 1         
Term: get                            Term Frequency: 1         
Term: depth                          Term Frequency: 1         
Term: self                           Term Frequency: 1         
Term: create                         Term Frequency: 1         
Term: addressed                      Term Frequency: 1         
Term: etworks                        Term Frequency: 1         
Term: resourcerelated                Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: asynchronous                   Term Frequency: 1         
Term: thesame                        Term Frequency: 1         
Term: costs                          Term Frequency: 1         
Term: factors                        Term Frequency: 1         
Term: contrasting                    Term Frequency: 1         
Term: connec                         Term Frequency: 1         
Term: analyse                        Term Frequency: 1         
Term: tential                        Term Frequency: 1         
Term: macrostructure                 Term Frequency: 1         
Term: entitled                       Term Frequency: 1         
Term: chapter                        Term Frequency: 1         
Term: sights                         Term Frequency: 1         
Term: arcs                           Term Frequency: 1         
Term: analyseshighlight              Term Frequency: 1         
Term: sets                           Term Frequency: 1         
Term: namely                         Term Frequency: 1         
Term: 6.1                            Term Frequency: 1         
Term: orpositions                    Term Frequency: 1         
Term: 6.2                            Term Frequency: 1         
Term: astrongly                      Term Frequency: 1         
Term: reader                         Term Frequency: 1         
Term: userswho                       Term Frequency: 1         
Term: contributed                    Term Frequency: 1         
Term: neglected                      Term Frequency: 1         
Term: andits                         Term Frequency: 1         
Term: hypothesize                    Term Frequency: 1         
Term: tains                          Term Frequency: 1         
Term: ments                          Term Frequency: 1         
Term: channel                        Term Frequency: 1         
Term: conceptsindependently          Term Frequency: 1         
Term: normaliza                      Term Frequency: 1         
Term: write                          Term Frequency: 1         
Term: andsocial                      Term Frequency: 1         
Term: understand                     Term Frequency: 1         
Term: underlying                     Term Frequency: 1         
Term: strongly                       Term Frequency: 1         
Term: analyze                        Term Frequency: 1         
Term: larger                         Term Frequency: 1         
Term: denser                         Term Frequency: 1         
Term: forumcontributors              Term Frequency: 1         
Term: 654                            Term Frequency: 1         
Term: alsothe                        Term Frequency: 1         
Term: discussioncontent              Term Frequency: 1         
Term: 660                            Term Frequency: 1         
Term: 661                            Term Frequency: 1         
Term: framework                      Term Frequency: 1         
Term: measuring                      Term Frequency: 1         
Term: almost                         Term Frequency: 1         
Term: 678                            Term Frequency: 1         
Term: 687                            Term Frequency: 1         
Term: propertiesof                   Term Frequency: 1         
Term: 698                            Term Frequency: 1         
Term: contentanalysis                Term Frequency: 1         
Term: associa                        Term Frequency: 1         
Term: differentrole                  Term Frequency: 1         
Term: relationalpatterns             Term Frequency: 1         
Term: thatthe                        Term Frequency: 1         
Term: must                           Term Frequency: 1         
Term: styles                         Term Frequency: 1         
Term: sophisticated                  Term Frequency: 1         
Term: found                          Term Frequency: 1         
Term: onlyvery                       Term Frequency: 1         
Term: nally                          Term Frequency: 1         
Term: extensively                    Term Frequency: 1         
Term: overallforum                   Term Frequency: 1         
Term: late                           Term Frequency: 1         
Term: interdependencies              Term Frequency: 1         
Term: whoonly                        Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: cussions                       Term Frequency: 1         
Term: communi                        Term Frequency: 1         
Term: theprevious                    Term Frequency: 1         
Term: ence                           Term Frequency: 1         
Term: yet                            Term Frequency: 1         
Term: engineer                       Term Frequency: 1         
Term: alternating                    Term Frequency: 1         
Term: coursethere                    Term Frequency: 1         
Term: deletion                       Term Frequency: 1         
Term: socialstructure                Term Frequency: 1         
Term: having                         Term Frequency: 1         
Term: asgeneral                      Term Frequency: 1         
Term: contributorsper                Term Frequency: 1         
Term: isderived                      Term Frequency: 1         
Term: linguistic                     Term Frequency: 1         
Term: forumcommunications            Term Frequency: 1         
Term: tire                           Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: forumsas                       Term Frequency: 1         
Term: potential                      Term Frequency: 1         
Term: lecturevideos                  Term Frequency: 1         
Term: thematicaffiliations           Term Frequency: 1         
Term: manually                       Term Frequency: 1         
Term: square                         Term Frequency: 1         
Term: values                         Term Frequency: 1         
Term: reveals                        Term Frequency: 1         
Term: terion                         Term Frequency: 1         
Term: diverse                        Term Frequency: 1         
Term: reflects                       Term Frequency: 1         
Term: organ                          Term Frequency: 1         
Term: siena                          Term Frequency: 1         
Term: drastically                    Term Frequency: 1         
Term: offollowing                    Term Frequency: 1         
Term: promise                        Term Frequency: 1         
Term: reply                          Term Frequency: 1         
Term: foreducators                   Term Frequency: 1         
Term: thestructural                  Term Frequency: 1         
Term: beginning                      Term Frequency: 1         
Term: carrya                         Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: inmooc                         Term Frequency: 1         
Term: regression                     Term Frequency: 1         
Term: thereis                        Term Frequency: 1         
Term: tracking                       Term Frequency: 1         
Term: oration                        Term Frequency: 1         
Term: explores                       Term Frequency: 1         
Term: onepost                        Term Frequency: 1         
Term: eight                          Term Frequency: 1         
Term: linkedto                       Term Frequency: 1         
Term: able                           Term Frequency: 1         
Term: concerned                      Term Frequency: 1         
Term: solution                       Term Frequency: 1         
Term: coded                          Term Frequency: 1         
Term: problems                       Term Frequency: 1         
Term: best                           Term Frequency: 1         
Term: thefigures                     Term Frequency: 1         
Term: transform                      Term Frequency: 1         
Term: ismeanwhile                    Term Frequency: 1         
Term: 6447                           Term Frequency: 1         
Term: structuralroles                Term Frequency: 1         
Term: structuralrole                 Term Frequency: 1         
Term: morereasonable                 Term Frequency: 1         
Term: particulartime                 Term Frequency: 1         
Term: intention                      Term Frequency: 1         
Term: pointed                        Term Frequency: 1         
Term: meth                           Term Frequency: 1         
Term: triggering                     Term Frequency: 1         
Term: showed                         Term Frequency: 1         
Term: nodes5length                   Term Frequency: 1         
Term: coordination                   Term Frequency: 1         
Term: questionson                    Term Frequency: 1         
Term: askedby                        Term Frequency: 1         
Term: 1,702                          Term Frequency: 1         
Term: differentbackgrounds           Term Frequency: 1         
Term: ies                            Term Frequency: 1         
Term: containsall                    Term Frequency: 1         
Term: classical                      Term Frequency: 1         
Term: indiscussion                   Term Frequency: 1         
Term: inboth                         Term Frequency: 1         
Term: hereby                         Term Frequency: 1         
Term: fewer                          Term Frequency: 1         
Term: advice                         Term Frequency: 1         
Term: ina                            Term Frequency: 1         
Term: contra                         Term Frequency: 1         
Term: quantity                       Term Frequency: 1         
Term: ingoing                        Term Frequency: 1         
Term: 8.1                            Term Frequency: 1         
Term: 8.2                            Term Frequency: 1         
Term: resolution                     Term Frequency: 1         
Term: froma                          Term Frequency: 1         
Term: indicators                     Term Frequency: 1         
Term: weeks                          Term Frequency: 1         
Term: close                          Term Frequency: 1         
Term: linked                         Term Frequency: 1         
Term: probabilistic                  Term Frequency: 1         
Term: equivalencebetween             Term Frequency: 1         
Term: popu                           Term Frequency: 1         
Term: particularimportance           Term Frequency: 1         
Term: orclassroom                    Term Frequency: 1         
Term: ning                           Term Frequency: 1         
Term: educational                    Term Frequency: 1         
Term: ity                            Term Frequency: 1         
Term: inadvance                      Term Frequency: 1         
Term: 6.1.3                          Term Frequency: 1         
Term: limitationsof                  Term Frequency: 1         
Term: hyperlinks                     Term Frequency: 1         
Term: partici                        Term Frequency: 1         
Term: 19.29                          Term Frequency: 1         
Term: configurations                 Term Frequency: 1         
Term: property                       Term Frequency: 1         
Term: onnetwork                      Term Frequency: 1         
Term: wherepresent                   Term Frequency: 1         
Term: theprediction                  Term Frequency: 1         
Term: relatedkeyphrases              Term Frequency: 1         
Term: weeklyslices                   Term Frequency: 1         
Term: referredto                     Term Frequency: 1         
Term: cita                           Term Frequency: 1         
Term: andedges                       Term Frequency: 1         
Term: correspond                     Term Frequency: 1         
Term: points                         Term Frequency: 1         
Term: moretechnical                  Term Frequency: 1         
Term: supportedcollaborative         Term Frequency: 1         
Term: repliesor                      Term Frequency: 1         
Term: clock                          Term Frequency: 1         
Term: formulated                     Term Frequency: 1         
Term: hypothesis                     Term Frequency: 1         
Term: machinelearning                Term Frequency: 1         
Term: investigating                  Term Frequency: 1         
Term: modelsfor                      Term Frequency: 1         
Term: forumcommunity                 Term Frequency: 1         
Term: withoutmentioning              Term Frequency: 1         
Term: staticsnapshots                Term Frequency: 1         
Term: referto                        Term Frequency: 1         
Term: practicesin                    Term Frequency: 1         
Term: isalso                         Term Frequency: 1         
Term: tothe                          Term Frequency: 1         
Term: either                         Term Frequency: 1         
Term: centralisedcommunication       Term Frequency: 1         
Term: those                          Term Frequency: 1         
Term: derlying                       Term Frequency: 1         
Term: parameters                     Term Frequency: 1         
Term: rela                           Term Frequency: 1         
Term: showany                        Term Frequency: 1         
Term: bagged                         Term Frequency: 1         
Term: answerthe                      Term Frequency: 1         
Term: rent                           Term Frequency: 1         
Term: clusteringall                  Term Frequency: 1         
Term: discussionthreads              Term Frequency: 1         
Term: slightlydifferent              Term Frequency: 1         
Term: threadsas                      Term Frequency: 1         
Term: niques                         Term Frequency: 1         
Term: rest                           Term Frequency: 1         
Term: investigation                  Term Frequency: 1         
Term: refinedbased                   Term Frequency: 1         
Term: eachday                        Term Frequency: 1         
Term: sustainablecommunity           Term Frequency: 1         
Term: offer                          Term Frequency: 1         
Term: onlinecourses                  Term Frequency: 1         
Term: notactive                      Term Frequency: 1         
Term: complex                        Term Frequency: 1         
Term: intensityof                    Term Frequency: 1         
Term: weightedaverage                Term Frequency: 1         
Term: afterwards                     Term Frequency: 1         
Term: ratherbe                       Term Frequency: 1         
Term: indicate                       Term Frequency: 1         
Term: 939                            Term Frequency: 1         
Term: networkover                    Term Frequency: 1         
Term: contain                        Term Frequency: 1         
Term: words                          Term Frequency: 1         
Term: dayin                          Term Frequency: 1         
Term: corresponds                    Term Frequency: 1         
Term: nance                          Term Frequency: 1         
Term: weeksand                       Term Frequency: 1         
Term: differentiate                  Term Frequency: 1         
Term: userroles                      Term Frequency: 1         
Term: ipants                         Term Frequency: 1         
Term: declinesover                   Term Frequency: 1         
Term: differencebetween              Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: directed                       Term Frequency: 1         
Term: 7th                            Term Frequency: 1         
Term: factorssuch                    Term Frequency: 1         
Term: join                           Term Frequency: 1         
Term: influencing                    Term Frequency: 1         
Term: andsometimes                   Term Frequency: 1         
Term: brought                        Term Frequency: 1         
Term: moocdiscussion                 Term Frequency: 1         
Term: world                          Term Frequency: 1         
Term: slidingwindow                  Term Frequency: 1         
Term: firstweek                      Term Frequency: 1         
Term: participantseach               Term Frequency: 1         
Term: relatedthread                  Term Frequency: 1         
Term: classifiers                    Term Frequency: 1         
Term: decen                          Term Frequency: 1         
Term: 6684                           Term Frequency: 1         
Term: canbe                          Term Frequency: 1         
Term: focused                        Term Frequency: 1         
Term: errors                         Term Frequency: 1         
Term: scores                         Term Frequency: 1         
Term: thepassed                      Term Frequency: 1         
Term: macro                          Term Frequency: 1         
Term: cross                          Term Frequency: 1         
Term: 7,699                          Term Frequency: 1         
Term: equivalenceis                  Term Frequency: 1         
Term: vari                           Term Frequency: 1         
Term: quent                          Term Frequency: 1         
Term: undirected                     Term Frequency: 1         
Term: arethe                         Term Frequency: 1         
Term: confirm                        Term Frequency: 1         
Term: fourth                         Term Frequency: 1         
Term: available                      Term Frequency: 1         
Term: horizontal                     Term Frequency: 1         
Term: dynamic                        Term Frequency: 1         
Term: aspectscombining               Term Frequency: 1         
Term: 1,902                          Term Frequency: 1         
Term: decompose                      Term Frequency: 1         
Term: ones                           Term Frequency: 1         
Term: collab                         Term Frequency: 1         
Term: timeslices                     Term Frequency: 1         
Term: lead                           Term Frequency: 1         
Term: adequate                       Term Frequency: 1         
Term: poststhat                      Term Frequency: 1         
Term: aver                           Term Frequency: 1         
Term: should                         Term Frequency: 1         
Term: quantifystudent’s              Term Frequency: 1         
Term: sive                           Term Frequency: 1         
Term: timestamps                     Term Frequency: 1         
Term: limited                        Term Frequency: 1         
Term: thiswork                       Term Frequency: 1         
Term: distributedfor                 Term Frequency: 1         
Term: sequencesand                   Term Frequency: 1         
Term: wefocus                        Term Frequency: 1         
Term: prepare                        Term Frequency: 1         
Term: theclassification              Term Frequency: 1         
Term: exchangeamong                  Term Frequency: 1         
Term: thecore                        Term Frequency: 1         
Term: solid                          Term Frequency: 1         
Term: extracta                       Term Frequency: 1         
Term: left                           Term Frequency: 1         
Term: notable                        Term Frequency: 1         
Term: hasbeen                        Term Frequency: 1         
Term: fifth                          Term Frequency: 1         
Term: testdata                       Term Frequency: 1         
Term: laborative                     Term Frequency: 1         
Term: 8th                            Term Frequency: 1         
Term: areconcerned                   Term Frequency: 1         
Term: well                           Term Frequency: 1         
Term: jects                          Term Frequency: 1         
Term: 78th                           Term Frequency: 1         
Term: peripheralroles                Term Frequency: 1         
Term: communicationstructures        Term Frequency: 1         
Term: logisticsto                    Term Frequency: 1         
Term: respectively                   Term Frequency: 1         
Term: recursive                      Term Frequency: 1         
Term: conjunction                    Term Frequency: 1         
Term: qual                           Term Frequency: 1         
Term: constrains                     Term Frequency: 1         
Term: communities                    Term Frequency: 1         
Term: employed                       Term Frequency: 1         
Term: cliques                        Term Frequency: 1         
Term: comparison                     Term Frequency: 1         
Term: less                           Term Frequency: 1         
Term: linearly                       Term Frequency: 1         
Term: length4                        Term Frequency: 1         
Term: eral                           Term Frequency: 1         
Term: naturallanguage                Term Frequency: 1         
Term: laboration                     Term Frequency: 1         
Term: technique                      Term Frequency: 1         
Term: popula                         Term Frequency: 1         
Term: opening                        Term Frequency: 1         
Term: weretrained                    Term Frequency: 1         
Term: lec                            Term Frequency: 1         
Term: reflectingthat                 Term Frequency: 1         
Term: vulnerability                  Term Frequency: 1         
Term: responsiveness                 Term Frequency: 1         
Term: discussiontopics               Term Frequency: 1         
Term: situation                      Term Frequency: 1         
Term: quiz                           Term Frequency: 1         
Term: dataset                        Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: interrelation                  Term Frequency: 1         
Term: thoughsparsity                 Term Frequency: 1         
Term: tonodes                        Term Frequency: 1         
Term: interactive                    Term Frequency: 1         
Term: dependencies                   Term Frequency: 1         
Term: framings                       Term Frequency: 1         
Term: 1998                           Term Frequency: 1         
Term: 1994                           Term Frequency: 1         
Term: comers                         Term Frequency: 1         
Term: cently                         Term Frequency: 1         
Term: outcomeof                      Term Frequency: 1         
Term: intro                          Term Frequency: 1         
Term: ontologies                     Term Frequency: 1         
Term: ofgeneral                      Term Frequency: 1         
Term: cohesion                       Term Frequency: 1         
Term: threadscharts                  Term Frequency: 1         
Term: resolvedifficulties            Term Frequency: 1         
Term: bothcourses                    Term Frequency: 1         
Term: someone                        Term Frequency: 1         
Term: interaction                    Term Frequency: 1         
Term: evolves                        Term Frequency: 1         
Term: neutralmotivational            Term Frequency: 1         
Term: past                           Term Frequency: 1         
Term: isation                        Term Frequency: 1         
Term: assigned                       Term Frequency: 1         
Term: partitionedinto                Term Frequency: 1         
Term: operational                    Term Frequency: 1         
Term: 9th                            Term Frequency: 1         
Term: effectof                       Term Frequency: 1         
Term: thatcourse                     Term Frequency: 1         
Term: added                          Term Frequency: 1         
Term: extractthe                     Term Frequency: 1         
Term: signal                         Term Frequency: 1         
Term: manyvery                       Term Frequency: 1         
Term: givingor                       Term Frequency: 1         
Term: sults                          Term Frequency: 1         
Term: particularfocus                Term Frequency: 1         
Term: individualist                  Term Frequency: 1         
Term: communicationmainly            Term Frequency: 1         
Term: oflearning                     Term Frequency: 1         
Term: differentperiods               Term Frequency: 1         
Term: structuresemerging             Term Frequency: 1         
Term: classification                 Term Frequency: 1         
Term: assignmentdates                Term Frequency: 1         
Term: semantic                       Term Frequency: 1         
Term: mention                        Term Frequency: 1         
Term: man                            Term Frequency: 1         
Term: section5                       Term Frequency: 1         
Term: feed                           Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: background                     Term Frequency: 1         
Term: perday                         Term Frequency: 1         
Term: weconsider                     Term Frequency: 1         
Term: 2,16                           Term Frequency: 1         
Term: exactly                        Term Frequency: 1         
Term: depend                         Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: character                      Term Frequency: 1         
Term: above                          Term Frequency: 1         
Term: havelower                      Term Frequency: 1         
Term: received                       Term Frequency: 1         
Term: components                     Term Frequency: 1         
Term: timeand                        Term Frequency: 1         
Term: supports                       Term Frequency: 1         
Term: inte                           Term Frequency: 1         
Term: definitely                     Term Frequency: 1         
Term: collaboration                  Term Frequency: 1         
Term: experts                        Term Frequency: 1         
Term: tochaos                        Term Frequency: 1         
Term: diameter                       Term Frequency: 1         
Term: funded                         Term Frequency: 1         
Term: reciprocated                   Term Frequency: 1         
Term: threadsrelated                 Term Frequency: 1         
Term: paths                          Term Frequency: 1         
Term: differentroles                 Term Frequency: 1         
Term: advantageof                    Term Frequency: 1         
Term: thoseclusters                  Term Frequency: 1         
Term: othercourse                    Term Frequency: 1         
Term: obstacle                       Term Frequency: 1         
Term: linking                        Term Frequency: 1         
Term: among                          Term Frequency: 1         
Term: collapsingall                  Term Frequency: 1         
Term: writing                        Term Frequency: 1         
Term: include                        Term Frequency: 1         
Term: forthe                         Term Frequency: 1         
Term: imply                          Term Frequency: 1         
Term: werefer                        Term Frequency: 1         
Term: specificallyfor                Term Frequency: 1         
Term: relateddiscussions             Term Frequency: 1         
Term: identifycognitive              Term Frequency: 1         
Term: existent                       Term Frequency: 1         
Term: aswell                         Term Frequency: 1         
Term: pointto                        Term Frequency: 1         
Term: because                        Term Frequency: 1         
Term: detail                         Term Frequency: 1         
Term: checklearners                  Term Frequency: 1         
Term: arecapable                     Term Frequency: 1         
Term: learningcommunity              Term Frequency: 1         
Term: ornon                          Term Frequency: 1         
Term: estimating                     Term Frequency: 1         
Term: highlighted                    Term Frequency: 1         
Term: tostudy                        Term Frequency: 1         
Term: predictions                    Term Frequency: 1         
Term: incorporates                   Term Frequency: 1         
Term: whilethere                     Term Frequency: 1         
Term: wrote                          Term Frequency: 1         
Term: wereremoved                    Term Frequency: 1         
Term: nal                            Term Frequency: 1         
Term: betweenthe                     Term Frequency: 1         
