Term: discourse                      Term Frequency: 175       
Term: training                       Term Frequency: 1         
Term: duration                       Term Frequency: 1         
Term: ignore                         Term Frequency: 1         
Term: company                        Term Frequency: 1         
Term: concerns                       Term Frequency: 1         
Term: assistive                      Term Frequency: 1         
Term: revealed                       Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: 3.2                            Term Frequency: 1         
Term: familiarity                    Term Frequency: 1         
Term: operates                       Term Frequency: 1         
Term: peaked                         Term Frequency: 1         
Term: entities                       Term Frequency: 1         
Term: comparable                     Term Frequency: 1         
Term: adjustments                    Term Frequency: 1         
Term: 315                            Term Frequency: 1         
Term: credit                         Term Frequency: 1         
Term: originate                      Term Frequency: 1         
Term: 325                            Term Frequency: 1         
Term: 337                            Term Frequency: 1         
Term: included                       Term Frequency: 1         
Term: rapidly                        Term Frequency: 1         
Term: 346                            Term Frequency: 1         
Term: inform                         Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: observed                       Term Frequency: 1         
Term: 359                            Term Frequency: 1         
Term: participated                   Term Frequency: 1         
Term: experiments                    Term Frequency: 1         
Term: 1st                            Term Frequency: 1         
Term: examined                       Term Frequency: 1         
Term: relationship                   Term Frequency: 1         
Term: variables                      Term Frequency: 1         
Term: 38                             Term Frequency: 1         
Term: many                           Term Frequency: 1         
Term: stay                           Term Frequency: 1         
Term: increasing                     Term Frequency: 1         
Term: 44                             Term Frequency: 1         
Term: agent                          Term Frequency: 1         
Term: wholly                         Term Frequency: 1         
Term: approximate                    Term Frequency: 1         
Term: 53                             Term Frequency: 1         
Term: 55                             Term Frequency: 1         
Term: seeds                          Term Frequency: 1         
Term: look                           Term Frequency: 1         
Term: discrete                       Term Frequency: 1         
Term: 60                             Term Frequency: 1         
Term: 63                             Term Frequency: 1         
Term: 64                             Term Frequency: 1         
Term: 75                             Term Frequency: 1         
Term: mask                           Term Frequency: 1         
Term: 79                             Term Frequency: 1         
Term: improvability                  Term Frequency: 1         
Term: 82                             Term Frequency: 1         
Term: stem                           Term Frequency: 1         
Term: 90                             Term Frequency: 1         
Term: 91                             Term Frequency: 1         
Term: 98                             Term Frequency: 1         
Term: word                           Term Frequency: 1         
Term: verify                         Term Frequency: 1         
Term: gathering                      Term Frequency: 1         
Term: opinion                        Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: year                           Term Frequency: 1         
Term: themes                         Term Frequency: 1         
Term: shortest                       Term Frequency: 1         
Term: instruct                       Term Frequency: 1         
Term: collaboratively                Term Frequency: 1         
Term: immediately                    Term Frequency: 1         
Term: density                        Term Frequency: 1         
Term: newer                          Term Frequency: 1         
Term: notes                          Term Frequency: 1         
Term: evidence                       Term Frequency: 1         
Term: assessment                     Term Frequency: 1         
Term: generated                      Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: roles                          Term Frequency: 1         
Term: end                            Term Frequency: 1         
Term: horizon                        Term Frequency: 1         
Term: 4.1                            Term Frequency: 1         
Term: 4.2                            Term Frequency: 1         
Term: achieved                       Term Frequency: 1         
Term: happens                        Term Frequency: 1         
Term: sociological                   Term Frequency: 1         
Term: occurs                         Term Frequency: 1         
Term: connectedness                  Term Frequency: 1         
Term: programmes                     Term Frequency: 1         
Term: asked                          Term Frequency: 1         
Term: perception                     Term Frequency: 1         
Term: clickstream                    Term Frequency: 1         
Term: centric                        Term Frequency: 1         
Term: maintain                       Term Frequency: 1         
Term: companies                      Term Frequency: 1         
Term: eye                            Term Frequency: 1         
Term: centred                        Term Frequency: 1         
Term: advancements                   Term Frequency: 1         
Term: structured                     Term Frequency: 1         
Term: discovering                    Term Frequency: 1         
Term: alternatively                  Term Frequency: 1         
Term: fluctuating                    Term Frequency: 1         
Term: structures                     Term Frequency: 1         
Term: features                       Term Frequency: 1         
Term: next                           Term Frequency: 1         
Term: classes                        Term Frequency: 1         
Term: grained                        Term Frequency: 1         
Term: logistic                       Term Frequency: 1         
Term: unfeasible                     Term Frequency: 1         
Term: far                            Term Frequency: 1         
Term: republish                      Term Frequency: 1         
Term: sengchee.tan                   Term Frequency: 1         
Term: gain                           Term Frequency: 1         
Term: categories                     Term Frequency: 1         
Term: presented                      Term Frequency: 1         
Term: personally                     Term Frequency: 1         
Term: contribute                     Term Frequency: 1         
Term: 2.4.2                          Term Frequency: 1         
Term: 2.4.3                          Term Frequency: 1         
Term: 2.4.1                          Term Frequency: 1         
Term: extent                         Term Frequency: 1         
Term: losing                         Term Frequency: 1         
Term: interpretation                 Term Frequency: 1         
Term: timeframe                      Term Frequency: 1         
Term: predictive                     Term Frequency: 1         
Term: 1373                           Term Frequency: 1         
Term: 1370                           Term Frequency: 1         
Term: gaps                           Term Frequency: 1         
Term: food                           Term Frequency: 1         
Term: 1380                           Term Frequency: 1         
Term: observe                        Term Frequency: 1         
Term: hierarchical                   Term Frequency: 1         
Term: eg                             Term Frequency: 1         
Term: perhaps                        Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: he                             Term Frequency: 1         
Term: else                           Term Frequency: 1         
Term: interacted                     Term Frequency: 1         
Term: contrast                       Term Frequency: 1         
Term: become                         Term Frequency: 1         
Term: kc                             Term Frequency: 1         
Term: picked                         Term Frequency: 1         
Term: sufficient                     Term Frequency: 1         
Term: limit                          Term Frequency: 1         
Term: 563                            Term Frequency: 1         
Term: 565                            Term Frequency: 1         
Term: essay                          Term Frequency: 1         
Term: pf                             Term Frequency: 1         
Term: increasingly                   Term Frequency: 1         
Term: registered                     Term Frequency: 1         
Term: determination                  Term Frequency: 1         
Term: inevitable                     Term Frequency: 1         
Term: bridge                         Term Frequency: 1         
Term: apart                          Term Frequency: 1         
Term: necessary                      Term Frequency: 1         
Term: closer                         Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: reasonable                     Term Frequency: 1         
Term: capturing                      Term Frequency: 1         
Term: know                           Term Frequency: 1         
Term: changes                        Term Frequency: 1         
Term: gap                            Term Frequency: 1         
Term: reading                        Term Frequency: 1         
Term: deeply                         Term Frequency: 1         
Term: inconclusive                   Term Frequency: 1         
Term: conclude                       Term Frequency: 1         
Term: readings                       Term Frequency: 1         
Term: precious                       Term Frequency: 1         
Term: 1400                           Term Frequency: 1         
Term: additionally                   Term Frequency: 1         
Term: curious                        Term Frequency: 1         
Term: techniques                     Term Frequency: 1         
Term: here                           Term Frequency: 1         
Term: challenges                     Term Frequency: 1         
Term: alwynlee                       Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: challenged                     Term Frequency: 1         
Term: asynchronous                   Term Frequency: 1         
Term: observations                   Term Frequency: 1         
Term: edges                          Term Frequency: 1         
Term: follow                         Term Frequency: 1         
Term: intend                         Term Frequency: 1         
Term: recognized                     Term Frequency: 1         
Term: undergoing                     Term Frequency: 1         
Term: thus                           Term Frequency: 1         
Term: possess                        Term Frequency: 1         
Term: namely                         Term Frequency: 1         
Term: adopted                        Term Frequency: 1         
Term: contributed                    Term Frequency: 1         
Term: area                           Term Frequency: 1         
Term: clearer                        Term Frequency: 1         
Term: lack                           Term Frequency: 1         
Term: evolution                      Term Frequency: 1         
Term: named                          Term Frequency: 1         
Term: delivered                      Term Frequency: 1         
Term: neglecting                     Term Frequency: 1         
Term: opportunities                  Term Frequency: 1         
Term: framework                      Term Frequency: 1         
Term: entity                         Term Frequency: 1         
Term: sustained                      Term Frequency: 1         
Term: 681                            Term Frequency: 1         
Term: 686                            Term Frequency: 1         
Term: cramming                       Term Frequency: 1         
Term: lesser                         Term Frequency: 1         
Term: thinks                         Term Frequency: 1         
Term: want                           Term Frequency: 1         
Term: input                          Term Frequency: 1         
Term: must                           Term Frequency: 1         
Term: characterizing                 Term Frequency: 1         
Term: combining                      Term Frequency: 1         
Term: till                           Term Frequency: 1         
Term: had                            Term Frequency: 1         
Term: differing                      Term Frequency: 1         
Term: school                         Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: effort                         Term Frequency: 1         
Term: ends                           Term Frequency: 1         
Term: having                         Term Frequency: 1         
Term: chain                          Term Frequency: 1         
Term: prepositions                   Term Frequency: 1         
Term: him                            Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: manually                       Term Frequency: 1         
Term: instinctively                  Term Frequency: 1         
Term: stimulate                      Term Frequency: 1         
Term: alternative                    Term Frequency: 1         
Term: mean                           Term Frequency: 1         
Term: you                            Term Frequency: 1         
Term: sustainable                    Term Frequency: 1         
Term: predictably                    Term Frequency: 1         
Term: answer                         Term Frequency: 1         
Term: ignored                        Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: inference                      Term Frequency: 1         
Term: products                       Term Frequency: 1         
Term: generalize                     Term Frequency: 1         
Term: periods                        Term Frequency: 1         
Term: 5th                            Term Frequency: 1         
Term: designating                    Term Frequency: 1         
Term: relaxing                       Term Frequency: 1         
Term: belong                         Term Frequency: 1         
Term: cursorily                      Term Frequency: 1         
Term: misinterpretations             Term Frequency: 1         
Term: concerning                     Term Frequency: 1         
Term: conventional                   Term Frequency: 1         
Term: undervalued                    Term Frequency: 1         
Term: generalizable                  Term Frequency: 1         
Term: understandably                 Term Frequency: 1         
Term: quoted                         Term Frequency: 1         
Term: reflect                        Term Frequency: 1         
Term: something                      Term Frequency: 1         
Term: pointed                        Term Frequency: 1         
Term: nevertheless                   Term Frequency: 1         
Term: fundamental                    Term Frequency: 1         
Term: intersubjective                Term Frequency: 1         
Term: invite                         Term Frequency: 1         
Term: bulletin                       Term Frequency: 1         
Term: spike                          Term Frequency: 1         
Term: enable                         Term Frequency: 1         
Term: arise                          Term Frequency: 1         
Term: evolvement                     Term Frequency: 1         
Term: tracked                        Term Frequency: 1         
Term: according                      Term Frequency: 1         
Term: value                          Term Frequency: 1         
Term: quantity                       Term Frequency: 1         
Term: verified                       Term Frequency: 1         
Term: objects                        Term Frequency: 1         
Term: unlikely                       Term Frequency: 1         
Term: post                           Term Frequency: 1         
Term: respect                        Term Frequency: 1         
Term: article                        Term Frequency: 1         
Term: production                     Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: handle                         Term Frequency: 1         
Term: assertion                      Term Frequency: 1         
Term: furthering                     Term Frequency: 1         
Term: learner’s                      Term Frequency: 1         
Term: maintained                     Term Frequency: 1         
Term: facilitate                     Term Frequency: 1         
Term: minute                         Term Frequency: 1         
Term: application                    Term Frequency: 1         
Term: reason                         Term Frequency: 1         
Term: investigating                  Term Frequency: 1         
Term: frequently                     Term Frequency: 1         
Term: takes                          Term Frequency: 1         
Term: broken                         Term Frequency: 1         
Term: propositional                  Term Frequency: 1         
Term: similarities                   Term Frequency: 1         
Term: helpful                        Term Frequency: 1         
Term: quotations                     Term Frequency: 1         
Term: parties                        Term Frequency: 1         
Term: critique                       Term Frequency: 1         
Term: situated                       Term Frequency: 1         
Term: learned                        Term Frequency: 1         
Term: clarification                  Term Frequency: 1         
Term: guidance                       Term Frequency: 1         
Term: learner                        Term Frequency: 1         
Term: largely                        Term Frequency: 1         
Term: influence                      Term Frequency: 1         
Term: communally                     Term Frequency: 1         
Term: inbuilt                        Term Frequency: 1         
Term: 3.2.3                          Term Frequency: 1         
Term: visually                       Term Frequency: 1         
Term: 3.2.1                          Term Frequency: 1         
Term: 3.2.2                          Term Frequency: 1         
Term: rest                           Term Frequency: 1         
Term: investigation                  Term Frequency: 1         
Term: 903                            Term Frequency: 1         
Term: 921                            Term Frequency: 1         
Term: offered                        Term Frequency: 1         
Term: incorrect                      Term Frequency: 1         
Term: developed                      Term Frequency: 1         
Term: differentiate                  Term Frequency: 1         
Term: captured                       Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: fulfills                       Term Frequency: 1         
Term: expert                         Term Frequency: 1         
Term: majority                       Term Frequency: 1         
Term: influencing                    Term Frequency: 1         
Term: narrowed                       Term Frequency: 1         
Term: works                          Term Frequency: 1         
Term: pursuit                        Term Frequency: 1         
Term: thinking                       Term Frequency: 1         
Term: auto                           Term Frequency: 1         
Term: sift                           Term Frequency: 1         
Term: expressed                      Term Frequency: 1         
Term: belongs                        Term Frequency: 1         
Term: focused                        Term Frequency: 1         
Term: consumers                      Term Frequency: 1         
Term: macro                          Term Frequency: 1         
Term: plays                          Term Frequency: 1         
Term: control                        Term Frequency: 1         
Term: inadequate                     Term Frequency: 1         
Term: betweeness                     Term Frequency: 1         
Term: access                         Term Frequency: 1         
Term: referring                      Term Frequency: 1         
Term: situations                     Term Frequency: 1         
Term: available                      Term Frequency: 1         
Term: once                           Term Frequency: 1         
Term: assists                        Term Frequency: 1         
Term: 1841                           Term Frequency: 1         
Term: initiating                     Term Frequency: 1         
Term: reach                          Term Frequency: 1         
Term: backed                         Term Frequency: 1         
Term: dispute                        Term Frequency: 1         
Term: accepted                       Term Frequency: 1         
Term: regards                        Term Frequency: 1         
Term: summarization                  Term Frequency: 1         
Term: acknowledged                   Term Frequency: 1         
Term: mediated                       Term Frequency: 1         
Term: studied                        Term Frequency: 1         
Term: succinctly                     Term Frequency: 1         
Term: size                           Term Frequency: 1         
Term: thank                          Term Frequency: 1         
Term: others                         Term Frequency: 1         
Term: misrepresented                 Term Frequency: 1         
Term: expanded                       Term Frequency: 1         
Term: ensuring                       Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: realized                       Term Frequency: 1         
Term: automate                       Term Frequency: 1         
Term: well                           Term Frequency: 1         
Term: inter                          Term Frequency: 1         
Term: schools                        Term Frequency: 1         
Term: conjunction                    Term Frequency: 1         
Term: function                       Term Frequency: 1         
Term: comparison                     Term Frequency: 1         
Term: institutions                   Term Frequency: 1         
Term: possibility                    Term Frequency: 1         
Term: deployments                    Term Frequency: 1         
Term: lengths                        Term Frequency: 1         
Term: spoken                         Term Frequency: 1         
Term: breakthroughs                  Term Frequency: 1         
Term: consolidate                    Term Frequency: 1         
Term: source                         Term Frequency: 1         
Term: acquires                       Term Frequency: 1         
Term: bias                           Term Frequency: 1         
Term: involves                       Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: motivation                     Term Frequency: 1         
Term: enhance                        Term Frequency: 1         
Term: 1969                           Term Frequency: 1         
Term: 1970                           Term Frequency: 1         
Term: 1978                           Term Frequency: 1         
Term: unnoticed                      Term Frequency: 1         
Term: 1985                           Term Frequency: 1         
Term: 1984                           Term Frequency: 1         
Term: consultation                   Term Frequency: 1         
Term: primary                        Term Frequency: 1         
Term: 1995                           Term Frequency: 1         
Term: 1994                           Term Frequency: 1         
Term: rudimentary                    Term Frequency: 1         
Term: discourses                     Term Frequency: 1         
Term: distinguishing                 Term Frequency: 1         
Term: denote                         Term Frequency: 1         
Term: combination                    Term Frequency: 1         
Term: sparks                         Term Frequency: 1         
Term: perceives                      Term Frequency: 1         
Term: pause                          Term Frequency: 1         
Term: ease                           Term Frequency: 1         
Term: principal                      Term Frequency: 1         
Term: ambiguous                      Term Frequency: 1         
Term: path                           Term Frequency: 1         
Term: whichever                      Term Frequency: 1         
Term: domain                         Term Frequency: 1         
Term: 3027385.3027386                Term Frequency: 1         
Term: mind                           Term Frequency: 1         
Term: agreements                     Term Frequency: 1         
Term: varied                         Term Frequency: 1         
Term: intriguing                     Term Frequency: 1         
Term: rather                         Term Frequency: 1         
Term: importance                     Term Frequency: 1         
Term: optimized                      Term Frequency: 1         
Term: corrective                     Term Frequency: 1         
Term: considerations                 Term Frequency: 1         
Term: articles                       Term Frequency: 1         
Term: served                         Term Frequency: 1         
Term: feel                           Term Frequency: 1         
Term: technologically                Term Frequency: 1         
Term: interactivity                  Term Frequency: 1         
Term: becomes                        Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: ubiquitous                     Term Frequency: 1         
Term: justification                  Term Frequency: 1         
Term: structure                      Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: sizes                          Term Frequency: 1         
Term: unit’s                         Term Frequency: 1         
Term: substantial                    Term Frequency: 1         
Term: consistently                   Term Frequency: 1         
Term: components                     Term Frequency: 1         
Term: believe                        Term Frequency: 1         
Term: middle                         Term Frequency: 1         
Term: texts                          Term Frequency: 1         
Term: collaboration                  Term Frequency: 1         
Term: associated                     Term Frequency: 1         
Term: displaying                     Term Frequency: 1         
Term: solutions                      Term Frequency: 1         
Term: sections                       Term Frequency: 1         
Term: clusters                       Term Frequency: 1         
Term: navigating                     Term Frequency: 1         
Term: actionable                     Term Frequency: 1         
Term: transcending                   Term Frequency: 1         
Term: defended                       Term Frequency: 1         
Term: appearances                    Term Frequency: 1         
Term: alongside                      Term Frequency: 1         
Term: revisit                        Term Frequency: 1         
Term: prepared                       Term Frequency: 1         
Term: temporally                     Term Frequency: 1         
Term: expectedly                     Term Frequency: 1         
Term: catered                        Term Frequency: 1         
Term: deployed                       Term Frequency: 1         
Term: leading                        Term Frequency: 1         
Term: moving                         Term Frequency: 1         
Term: overload                       Term Frequency: 1         
Term: selection                      Term Frequency: 1         
Term: detail                         Term Frequency: 1         
Term: behavior                       Term Frequency: 1         
Term: debates                        Term Frequency: 1         
Term: modeled                        Term Frequency: 1         
Term: originally                     Term Frequency: 1         
Term: gather                         Term Frequency: 1         
Term: significance                   Term Frequency: 1         
Term: tackled                        Term Frequency: 1         
Term: acm.org                        Term Frequency: 1         
Term: indicated                      Term Frequency: 1         
Term: net                            Term Frequency: 1         
Term: settings                       Term Frequency: 1         
Term: positions                      Term Frequency: 1         
Term: outlandish                     Term Frequency: 1         
Term: repetitive                     Term Frequency: 1         
Term: entails                        Term Frequency: 1         
Term: complexity                     Term Frequency: 1         
Term: automatically                  Term Frequency: 1         
Term: literal                        Term Frequency: 1         
Term: permitted                      Term Frequency: 1         
Term: supplemental                   Term Frequency: 1         
Term: understood                     Term Frequency: 1         
Term: retrospectively                Term Frequency: 1         
Term: color                          Term Frequency: 1         
Term: hidden                         Term Frequency: 1         
Term: now                            Term Frequency: 1         
Term: statement                      Term Frequency: 1         
Term: contextual                     Term Frequency: 1         
Term: give                           Term Frequency: 1         
Term: explicitly                     Term Frequency: 1         
Term: levels                         Term Frequency: 1         
Term: otherwise                      Term Frequency: 1         
Term: visible                        Term Frequency: 1         
Term: effects                        Term Frequency: 1         
Term: transpired                     Term Frequency: 1         
Term: relaxed                        Term Frequency: 1         
Term: parallel                       Term Frequency: 1         
Term: dialogue                       Term Frequency: 1         
Term: uses                           Term Frequency: 1         
Term: user                           Term Frequency: 1         
Term: unfold                         Term Frequency: 1         
Term: oneself                        Term Frequency: 1         
Term: investigates                   Term Frequency: 1         
Term: investigated                   Term Frequency: 1         
Term: empowering                     Term Frequency: 1         
Term: garnered                       Term Frequency: 1         
Term: 1930s                          Term Frequency: 1         
Term: innovation                     Term Frequency: 1         
Term: utmost                         Term Frequency: 1         
Term: image                          Term Frequency: 1         
Term: origin                         Term Frequency: 1         
Term: management                     Term Frequency: 1         
Term: presents                       Term Frequency: 1         
Term: very                           Term Frequency: 1         
Term: peaks                          Term Frequency: 1         
Term: traditional                    Term Frequency: 1         
Term: acted                          Term Frequency: 1         
Term: implementations                Term Frequency: 1         
Term: claim                          Term Frequency: 1         
Term: code                           Term Frequency: 1         
Term: productivity                   Term Frequency: 1         
Term: unstructured                   Term Frequency: 1         
Term: backend                        Term Frequency: 1         
Term: brief                          Term Frequency: 1         
Term: consolidated                   Term Frequency: 1         
Term: archived                       Term Frequency: 1         
Term: connected                      Term Frequency: 1         
Term: epistemic                      Term Frequency: 1         
Term: aids                           Term Frequency: 1         
Term: obscure                        Term Frequency: 1         
Term: solve                          Term Frequency: 1         
Term: wide                           Term Frequency: 1         
Term: anonymized                     Term Frequency: 1         
Term: propagated                     Term Frequency: 1         
Term: problem                        Term Frequency: 1         
Term: synonyms                       Term Frequency: 1         
Term: come                           Term Frequency: 1         
Term: examples                       Term Frequency: 1         
Term: capacity                       Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: like                           Term Frequency: 1         
Term: efforts                        Term Frequency: 1         
Term: rectangle                      Term Frequency: 1         
Term: line                           Term Frequency: 1         
Term: explanation                    Term Frequency: 1         
Term: framed                         Term Frequency: 1         
Term: organizational                 Term Frequency: 1         
Term: achieve                        Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: leveraged                      Term Frequency: 1         
Term: queries                        Term Frequency: 1         
Term: belonging                      Term Frequency: 1         
Term: pay                            Term Frequency: 1         
Term: list                           Term Frequency: 1         
Term: claims                         Term Frequency: 1         
Term: indication                     Term Frequency: 1         
Term: kinds                          Term Frequency: 1         
Term: functionality                  Term Frequency: 1         
Term: prevalence                     Term Frequency: 1         
Term: engages                        Term Frequency: 1         
Term: requiring                      Term Frequency: 1         
Term: members                        Term Frequency: 1         
Term: verification                   Term Frequency: 1         
Term: pedagogical                    Term Frequency: 1         
Term: unclear                        Term Frequency: 1         
Term: pedagogies                     Term Frequency: 1         
Term: explanations                   Term Frequency: 1         
Term: followed                       Term Frequency: 1         
Term: despite                        Term Frequency: 1         
Term: portions                       Term Frequency: 1         
Term: recognize                      Term Frequency: 1         
Term: 4.2.1                          Term Frequency: 1         
Term: scrutiny                       Term Frequency: 1         
Term: 4.2.2                          Term Frequency: 1         
Term: shaping                        Term Frequency: 1         
Term: continue                       Term Frequency: 1         
Term: inherent                       Term Frequency: 1         
Term: metaknowledge                  Term Frequency: 1         
Term: institutional                  Term Frequency: 1         
Term: detects                        Term Frequency: 1         
Term: generic                        Term Frequency: 1         
Term: typical                        Term Frequency: 1         
Term: striving                       Term Frequency: 1         
Term: extracting                     Term Frequency: 1         
Term: put                            Term Frequency: 1         
Term: fluctuations                   Term Frequency: 1         
Term: answering                      Term Frequency: 1         
Term: consider                       Term Frequency: 1         
Term: encapsulates                   Term Frequency: 1         
Term: credentials                    Term Frequency: 1         
Term: clear                          Term Frequency: 1         
Term: sometime                       Term Frequency: 1         
Term: soft                           Term Frequency: 1         
Term: databases                      Term Frequency: 1         
Term: scaffoldings                   Term Frequency: 1         
Term: comes                          Term Frequency: 1         
Term: capability                     Term Frequency: 1         
Term: series                         Term Frequency: 1         
Term: adverbs                        Term Frequency: 1         
Term: designated                     Term Frequency: 1         
Term: talk                           Term Frequency: 1         
Term: 2008                           Term Frequency: 1         
Term: 2006                           Term Frequency: 1         
Term: 2003                           Term Frequency: 1         
Term: reception                      Term Frequency: 1         
Term: just                           Term Frequency: 1         
Term: spans                          Term Frequency: 1         
Term: material                       Term Frequency: 1         
Term: owned                          Term Frequency: 1         
Term: explain                        Term Frequency: 1         
Term: answers                        Term Frequency: 1         
Term: validation                     Term Frequency: 1         
Term: agents                         Term Frequency: 1         
Term: corrected                      Term Frequency: 1         
Term: return                         Term Frequency: 1         
Term: fine                           Term Frequency: 1         
Term: find                           Term Frequency: 1         
Term: scientists                     Term Frequency: 1         
Term: uninteresting                  Term Frequency: 1         
Term: complicate                     Term Frequency: 1         
Term: writer                         Term Frequency: 1         
Term: coming                         Term Frequency: 1         
Term: contribution                   Term Frequency: 1         
Term: ongoing                        Term Frequency: 1         
Term: programs                       Term Frequency: 1         
Term: perspective                    Term Frequency: 1         
Term: denotes                        Term Frequency: 1         
Term: imbrications                   Term Frequency: 1         
Term: inside                         Term Frequency: 1         
Term: reasons                        Term Frequency: 1         
Term: assistance                     Term Frequency: 1         
Term: scrutinizing                   Term Frequency: 1         
Term: event                          Term Frequency: 1         
Term: agenda                         Term Frequency: 1         
Term: span                           Term Frequency: 1         
Term: assessing                      Term Frequency: 1         
Term: signaling                      Term Frequency: 1         
Term: normalized                     Term Frequency: 1         
Term: aggregate                      Term Frequency: 1         
Term: validated                      Term Frequency: 1         
Term: array                          Term Frequency: 1         
Term: track                          Term Frequency: 1         
Term: argumentation                  Term Frequency: 1         
Term: constructed                    Term Frequency: 1         
Term: performance                    Term Frequency: 1         
Term: currently                      Term Frequency: 1         
Term: scaffolding                    Term Frequency: 1         
Term: authorities                    Term Frequency: 1         
Term: essence                        Term Frequency: 1         
Term: posted                         Term Frequency: 1         
Term: moved                          Term Frequency: 1         
Term: parsed                         Term Frequency: 1         
Term: scope                          Term Frequency: 1         
Term: label                          Term Frequency: 1         
Term: micro                          Term Frequency: 1         
Term: smaller                        Term Frequency: 1         
Term: drastic                        Term Frequency: 1         
Term: segments                       Term Frequency: 1         
Term: mode                           Term Frequency: 1         
Term: brains                         Term Frequency: 1         
Term: always                         Term Frequency: 1         
Term: maintaining                    Term Frequency: 1         
Term: consists                       Term Frequency: 1         
Term: noticed                        Term Frequency: 1         
Term: call                           Term Frequency: 1         
Term: becoming                       Term Frequency: 1         
Term: run                            Term Frequency: 1         
Term: justified                      Term Frequency: 1         
Term: overlap                        Term Frequency: 1         
Term: absence                        Term Frequency: 1         
Term: generating                     Term Frequency: 1         
Term: monitored                      Term Frequency: 1         
Term: differentiates                 Term Frequency: 1         
Term: participating                  Term Frequency: 1         
Term: truly                          Term Frequency: 1         
Term: generation                     Term Frequency: 1         
Term: pattern                        Term Frequency: 1         
Term: display                        Term Frequency: 1         
Term: broadly                        Term Frequency: 1         
Term: package                        Term Frequency: 1         
Term: kind                           Term Frequency: 1         
Term: inspiration                    Term Frequency: 1         
Term: generative                     Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: accompanying                   Term Frequency: 1         
Term: deviate                        Term Frequency: 1         
Term: increase                       Term Frequency: 1         
Term: documentation                  Term Frequency: 1         
Term: personal                       Term Frequency: 1         
Term: terminologies                  Term Frequency: 1         
Term: 4870                           Term Frequency: 1         
Term: affect                         Term Frequency: 1         
Term: compared                       Term Frequency: 1         
Term: uncovering                     Term Frequency: 1         
Term: analyst’s                      Term Frequency: 1         
Term: procedure                      Term Frequency: 1         
Term: integrate                      Term Frequency: 1         
Term: practices                      Term Frequency: 1         
Term: visualization                  Term Frequency: 1         
Term: capable                        Term Frequency: 1         
Term: exhibits                       Term Frequency: 1         
Term: explained                      Term Frequency: 1         
Term: elusive                        Term Frequency: 1         
Term: implementing                   Term Frequency: 1         
Term: improvements                   Term Frequency: 1         
Term: constant                       Term Frequency: 1         
Term: posts                          Term Frequency: 1         
Term: summarily                      Term Frequency: 1         
Term: showcasing                     Term Frequency: 1         
Term: box                            Term Frequency: 1         
Term: counts                         Term Frequency: 1         
Term: 112                            Term Frequency: 1         
Term: 114                            Term Frequency: 1         
Term: drawn                          Term Frequency: 1         
Term: prompts                        Term Frequency: 1         
Term: serving                        Term Frequency: 1         
Term: managed                        Term Frequency: 1         
Term: actively                       Term Frequency: 1         
Term: promisingness                  Term Frequency: 1         
Term: vertex                         Term Frequency: 1         
Term: enhanced                       Term Frequency: 1         
Term: doing                          Term Frequency: 1         
Term: 172                            Term Frequency: 1         
Term: 183                            Term Frequency: 1         
Term: 192                            Term Frequency: 1         
Term: 195                            Term Frequency: 1         
Term: feature                        Term Frequency: 1         
Term: suggest                        Term Frequency: 1         
Term: deciding                       Term Frequency: 1         
Term: tasked                         Term Frequency: 1         
Term: pandora's                      Term Frequency: 1         
Term: towards                        Term Frequency: 1         
Term: posed                          Term Frequency: 1         
Term: safe                           Term Frequency: 1         
Term: aware                          Term Frequency: 1         
Term: coefficients                   Term Frequency: 1         
Term: Eventually                     Term Frequency: 0         
Term: A                              Term Frequency: 0         
Term: B                              Term Frequency: 0         
Term: C                              Term Frequency: 0         
Term: D                              Term Frequency: 0         
Term: E                              Term Frequency: 0         
Term: F                              Term Frequency: 0         
Term: G                              Term Frequency: 0         
Term: H                              Term Frequency: 0         
Term: I                              Term Frequency: 0         
Term: J                              Term Frequency: 0         
Term: K                              Term Frequency: 0         
Term: L                              Term Frequency: 0         
Term: M                              Term Frequency: 0         
Term: N                              Term Frequency: 0         
Term: P                              Term Frequency: 0         
Term: R                              Term Frequency: 0         
Term: S                              Term Frequency: 0         
Term: V                              Term Frequency: 0         
