Term: reading                        Term Frequency: 218       
Term: 0.68                           Term Frequency: 1         
Term: acquaintances                  Term Frequency: 1         
Term: 0.84                           Term Frequency: 1         
Term: 0.83                           Term Frequency: 1         
Term: 300                            Term Frequency: 1         
Term: 0.79                           Term Frequency: 1         
Term: 303                            Term Frequency: 1         
Term: 304                            Term Frequency: 1         
Term: dimensional                    Term Frequency: 1         
Term: 0.95                           Term Frequency: 1         
Term: 312                            Term Frequency: 1         
Term: 313                            Term Frequency: 1         
Term: 317                            Term Frequency: 1         
Term: credit                         Term Frequency: 1         
Term: 324                            Term Frequency: 1         
Term: 331                            Term Frequency: 1         
Term: make                           Term Frequency: 1         
Term: categorize                     Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: inform                         Term Frequency: 1         
Term: 22.37                          Term Frequency: 1         
Term: 34.20                          Term Frequency: 1         
Term: 357                            Term Frequency: 1         
Term: divergent                      Term Frequency: 1         
Term: 22.47                          Term Frequency: 1         
Term: 362                            Term Frequency: 1         
Term: examines                       Term Frequency: 1         
Term: 372                            Term Frequency: 1         
Term: examined                       Term Frequency: 1         
Term: 10.36                          Term Frequency: 1         
Term: 37                             Term Frequency: 1         
Term: 385                            Term Frequency: 1         
Term: 386                            Term Frequency: 1         
Term: legitimize                     Term Frequency: 1         
Term: devote                         Term Frequency: 1         
Term: treat                          Term Frequency: 1         
Term: 46                             Term Frequency: 1         
Term: 47                             Term Frequency: 1         
Term: 51                             Term Frequency: 1         
Term: 55                             Term Frequency: 1         
Term: 56                             Term Frequency: 1         
Term: coefficient                    Term Frequency: 1         
Term: 69                             Term Frequency: 1         
Term: common                         Term Frequency: 1         
Term: 79                             Term Frequency: 1         
Term: yields                         Term Frequency: 1         
Term: 80                             Term Frequency: 1         
Term: 82                             Term Frequency: 1         
Term: 83                             Term Frequency: 1         
Term: 86                             Term Frequency: 1         
Term: 10.07                          Term Frequency: 1         
Term: 95                             Term Frequency: 1         
Term: controlling                    Term Frequency: 1         
Term: 98                             Term Frequency: 1         
Term: word                           Term Frequency: 1         
Term: extension                      Term Frequency: 1         
Term: spell                          Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: bullying                       Term Frequency: 1         
Term: spend                          Term Frequency: 1         
Term: 10.83                          Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: 1203                           Term Frequency: 1         
Term: 1201                           Term Frequency: 1         
Term: sufficiently                   Term Frequency: 1         
Term: year                           Term Frequency: 1         
Term: understanding                  Term Frequency: 1         
Term: 118.78                         Term Frequency: 1         
Term: 40.11                          Term Frequency: 1         
Term: community                      Term Frequency: 1         
Term: version                        Term Frequency: 1         
Term: evidence                       Term Frequency: 1         
Term: 27.03                          Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: useful                         Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: 10th                           Term Frequency: 1         
Term: 4.1                            Term Frequency: 1         
Term: 4.2                            Term Frequency: 1         
Term: 1419.10                        Term Frequency: 1         
Term: 4.3                            Term Frequency: 1         
Term: slightly                       Term Frequency: 1         
Term: 407                            Term Frequency: 1         
Term: era                            Term Frequency: 1         
Term: 415                            Term Frequency: 1         
Term: 1493.31                        Term Frequency: 1         
Term: stratified                     Term Frequency: 1         
Term: 432                            Term Frequency: 1         
Term: articulate                     Term Frequency: 1         
Term: chose                          Term Frequency: 1         
Term: hippocampus                    Term Frequency: 1         
Term: 463                            Term Frequency: 1         
Term: maintain                       Term Frequency: 1         
Term: differently                    Term Frequency: 1         
Term: 489                            Term Frequency: 1         
Term: cityu.edu.hk                   Term Frequency: 1         
Term: structured                     Term Frequency: 1         
Term: consensus                      Term Frequency: 1         
Term: describe                       Term Frequency: 1         
Term: 5.20                           Term Frequency: 1         
Term: incomplete                     Term Frequency: 1         
Term: openly                         Term Frequency: 1         
Term: 5.35                           Term Frequency: 1         
Term: improving                      Term Frequency: 1         
Term: 5.47                           Term Frequency: 1         
Term: 900.99                         Term Frequency: 1         
Term: central                        Term Frequency: 1         
Term: effectively                    Term Frequency: 1         
Term: urban                          Term Frequency: 1         
Term: 5.60                           Term Frequency: 1         
Term: 5.61                           Term Frequency: 1         
Term: 5.64                           Term Frequency: 1         
Term: republish                      Term Frequency: 1         
Term: 5.83                           Term Frequency: 1         
Term: gain                           Term Frequency: 1         
Term: memories                       Term Frequency: 1         
Term: quadratic                      Term Frequency: 1         
Term: organizing                     Term Frequency: 1         
Term: outside                        Term Frequency: 1         
Term: explaining                     Term Frequency: 1         
Term: game                           Term Frequency: 1         
Term: contribute                     Term Frequency: 1         
Term: extent                         Term Frequency: 1         
Term: fit                            Term Frequency: 1         
Term: 786.00                         Term Frequency: 1         
Term: fjk                            Term Frequency: 1         
Term: former                         Term Frequency: 1         
Term: hurt                           Term Frequency: 1         
Term: enabling                       Term Frequency: 1         
Term: encode                         Term Frequency: 1         
Term: g00k                           Term Frequency: 1         
Term: patterns                       Term Frequency: 1         
Term: never                          Term Frequency: 1         
Term: 5.1                            Term Frequency: 1         
Term: 5.2                            Term Frequency: 1         
Term: 5.3                            Term Frequency: 1         
Term: givers                         Term Frequency: 1         
Term: 1100.19                        Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: gk                             Term Frequency: 1         
Term: placed                         Term Frequency: 1         
Term: 510                            Term Frequency: 1         
Term: four                           Term Frequency: 1         
Term: 515                            Term Frequency: 1         
Term: 527                            Term Frequency: 1         
Term: 534                            Term Frequency: 1         
Term: continuum                      Term Frequency: 1         
Term: 544                            Term Frequency: 1         
Term: 553                            Term Frequency: 1         
Term: my                             Term Frequency: 1         
Term: entry                          Term Frequency: 1         
Term: 567                            Term Frequency: 1         
Term: 575                            Term Frequency: 1         
Term: 579                            Term Frequency: 1         
Term: purdue.edu                     Term Frequency: 1         
Term: 86th                           Term Frequency: 1         
Term: 586                            Term Frequency: 1         
Term: easier                         Term Frequency: 1         
Term: 592                            Term Frequency: 1         
Term: grouped                        Term Frequency: 1         
Term: seen                           Term Frequency: 1         
Term: accountability                 Term Frequency: 1         
Term: necessary                      Term Frequency: 1         
Term: closer                         Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: ruler                          Term Frequency: 1         
Term: us                             Term Frequency: 1         
Term: idiosyncratic                  Term Frequency: 1         
Term: failure                        Term Frequency: 1         
Term: questionnaire                  Term Frequency: 1         
Term: frustrating                    Term Frequency: 1         
Term: similarity                     Term Frequency: 1         
Term: gap                            Term Frequency: 1         
Term: terms                          Term Frequency: 1         
Term: teams                          Term Frequency: 1         
Term: befriend                       Term Frequency: 1         
Term: readings                       Term Frequency: 1         
Term: surrounded                     Term Frequency: 1         
Term: labeling                       Term Frequency: 1         
Term: reading2                       Term Frequency: 1         
Term: concrete                       Term Frequency: 1         
Term: scale                          Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: questionnaires                 Term Frequency: 1         
Term: 0119                           Term Frequency: 1         
Term: rejecting                      Term Frequency: 1         
Term: namely                         Term Frequency: 1         
Term: possessions                    Term Frequency: 1         
Term: success                        Term Frequency: 1         
Term: 603                            Term Frequency: 1         
Term: longitudinal                   Term Frequency: 1         
Term: young                          Term Frequency: 1         
Term: booklet                        Term Frequency: 1         
Term: motivational                   Term Frequency: 1         
Term: accordingly                    Term Frequency: 1         
Term: discussed                      Term Frequency: 1         
Term: 667                            Term Frequency: 1         
Term: 8954                           Term Frequency: 1         
Term: 4th                            Term Frequency: 1         
Term: 87th                           Term Frequency: 1         
Term: reconcile                      Term Frequency: 1         
Term: 686                            Term Frequency: 1         
Term: quietly                        Term Frequency: 1         
Term: must                           Term Frequency: 1         
Term: 21.57                          Term Frequency: 1         
Term: adapt                          Term Frequency: 1         
Term: entice                         Term Frequency: 1         
Term: efficient                      Term Frequency: 1         
Term: chat                           Term Frequency: 1         
Term: proximal                       Term Frequency: 1         
Term: society’s                      Term Frequency: 1         
Term: small                          Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: stimulate                      Term Frequency: 1         
Term: 21.89                          Term Frequency: 1         
Term: correspondingly                Term Frequency: 1         
Term: visits                         Term Frequency: 1         
Term: ceiling                        Term Frequency: 1         
Term: 14.97                          Term Frequency: 1         
Term: appreciate                     Term Frequency: 1         
Term: subjects                       Term Frequency: 1         
Term: questions                      Term Frequency: 1         
Term: acheivement                    Term Frequency: 1         
Term: 716                            Term Frequency: 1         
Term: storybook                      Term Frequency: 1         
Term: 14.61                          Term Frequency: 1         
Term: 724                            Term Frequency: 1         
Term: 739                            Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: outscored                      Term Frequency: 1         
Term: 765                            Term Frequency: 1         
Term: curricula                      Term Frequency: 1         
Term: periods                        Term Frequency: 1         
Term: could                          Term Frequency: 1         
Term: rotate                         Term Frequency: 1         
Term: dramatically                   Term Frequency: 1         
Term: friends                        Term Frequency: 1         
Term: best                           Term Frequency: 1         
Term: attracting                     Term Frequency: 1         
Term: 4.02                           Term Frequency: 1         
Term: acm.orghttp                    Term Frequency: 1         
Term: regulation                     Term Frequency: 1         
Term: opinions                       Term Frequency: 1         
Term: 4.15                           Term Frequency: 1         
Term: 4.09                           Term Frequency: 1         
Term: 4.21                           Term Frequency: 1         
Term: 5156                           Term Frequency: 1         
Term: 4.26                           Term Frequency: 1         
Term: dissimilar                     Term Frequency: 1         
Term: face                           Term Frequency: 1         
Term: unfairness                     Term Frequency: 1         
Term: maximums                       Term Frequency: 1         
Term: 4.67                           Term Frequency: 1         
Term: 500501001502000.0              Term Frequency: 1         
Term: extends                        Term Frequency: 1         
Term: 4.77                           Term Frequency: 1         
Term: 4.71                           Term Frequency: 1         
Term: 4.72                           Term Frequency: 1         
Term: fair                           Term Frequency: 1         
Term: 4.94                           Term Frequency: 1         
Term: olds                           Term Frequency: 1         
Term: 14.21                          Term Frequency: 1         
Term: calculator                     Term Frequency: 1         
Term: privilege                      Term Frequency: 1         
Term: operationalized                Term Frequency: 1         
Term: advice                         Term Frequency: 1         
Term: value                          Term Frequency: 1         
Term: resolution                     Term Frequency: 1         
Term: properly                       Term Frequency: 1         
Term: poor                           Term Frequency: 1         
Term: 813                            Term Frequency: 1         
Term: 829                            Term Frequency: 1         
Term: post                           Term Frequency: 1         
Term: 839                            Term Frequency: 1         
Term: behave                         Term Frequency: 1         
Term: previously                     Term Frequency: 1         
Term: 852                            Term Frequency: 1         
Term: disentangle                    Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: 880                            Term Frequency: 1         
Term: 20.04                          Term Frequency: 1         
Term: removed                        Term Frequency: 1         
Term: facilitate                     Term Frequency: 1         
Term: categorization                 Term Frequency: 1         
Term: 1620.42                        Term Frequency: 1         
Term: predictors                     Term Frequency: 1         
Term: difficulty                     Term Frequency: 1         
Term: longer                         Term Frequency: 1         
Term: worst                          Term Frequency: 1         
Term: attract                        Term Frequency: 1         
Term: vocational                     Term Frequency: 1         
Term: 524.28                         Term Frequency: 1         
Term: persevere                      Term Frequency: 1         
Term: important                      Term Frequency: 1         
Term: daily                          Term Frequency: 1         
Term: omit                           Term Frequency: 1         
Term: 9.05                           Term Frequency: 1         
Term: highlight                      Term Frequency: 1         
Term: 9.24                           Term Frequency: 1         
Term: 9.22                           Term Frequency: 1         
Term: offer                          Term Frequency: 1         
Term: indicate                       Term Frequency: 1         
Term: tasking                        Term Frequency: 1         
Term: jobs                           Term Frequency: 1         
Term: entered                        Term Frequency: 1         
Term: 9.60                           Term Frequency: 1         
Term: 9.73                           Term Frequency: 1         
Term: 9.88                           Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: minimums                       Term Frequency: 1         
Term: 9.95                           Term Frequency: 1         
Term: they’re                        Term Frequency: 1         
Term: dinner                         Term Frequency: 1         
Term: 9.91                           Term Frequency: 1         
Term: subset                         Term Frequency: 1         
Term: elaborate                      Term Frequency: 1         
Term: focuses                        Term Frequency: 1         
Term: immerse                        Term Frequency: 1         
Term: administrators                 Term Frequency: 1         
Term: scored                         Term Frequency: 1         
Term: scene                          Term Frequency: 1         
Term: exert                          Term Frequency: 1         
Term: composite                      Term Frequency: 1         
Term: raises                         Term Frequency: 1         
Term: hinder                         Term Frequency: 1         
Term: injury                         Term Frequency: 1         
Term: 20.95                          Term Frequency: 1         
Term: access                         Term Frequency: 1         
Term: 20.78                          Term Frequency: 1         
Term: 19.89                          Term Frequency: 1         
Term: intake                         Term Frequency: 1         
Term: capitalizes                    Term Frequency: 1         
Term: contexts                       Term Frequency: 1         
Term: degree                         Term Frequency: 1         
Term: assessed                       Term Frequency: 1         
Term: figures                        Term Frequency: 1         
Term: positively                     Term Frequency: 1         
Term: weak                           Term Frequency: 1         
Term: f0jk                           Term Frequency: 1         
Term: expect                         Term Frequency: 1         
Term: justice                        Term Frequency: 1         
Term: person                         Term Frequency: 1         
Term: inclusion                      Term Frequency: 1         
Term: limited                        Term Frequency: 1         
Term: outcomes                       Term Frequency: 1         
Term: incomes                        Term Frequency: 1         
Term: solid                          Term Frequency: 1         
Term: notably                        Term Frequency: 1         
Term: 47907                          Term Frequency: 1         
Term: 62.99                          Term Frequency: 1         
Term: relatives                      Term Frequency: 1         
Term: capitalizing                   Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: well                           Term Frequency: 1         
Term: gains                          Term Frequency: 1         
Term: poorer                         Term Frequency: 1         
Term: distant                        Term Frequency: 1         
Term: respectively                   Term Frequency: 1         
Term: variable’s                     Term Frequency: 1         
Term: produce                        Term Frequency: 1         
Term: 3.00                           Term Frequency: 1         
Term: upon                           Term Frequency: 1         
Term: 3.15                           Term Frequency: 1         
Term: 574.52                         Term Frequency: 1         
Term: 3.13                           Term Frequency: 1         
Term: conflicting                    Term Frequency: 1         
Term: 3.08                           Term Frequency: 1         
Term: 3.21                           Term Frequency: 1         
Term: 3.18                           Term Frequency: 1         
Term: 3.35                           Term Frequency: 1         
Term: 3.34                           Term Frequency: 1         
Term: declarations                   Term Frequency: 1         
Term: 3.43                           Term Frequency: 1         
Term: let                            Term Frequency: 1         
Term: pace                           Term Frequency: 1         
Term: 3.59                           Term Frequency: 1         
Term: 3.58                           Term Frequency: 1         
Term: 3.54                           Term Frequency: 1         
Term: 3.52                           Term Frequency: 1         
Term: 3.61                           Term Frequency: 1         
Term: networks                       Term Frequency: 1         
Term: 3.64                           Term Frequency: 1         
Term: promote                        Term Frequency: 1         
Term: 3.71                           Term Frequency: 1         
Term: 3.83                           Term Frequency: 1         
Term: 3.89                           Term Frequency: 1         
Term: 3.85                           Term Frequency: 1         
Term: 3.92                           Term Frequency: 1         
Term: 3.90                           Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: appropriately                  Term Frequency: 1         
Term: separating                     Term Frequency: 1         
Term: 13.46                          Term Frequency: 1         
Term: three                          Term Frequency: 1         
Term: subgroups                      Term Frequency: 1         
Term: controversial                  Term Frequency: 1         
Term: allocate                       Term Frequency: 1         
Term: 1998                           Term Frequency: 1         
Term: 25.03                          Term Frequency: 1         
Term: sample’s                       Term Frequency: 1         
Term: means                          Term Frequency: 1         
Term: zone                           Term Frequency: 1         
Term: part                           Term Frequency: 1         
Term: outliers                       Term Frequency: 1         
Term: principal                      Term Frequency: 1         
Term: misjudgment                    Term Frequency: 1         
Term: smiles                         Term Frequency: 1         
Term: mutually                       Term Frequency: 1         
Term: assigned                       Term Frequency: 1         
Term: relative                       Term Frequency: 1         
Term: adaptive                       Term Frequency: 1         
Term: chiu23                         Term Frequency: 1         
Term: varied                         Term Frequency: 1         
Term: importance                     Term Frequency: 1         
Term: considerations                 Term Frequency: 1         
Term: appreciating                   Term Frequency: 1         
Term: inferences                     Term Frequency: 1         
Term: competes                       Term Frequency: 1         
Term: pressure                       Term Frequency: 1         
Term: 1122.71                        Term Frequency: 1         
Term: 208,044                        Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: differentiation                Term Frequency: 1         
Term: structure                      Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: moderate                       Term Frequency: 1         
Term: substantial                    Term Frequency: 1         
Term: quality                        Term Frequency: 1         
Term: receives                       Term Frequency: 1         
Term: supports                       Term Frequency: 1         
Term: mix                            Term Frequency: 1         
Term: though                         Term Frequency: 1         
Term: open                           Term Frequency: 1         
Term: invest                         Term Frequency: 1         
Term: 2008a                          Term Frequency: 1         
Term: ranged                         Term Frequency: 1         
Term: money                          Term Frequency: 1         
Term: stakes                         Term Frequency: 1         
Term: reliably                       Term Frequency: 1         
Term: relation                       Term Frequency: 1         
Term: internal                       Term Frequency: 1         
Term: 8.06                           Term Frequency: 1         
Term: 8.07                           Term Frequency: 1         
Term: 8.00                           Term Frequency: 1         
Term: 8.19                           Term Frequency: 1         
Term: axis                           Term Frequency: 1         
Term: cortex                         Term Frequency: 1         
Term: 8.25                           Term Frequency: 1         
Term: 8.35                           Term Frequency: 1         
Term: talks                          Term Frequency: 1         
Term: 8.57                           Term Frequency: 1         
Term: 8.63                           Term Frequency: 1         
Term: 8.76                           Term Frequency: 1         
Term: preferences                    Term Frequency: 1         
Term: 8.87                           Term Frequency: 1         
Term: decreases                      Term Frequency: 1         
Term: technical                      Term Frequency: 1         
Term: showcases                      Term Frequency: 1         
Term: rich                           Term Frequency: 1         
Term: judge                          Term Frequency: 1         
Term: 3027385.3027439                Term Frequency: 1         
Term: acm.org                        Term Frequency: 1         
Term: indicated                      Term Frequency: 1         
Term: against                        Term Frequency: 1         
Term: deferring                      Term Frequency: 1         
Term: elaborating                    Term Frequency: 1         
Term: settings                       Term Frequency: 1         
Term: maximizing                     Term Frequency: 1         
Term: stimulating                    Term Frequency: 1         
Term: models                         Term Frequency: 1         
Term: permitted                      Term Frequency: 1         
Term: boring                         Term Frequency: 1         
Term: unexplained                    Term Frequency: 1         
Term: supported                      Term Frequency: 1         
Term: involving                      Term Frequency: 1         
Term: nearly                         Term Frequency: 1         
Term: election                       Term Frequency: 1         
Term: detailed                       Term Frequency: 1         
Term: refer                          Term Frequency: 1         
Term: educations                     Term Frequency: 1         
Term: explicitly                     Term Frequency: 1         
Term: sentences                      Term Frequency: 1         
Term: parallel                       Term Frequency: 1         
Term: 1878.35                        Term Frequency: 1         
Term: investigated                   Term Frequency: 1         
Term: whom                           Term Frequency: 1         
Term: innovation                     Term Frequency: 1         
Term: igniting                       Term Frequency: 1         
Term: acclimate                      Term Frequency: 1         
Term: homogeneous                    Term Frequency: 1         
Term: significantly                  Term Frequency: 1         
Term: 2.02                           Term Frequency: 1         
Term: 2.13                           Term Frequency: 1         
Term: 2.11                           Term Frequency: 1         
Term: 2.25                           Term Frequency: 1         
Term: draw                           Term Frequency: 1         
Term: 2.22                           Term Frequency: 1         
Term: 2.20                           Term Frequency: 1         
Term: 2.17                           Term Frequency: 1         
Term: months                         Term Frequency: 1         
Term: 2.46                           Term Frequency: 1         
Term: 2.45                           Term Frequency: 1         
Term: 2.44                           Term Frequency: 1         
Term: 2.37                           Term Frequency: 1         
Term: 2.50                           Term Frequency: 1         
Term: 2.53                           Term Frequency: 1         
Term: graphing                       Term Frequency: 1         
Term: determine                      Term Frequency: 1         
Term: 2.67                           Term Frequency: 1         
Term: 2.65                           Term Frequency: 1         
Term: 2.64                           Term Frequency: 1         
Term: 2.63                           Term Frequency: 1         
Term: 2.62                           Term Frequency: 1         
Term: painting                       Term Frequency: 1         
Term: 2.72                           Term Frequency: 1         
Term: 2.70                           Term Frequency: 1         
Term: 2.79                           Term Frequency: 1         
Term: 2.78                           Term Frequency: 1         
Term: 2.77                           Term Frequency: 1         
Term: 2.84                           Term Frequency: 1         
Term: 2.94                           Term Frequency: 1         
Term: 2.95                           Term Frequency: 1         
Term: vector                         Term Frequency: 1         
Term: 3027385.3027439students        Term Frequency: 1         
Term: aids                           Term Frequency: 1         
Term: ensure                         Term Frequency: 1         
Term: praises                        Term Frequency: 1         
Term: drop                           Term Frequency: 1         
Term: wide                           Term Frequency: 1         
Term: premature                      Term Frequency: 1         
Term: competition                    Term Frequency: 1         
Term: problem                        Term Frequency: 1         
Term: cerebral                       Term Frequency: 1         
Term: our                            Term Frequency: 1         
Term: consuming                      Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: dashed                         Term Frequency: 1         
Term: hospitable                     Term Frequency: 1         
Term: 9384                           Term Frequency: 1         
Term: like                           Term Frequency: 1         
Term: demoralized                    Term Frequency: 1         
Term: 12.17                          Term Frequency: 1         
Term: considers                      Term Frequency: 1         
Term: confidence                     Term Frequency: 1         
Term: contributions                  Term Frequency: 1         
Term: neuroscience                   Term Frequency: 1         
Term: correlation                    Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: exceed                         Term Frequency: 1         
Term: pay                            Term Frequency: 1         
Term: 1913.59                        Term Frequency: 1         
Term: indicating                     Term Frequency: 1         
Term: attributes                     Term Frequency: 1         
Term: 17.43                          Term Frequency: 1         
Term: rarely                         Term Frequency: 1         
Term: design                         Term Frequency: 1         
Term: explanations                   Term Frequency: 1         
Term: followed                       Term Frequency: 1         
Term: 4.2.8                          Term Frequency: 1         
Term: 4.2.6                          Term Frequency: 1         
Term: 4.2.7                          Term Frequency: 1         
Term: 480.53                         Term Frequency: 1         
Term: 4.2.1                          Term Frequency: 1         
Term: 4.2.4                          Term Frequency: 1         
Term: 4.2.5                          Term Frequency: 1         
Term: 4.2.2                          Term Frequency: 1         
Term: 4.2.3                          Term Frequency: 1         
Term: giver                          Term Frequency: 1         
Term: realize                        Term Frequency: 1         
Term: offers                         Term Frequency: 1         
Term: correlates                     Term Frequency: 1         
Term: reliabilities                  Term Frequency: 1         
Term: correlated                     Term Frequency: 1         
Term: 7.03                           Term Frequency: 1         
Term: 7.08                           Term Frequency: 1         
Term: wychow                         Term Frequency: 1         
Term: 7.25                           Term Frequency: 1         
Term: 7.31                           Term Frequency: 1         
Term: major                          Term Frequency: 1         
Term: 7.57                           Term Frequency: 1         
Term: 7.50                           Term Frequency: 1         
Term: 7.52                           Term Frequency: 1         
Term: 7.69                           Term Frequency: 1         
Term: general                        Term Frequency: 1         
Term: 7.75                           Term Frequency: 1         
Term: 7.97                           Term Frequency: 1         
Term: 7.90                           Term Frequency: 1         
Term: tells                          Term Frequency: 1         
Term: cultivate                      Term Frequency: 1         
Term: correctly                      Term Frequency: 1         
Term: prior                          Term Frequency: 1         
Term: contradictory                  Term Frequency: 1         
Term: immediate                      Term Frequency: 1         
Term: beneficial                     Term Frequency: 1         
Term: relatively                     Term Frequency: 1         
Term: additional                     Term Frequency: 1         
Term: 2012                           Term Frequency: 1         
Term: remembering                    Term Frequency: 1         
Term: affects                        Term Frequency: 1         
Term: material                       Term Frequency: 1         
Term: 2016                           Term Frequency: 1         
Term: owned                          Term Frequency: 1         
Term: efficiently                    Term Frequency: 1         
Term: reviews                        Term Frequency: 1         
Term: maximizes                      Term Frequency: 1         
Term: selected                       Term Frequency: 1         
Term: flaws                          Term Frequency: 1         
Term: evident                        Term Frequency: 1         
Term: perspective                    Term Frequency: 1         
Term: conflict                       Term Frequency: 1         
Term: assistance                     Term Frequency: 1         
Term: every                          Term Frequency: 1         
Term: disadvantaged                  Term Frequency: 1         
Term: reasoning                      Term Frequency: 1         
Term: desirable                      Term Frequency: 1         
Term: during                         Term Frequency: 1         
Term: resilient                      Term Frequency: 1         
Term: enjoyment                      Term Frequency: 1         
Term: requests                       Term Frequency: 1         
Term: reduces                        Term Frequency: 1         
Term: collective                     Term Frequency: 1         
Term: cannot                         Term Frequency: 1         
Term: snu.ac.kr                      Term Frequency: 1         
Term: prefer                         Term Frequency: 1         
Term: space                          Term Frequency: 1         
Term: solving                        Term Frequency: 1         
Term: network                        Term Frequency: 1         
Term: public                         Term Frequency: 1         
Term: setting                        Term Frequency: 1         
Term: score                          Term Frequency: 1         
Term: targeted                       Term Frequency: 1         
Term: 3442                           Term Frequency: 1         
Term: red                            Term Frequency: 1         
Term: helped                         Term Frequency: 1         
Term: mutual                         Term Frequency: 1         
Term: trust                          Term Frequency: 1         
Term: 1.13                           Term Frequency: 1         
Term: label                          Term Frequency: 1         
Term: years                          Term Frequency: 1         
Term: 1.33                           Term Frequency: 1         
Term: 1.29                           Term Frequency: 1         
Term: likelihood                     Term Frequency: 1         
Term: 1.25                           Term Frequency: 1         
Term: 1.45                           Term Frequency: 1         
Term: 1.44                           Term Frequency: 1         
Term: 1.41                           Term Frequency: 1         
Term: outcome                        Term Frequency: 1         
Term: 1.54                           Term Frequency: 1         
Term: 1.53                           Term Frequency: 1         
Term: 1.50                           Term Frequency: 1         
Term: 1.67                           Term Frequency: 1         
Term: 1.58                           Term Frequency: 1         
Term: 1.71                           Term Frequency: 1         
Term: already                        Term Frequency: 1         
Term: 1.79                           Term Frequency: 1         
Term: 1.77                           Term Frequency: 1         
Term: expense                        Term Frequency: 1         
Term: 1.75                           Term Frequency: 1         
Term: 1.73                           Term Frequency: 1         
Term: 1.69                           Term Frequency: 1         
Term: 1.82                           Term Frequency: 1         
Term: hiring                         Term Frequency: 1         
Term: simpler                        Term Frequency: 1         
Term: 1.83                           Term Frequency: 1         
Term: negatively                     Term Frequency: 1         
Term: unnecessary                    Term Frequency: 1         
Term: 1.97                           Term Frequency: 1         
Term: 0.1                            Term Frequency: 1         
Term: 0.4                            Term Frequency: 1         
Term: 0.6                            Term Frequency: 1         
Term: broader                        Term Frequency: 1         
Term: call                           Term Frequency: 1         
Term: ask                            Term Frequency: 1         
Term: 11.15                          Term Frequency: 1         
Term: enact                          Term Frequency: 1         
Term: neighborhood                   Term Frequency: 1         
Term: book                           Term Frequency: 1         
Term: target                         Term Frequency: 1         
Term: collected                      Term Frequency: 1         
Term: case                           Term Frequency: 1         
Term: 35.44                          Term Frequency: 1         
Term: 1443.74                        Term Frequency: 1         
Term: most                           Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: amount                         Term Frequency: 1         
Term: boys                           Term Frequency: 1         
Term: suffer                         Term Frequency: 1         
Term: personal                       Term Frequency: 1         
Term: diametric                      Term Frequency: 1         
Term: 4870                           Term Frequency: 1         
Term: sample                         Term Frequency: 1         
Term: integrate                      Term Frequency: 1         
Term: practices                      Term Frequency: 1         
Term: little                         Term Frequency: 1         
Term: living                         Term Frequency: 1         
Term: frowns                         Term Frequency: 1         
Term: peers                          Term Frequency: 1         
Term: nations                        Term Frequency: 1         
Term: large                          Term Frequency: 1         
Term: operate                        Term Frequency: 1         
Term: country’s                      Term Frequency: 1         
Term: intercept                      Term Frequency: 1         
Term: 41.22                          Term Frequency: 1         
Term: 16.56                          Term Frequency: 1         
Term: mental                         Term Frequency: 1         
Term: racial                         Term Frequency: 1         
Term: boy                            Term Frequency: 1         
Term: receivers                      Term Frequency: 1         
Term: highly                         Term Frequency: 1         
Term: 104                            Term Frequency: 1         
Term: awards                         Term Frequency: 1         
Term: 113                            Term Frequency: 1         
Term: 115                            Term Frequency: 1         
Term: 116                            Term Frequency: 1         
Term: reputable                      Term Frequency: 1         
Term: friend                         Term Frequency: 1         
Term: secondary                      Term Frequency: 1         
Term: overcome                       Term Frequency: 1         
Term: cooperate                      Term Frequency: 1         
Term: sum                            Term Frequency: 1         
Term: 136                            Term Frequency: 1         
Term: 143                            Term Frequency: 1         
Term: detriment                      Term Frequency: 1         
Term: dissent                        Term Frequency: 1         
Term: buy                            Term Frequency: 1         
Term: 95th                           Term Frequency: 1         
Term: 150                            Term Frequency: 1         
Term: 151                            Term Frequency: 1         
Term: internalize                    Term Frequency: 1         
Term: pairs                          Term Frequency: 1         
Term: zero                           Term Frequency: 1         
Term: 166                            Term Frequency: 1         
Term: 169                            Term Frequency: 1         
Term: desk                           Term Frequency: 1         
Term: adults                         Term Frequency: 1         
Term: 179                            Term Frequency: 1         
Term: successful                     Term Frequency: 1         
