Term: dialogue                       Term Frequency: 101       
Term: choosing                       Term Frequency: 1         
Term: under                          Term Frequency: 1         
Term: proposing                      Term Frequency: 1         
Term: tolerant                       Term Frequency: 1         
Term: cues                           Term Frequency: 1         
Term: 1152                           Term Frequency: 1         
Term: publicly                       Term Frequency: 1         
Term: graph                          Term Frequency: 1         
Term: final                          Term Frequency: 1         
Term: length                         Term Frequency: 1         
Term: showing                        Term Frequency: 1         
Term: helping                        Term Frequency: 1         
Term: construct                      Term Frequency: 1         
Term: 0.65                           Term Frequency: 1         
Term: yielded                        Term Frequency: 1         
Term: 3.4                            Term Frequency: 1         
Term: 3.5                            Term Frequency: 1         
Term: 3.6                            Term Frequency: 1         
Term: known                          Term Frequency: 1         
Term: forward                        Term Frequency: 1         
Term: dimensional                    Term Frequency: 1         
Term: credit                         Term Frequency: 1         
Term: combine                        Term Frequency: 1         
Term: 10.1.1.10                      Term Frequency: 1         
Term: bearing                        Term Frequency: 1         
Term: includes                       Term Frequency: 1         
Term: 0.8302                         Term Frequency: 1         
Term: 0.8301                         Term Frequency: 1         
Term: 330                            Term Frequency: 1         
Term: 339                            Term Frequency: 1         
Term: rapidly                        Term Frequency: 1         
Term: due                            Term Frequency: 1         
Term: psychological                  Term Frequency: 1         
Term: 04                             Term Frequency: 1         
Term: 08                             Term Frequency: 1         
Term: intertwined                    Term Frequency: 1         
Term: observed                       Term Frequency: 1         
Term: intertwines                    Term Frequency: 1         
Term: 18                             Term Frequency: 1         
Term: benefit                        Term Frequency: 1         
Term: salience                       Term Frequency: 1         
Term: highest                        Term Frequency: 1         
Term: morning’s                      Term Frequency: 1         
Term: examines                       Term Frequency: 1         
Term: 373                            Term Frequency: 1         
Term: 1st                            Term Frequency: 1         
Term: 379                            Term Frequency: 1         
Term: examined                       Term Frequency: 1         
Term: relationship                   Term Frequency: 1         
Term: 44                             Term Frequency: 1         
Term: 46                             Term Frequency: 1         
Term: 48                             Term Frequency: 1         
Term: 49                             Term Frequency: 1         
Term: expressing                     Term Frequency: 1         
Term: 10.14                          Term Frequency: 1         
Term: 50                             Term Frequency: 1         
Term: 51                             Term Frequency: 1         
Term: look                           Term Frequency: 1         
Term: coefficient                    Term Frequency: 1         
Term: 60                             Term Frequency: 1         
Term: 61                             Term Frequency: 1         
Term: 64                             Term Frequency: 1         
Term: 67                             Term Frequency: 1         
Term: themselves                     Term Frequency: 1         
Term: 71                             Term Frequency: 1         
Term: 74                             Term Frequency: 1         
Term: bars                           Term Frequency: 1         
Term: step                           Term Frequency: 1         
Term: base                           Term Frequency: 1         
Term: loss                           Term Frequency: 1         
Term: 92                             Term Frequency: 1         
Term: preliminary                    Term Frequency: 1         
Term: identity                       Term Frequency: 1         
Term: threshold                      Term Frequency: 1         
Term: revision                       Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: degrade                        Term Frequency: 1         
Term: p’n                            Term Frequency: 1         
Term: opaque                         Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: temporary                      Term Frequency: 1         
Term: ignoring                       Term Frequency: 1         
Term: 0.8609                         Term Frequency: 1         
Term: 6,789                          Term Frequency: 1         
Term: near                           Term Frequency: 1         
Term: version                        Term Frequency: 1         
Term: interdisciplinary              Term Frequency: 1         
Term: appropriate                    Term Frequency: 1         
Term: learn                          Term Frequency: 1         
Term: logical                        Term Frequency: 1         
Term: 0.8640                         Term Frequency: 1         
Term: evidence                       Term Frequency: 1         
Term: generates                      Term Frequency: 1         
Term: ethics                         Term Frequency: 1         
Term: microphone                     Term Frequency: 1         
Term: need                           Term Frequency: 1         
Term: useful                         Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: engine                         Term Frequency: 1         
Term: 0.8602                         Term Frequency: 1         
Term: 4.1                            Term Frequency: 1         
Term: 4.2                            Term Frequency: 1         
Term: 4.3                            Term Frequency: 1         
Term: achieved                       Term Frequency: 1         
Term: occurs                         Term Frequency: 1         
Term: 404                            Term Frequency: 1         
Term: deployment                     Term Frequency: 1         
Term: 2nd                            Term Frequency: 1         
Term: links                          Term Frequency: 1         
Term: 0.8666                         Term Frequency: 1         
Term: render                         Term Frequency: 1         
Term: rated                          Term Frequency: 1         
Term: 0.8685                         Term Frequency: 1         
Term: strategy                       Term Frequency: 1         
Term: achievements                   Term Frequency: 1         
Term: skills                         Term Frequency: 1         
Term: remain                         Term Frequency: 1         
Term: degraded                       Term Frequency: 1         
Term: monitoring                     Term Frequency: 1         
Term: argued                         Term Frequency: 1         
Term: centred                        Term Frequency: 1         
Term: consensus                      Term Frequency: 1         
Term: incorporate                    Term Frequency: 1         
Term: openly                         Term Frequency: 1         
Term: fields                         Term Frequency: 1         
Term: retrain                        Term Frequency: 1         
Term: supporting                     Term Frequency: 1         
Term: green                          Term Frequency: 1         
Term: window                         Term Frequency: 1         
Term: decide                         Term Frequency: 1         
Term: logged                         Term Frequency: 1         
Term: potentiality                   Term Frequency: 1         
Term: lowest                         Term Frequency: 1         
Term: republish                      Term Frequency: 1         
Term: web                            Term Frequency: 1         
Term: 3943                           Term Frequency: 1         
Term: 0.3887                         Term Frequency: 1         
Term: effect                         Term Frequency: 1         
Term: explaining                     Term Frequency: 1         
Term: summative                      Term Frequency: 1         
Term: contribute                     Term Frequency: 1         
Term: attention                      Term Frequency: 1         
Term: greeting                       Term Frequency: 1         
Term: evaluated                      Term Frequency: 1         
Term: sure                           Term Frequency: 1         
Term: marginally                     Term Frequency: 1         
Term: simultaneously                 Term Frequency: 1         
Term: prove                          Term Frequency: 1         
Term: cf                             Term Frequency: 1         
Term: observe                        Term Frequency: 1         
Term: criticise                      Term Frequency: 1         
Term: creativity                     Term Frequency: 1         
Term: patterns                       Term Frequency: 1         
Term: piece                          Term Frequency: 1         
Term: 5.1                            Term Frequency: 1         
Term: plot                           Term Frequency: 1         
Term: go                             Term Frequency: 1         
Term: personalised                   Term Frequency: 1         
Term: context                        Term Frequency: 1         
Term: become                         Term Frequency: 1         
Term: progressively                  Term Frequency: 1         
Term: grades                         Term Frequency: 1         
Term: ki                             Term Frequency: 1         
Term: ln                             Term Frequency: 1         
Term: second                         Term Frequency: 1         
Term: 0.8539                         Term Frequency: 1         
Term: prediction                     Term Frequency: 1         
Term: p1                             Term Frequency: 1         
Term: p2                             Term Frequency: 1         
Term: perspectives                   Term Frequency: 1         
Term: pi                             Term Frequency: 1         
Term: pn                             Term Frequency: 1         
Term: instilling                     Term Frequency: 1         
Term: 595                            Term Frequency: 1         
Term: re                             Term Frequency: 1         
Term: seen                           Term Frequency: 1         
Term: thanked                        Term Frequency: 1         
Term: single                         Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: rules                          Term Frequency: 1         
Term: up                             Term Frequency: 1         
Term: us                             Term Frequency: 1         
Term: changed                        Term Frequency: 1         
Term: teach                          Term Frequency: 1         
Term: argue                          Term Frequency: 1         
Term: fruitful                       Term Frequency: 1         
Term: type                           Term Frequency: 1         
Term: combinations                   Term Frequency: 1         
Term: force                          Term Frequency: 1         
Term: massive                        Term Frequency: 1         
Term: 1417                           Term Frequency: 1         
Term: replay                         Term Frequency: 1         
Term: scale                          Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: conversational                 Term Frequency: 1         
Term: intend                         Term Frequency: 1         
Term: exceeding                      Term Frequency: 1         
Term: introduces                     Term Frequency: 1         
Term: analyse                        Term Frequency: 1         
Term: 654956                         Term Frequency: 1         
Term: constraining                   Term Frequency: 1         
Term: rejecting                      Term Frequency: 1         
Term: mastery                        Term Frequency: 1         
Term: lights                         Term Frequency: 1         
Term: 6.1                            Term Frequency: 1         
Term: institution                    Term Frequency: 1         
Term: 602                            Term Frequency: 1         
Term: reasoned                       Term Frequency: 1         
Term: sociallearn.open.ac.uk         Term Frequency: 1         
Term: changing                       Term Frequency: 1         
Term: underlying                     Term Frequency: 1         
Term: analyze                        Term Frequency: 1         
Term: 653                            Term Frequency: 1         
Term: discussed                      Term Frequency: 1         
Term: 0.8005                         Term Frequency: 1         
Term: names                          Term Frequency: 1         
Term: 0.8007                         Term Frequency: 1         
Term: 0.8001                         Term Frequency: 1         
Term: group.org                      Term Frequency: 1         
Term: measuring                      Term Frequency: 1         
Term: almost                         Term Frequency: 1         
Term: equally                        Term Frequency: 1         
Term: hypothesise                    Term Frequency: 1         
Term: idealized                      Term Frequency: 1         
Term: generalized                    Term Frequency: 1         
Term: smoothing                      Term Frequency: 1         
Term: events                         Term Frequency: 1         
Term: 0.8062                         Term Frequency: 1         
Term: appraising                     Term Frequency: 1         
Term: discarded                      Term Frequency: 1         
Term: 0.8017                         Term Frequency: 1         
Term: video                          Term Frequency: 1         
Term: yet                            Term Frequency: 1         
Term: initially                      Term Frequency: 1         
Term: multi                          Term Frequency: 1         
Term: probabilities                  Term Frequency: 1         
Term: 0.5865                         Term Frequency: 1         
Term: pni1                           Term Frequency: 1         
Term: pni2                           Term Frequency: 1         
Term: consistent                     Term Frequency: 1         
Term: pseudonyms                     Term Frequency: 1         
Term: pnik                           Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: convergence                    Term Frequency: 1         
Term: advance                        Term Frequency: 1         
Term: qualitative                    Term Frequency: 1         
Term: you                            Term Frequency: 1         
Term: deals                          Term Frequency: 1         
Term: putting                        Term Frequency: 1         
Term: questions                      Term Frequency: 1         
Term: averaged                       Term Frequency: 1         
Term: exposed                        Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: tracking                       Term Frequency: 1         
Term: explored                       Term Frequency: 1         
Term: periods                        Term Frequency: 1         
Term: solution                       Term Frequency: 1         
Term: steps                          Term Frequency: 1         
Term: problems                       Term Frequency: 1         
Term: regulating                     Term Frequency: 1         
Term: calculates                     Term Frequency: 1         
Term: originality                    Term Frequency: 1         
Term: reflect                        Term Frequency: 1         
Term: intention                      Term Frequency: 1         
Term: identities                     Term Frequency: 1         
Term: actually                       Term Frequency: 1         
Term: showed                         Term Frequency: 1         
Term: coordinated                    Term Frequency: 1         
Term: revealing                      Term Frequency: 1         
Term: judging                        Term Frequency: 1         
Term: rule                           Term Frequency: 1         
Term: 93http                         Term Frequency: 1         
Term: calculating                    Term Frequency: 1         
Term: indeed                         Term Frequency: 1         
Term: preparation                    Term Frequency: 1         
Term: enable                         Term Frequency: 1         
Term: spectrum                       Term Frequency: 1         
Term: fall                           Term Frequency: 1         
Term: runs                           Term Frequency: 1         
Term: clearly                        Term Frequency: 1         
Term: insights                       Term Frequency: 1         
Term: according                      Term Frequency: 1         
Term: objects                        Term Frequency: 1         
Term: properly                       Term Frequency: 1         
Term: pool                           Term Frequency: 1         
Term: indicators                     Term Frequency: 1         
Term: sorted                         Term Frequency: 1         
Term: manual                         Term Frequency: 1         
Term: vocabulary                     Term Frequency: 1         
Term: linked                         Term Frequency: 1         
Term: post                           Term Frequency: 1         
Term: concluding                     Term Frequency: 1         
Term: plotted                        Term Frequency: 1         
Term: previously                     Term Frequency: 1         
Term: 852                            Term Frequency: 1         
Term: 6.1.3                          Term Frequency: 1         
Term: 6.1.1                          Term Frequency: 1         
Term: 6.1.2                          Term Frequency: 1         
Term: uncompromising                 Term Frequency: 1         
Term: se.cuhk.edu.hkdevelop          Term Frequency: 1         
Term: utterance                      Term Frequency: 1         
Term: testing                        Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: curriculum                     Term Frequency: 1         
Term: points                         Term Frequency: 1         
Term: constructing                   Term Frequency: 1         
Term: read                           Term Frequency: 1         
Term: avoids                         Term Frequency: 1         
Term: prompted                       Term Frequency: 1         
Term: facilitate                     Term Frequency: 1         
Term: 0.9523                         Term Frequency: 1         
Term: categorization                 Term Frequency: 1         
Term: minute                         Term Frequency: 1         
Term: reason                         Term Frequency: 1         
Term: 0.8292                         Term Frequency: 1         
Term: takes                          Term Frequency: 1         
Term: conferencing                   Term Frequency: 1         
Term: challenging                    Term Frequency: 1         
Term: either                         Term Frequency: 1         
Term: courses                        Term Frequency: 1         
Term: significant                    Term Frequency: 1         
Term: longer                         Term Frequency: 1         
Term: 0.8262                         Term Frequency: 1         
Term: 0.8273                         Term Frequency: 1         
Term: guidance                       Term Frequency: 1         
Term: 0.8282                         Term Frequency: 1         
Term: architecture                   Term Frequency: 1         
Term: underpinning                   Term Frequency: 1         
Term: 1785                           Term Frequency: 1         
Term: correction                     Term Frequency: 1         
Term: highlight                      Term Frequency: 1         
Term: coders                         Term Frequency: 1         
Term: correcting                     Term Frequency: 1         
Term: afternoon                      Term Frequency: 1         
Term: investigation                  Term Frequency: 1         
Term: 9.24                           Term Frequency: 1         
Term: complex                        Term Frequency: 1         
Term: wrongly                        Term Frequency: 1         
Term: civic                          Term Frequency: 1         
Term: offered                        Term Frequency: 1         
Term: subsequent                     Term Frequency: 1         
Term: indicate                       Term Frequency: 1         
Term: validity                       Term Frequency: 1         
Term: performs                       Term Frequency: 1         
Term: differentiate                  Term Frequency: 1         
Term: searches                       Term Frequency: 1         
Term: relates                        Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: subset                         Term Frequency: 1         
Term: output                         Term Frequency: 1         
Term: majority                       Term Frequency: 1         
Term: proportion                     Term Frequency: 1         
Term: pursuit                        Term Frequency: 1         
Term: emerged                        Term Frequency: 1         
Term: programme                      Term Frequency: 1         
Term: restructures                   Term Frequency: 1         
Term: directly                       Term Frequency: 1         
Term: administrators                 Term Frequency: 1         
Term: attached                       Term Frequency: 1         
Term: control                        Term Frequency: 1         
Term: acknowledge                    Term Frequency: 1         
Term: descriptive                    Term Frequency: 1         
Term: corpora                        Term Frequency: 1         
Term: optimality                     Term Frequency: 1         
Term: remaining                      Term Frequency: 1         
Term: access                         Term Frequency: 1         
Term: conferences                    Term Frequency: 1         
Term: 85mailto:rebecca.ferguson      Term Frequency: 1         
Term: confirm                        Term Frequency: 1         
Term: dynamic                        Term Frequency: 1         
Term: 0.8148                         Term Frequency: 1         
Term: once                           Term Frequency: 1         
Term: records                        Term Frequency: 1         
Term: graphs                         Term Frequency: 1         
Term: assesses                       Term Frequency: 1         
Term: reach                          Term Frequency: 1         
Term: comparative                    Term Frequency: 1         
Term: 0.5977                         Term Frequency: 1         
Term: objection                      Term Frequency: 1         
Term: informed                       Term Frequency: 1         
Term: observation                    Term Frequency: 1         
Term: describing                     Term Frequency: 1         
Term: accepted                       Term Frequency: 1         
Term: conceptualization              Term Frequency: 1         
Term: greatest                       Term Frequency: 1         
Term: limited                        Term Frequency: 1         
Term: informal                       Term Frequency: 1         
Term: outcomes                       Term Frequency: 1         
Term: poorly                         Term Frequency: 1         
Term: statistical                    Term Frequency: 1         
Term: address                        Term Frequency: 1         
Term: 90approach                     Term Frequency: 1         
Term: thank                          Term Frequency: 1         
Term: characterised                  Term Frequency: 1         
Term: expanded                       Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: realized                       Term Frequency: 1         
Term: handling                       Term Frequency: 1         
Term: pairwise                       Term Frequency: 1         
Term: considering                    Term Frequency: 1         
Term: annotators                     Term Frequency: 1         
Term: noisy                          Term Frequency: 1         
Term: produce                        Term Frequency: 1         
Term: 0.5389                         Term Frequency: 1         
Term: stances                        Term Frequency: 1         
Term: teacher                        Term Frequency: 1         
Term: led                            Term Frequency: 1         
Term: enlarges                       Term Frequency: 1         
Term: motivating                     Term Frequency: 1         
Term: 1908                           Term Frequency: 1         
Term: rendered                       Term Frequency: 1         
Term: metaphors                      Term Frequency: 1         
Term: networks                       Term Frequency: 1         
Term: 1924                           Term Frequency: 1         
Term: source                         Term Frequency: 1         
Term: unable                         Term Frequency: 1         
Term: 1934                           Term Frequency: 1         
Term: judgments                      Term Frequency: 1         
Term: employing                      Term Frequency: 1         
Term: involved                       Term Frequency: 1         
Term: fixed                          Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: titles                         Term Frequency: 1         
Term: 1962                           Term Frequency: 1         
Term: 1967                           Term Frequency: 1         
Term: lni                            Term Frequency: 1         
Term: 1982                           Term Frequency: 1         
Term: primary                        Term Frequency: 1         
Term: computed                       Term Frequency: 1         
Term: reliability                    Term Frequency: 1         
Term: formation                      Term Frequency: 1         
Term: 1995                           Term Frequency: 1         
Term: 1994                           Term Frequency: 1         
Term: low                            Term Frequency: 1         
Term: meant                          Term Frequency: 1         
Term: fellow                         Term Frequency: 1         
Term: experience                     Term Frequency: 1         
Term: checked                        Term Frequency: 1         
Term: contradicting                  Term Frequency: 1         
Term: particular                     Term Frequency: 1         
Term: done                           Term Frequency: 1         
Term: ease                           Term Frequency: 1         
Term: illocutionary                  Term Frequency: 1         
Term: 0.7881                         Term Frequency: 1         
Term: depending                      Term Frequency: 1         
Term: 0.7888                         Term Frequency: 1         
Term: 0.7886                         Term Frequency: 1         
Term: adoption                       Term Frequency: 1         
Term: mind                           Term Frequency: 1         
Term: groupings                      Term Frequency: 1         
Term: recommendations                Term Frequency: 1         
Term: down                           Term Frequency: 1         
Term: signal                         Term Frequency: 1         
Term: gratefully                     Term Frequency: 1         
Term: rather                         Term Frequency: 1         
Term: requesting                     Term Frequency: 1         
Term: 0.7865                         Term Frequency: 1         
Term: 0.7868                         Term Frequency: 1         
Term: individuality                  Term Frequency: 1         
Term: signed                         Term Frequency: 1         
Term: goodbye                        Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: character                      Term Frequency: 1         
Term: meaningfully                   Term Frequency: 1         
Term: moderate                       Term Frequency: 1         
Term: module                         Term Frequency: 1         
Term: quality                        Term Frequency: 1         
Term: don’t                          Term Frequency: 1         
Term: association                    Term Frequency: 1         
Term: supports                       Term Frequency: 1         
Term: middle                         Term Frequency: 1         
Term: texts                          Term Frequency: 1         
Term: collaboration                  Term Frequency: 1         
Term: justifying                     Term Frequency: 1         
Term: project                        Term Frequency: 1         
Term: roughly                        Term Frequency: 1         
Term: studying                       Term Frequency: 1         
Term: 89alone                        Term Frequency: 1         
Term: ranged                         Term Frequency: 1         
Term: stakes                         Term Frequency: 1         
Term: achievement                    Term Frequency: 1         
Term: reliable                       Term Frequency: 1         
Term: linking                        Term Frequency: 1         
Term: among                          Term Frequency: 1         
Term: specified                      Term Frequency: 1         
Term: writing                        Term Frequency: 1         
Term: include                        Term Frequency: 1         
Term: alongside                      Term Frequency: 1         
Term: destructive                    Term Frequency: 1         
Term: unreliable                     Term Frequency: 1         
Term: iteration                      Term Frequency: 1         
Term: encompassing                   Term Frequency: 1         
Term: revised                        Term Frequency: 1         
Term: annotate                       Term Frequency: 1         
Term: detail                         Term Frequency: 1         
Term: predictions                    Term Frequency: 1         
Term: pedagogically                  Term Frequency: 1         
Term: that’s                         Term Frequency: 1         
Term: discriminating                 Term Frequency: 1         
Term: selecting                      Term Frequency: 1         
Term: significance                   Term Frequency: 1         
Term: 0.4241                         Term Frequency: 1         
Term: arises                         Term Frequency: 1         
Term: crosses                        Term Frequency: 1         
Term: similar                        Term Frequency: 1         
Term: driven                         Term Frequency: 1         
Term: indicated                      Term Frequency: 1         
Term: against                        Term Frequency: 1         
Term: took                           Term Frequency: 1         
Term: settings                       Term Frequency: 1         
Term: intervals                      Term Frequency: 1         
Term: multivocality                  Term Frequency: 1         
Term: stimulating                    Term Frequency: 1         
Term: reaching                       Term Frequency: 1         
Term: engage                         Term Frequency: 1         
Term: builds                         Term Frequency: 1         
Term: exchanges                      Term Frequency: 1         
Term: exchanged                      Term Frequency: 1         
Term: maybe                          Term Frequency: 1         
Term: automatically                  Term Frequency: 1         
Term: 2,636                          Term Frequency: 1         
Term: permitted                      Term Frequency: 1         
Term: mechanism                      Term Frequency: 1         
Term: dialogic                       Term Frequency: 1         
Term: imagine                        Term Frequency: 1         
Term: collated                       Term Frequency: 1         
Term: cni2                           Term Frequency: 1         
Term: cni1                           Term Frequency: 1         
Term: string                         Term Frequency: 1         
Term: cnik                           Term Frequency: 1         
Term: give                           Term Frequency: 1         
Term: p62                            Term Frequency: 1         
Term: determined                     Term Frequency: 1         
Term: wrong                          Term Frequency: 1         
Term: recordings                     Term Frequency: 1         
Term: certain                        Term Frequency: 1         
Term: ijjil                          Term Frequency: 1         
Term: investigated                   Term Frequency: 1         
Term: cnsk                           Term Frequency: 1         
Term: consideration                  Term Frequency: 1         
Term: carry                          Term Frequency: 1         
Term: reporting                      Term Frequency: 1         
Term: significantly                  Term Frequency: 1         
Term: presents                       Term Frequency: 1         
Term: straightforward                Term Frequency: 1         
Term: practice                       Term Frequency: 1         
Term: emphasises                     Term Frequency: 1         
Term: lower                          Term Frequency: 1         
Term: implementations                Term Frequency: 1         
Term: draw                           Term Frequency: 1         
Term: off                            Term Frequency: 1         
Term: overlapping                    Term Frequency: 1         
Term: moderator                      Term Frequency: 1         
Term: edge                           Term Frequency: 1         
Term: follows                        Term Frequency: 1         
Term: survey                         Term Frequency: 1         
Term: shifts                         Term Frequency: 1         
Term: checking                       Term Frequency: 1         
Term: variety                        Term Frequency: 1         
Term: behaviours                     Term Frequency: 1         
Term: awareness                      Term Frequency: 1         
Term: details                        Term Frequency: 1         
Term: tagging                        Term Frequency: 1         
Term: presence                       Term Frequency: 1         
Term: instrumental                   Term Frequency: 1         
Term: consuming                      Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: date                           Term Frequency: 1         
Term: reveal                         Term Frequency: 1         
Term: theoretical                    Term Frequency: 1         
Term: avoiding                       Term Frequency: 1         
Term: resource                       Term Frequency: 1         
Term: like                           Term Frequency: 1         
Term: messy                          Term Frequency: 1         
Term: ground                         Term Frequency: 1         
Term: note                           Term Frequency: 1         
Term: functions                      Term Frequency: 1         
Term: begins                         Term Frequency: 1         
Term: framed                         Term Frequency: 1         
Term: system’s                       Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: combines                       Term Frequency: 1         
Term: blue                           Term Frequency: 1         
Term: combined                       Term Frequency: 1         
Term: weighted                       Term Frequency: 1         
Term: conversation                   Term Frequency: 1         
Term: conforming                     Term Frequency: 1         
Term: divided                        Term Frequency: 1         
Term: 0.7505                         Term Frequency: 1         
Term: strands                        Term Frequency: 1         
Term: period                         Term Frequency: 1         
Term: jointly                        Term Frequency: 1         
Term: thresholds                     Term Frequency: 1         
Term: even                           Term Frequency: 1         
Term: engaged                        Term Frequency: 1         
Term: integrating                    Term Frequency: 1         
Term: assumes                        Term Frequency: 1         
Term: model’s                        Term Frequency: 1         
Term: kinds                          Term Frequency: 1         
Term: requiring                      Term Frequency: 1         
Term: manner                         Term Frequency: 1         
Term: 0.7572                         Term Frequency: 1         
Term: locate                         Term Frequency: 1         
Term: 0.7586                         Term Frequency: 1         
Term: unproductive                   Term Frequency: 1         
Term: pni                            Term Frequency: 1         
Term: restating                      Term Frequency: 1         
Term: gradient                       Term Frequency: 1         
Term: rebecca.ferguson               Term Frequency: 1         
Term: visualised                     Term Frequency: 1         
Term: slides                         Term Frequency: 1         
Term: asking                         Term Frequency: 1         
Term: overview                       Term Frequency: 1         
Term: volatile                       Term Frequency: 1         
Term: options                        Term Frequency: 1         
Term: identifies                     Term Frequency: 1         
Term: conclusions                    Term Frequency: 1         
Term: classrooms                     Term Frequency: 1         
Term: suffers                        Term Frequency: 1         
Term: archive                        Term Frequency: 1         
Term: classify                       Term Frequency: 1         
Term: applying                       Term Frequency: 1         
Term: eighth                         Term Frequency: 1         
Term: optimising                     Term Frequency: 1         
Term: comes                          Term Frequency: 1         
Term: embedded                       Term Frequency: 1         
Term: prior                          Term Frequency: 1         
Term: relatively                     Term Frequency: 1         
Term: some                           Term Frequency: 1         
Term: primarily                      Term Frequency: 1         
Term: 2009                           Term Frequency: 1         
Term: 2007                           Term Frequency: 1         
Term: 0.8710                         Term Frequency: 1         
Term: 0.8717                         Term Frequency: 1         
Term: existing                       Term Frequency: 1         
Term: owned                          Term Frequency: 1         
Term: 31st                           Term Frequency: 1         
Term: 10.1.1.103.1693                Term Frequency: 1         
Term: amber                          Term Frequency: 1         
Term: positive                       Term Frequency: 1         
Term: selected                       Term Frequency: 1         
Term: occur                          Term Frequency: 1         
Term: 2087                           Term Frequency: 1         
Term: sort                           Term Frequency: 1         
Term: true                           Term Frequency: 1         
Term: since                          Term Frequency: 1         
Term: equation                       Term Frequency: 1         
Term: ongoing                        Term Frequency: 1         
Term: processing                     Term Frequency: 1         
Term: outline                        Term Frequency: 1         
Term: people                         Term Frequency: 1         
Term: designing                      Term Frequency: 1         
Term: mainly                         Term Frequency: 1         
Term: collection                     Term Frequency: 1         
Term: conflict                       Term Frequency: 1         
Term: reasons                        Term Frequency: 1         
Term: dependent                      Term Frequency: 1         
Term: quantification                 Term Frequency: 1         
Term: itself                         Term Frequency: 1         
Term: event                          Term Frequency: 1         
Term: demonstrated                   Term Frequency: 1         
Term: prefer                         Term Frequency: 1         
Term: signaling                      Term Frequency: 1         
Term: disputing                      Term Frequency: 1         
Term: network                        Term Frequency: 1         
Term: triangles                      Term Frequency: 1         
Term: cultural                       Term Frequency: 1         
Term: metrics                        Term Frequency: 1         
Term: qualities                      Term Frequency: 1         
Term: red                            Term Frequency: 1         
Term: intersect                      Term Frequency: 1         
Term: 1.12                           Term Frequency: 1         
Term: 1.13                           Term Frequency: 1         
Term: 1.10                           Term Frequency: 1         
Term: 1.11                           Term Frequency: 1         
Term: message                        Term Frequency: 1         
Term: 0.7753                         Term Frequency: 1         
Term: 1.23                           Term Frequency: 1         
Term: 1.24                           Term Frequency: 1         
Term: 1.21                           Term Frequency: 1         
Term: 1.22                           Term Frequency: 1         
Term: 1.20                           Term Frequency: 1         
Term: 1.18                           Term Frequency: 1         
Term: 1.19                           Term Frequency: 1         
Term: 1.16                           Term Frequency: 1         
Term: 1.17                           Term Frequency: 1         
Term: 1.14                           Term Frequency: 1         
Term: 1.15                           Term Frequency: 1         
Term: 1.34                           Term Frequency: 1         
Term: 1.35                           Term Frequency: 1         
Term: 1.32                           Term Frequency: 1         
Term: 1.33                           Term Frequency: 1         
Term: 1.30                           Term Frequency: 1         
Term: 1.31                           Term Frequency: 1         
Term: 1.29                           Term Frequency: 1         
Term: 1.27                           Term Frequency: 1         
Term: 1.28                           Term Frequency: 1         
Term: 1.25                           Term Frequency: 1         
Term: 1.26                           Term Frequency: 1         
Term: aim                            Term Frequency: 1         
Term: zywei                          Term Frequency: 1         
Term: steadily                       Term Frequency: 1         
Term: outcome                        Term Frequency: 1         
Term: movement                       Term Frequency: 1         
Term: untrained                      Term Frequency: 1         
Term: body                           Term Frequency: 1         
Term: mode                           Term Frequency: 1         
Term: always                         Term Frequency: 1         
Term: already                        Term Frequency: 1         
Term: applicable                     Term Frequency: 1         
Term: suggested                      Term Frequency: 1         
Term: tuned                          Term Frequency: 1         
Term: until                          Term Frequency: 1         
Term: expanding                      Term Frequency: 1         
Term: hired                          Term Frequency: 1         
Term: inferring                      Term Frequency: 1         
Term: manipulated                    Term Frequency: 1         
Term: increases                      Term Frequency: 1         
Term: endpoint                       Term Frequency: 1         
Term: resourcing                     Term Frequency: 1         
Term: statistic                      Term Frequency: 1         
Term: 24,530                         Term Frequency: 1         
Term: bold                           Term Frequency: 1         
Term: iterations                     Term Frequency: 1         
Term: generating                     Term Frequency: 1         
Term: 10,568                         Term Frequency: 1         
Term: dangers                        Term Frequency: 1         
Term: pattern                        Term Frequency: 1         
Term: labour                         Term Frequency: 1         
Term: pressured                      Term Frequency: 1         
Term: inaccurate                     Term Frequency: 1         
Term: diamonds                       Term Frequency: 1         
Term: negotiate                      Term Frequency: 1         
Term: interactions                   Term Frequency: 1         
Term: database                       Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: outperforms                    Term Frequency: 1         
Term: classifier’s                   Term Frequency: 1         
Term: bar                            Term Frequency: 1         
Term: enquiry                        Term Frequency: 1         
Term: 0.7658                         Term Frequency: 1         
