Term: analysis                       Term Frequency: 56        
Term: his                            Term Frequency: 1         
Term: employs                        Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: potential                      Term Frequency: 1         
Term: uptake                         Term Frequency: 1         
Term: process                        Term Frequency: 1         
Term: optimising                     Term Frequency: 1         
Term: evaluation                     Term Frequency: 1         
Term: stimuli                        Term Frequency: 1         
Term: qualitative                    Term Frequency: 1         
Term: limitations                    Term Frequency: 1         
Term: visualized                     Term Frequency: 1         
Term: evaluating                     Term Frequency: 1         
Term: amenable                       Term Frequency: 1         
Term: characteristic                 Term Frequency: 1         
Term: series                         Term Frequency: 1         
Term: questions                      Term Frequency: 1         
Term: prior                          Term Frequency: 1         
Term: 2001                           Term Frequency: 1         
Term: 2000                           Term Frequency: 1         
Term: interweaves                    Term Frequency: 1         
Term: 2010                           Term Frequency: 1         
Term: 2008                           Term Frequency: 1         
Term: 2006                           Term Frequency: 1         
Term: 2004                           Term Frequency: 1         
Term: 2002                           Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: 743                            Term Frequency: 1         
Term: 747                            Term Frequency: 1         
Term: simulation                     Term Frequency: 1         
Term: answers                        Term Frequency: 1         
Term: meld                           Term Frequency: 1         
Term: explored                       Term Frequency: 1         
Term: 767                            Term Frequency: 1         
Term: 778                            Term Frequency: 1         
Term: within                         Term Frequency: 1         
Term: machine                        Term Frequency: 1         
Term: individualized                 Term Frequency: 1         
Term: calculated                     Term Frequency: 1         
Term: artifacts                      Term Frequency: 1         
Term: wavelength                     Term Frequency: 1         
Term: illustrate                     Term Frequency: 1         
Term: task                           Term Frequency: 1         
Term: principles                     Term Frequency: 1         
Term: position                       Term Frequency: 1         
Term: problems                       Term Frequency: 1         
Term: interpretability               Term Frequency: 1         
Term: ongoing                        Term Frequency: 1         
Term: dissimilar                     Term Frequency: 1         
Term: functional                     Term Frequency: 1         
Term: perspective                    Term Frequency: 1         
Term: simulations                    Term Frequency: 1         
Term: extends                        Term Frequency: 1         
Term: reasons                        Term Frequency: 1         
Term: layouts                        Term Frequency: 1         
Term: facilitating                   Term Frequency: 1         
Term: itself                         Term Frequency: 1         
Term: versions                       Term Frequency: 1         
Term: delineate                      Term Frequency: 1         
Term: innate                         Term Frequency: 1         
Term: insights                       Term Frequency: 1         
Term: solving                        Term Frequency: 1         
Term: performance                    Term Frequency: 1         
Term: accuracy                       Term Frequency: 1         
Term: metrics                        Term Frequency: 1         
Term: post                           Term Frequency: 1         
Term: educational                    Term Frequency: 1         
Term: respect                        Term Frequency: 1         
Term: production                     Term Frequency: 1         
Term: choose                         Term Frequency: 1         
Term: smaller                        Term Frequency: 1         
Term: number                         Term Frequency: 1         
Term: property                       Term Frequency: 1         
Term: testing                        Term Frequency: 1         
Term: system                         Term Frequency: 1         
Term: atop                           Term Frequency: 1         
Term: 5214                           Term Frequency: 1         
Term: complement                     Term Frequency: 1         
Term: maintained                     Term Frequency: 1         
Term: 5219                           Term Frequency: 1         
Term: conducted                      Term Frequency: 1         
Term: real                           Term Frequency: 1         
Term: facilitate                     Term Frequency: 1         
Term: predict                        Term Frequency: 1         
Term: construction                   Term Frequency: 1         
Term: tuned                          Term Frequency: 1         
Term: poverty                        Term Frequency: 1         
Term: repertoire                     Term Frequency: 1         
Term: containing                     Term Frequency: 1         
Term: refine                         Term Frequency: 1         
Term: diversity                      Term Frequency: 1         
Term: notion                         Term Frequency: 1         
Term: where                          Term Frequency: 1         
Term: broader                        Term Frequency: 1         
Term: takes                          Term Frequency: 1         
Term: detection                      Term Frequency: 1         
Term: learner's                      Term Frequency: 1         
Term: call                           Term Frequency: 1         
Term: speculative                    Term Frequency: 1         
Term: 150this                        Term Frequency: 1         
Term: relations                      Term Frequency: 1         
Term: strength                       Term Frequency: 1         
Term: either                         Term Frequency: 1         
Term: introduce                      Term Frequency: 1         
Term: experimental                   Term Frequency: 1         
Term: cast                           Term Frequency: 1         
Term: broad                          Term Frequency: 1         
Term: exercise                       Term Frequency: 1         
Term: physics                        Term Frequency: 1         
Term: minimizing                     Term Frequency: 1         
Term: broadly                        Term Frequency: 1         
Term: rainbows                       Term Frequency: 1         
Term: described                      Term Frequency: 1         
Term: limitation                     Term Frequency: 1         
Term: affecting                      Term Frequency: 1         
Term: diagrams                       Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: enough                         Term Frequency: 1         
Term: reflected                      Term Frequency: 1         
Term: personal                       Term Frequency: 1         
Term: submitted                      Term Frequency: 1         
Term: intractable                    Term Frequency: 1         
Term: joined                         Term Frequency: 1         
Term: somewhat                       Term Frequency: 1         
Term: validity                       Term Frequency: 1         
Term: corresponds                    Term Frequency: 1         
Term: superposition                  Term Frequency: 1         
Term: little                         Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: unacceptable                   Term Frequency: 1         
Term: expert                         Term Frequency: 1         
Term: output                         Term Frequency: 1         
Term: advances                       Term Frequency: 1         
Term: individualistic                Term Frequency: 1         
Term: large                          Term Frequency: 1         
Term: paragraph                      Term Frequency: 1         
Term: inquiry                        Term Frequency: 1         
Term: theirs                         Term Frequency: 1         
Term: several                        Term Frequency: 1         
Term: level                          Term Frequency: 1         
Term: establish                      Term Frequency: 1         
Term: relevant                       Term Frequency: 1         
Term: focused                        Term Frequency: 1         
Term: raised                         Term Frequency: 1         
Term: 100                            Term Frequency: 1         
Term: 101                            Term Frequency: 1         
Term: 103                            Term Frequency: 1         
Term: 104                            Term Frequency: 1         
Term: essentially                    Term Frequency: 1         
Term: 109                            Term Frequency: 1         
Term: vary                           Term Frequency: 1         
Term: facilitated                    Term Frequency: 1         
Term: objective                      Term Frequency: 1         
Term: 115                            Term Frequency: 1         
Term: drawn                          Term Frequency: 1         
Term: generalization                 Term Frequency: 1         
Term: interpreted                    Term Frequency: 1         
Term: current                        Term Frequency: 1         
Term: 134                            Term Frequency: 1         
Term: 137                            Term Frequency: 1         
Term: key                            Term Frequency: 1         
Term: fragmenting                    Term Frequency: 1         
Term: available                      Term Frequency: 1         
Term: 151                            Term Frequency: 1         
Term: horizontal                     Term Frequency: 1         
Term: dynamic                        Term Frequency: 1         
Term: written                        Term Frequency: 1         
Term: 164                            Term Frequency: 1         
Term: enhanced                       Term Frequency: 1         
Term: virtue                         Term Frequency: 1         
Term: technology                     Term Frequency: 1         
Term: specially                      Term Frequency: 1         
Term: physicians                     Term Frequency: 1         
Term: goal                           Term Frequency: 1         
Term: natural                        Term Frequency: 1         
Term: slices                         Term Frequency: 1         
Term: range                          Term Frequency: 1         
Term: recall                         Term Frequency: 1         
Term: variously                      Term Frequency: 1         
Term: place                          Term Frequency: 1         
Term: digging                        Term Frequency: 1         
Term: suggest                        Term Frequency: 1         
Term: assess                         Term Frequency: 1         
Term: elements                       Term Frequency: 1         
Term: only                           Term Frequency: 1         
Term: constrain                      Term Frequency: 1         
Term: informant                      Term Frequency: 1         
Term: distinct                       Term Frequency: 1         
Term: aware                          Term Frequency: 1         
Term: player                         Term Frequency: 1         
Term: limited                        Term Frequency: 1         
Term: studied                        Term Frequency: 1         
Term: interplay                      Term Frequency: 1         
Term: corresponding                  Term Frequency: 1         
Term: independently                  Term Frequency: 1         
Term: A                              Term Frequency: 0         
Term: B                              Term Frequency: 0         
Term: C                              Term Frequency: 0         
Term: D                              Term Frequency: 0         
Term: E                              Term Frequency: 0         
Term: F                              Term Frequency: 0         
Term: H                              Term Frequency: 0         
Term: J                              Term Frequency: 0         
Term: K                              Term Frequency: 0         
Term: L                              Term Frequency: 0         
Term: M                              Term Frequency: 0         
Term: N                              Term Frequency: 0         
Term: P                              Term Frequency: 0         
Term: R                              Term Frequency: 0         
Term: S                              Term Frequency: 0         
Term: T                              Term Frequency: 0         
Term: V                              Term Frequency: 0         
Term: W                              Term Frequency: 0         
Term: X                              Term Frequency: 0         
Term: Y                              Term Frequency: 0         
Term: Z                              Term Frequency: 0         
Term: Based                          Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: Reffay                         Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Freeman                        Term Frequency: 0         
Term: Laham                          Term Frequency: 0         
Term: Intell                         Term Frequency: 0         
Term: Dimitriadis                    Term Frequency: 0         
Term: Computers                      Term Frequency: 0         
Term: Noshir                         Term Frequency: 0         
Term: Collaborative                  Term Frequency: 0         
Term: T.K                            Term Frequency: 0         
Term: Barrett                        Term Frequency: 0         
Term: SNA                            Term Frequency: 0         
Term: Networked                      Term Frequency: 0         
Term: Academic                       Term Frequency: 0         
Term: DescriptorsK                   Term Frequency: 0         
Term: Krackhardt                     Term Frequency: 0         
Term: C.J                            Term Frequency: 0         
Term: Ravi                           Term Frequency: 0         
Term: Angeli                         Term Frequency: 0         
Term: Copyright                      Term Frequency: 0         
Term: Education                      Term Frequency: 0         
Term: Louwerse                       Term Frequency: 0         
Term: graph.Figure                   Term Frequency: 0         
Term: Networks                       Term Frequency: 0         
Term: THEORETICAL                    Term Frequency: 0         
Term: Code                           Term Frequency: 0         
Term: SVD                            Term Frequency: 0         
Term: BACKGROUNDWasserman1and        Term Frequency: 0         
Term: Vatrapu21                      Term Frequency: 0         
Term: Lipponen                       Term Frequency: 0         
Term: Foltz                          Term Frequency: 0         
Term: They                           Term Frequency: 0         
Term: KISSME                         Term Frequency: 0         
Term: Contractor                     Term Frequency: 0         
Term: There                          Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: These                          Term Frequency: 0         
Term: Dennis                         Term Frequency: 0         
Term: Supported                      Term Frequency: 0         
Term: Rehder                         Term Frequency: 0         
Term: Components                     Term Frequency: 0         
Term: Network                        Term Frequency: 0         
Term: Computer                       Term Frequency: 0         
Term: L.C                            Term Frequency: 0         
Term: Malden                         Term Frequency: 0         
Term: Given                          Term Frequency: 0         
Term: Affective                      Term Frequency: 0         
Term: Bobbs                          Term Frequency: 0         
Term: York                           Term Frequency: 0         
Term: Recent                         Term Frequency: 0         
Term: GAME                           Term Frequency: 0         
Term: KSV                            Term Frequency: 0         
Term: Thus                           Term Frequency: 0         
Term: Space                          Term Frequency: 0         
Term: Magenta                        Term Frequency: 0         
Term: THE                            Term Frequency: 0         
Term: Blue                           Term Frequency: 0         
Term: TermsDesign                    Term Frequency: 0         
Term: Interaction                    Term Frequency: 0         
Term: Laat                           Term Frequency: 0         
Term: Because                        Term Frequency: 0         
Term: University                     Term Frequency: 0         
Term: D.S                            Term Frequency: 0         
Term: D.R                            Term Frequency: 0         
Term: Canada                         Term Frequency: 0         
Term: ICHSL                          Term Frequency: 0         
Term: LAK                            Term Frequency: 0         
Term: Matching                       Term Frequency: 0         
Term: Chris                          Term Frequency: 0         
Term: Value                          Term Frequency: 0         
Term: Information                    Term Frequency: 0         
Term: Kong                           Term Frequency: 0         
Term: Categories                     Term Frequency: 0         
Term: McNamara                       Term Frequency: 0         
Term: Psychological                  Term Frequency: 0         
Term: March                          Term Frequency: 0         
Term: into                           Term Frequency: 0         
Term: But                            Term Frequency: 0         
Term: First                          Term Frequency: 0         
Term: Lemaire                        Term Frequency: 0         
Term: Games                          Term Frequency: 0         
Term: Martínez                       Term Frequency: 0         
Term: Time                           Term Frequency: 0         
Term: M.B                            Term Frequency: 0         
Term: M.E                            Term Frequency: 0         
Term: M.M                            Term Frequency: 0         
Term: Landauer                       Term Frequency: 0         
Term: Zampa                          Term Frequency: 0         
Term: Sociology                      Term Frequency: 0         
Term: LSA                            Term Frequency: 0         
Term: Cai                            Term Frequency: 0         
Term: Can                            Term Frequency: 0         
Term: Science                        Term Frequency: 0         
Term: Cognitive                      Term Frequency: 0         
Term: February                       Term Frequency: 0         
Term: Wasserman                      Term Frequency: 0         
Term: Lamaire's                      Term Frequency: 0         
Term: Street                         Term Frequency: 0         
Term: AB                             Term Frequency: 0         
Term: Dooley                         Term Frequency: 0         
Term: An                             Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: As                             Term Frequency: 0         
Term: At                             Term Frequency: 0         
Term: learning.Proceedings           Term Frequency: 0         
Term: Using                          Term Frequency: 0         
Term: E.M                            Term Frequency: 0         
Term: APPROACHES                     Term Frequency: 0         
Term: Hong                           Term Frequency: 0         
Term: Student                        Term Frequency: 0         
Term: Hu                             Term Frequency: 0         
Term: Some                           Term Frequency: 0         
Term: Medical                        Term Frequency: 0         
Term: Nobuko                         Term Frequency: 0         
Term: Toronto                        Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: Rather                         Term Frequency: 0         
Term: Journal                        Term Frequency: 0         
Term: MA                             Term Frequency: 0         
Term: NJ                             Term Frequency: 0         
Term: NL                             Term Frequency: 0         
Term: Simons                         Term Frequency: 0         
Term: Mahwah                         Term Frequency: 0         
Term: NY                             Term Frequency: 0         
Term: Understanding                  Term Frequency: 0         
Term: No                             Term Frequency: 0         
Term: Analytics                      Term Frequency: 0         
Term: Of                             Term Frequency: 0         
Term: Perhaps                        Term Frequency: 0         
Term: Tazi                           Term Frequency: 0         
Term: Erlbaum                        Term Frequency: 0         
Term: Figure                         Term Frequency: 0         
Term: such                           Term Frequency: 0         
Term: TO                             Term Frequency: 0         
Term: So                             Term Frequency: 0         
Term: Other                          Term Frequency: 0         
Term: PNAS                           Term Frequency: 0         
Term: UK                             Term Frequency: 0         
Term: To                             Term Frequency: 0         
Term: Dwyer                          Term Frequency: 0         
Term: Problem                        Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: was                            Term Frequency: 0         
Term: We                             Term Frequency: 0         
Term: Vygotskian                     Term Frequency: 0         
Term: Research                       Term Frequency: 0         
Term: Without                        Term Frequency: 0         
Term: Intelligence                   Term Frequency: 0         
Term: Plato’s                        Term Frequency: 0         
Term: EducationGeneral               Term Frequency: 0         
Term: Perspectives                   Term Frequency: 0         
Term: Rasmusen                       Term Frequency: 0         
Term: From                           Term Frequency: 0         
Term: Summary                        Term Frequency: 0         
Term: Menzel                         Term Frequency: 0         
Term: Handbook                       Term Frequency: 0         
Term: Generating                     Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: Theory                         Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: Examining                      Term Frequency: 0         
Term: Visualizing                    Term Frequency: 0         
Term: Explorer                       Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: Dessus                         Term Frequency: 0         
Term: Yorkers                        Term Frequency: 0         
Term: Wellman                        Term Frequency: 0         
Term: if                             Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: it                             Term Frequency: 0         
Term: Chanier                        Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: no                             Term Frequency: 0         
Term: Combining                      Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: Paris                          Term Frequency: 0         
Term: they                           Term Frequency: 0         
Term: then                           Term Frequency: 0         
Term: London                         Term Frequency: 0         
Term: Communication                  Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: this                           Term Frequency: 0         
Term: Common                         Term Frequency: 0         
Term: Faust                          Term Frequency: 0         
Term: Bonk                           Term Frequency: 0         
Term: Schreiner                      Term Frequency: 0         
Term: Care                           Term Frequency: 0         
Term: Designing                      Term Frequency: 0         
Term: Syst                           Term Frequency: 0         
Term: More                           Term Frequency: 0         
Term: Penumatsa                      Term Frequency: 0         
Term: Model                          Term Frequency: 0         
Term: Ventura                        Term Frequency: 0         
Term: Variable                       Term Frequency: 0         
Term: Considerably                   Term Frequency: 0         
Term: will                           Term Frequency: 0         
Term: Sociometry                     Term Frequency: 0         
Term: Therefore                      Term Frequency: 0         
Term: Vygotsky's                     Term Frequency: 0         
Term: these                          Term Frequency: 0         
Term: Analysis                       Term Frequency: 0         
Term: Fuente                         Term Frequency: 0         
Term: Social                         Term Frequency: 0         
Term: Press                          Term Frequency: 0         
Term: Wolfe                          Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: there                          Term Frequency: 0         
Term: 2Copenhagen                    Term Frequency: 0         
Term: Community                      Term Frequency: 0         
Term: Lally                          Term Frequency: 0         
Term: Finally                        Term Frequency: 0         
Term: American                       Term Frequency: 0         
Term: Chronological                  Term Frequency: 0         
Term: New                            Term Frequency: 0         
Term: INTRODUCTIONThe                Term Frequency: 0         
Term: However                        Term Frequency: 0         
Term: Artificial                     Term Frequency: 0         
Term: Modelling                      Term Frequency: 0         
Term: HTML5                          Term Frequency: 0         
Term: contributions.The              Term Frequency: 0         
Term: Discourse                      Term Frequency: 0         
Term: P.W                            Term Frequency: 0         
Term: Abnormal                       Term Frequency: 0         
Term: Whereas                        Term Frequency: 0         
Term: Katz                           Term Frequency: 0         
Term: Lawrence                       Term Frequency: 0         
Term: Derr                           Term Frequency: 0         
Term: Once                           Term Frequency: 0         
Term: Indianapolis                   Term Frequency: 0         
Term: Review                         Term Frequency: 0         
Term: Productive                     Term Frequency: 0         
Term: Overview                       Term Frequency: 0         
Term: Development                    Term Frequency: 0         
Term: Leinhardt                      Term Frequency: 0         
Term: Banff                          Term Frequency: 0         
Term: Kaye                           Term Frequency: 0         
Term: Proximal                       Term Frequency: 0         
Term: Publishers                     Term Frequency: 0         
Term: Decomposition                  Term Frequency: 0         
Term: Medina                         Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: Coleman                        Term Frequency: 0         
Term: Ideas                          Term Frequency: 0         
Term: Leavitt                        Term Frequency: 0         
Term: Bavelas                        Term Frequency: 0         
Term: H.J                            Term Frequency: 0         
Term: SUMMARYWe                      Term Frequency: 0         
Term: For                            Term Frequency: 0         
Term: CSCL                           Term Frequency: 0         
Term: Henri                          Term Frequency: 0         
Term: School                         Term Frequency: 0         
Term: International                  Term Frequency: 0         
Term: Google                         Term Frequency: 0         
Term: Exploring                      Term Frequency: 0         
Term: Hara                           Term Frequency: 0         
Term: Still                          Term Frequency: 0         
Term: Franceschetti                  Term Frequency: 0         
Term: Johnson                        Term Frequency: 0         
Term: Franzke                        Term Frequency: 0         
Term: Dynamics                       Term Frequency: 0         
Term: Plato's                        Term Frequency: 0         
Term: Cambridge                      Term Frequency: 0         
Term: Permission                     Term Frequency: 0         
Term: Singular                       Term Frequency: 0         
Term: One                            Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: Merrill                        Term Frequency: 0         
Term: Rubia                          Term Frequency: 0         
Term: Our                            Term Frequency: 0         
Term: Visualizer                     Term Frequency: 0         
Term: Society                        Term Frequency: 0         
Term: Dumais                         Term Frequency: 0         
Term: Systems                        Term Frequency: 0         
Term: Content                        Term Frequency: 0         
Term: Holland                        Term Frequency: 0         
Term: Zone                           Term Frequency: 0         
Term: Mediated                       Term Frequency: 0         
Term: Haythornthwaite                Term Frequency: 0         
Term: Learner                        Term Frequency: 0         
Term: UNDERSTANDING                  Term Frequency: 0         
Term: CSCL2011                       Term Frequency: 0         
Term: East                           Term Frequency: 0         
Term: Building                       Term Frequency: 0         
Term: Personnel                      Term Frequency: 0         
Term: Springer                       Term Frequency: 0         
Term: Representation                 Term Frequency: 0         
Term: Graesser                       Term Frequency: 0         
Term: Zreik                          Term Frequency: 0         
Term: Forum                          Term Frequency: 0         
Term: Predictive                     Term Frequency: 0         
Term: Teplovs                        Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: A.C                            Term Frequency: 0         
Term: A.K                            Term Frequency: 0         
Term: A.R                            Term Frequency: 0         
Term: Suthers                        Term Frequency: 0         
Term: REFERENCES                     Term Frequency: 0         
Term: Psychology                     Term Frequency: 0         
Term: Instructional                  Term Frequency: 0         
Term: Investigating                  Term Frequency: 0         
Term: KeywordsInformation            Term Frequency: 0         
Term: LEARNER’S                      Term Frequency: 0         
Term: GROUP                          Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: cbs.dkABSTRACTIn               Term Frequency: 0         
Term: Caccmise                       Term Frequency: 0         
Term: IEEE                           Term Frequency: 0         
Term: Modeling                       Term Frequency: 0         
Term: Put                            Term Frequency: 0         
Term: Studies                        Term Frequency: 0         
Term: Associates                     Term Frequency: 0         
Term: Principal                      Term Frequency: 0         
Term: Knowledge                      Term Frequency: 0         
Term: J.S                            Term Frequency: 0         
Term: Gomez                          Term Frequency: 0         
Term: Romney                         Term Frequency: 0         
Term: America                        Term Frequency: 0         
Term: IOS                            Term Frequency: 0         
Term: Latent                         Term Frequency: 0         
Term: How                            Term Frequency: 0         
Term: Visualization                  Term Frequency: 0         
Term: ACM                            Term Frequency: 0         
Term: Year                           Term Frequency: 0         
Term: Teaching                       Term Frequency: 0         
Term: Business                       Term Frequency: 0         
Term: DYNAMICS                       Term Frequency: 0         
Term: Processes                      Term Frequency: 0         
Term: SOFTWAREIn                     Term Frequency: 0         
Term: Structural                     Term Frequency: 0         
Term: Kintsch                        Term Frequency: 0         
Term: Rogers                         Term Frequency: 0         
Term: Tools                          Term Frequency: 0         
Term: S.C                            Term Frequency: 0         
Term: S.T                            Term Frequency: 0         
Term: Semantic                       Term Frequency: 0         
Term: available.In                   Term Frequency: 0         
Term: Europa                         Term Frequency: 0         
Term: Mandin                         Term Frequency: 0         
Term: Kluwer                         Term Frequency: 0         
Term: Innovation                     Term Frequency: 0         
Term: Blondel                        Term Frequency: 0         
Term: Java                           Term Frequency: 0         
Term: but                            Term Frequency: 0         
Term: Induction                      Term Frequency: 0         
Term: What                           Term Frequency: 0         
Term: STEF                           Term Frequency: 0         
Term: Subject                        Term Frequency: 0         
Term: Next                           Term Frequency: 0         
Term: Models                         Term Frequency: 0         
Term: Anthropologist                 Term Frequency: 0         
Term: Acoustical                     Term Frequency: 0         
Term: Vatrapu                        Term Frequency: 0         
Term: Fujita1,2                      Term Frequency: 0         
Term: Proceeding                     Term Frequency: 0         
Term: Methods                        Term Frequency: 0         
Term: Inf                            Term Frequency: 0         
Term: Teplovs1,2                     Term Frequency: 0         
Term: User                           Term Frequency: 0         
Term: Uses                           Term Frequency: 0         
Term: Blackwell                      Term Frequency: 0         
Term: Reimann                        Term Frequency: 0         
Term: Supporting                     Term Frequency: 0         
Term: While                          Term Frequency: 0         
