Term: knowledge                      Term Frequency: 44        
Term: ability                        Term Frequency: 1         
Term: 2.23                           Term Frequency: 1         
Term: acces                          Term Frequency: 1         
Term: generally                      Term Frequency: 1         
Term: linkages                       Term Frequency: 1         
Term: documented                     Term Frequency: 1         
Term: limit                          Term Frequency: 1         
Term: communication                  Term Frequency: 1         
Term: ogy                            Term Frequency: 1         
Term: ducted                         Term Frequency: 1         
Term: 2.42                           Term Frequency: 1         
Term: expand                         Term Frequency: 1         
Term: offairly                       Term Frequency: 1         
Term: determine                      Term Frequency: 1         
Term: 2.66                           Term Frequency: 1         
Term: recognizingthe                 Term Frequency: 1         
Term: ofcontribution                 Term Frequency: 1         
Term: 2.77                           Term Frequency: 1         
Term: recent                         Term Frequency: 1         
Term: summarizingrole                Term Frequency: 1         
Term: re                             Term Frequency: 1         
Term: includ                         Term Frequency: 1         
Term: singular                       Term Frequency: 1         
Term: starting                       Term Frequency: 1         
Term: 6two                           Term Frequency: 1         
Term: howinteractions                Term Frequency: 1         
Term: thisstudy                      Term Frequency: 1         
Term: explanations18                 Term Frequency: 1         
Term: necessary                      Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: builders                       Term Frequency: 1         
Term: us                             Term Frequency: 1         
Term: support                        Term Frequency: 1         
Term: descriptively                  Term Frequency: 1         
Term: attendto                       Term Frequency: 1         
Term: remainsmissing                 Term Frequency: 1         
Term: lier                           Term Frequency: 1         
Term: cases                          Term Frequency: 1         
Term: studentswrite                  Term Frequency: 1         
Term: wide                           Term Frequency: 1         
Term: fruitful                       Term Frequency: 1         
Term: none                           Term Frequency: 1         
Term: interactionsbetween            Term Frequency: 1         
Term: beyond                         Term Frequency: 1         
Term: countingoccurrences            Term Frequency: 1         
Term: results11                      Term Frequency: 1         
Term: researcher                     Term Frequency: 1         
Term: sufficientto                   Term Frequency: 1         
Term: rizing                         Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: puts                           Term Frequency: 1         
Term: cognitions                     Term Frequency: 1         
Term: categorical                    Term Frequency: 1         
Term: reveal                         Term Frequency: 1         
Term: theoretical                    Term Frequency: 1         
Term: 12.44                          Term Frequency: 1         
Term: profiles                       Term Frequency: 1         
Term: ofhigher                       Term Frequency: 1         
Term: efforts                        Term Frequency: 1         
Term: proposed                       Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: groups                         Term Frequency: 1         
Term: follow                         Term Frequency: 1         
Term: residuals                      Term Frequency: 1         
Term: theory17                       Term Frequency: 1         
Term: utoronto.camonica.resendes     Term Frequency: 1         
Term: considera                      Term Frequency: 1         
Term: explanation                    Term Frequency: 1         
Term: deviations                     Term Frequency: 1         
Term: introduced                     Term Frequency: 1         
Term: eliciting                      Term Frequency: 1         
Term: achieve                        Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: conductedon                    Term Frequency: 1         
Term: sets                           Term Frequency: 1         
Term: component                      Term Frequency: 1         
Term: combined                       Term Frequency: 1         
Term: novel                          Term Frequency: 1         
Term: adopted                        Term Frequency: 1         
Term: standard                       Term Frequency: 1         
Term: reports                        Term Frequency: 1         
Term: notmade                        Term Frequency: 1         
Term: interactionresearch            Term Frequency: 1         
Term: analyses                       Term Frequency: 1         
Term: temic                          Term Frequency: 1         
Term: contributes                    Term Frequency: 1         
Term: neglected                      Term Frequency: 1         
Term: aspecified                     Term Frequency: 1         
Term: divided                        Term Frequency: 1         
Term: contribu                       Term Frequency: 1         
Term: standardized                   Term Frequency: 1         
Term: whowere                        Term Frequency: 1         
Term: 623                            Term Frequency: 1         
Term: ments                          Term Frequency: 1         
Term: opinion24                      Term Frequency: 1         
Term: favorable                      Term Frequency: 1         
Term: plied                          Term Frequency: 1         
Term: thesis                         Term Frequency: 1         
Term: understand                     Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: ever                           Term Frequency: 1         
Term: engaged                        Term Frequency: 1         
Term: diagnosing                     Term Frequency: 1         
Term: attributed                     Term Frequency: 1         
Term: dataget                        Term Frequency: 1         
Term: names                          Term Frequency: 1         
Term: pivotal                        Term Frequency: 1         
Term: tempo                          Term Frequency: 1         
Term: earlier                        Term Frequency: 1         
Term: explanation7                   Term Frequency: 1         
Term: explanation6                   Term Frequency: 1         
Term: explanation5                   Term Frequency: 1         
Term: overarching                    Term Frequency: 1         
Term: quantitativemethod             Term Frequency: 1         
Term: theimportance                  Term Frequency: 1         
Term: explanations                   Term Frequency: 1         
Term: encyclopedia                   Term Frequency: 1         
Term: conduct                        Term Frequency: 1         
Term: interested                     Term Frequency: 1         
Term: withcredit                     Term Frequency: 1         
Term: technol                        Term Frequency: 1         
Term: recognize                      Term Frequency: 1         
Term: comparisons                    Term Frequency: 1         
Term: processof                      Term Frequency: 1         
Term: must                           Term Frequency: 1         
Term: pects                          Term Frequency: 1         
Term: pos                            Term Frequency: 1         
Term: standing                       Term Frequency: 1         
Term: extensively                    Term Frequency: 1         
Term: attend                         Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: realideas                      Term Frequency: 1         
Term: measure                        Term Frequency: 1         
Term: plural                         Term Frequency: 1         
Term: early                          Term Frequency: 1         
Term: ence                           Term Frequency: 1         
Term: typical                        Term Frequency: 1         
Term: withnarrative                  Term Frequency: 1         
Term: program                        Term Frequency: 1         
Term: infant                         Term Frequency: 1         
Term: bringabout                     Term Frequency: 1         
Term: probabilities                  Term Frequency: 1         
Term: studyingstudents               Term Frequency: 1         
Term: valuable                       Term Frequency: 1         
Term: hnert                          Term Frequency: 1         
Term: unfortunately                  Term Frequency: 1         
Term: consistent                     Term Frequency: 1         
Term: organized                      Term Frequency: 1         
Term: chal                           Term Frequency: 1         
Term: munity                         Term Frequency: 1         
Term: ciation                        Term Frequency: 1         
Term: major                          Term Frequency: 1         
Term: feasible                       Term Frequency: 1         
Term: 7.58                           Term Frequency: 1         
Term: improvablecategories           Term Frequency: 1         
Term: point                          Term Frequency: 1         
Term: scientomet                     Term Frequency: 1         
Term: alternative                    Term Frequency: 1         
Term: determining                    Term Frequency: 1         
Term: account                        Term Frequency: 1         
Term: advance                        Term Frequency: 1         
Term: 227derstanding                 Term Frequency: 1         
Term: active                         Term Frequency: 1         
Term: flexible                       Term Frequency: 1         
Term: consisted                      Term Frequency: 1         
Term: embedded                       Term Frequency: 1         
Term: answer                         Term Frequency: 1         
Term: represent                      Term Frequency: 1         
Term: interpersonal                  Term Frequency: 1         
Term: fied                           Term Frequency: 1         
Term: aggregating                    Term Frequency: 1         
Term: prior                          Term Frequency: 1         
Term: talk                           Term Frequency: 1         
Term: 718                            Term Frequency: 1         
Term: 726                            Term Frequency: 1         
Term: question3                      Term Frequency: 1         
Term: question2                      Term Frequency: 1         
Term: 2004                           Term Frequency: 1         
Term: 2002                           Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: 99.27                          Term Frequency: 1         
Term: existing                       Term Frequency: 1         
Term: owned                          Term Frequency: 1         
Term: 2014                           Term Frequency: 1         
Term: explain                        Term Frequency: 1         
Term: thereis                        Term Frequency: 1         
Term: buildingdiscourse              Term Frequency: 1         
Term: unfoldsin                      Term Frequency: 1         
Term: deservesmore                   Term Frequency: 1         
Term: greatpromise                   Term Frequency: 1         
Term: together                       Term Frequency: 1         
Term: typeswere                      Term Frequency: 1         
Term: inuncovering                   Term Frequency: 1         
Term: defining                       Term Frequency: 1         
Term: ment                           Term Frequency: 1         
Term: numberof                       Term Frequency: 1         
Term: temporaldata                   Term Frequency: 1         
Term: codes                          Term Frequency: 1         
Term: occur                          Term Frequency: 1         
Term: problems14                     Term Frequency: 1         
Term: alyzing                        Term Frequency: 1         
Term: repre                          Term Frequency: 1         
Term: competencies                   Term Frequency: 1         
Term: concerning                     Term Frequency: 1         
Term: asso                           Term Frequency: 1         
Term: pointed                        Term Frequency: 1         
Term: perspective                    Term Frequency: 1         
Term: 82.5                           Term Frequency: 1         
Term: conditional                    Term Frequency: 1         
Term: independence                   Term Frequency: 1         
Term: mainly                         Term Frequency: 1         
Term: ics                            Term Frequency: 1         
Term: theoryinformation              Term Frequency: 1         
Term: 4.77                           Term Frequency: 1         
Term: incorporatedinteractive        Term Frequency: 1         
Term: ies                            Term Frequency: 1         
Term: summary                        Term Frequency: 1         
Term: questioningand                 Term Frequency: 1         
Term: sourceswhen                    Term Frequency: 1         
Term: discussions                    Term Frequency: 1         
Term: 14.23                          Term Frequency: 1         
Term: facilitating                   Term Frequency: 1         
Term: ofcontributors                 Term Frequency: 1         
Term: spectrum                       Term Frequency: 1         
Term: whileimprovable                Term Frequency: 1         
Term: senting                        Term Frequency: 1         
Term: demonstrated                   Term Frequency: 1         
Term: caused                         Term Frequency: 1         
Term: indicatedproductive            Term Frequency: 1         
Term: inferred                       Term Frequency: 1         
Term: relationsamong                 Term Frequency: 1         
Term: insights                       Term Frequency: 1         
Term: sequentialinformation          Term Frequency: 1         
Term: experience13                   Term Frequency: 1         
Term: collabora                      Term Frequency: 1         
Term: solving                        Term Frequency: 1         
Term: gradeswere                     Term Frequency: 1         
Term: resources                      Term Frequency: 1         
Term: werecomfortable                Term Frequency: 1         
Term: descrip                        Term Frequency: 1         
Term: indicators                     Term Frequency: 1         
Term: exam                           Term Frequency: 1         
Term: manual                         Term Frequency: 1         
Term: andzero                        Term Frequency: 1         
Term: aspect                         Term Frequency: 1         
Term: formativefeedback              Term Frequency: 1         
Term: inquirythreads                 Term Frequency: 1         
Term: learningsciences               Term Frequency: 1         
Term: communicate                    Term Frequency: 1         
Term: controls                       Term Frequency: 1         
Term: post                           Term Frequency: 1         
Term: its                            Term Frequency: 1         
Term: ity                            Term Frequency: 1         
Term: 1.02                           Term Frequency: 1         
Term: analogies21                    Term Frequency: 1         
Term: studyadvances                  Term Frequency: 1         
Term: improvement                    Term Frequency: 1         
Term: nior                           Term Frequency: 1         
Term: moves                          Term Frequency: 1         
Term: profilesof                     Term Frequency: 1         
Term: ric                            Term Frequency: 1         
Term: variation                      Term Frequency: 1         
Term: years                          Term Frequency: 1         
Term: testing                        Term Frequency: 1         
Term: nothing                        Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: 1.32                           Term Frequency: 1         
Term: likelihood                     Term Frequency: 1         
Term: segments                       Term Frequency: 1         
Term: provable                       Term Frequency: 1         
Term: ining                          Term Frequency: 1         
Term: 1.50                           Term Frequency: 1         
Term: body                           Term Frequency: 1         
Term: 1.64                           Term Frequency: 1         
Term: implemented                    Term Frequency: 1         
Term: sixmajor                       Term Frequency: 1         
Term: already                        Term Frequency: 1         
Term: percentages                    Term Frequency: 1         
Term: 1.79                           Term Frequency: 1         
Term: real                           Term Frequency: 1         
Term: collect                        Term Frequency: 1         
Term: facilitate                     Term Frequency: 1         
Term: 1.89                           Term Frequency: 1         
Term: 1.88                           Term Frequency: 1         
Term: rect                           Term Frequency: 1         
Term: predict                        Term Frequency: 1         
Term: construction                   Term Frequency: 1         
Term: 1.91                           Term Frequency: 1         
Term: 1.99                           Term Frequency: 1         
Term: application                    Term Frequency: 1         
Term: hypothesis                     Term Frequency: 1         
Term: thought                        Term Frequency: 1         
Term: construc                       Term Frequency: 1         
Term: affordances                    Term Frequency: 1         
Term: involvedsignificantly          Term Frequency: 1         
Term: worth                          Term Frequency: 1         
Term: typesinto                      Term Frequency: 1         
Term: discus                         Term Frequency: 1         
Term: notion                         Term Frequency: 1         
Term: diversity                      Term Frequency: 1         
Term: popular                        Term Frequency: 1         
Term: isalso                         Term Frequency: 1         
Term: perspectivesand                Term Frequency: 1         
Term: consequencesof                 Term Frequency: 1         
Term: lowing                         Term Frequency: 1         
Term: view                           Term Frequency: 1         
Term: significant                    Term Frequency: 1         
Term: spaces                         Term Frequency: 1         
Term: contributionmeasures           Term Frequency: 1         
Term: improvableinquiry              Term Frequency: 1         
Term: ally                           Term Frequency: 1         
Term: improvableknowledge            Term Frequency: 1         
Term: guidance                       Term Frequency: 1         
Term: assignments                    Term Frequency: 1         
Term: collected                      Term Frequency: 1         
Term: 99.57                          Term Frequency: 1         
Term: 23.84                          Term Frequency: 1         
Term: productiv                      Term Frequency: 1         
Term: explanatory                    Term Frequency: 1         
Term: dressing                       Term Frequency: 1         
Term: pages159                       Term Frequency: 1         
Term: callsfor                       Term Frequency: 1         
Term: downtown                       Term Frequency: 1         
Term: epis                           Term Frequency: 1         
Term: 11.89                          Term Frequency: 1         
Term: cussion                        Term Frequency: 1         
Term: mostsupporting                 Term Frequency: 1         
Term: tifacts                        Term Frequency: 1         
Term: accounts                       Term Frequency: 1         
Term: icant                          Term Frequency: 1         
Term: ideaflow                       Term Frequency: 1         
Term: lenge                          Term Frequency: 1         
Term: percentage                     Term Frequency: 1         
Term: factual                        Term Frequency: 1         
Term: vancing                        Term Frequency: 1         
Term: ofother                        Term Frequency: 1         
Term: most                           Term Frequency: 1         
Term: niques                         Term Frequency: 1         
Term: diagrams                       Term Frequency: 1         
Term: transitionalrelations          Term Frequency: 1         
Term: highlight                      Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: 9.15                           Term Frequency: 1         
Term: 9.19                           Term Frequency: 1         
Term: investigation                  Term Frequency: 1         
Term: frequencies                    Term Frequency: 1         
Term: planation                      Term Frequency: 1         
Term: reflected                      Term Frequency: 1         
Term: contributionsand               Term Frequency: 1         
Term: compared                       Term Frequency: 1         
Term: 6,97.63                        Term Frequency: 1         
Term: visualization                  Term Frequency: 1         
Term: 9.68                           Term Frequency: 1         
Term: ber                            Term Frequency: 1         
Term: achieveknowledge               Term Frequency: 1         
Term: dirkchen                       Term Frequency: 1         
Term: little                         Term Frequency: 1         
Term: sources                        Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: views                          Term Frequency: 1         
Term: six                            Term Frequency: 1         
Term: merged                         Term Frequency: 1         
Term: gradesis                       Term Frequency: 1         
Term: teractions                     Term Frequency: 1         
Term: agendafor                      Term Frequency: 1         
Term: big                            Term Frequency: 1         
Term: buildon                        Term Frequency: 1         
Term: improved                       Term Frequency: 1         
Term: large                          Term Frequency: 1         
Term: experi                         Term Frequency: 1         
Term: tackling                       Term Frequency: 1         
Term: proportion                     Term Frequency: 1         
Term: withdeep                       Term Frequency: 1         
Term: sequences                      Term Frequency: 1         
Term: angle                          Term Frequency: 1         
Term: withinformation                Term Frequency: 1         
Term: detecttemporal                 Term Frequency: 1         
Term: communal                       Term Frequency: 1         
Term: falls                          Term Frequency: 1         
Term: constructively                 Term Frequency: 1         
Term: level                          Term Frequency: 1         
Term: adjusted                       Term Frequency: 1         
Term: thisdataset                    Term Frequency: 1         
Term: produc                         Term Frequency: 1         
Term: showcasing                     Term Frequency: 1         
Term: total                          Term Frequency: 1         
Term: involv                         Term Frequency: 1         
Term: attributing                    Term Frequency: 1         
Term: nature                         Term Frequency: 1         
Term: informa                        Term Frequency: 1         
Term: howthe                         Term Frequency: 1         
Term: 101                            Term Frequency: 1         
Term: counts                         Term Frequency: 1         
Term: 20.90                          Term Frequency: 1         
Term: dynamics                       Term Frequency: 1         
Term: notproper                      Term Frequency: 1         
Term: 115                            Term Frequency: 1         
Term: 118                            Term Frequency: 1         
Term: dent                           Term Frequency: 1         
Term: secondary                      Term Frequency: 1         
Term: stu                            Term Frequency: 1         
Term: grounded                       Term Frequency: 1         
Term: patternsthat                   Term Frequency: 1         
Term: processesautomatically         Term Frequency: 1         
Term: current                        Term Frequency: 1         
Term: 138                            Term Frequency: 1         
Term: throughsocial                  Term Frequency: 1         
Term: makes                          Term Frequency: 1         
Term: 145                            Term Frequency: 1         
Term: 148                            Term Frequency: 1         
Term: story                          Term Frequency: 1         
Term: sion                           Term Frequency: 1         
Term: guiding                        Term Frequency: 1         
Term: contexts                       Term Frequency: 1         
Term: pairs                          Term Frequency: 1         
Term: frequency                      Term Frequency: 1         
Term: bewell                         Term Frequency: 1         
Term: ofcomputational                Term Frequency: 1         
Term: dynamic                        Term Frequency: 1         
Term: workedmore                     Term Frequency: 1         
Term: emphasizingtemporality         Term Frequency: 1         
Term: 166                            Term Frequency: 1         
Term: doing                          Term Frequency: 1         
Term: idea                           Term Frequency: 1         
Term: inventory                      Term Frequency: 1         
Term: 179                            Term Frequency: 1         
Term: 183                            Term Frequency: 1         
Term: behav                          Term Frequency: 1         
Term: andengages                     Term Frequency: 1         
Term: inproductive                   Term Frequency: 1         
Term: ones                           Term Frequency: 1         
Term: 6.34                           Term Frequency: 1         
Term: 192                            Term Frequency: 1         
Term: 193                            Term Frequency: 1         
Term: 196                            Term Frequency: 1         
Term: measureswere                   Term Frequency: 1         
Term: goal                           Term Frequency: 1         
Term: dependenciesoccurring          Term Frequency: 1         
Term: ideaspublic                    Term Frequency: 1         
Term: measuresbetween                Term Frequency: 1         
Term: range                          Term Frequency: 1         
Term: 2007.230                       Term Frequency: 1         
Term: feature                        Term Frequency: 1         
Term: deepening                      Term Frequency: 1         
Term: lead                           Term Frequency: 1         
Term: assess                         Term Frequency: 1         
Term: argument                       Term Frequency: 1         
Term: adequate                       Term Frequency: 1         
Term: growing                        Term Frequency: 1         
Term: surprisingly                   Term Frequency: 1         
Term: behaviors                      Term Frequency: 1         
Term: potentially                    Term Frequency: 1         
Term: cat                            Term Frequency: 1         
Term: interplay                      Term Frequency: 1         
Term: efficacy                       Term Frequency: 1         
Term: theproductivity                Term Frequency: 1         
Term: Small                          Term Frequency: 0         
Term: Kindergarten                   Term Frequency: 0         
Term: analysis.More                  Term Frequency: 0         
Term: A                              Term Frequency: 0         
Term: B                              Term Frequency: 0         
Term: C                              Term Frequency: 0         
Term: D                              Term Frequency: 0         
Term: E                              Term Frequency: 0         
Term: F                              Term Frequency: 0         
Term: G                              Term Frequency: 0         
Term: H                              Term Frequency: 0         
Term: I                              Term Frequency: 0         
Term: J                              Term Frequency: 0         
Term: Minerals                       Term Frequency: 0         
Term: K                              Term Frequency: 0         
Term: L                              Term Frequency: 0         
Term: M                              Term Frequency: 0         
Term: N                              Term Frequency: 0         
Term: P                              Term Frequency: 0         
Term: Q                              Term Frequency: 0         
Term: R                              Term Frequency: 0         
Term: S                              Term Frequency: 0         
Term: T                              Term Frequency: 0         
Term: V                              Term Frequency: 0         
Term: W                              Term Frequency: 0         
Term: Y                              Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: building:Theory                Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Henkins.A                      Term Frequency: 0         
Term: theLearning                    Term Frequency: 0         
Term: inquiry:Instruction            Term Frequency: 0         
Term: Computers                      Term Frequency: 0         
Term: Halatchliyskiand               Term Frequency: 0         
Term: ProceedingsVolume              Term Frequency: 0         
Term: UniversityPress                Term Frequency: 0         
Term: Collaborative                  Term Frequency: 0         
Term: DescriptorsK                   Term Frequency: 0         
Term: research.Categories            Term Frequency: 0         
Term: BACKGROUND2.1                  Term Frequency: 0         
Term: andC                           Term Frequency: 0         
Term: andS                           Term Frequency: 0         
Term: andP                           Term Frequency: 0         
Term: andN                           Term Frequency: 0         
Term: andM                           Term Frequency: 0         
Term: utoronto.caABSTRACTTemporality Term Frequency: 0         
Term: ResendesUniversity             Term Frequency: 0         
Term: Disruptive                     Term Frequency: 0         
Term: USAACM                         Term Frequency: 0         
Term: Education                      Term Frequency: 0         
Term: Rummel                         Term Frequency: 0         
Term: Ontario                        Term Frequency: 0         
Term: Boccurring                     Term Frequency: 0         
Term: Hecking                        Term Frequency: 0         
Term: Suite                          Term Frequency: 0         
Term: Productivity                   Term Frequency: 0         
Term: Sydney                         Term Frequency: 0         
Term: Group                          Term Frequency: 0         
Term: Instrumentation                Term Frequency: 0         
Term: Asa                            Term Frequency: 0         
Term: LsAtakes                       Term Frequency: 0         
Term: FullPapers                     Term Frequency: 0         
Term: Creating                       Term Frequency: 0         
Term: Papers                         Term Frequency: 0         
Term: Court                          Term Frequency: 0         
Term: Aug                            Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: problemsWorking                Term Frequency: 0         
Term: These                          Term Frequency: 0         
Term: Supported                      Term Frequency: 0         
Term: of1Code                        Term Frequency: 0         
Term: Conference                     Term Frequency: 0         
Term: Suppose                        Term Frequency: 0         
Term: Computer                       Term Frequency: 0         
Term: DISCUSSION                     Term Frequency: 0         
Term: Anoverview                     Term Frequency: 0         
Term: InProceedings                  Term Frequency: 0         
Term: Units                          Term Frequency: 0         
Term: Contributing                   Term Frequency: 0         
Term: York                           Term Frequency: 0         
Term: Sept                           Term Frequency: 0         
Term: Data                           Term Frequency: 0         
Term: Initiating                     Term Frequency: 0         
Term: Thus                           Term Frequency: 0         
Term: Space                          Term Frequency: 0         
Term: ofKnowledge                    Term Frequency: 0         
Term: See                            Term Frequency: 0         
Term: Note                           Term Frequency: 0         
Term: Analyzing                      Term Frequency: 0         
Term: Reporting                      Term Frequency: 0         
Term: Collective                     Term Frequency: 0         
Term: Interaction                    Term Frequency: 0         
Term: University                     Term Frequency: 0         
Term: With                           Term Frequency: 0         
Term: ImprovableNumber               Term Frequency: 0         
Term: Wise                           Term Frequency: 0         
Term: Effects                        Term Frequency: 0         
Term: Crowley                        Term Frequency: 0         
Term: LAK                            Term Frequency: 0         
Term: Spada                          Term Frequency: 0         
Term: ClassroomDialogue              Term Frequency: 0         
Term: Wang                           Term Frequency: 0         
Term: March                          Term Frequency: 0         
Term: Shores                         Term Frequency: 0         
Term: into                           Term Frequency: 0         
Term: 2Q                             Term Frequency: 0         
Term: Abbreviationsof                Term Frequency: 0         
Term: Australia                      Term Frequency: 0         
Term: SPSSprograms                   Term Frequency: 0         
Term: Santa                          Term Frequency: 0         
Term: Bereiter                       Term Frequency: 0         
Term: Time                           Term Frequency: 0         
Term: Zhang                          Term Frequency: 0         
Term: Levels                         Term Frequency: 0         
Term: SmallGroup                     Term Frequency: 0         
Term: data.Behavior                  Term Frequency: 0         
Term: Smith                          Term Frequency: 0         
Term: Faraone                        Term Frequency: 0         
Term: Ways                           Term Frequency: 0         
Term: 2Grade                         Term Frequency: 0         
Term: Mean                           Term Frequency: 0         
Term: Chen                           Term Frequency: 0         
Term: Since                          Term Frequency: 0         
Term: Formulating                    Term Frequency: 0         
Term: Yule’sQ                        Term Frequency: 0         
Term: Dialogue                       Term Frequency: 0         
Term: Street                         Term Frequency: 0         
Term: July                           Term Frequency: 0         
Term: Ai                             Term Frequency: 0         
Term: An                             Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: Chiu                           Term Frequency: 0         
Term: As                             Term Frequency: 0         
Term: At                             Term Frequency: 0         
Term: CA                             Term Frequency: 0         
Term: Weighing                       Term Frequency: 0         
Term: By                             Term Frequency: 0         
Term: Using                          Term Frequency: 0         
Term: Holm                           Term Frequency: 0         
Term: Previous                       Term Frequency: 0         
Term: Go                             Term Frequency: 0         
Term: IL                             Term Frequency: 0         
Term: IN                             Term Frequency: 0         
Term: Student                        Term Frequency: 0         
Term: Distribution                   Term Frequency: 0         
Term: If                             Term Frequency: 0         
Term: Toronto                        Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: It                             Term Frequency: 0         
Term: O’Connor                       Term Frequency: 0         
Term: USA                            Term Frequency: 0         
Term: Ju                             Term Frequency: 0         
Term: Lag                            Term Frequency: 0         
Term: Mercer                         Term Frequency: 0         
Term: Law                            Term Frequency: 0         
Term: Weinberger                     Term Frequency: 0         
Term: Journal                        Term Frequency: 0         
Term: MA                             Term Frequency: 0         
Term: Kapur                          Term Frequency: 0         
Term: Enhancing                      Term Frequency: 0         
Term: Temporality                    Term Frequency: 0         
Term: Chuy                           Term Frequency: 0         
Term: OI                             Term Frequency: 0         
Term: between228Table                Term Frequency: 0         
Term: Analytics                      Term Frequency: 0         
Term: Formative                      Term Frequency: 0         
Term: Cui                            Term Frequency: 0         
Term: Two                            Term Frequency: 0         
Term: Volume                         Term Frequency: 0         
Term: MIT                            Term Frequency: 0         
Term: SD                             Term Frequency: 0         
Term: Uncovering                     Term Frequency: 0         
Term: such                           Term Frequency: 0         
Term: discussion.Table               Term Frequency: 0         
Term: SupportedCollaborative         Term Frequency: 0         
Term: To                             Term Frequency: 0         
Term: KnowledgeBuilding              Term Frequency: 0         
Term: Individual                     Term Frequency: 0         
Term: questionTheorizing             Term Frequency: 0         
Term: LongPapers                     Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: WI                             Term Frequency: 0         
Term: Messina                        Term Frequency: 0         
Term: was                            Term Frequency: 0         
Term: Undoubtedly                    Term Frequency: 0         
Term: Symposia                       Term Frequency: 0         
Term: Canadabodong.chen              Term Frequency: 0         
Term: Research                       Term Frequency: 0         
Term: Climates                       Term Frequency: 0         
Term: LsA                            Term Frequency: 0         
Term: Behavior                       Term Frequency: 0         
Term: Advancing                      Term Frequency: 0         
Term: Grade                          Term Frequency: 0         
Term: Dec                            Term Frequency: 0         
Term: From                           Term Frequency: 0         
Term: Handbook                       Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: 3Grade                         Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: Towardthis                     Term Frequency: 0         
Term: Giving                         Term Frequency: 0         
Term: Emotional                      Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: Gunter                         Term Frequency: 0         
Term: Number                         Term Frequency: 0         
Term: Carrell                        Term Frequency: 0         
Term: Although                       Term Frequency: 0         
Term: ideasDiscussion                Term Frequency: 0         
Term: Advancement                    Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: it                             Term Frequency: 0         
Term: ImprovablePairs                Term Frequency: 0         
Term: aGrain                         Term Frequency: 0         
Term: May                            Term Frequency: 0         
Term: MeasurementKeywordsTemporal    Term Frequency: 0         
Term: Sciences                       Term Frequency: 0         
Term: Use                            Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: no                             Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: Statistical                    Term Frequency: 0         
Term: Jacobson                       Term Frequency: 0         
Term: discourseThe                   Term Frequency: 0         
Term: they                           Term Frequency: 0         
Term: London                         Term Frequency: 0         
Term: Practice:CSCL2011              Term Frequency: 0         
Term: Simple                         Term Frequency: 0         
Term: Rprogram                       Term Frequency: 0         
Term: environment.International      Term Frequency: 0         
Term: missing.To                     Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: Becauseknowledge               Term Frequency: 0         
Term: this                           Term Frequency: 0         
Term: Improvable                     Term Frequency: 0         
Term: Questioning                    Term Frequency: 0         
Term: Designing                      Term Frequency: 0         
Term: Stegmann                       Term Frequency: 0         
Term: CONCLUSIONSThe                 Term Frequency: 0         
Term: Table                          Term Frequency: 0         
Term: Thread                         Term Frequency: 0         
Term: Miyake                         Term Frequency: 0         
Term: threads.So                     Term Frequency: 0         
Term: World                          Term Frequency: 0         
Term: learning.The                   Term Frequency: 0         
Term: will                           Term Frequency: 0         
Term: Chicago                        Term Frequency: 0         
Term: Challengingassumptions         Term Frequency: 0         
Term: Also                           Term Frequency: 0         
Term: Water                          Term Frequency: 0         
Term: England                        Term Frequency: 0         
Term: Socio                          Term Frequency: 0         
Term: Therefore                      Term Frequency: 0         
Term: these                          Term Frequency: 0         
Term: ISLS                           Term Frequency: 0         
Term: Sequential                     Term Frequency: 0         
Term: Providing                      Term Frequency: 0         
Term: Scardamalia                    Term Frequency: 0         
Term: Descriptive                    Term Frequency: 0         
Term: Analysis                       Term Frequency: 0         
Term: Aalst                          Term Frequency: 0         
Term: IKITToronto                    Term Frequency: 0         
Term: Class.In                       Term Frequency: 0         
Term: Press                          Term Frequency: 0         
Term: olds.Educational               Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: KnowledgeForum                 Term Frequency: 0         
