Term: science                        Term Frequency: 70        
Term: underscore                     Term Frequency: 1         
Term: 702                            Term Frequency: 1         
Term: adverbs                        Term Frequency: 1         
Term: 707                            Term Frequency: 1         
Term: publications                   Term Frequency: 1         
Term: 708                            Term Frequency: 1         
Term: prior                          Term Frequency: 1         
Term: 715                            Term Frequency: 1         
Term: some                           Term Frequency: 1         
Term: 2011                           Term Frequency: 1         
Term: 2006                           Term Frequency: 1         
Term: 2005                           Term Frequency: 1         
Term: 2004                           Term Frequency: 1         
Term: 2002                           Term Frequency: 1         
Term: passed                         Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: 2017                           Term Frequency: 1         
Term: owned                          Term Frequency: 1         
Term: explain                        Term Frequency: 1         
Term: 757                            Term Frequency: 1         
Term: validation                     Term Frequency: 1         
Term: classified                     Term Frequency: 1         
Term: sensitive                      Term Frequency: 1         
Term: altered                        Term Frequency: 1         
Term: periods                        Term Frequency: 1         
Term: together                       Term Frequency: 1         
Term: predominately                  Term Frequency: 1         
Term: 786                            Term Frequency: 1         
Term: individualized                 Term Frequency: 1         
Term: solution                       Term Frequency: 1         
Term: reviews                        Term Frequency: 1         
Term: fine                           Term Frequency: 1         
Term: selected                       Term Frequency: 1         
Term: occur                          Term Frequency: 1         
Term: difficult                      Term Frequency: 1         
Term: definitive                     Term Frequency: 1         
Term: experiences                    Term Frequency: 1         
Term: task                           Term Frequency: 1         
Term: position                       Term Frequency: 1         
Term: 95,6                           Term Frequency: 1         
Term: problems                       Term Frequency: 1         
Term: sentiment                      Term Frequency: 1         
Term: nouns                          Term Frequency: 1         
Term: sought                         Term Frequency: 1         
Term: coming                         Term Frequency: 1         
Term: sliver                         Term Frequency: 1         
Term: one’s                          Term Frequency: 1         
Term: thereby                        Term Frequency: 1         
Term: temperature                    Term Frequency: 1         
Term: caveats                        Term Frequency: 1         
Term: 2923                           Term Frequency: 1         
Term: coordinating                   Term Frequency: 1         
Term: parasite                       Term Frequency: 1         
Term: employ                         Term Frequency: 1         
Term: stepping                       Term Frequency: 1         
Term: safety                         Term Frequency: 1         
Term: demonstrated                   Term Frequency: 1         
Term: space                          Term Frequency: 1         
Term: spite                          Term Frequency: 1         
Term: demonstrates                   Term Frequency: 1         
Term: insights                       Term Frequency: 1         
Term: published                      Term Frequency: 1         
Term: intervention                   Term Frequency: 1         
Term: statements                     Term Frequency: 1         
Term: value                          Term Frequency: 1         
Term: performance                    Term Frequency: 1         
Term: growth                         Term Frequency: 1         
Term: scaffolding                    Term Frequency: 1         
Term: 808                            Term Frequency: 1         
Term: providing                      Term Frequency: 1         
Term: helped                         Term Frequency: 1         
Term: hawaii.edu                     Term Frequency: 1         
Term: educational                    Term Frequency: 1         
Term: identify                       Term Frequency: 1         
Term: recorded                       Term Frequency: 1         
Term: 863                            Term Frequency: 1         
Term: years                          Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: 311.64                         Term Frequency: 1         
Term: hypotheses                     Term Frequency: 1         
Term: algorithms                     Term Frequency: 1         
Term: city                           Term Frequency: 1         
Term: quantitatively                 Term Frequency: 1         
Term: sophomores                     Term Frequency: 1         
Term: decisions                      Term Frequency: 1         
Term: speak                          Term Frequency: 1         
Term: removes                        Term Frequency: 1         
Term: maintained                     Term Frequency: 1         
Term: always                         Term Frequency: 1         
Term: expense                        Term Frequency: 1         
Term: juniors                        Term Frequency: 1         
Term: commented                      Term Frequency: 1         
Term: application                    Term Frequency: 1         
Term: hypothesis                     Term Frequency: 1         
Term: thought                        Term Frequency: 1         
Term: tagged                         Term Frequency: 1         
Term: repertoire                     Term Frequency: 1         
Term: choices                        Term Frequency: 1         
Term: predictors                     Term Frequency: 1         
Term: engagement                     Term Frequency: 1         
Term: throughput                     Term Frequency: 1         
Term: those                          Term Frequency: 1         
Term: significant                    Term Frequency: 1         
Term: critique                       Term Frequency: 1         
Term: situated                       Term Frequency: 1         
Term: utilized                       Term Frequency: 1         
Term: southeastern                   Term Frequency: 1         
Term: freedom                        Term Frequency: 1         
Term: conceptually                   Term Frequency: 1         
Term: percentage                     Term Frequency: 1         
Term: episodes                       Term Frequency: 1         
Term: limitation                     Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: 3.2.1                          Term Frequency: 1         
Term: 3.2.2                          Term Frequency: 1         
Term: enough                         Term Frequency: 1         
Term: increase                       Term Frequency: 1         
Term: simply                         Term Frequency: 1         
Term: completing                     Term Frequency: 1         
Term: extracted                      Term Frequency: 1         
Term: complex                        Term Frequency: 1         
Term: personal                       Term Frequency: 1         
Term: submitted                      Term Frequency: 1         
Term: 4870                           Term Frequency: 1         
Term: compared                       Term Frequency: 1         
Term: completion                     Term Frequency: 1         
Term: sample                         Term Frequency: 1         
Term: validity                       Term Frequency: 1         
Term: developed                      Term Frequency: 1         
Term: 956                            Term Frequency: 1         
Term: typically                      Term Frequency: 1         
Term: 961                            Term Frequency: 1         
Term: little                         Term Frequency: 1         
Term: sources                        Term Frequency: 1         
Term: 77.11                          Term Frequency: 1         
Term: 970                            Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: unco.edu                       Term Frequency: 1         
Term: elusive                        Term Frequency: 1         
Term: avoid                          Term Frequency: 1         
Term: output                         Term Frequency: 1         
Term: 999                            Term Frequency: 1         
Term: sentence                       Term Frequency: 1         
Term: operate                        Term Frequency: 1         
Term: works                          Term Frequency: 1         
Term: world                          Term Frequency: 1         
Term: reanalyzed                     Term Frequency: 1         
Term: high                           Term Frequency: 1         
Term: relevant                       Term Frequency: 1         
Term: 1.1                            Term Frequency: 1         
Term: 1.2                            Term Frequency: 1         
Term: 1.3                            Term Frequency: 1         
Term: 1.4                            Term Frequency: 1         
Term: focused                        Term Frequency: 1         
Term: e0120638                       Term Frequency: 1         
Term: racial                         Term Frequency: 1         
Term: cross                          Term Frequency: 1         
Term: 112                            Term Frequency: 1         
Term: raises                         Term Frequency: 1         
Term: prompts                        Term Frequency: 1         
Term: closely                        Term Frequency: 1         
Term: 251.76                         Term Frequency: 1         
Term: interpreted                    Term Frequency: 1         
Term: key                            Term Frequency: 1         
Term: fourth                         Term Frequency: 1         
Term: 953.25                         Term Frequency: 1         
Term: doing                          Term Frequency: 1         
Term: assessed                       Term Frequency: 1         
Term: idea                           Term Frequency: 1         
Term: pending                        Term Frequency: 1         
Term: 175                            Term Frequency: 1         
Term: throughout                     Term Frequency: 1         
Term: successful                     Term Frequency: 1         
Term: types                          Term Frequency: 1         
Term: technology                     Term Frequency: 1         
Term: stone                          Term Frequency: 1         
Term: 186                            Term Frequency: 1         
Term: review                         Term Frequency: 1         
Term: goal                           Term Frequency: 1         
Term: following                      Term Frequency: 1         
Term: seeing                         Term Frequency: 1         
Term: observation                    Term Frequency: 1         
Term: 1890                           Term Frequency: 1         
Term: lead                           Term Frequency: 1         
Term: expect                         Term Frequency: 1         
Term: should                         Term Frequency: 1         
Term: mechanisms                     Term Frequency: 1         
Term: comparing                      Term Frequency: 1         
Term: regards                        Term Frequency: 1         
Term: 608.17                         Term Frequency: 1         
Term: potentially                    Term Frequency: 1         
Term: distinct                       Term Frequency: 1         
Term: hedge                          Term Frequency: 1         
Term: said                           Term Frequency: 1         
Term: limited                        Term Frequency: 1         
Term: response                       Term Frequency: 1         
Term: informal                       Term Frequency: 1         
Term: Dolphins                       Term Frequency: 0         
Term: A                              Term Frequency: 0         
Term: B                              Term Frequency: 0         
Term: C                              Term Frequency: 0         
Term: D                              Term Frequency: 0         
Term: E                              Term Frequency: 0         
Term: F                              Term Frequency: 0         
Term: I                              Term Frequency: 0         
Term: J                              Term Frequency: 0         
Term: K                              Term Frequency: 0         
Term: L                              Term Frequency: 0         
Term: M                              Term Frequency: 0         
Term: P                              Term Frequency: 0         
Term: S                              Term Frequency: 0         
Term: T                              Term Frequency: 0         
Term: W                              Term Frequency: 0         
Term: Y                              Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Keywords                       Term Frequency: 0         
Term: Directions                     Term Frequency: 0         
Term: PloS                           Term Frequency: 0         
Term: Novice                         Term Frequency: 0         
Term: Verb                           Term Frequency: 0         
Term: C.C                            Term Frequency: 0         
Term: C.S                            Term Frequency: 0         
Term: Conversely                     Term Frequency: 0         
Term: All                            Term Frequency: 0         
Term: Copyright                      Term Frequency: 0         
Term: Education                      Term Frequency: 0         
Term: Consequently                   Term Frequency: 0         
Term: Any                            Term Frequency: 0         
Term: Publishing                     Term Frequency: 0         
Term: CoreNLP                        Term Frequency: 0         
Term: Group                          Term Frequency: 0         
Term: Nature                         Term Frequency: 0         
Term: Novel                          Term Frequency: 0         
Term: They                           Term Frequency: 0         
Term: Services                       Term Frequency: 0         
Term: Tagging                        Term Frequency: 0         
Term: There                          Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: Unlike                         Term Frequency: 0         
Term: These                          Term Frequency: 0         
Term: Quarterly                      Term Frequency: 0         
Term: Conference                     Term Frequency: 0         
Term: Network                        Term Frequency: 0         
Term: DISCUSSION                     Term Frequency: 0         
Term: Given                          Term Frequency: 0         
Term: Amsterdam                      Term Frequency: 0         
Term: Greeley                        Term Frequency: 0         
Term: Contemporary                   Term Frequency: 0         
Term: Finkel                         Term Frequency: 0         
Term: Data                           Term Frequency: 0         
Term: CCS                            Term Frequency: 0         
Term: Second                         Term Frequency: 0         
Term: Verbs                          Term Frequency: 0         
Term: Thus                           Term Frequency: 0         
Term: Here                           Term Frequency: 0         
Term: See                            Term Frequency: 0         
Term: Textual                        Term Frequency: 0         
Term: Sandoval                       Term Frequency: 0         
Term: Computational                  Term Frequency: 0         
Term: Crossley                       Term Frequency: 0         
Term: University                     Term Frequency: 0         
Term: Buckingham                     Term Frequency: 0         
Term: Processing                     Term Frequency: 0         
Term: Patterns                       Term Frequency: 0         
Term: D.T                            Term Frequency: 0         
Term: Canada                         Term Frequency: 0         
Term: LAK                            Term Frequency: 0         
Term: Assoication                    Term Frequency: 0         
Term: Box                            Term Frequency: 0         
Term: Collection                     Term Frequency: 0         
Term: Ethnic                         Term Frequency: 0         
Term: COCA                           Term Frequency: 0         
Term: INTRODUCTION                   Term Frequency: 0         
Term: Importantly                    Term Frequency: 0         
Term: Participant                    Term Frequency: 0         
Term: Psychological                  Term Frequency: 0         
Term: March                          Term Frequency: 0         
Term: Differences                    Term Frequency: 0         
Term: into                           Term Frequency: 0         
Term: First                          Term Frequency: 0         
Term: Chinn                          Term Frequency: 0         
Term: Mortality                      Term Frequency: 0         
Term: Epistemology                   Term Frequency: 0         
Term: Expert                         Term Frequency: 0         
Term: Speech                         Term Frequency: 0         
Term: Chai                           Term Frequency: 0         
Term: Keyword                        Term Frequency: 0         
Term: Klein                          Term Frequency: 0         
Term: Interactive                    Term Frequency: 0         
Term: Assessment                     Term Frequency: 0         
Term: Science                        Term Frequency: 0         
Term: Chen                           Term Frequency: 0         
Term: Since                          Term Frequency: 0         
Term: Humour                         Term Frequency: 0         
Term: Future                         Term Frequency: 0         
Term: Ten                            Term Frequency: 0         
Term: Semantically                   Term Frequency: 0         
Term: BC                             Term Frequency: 0         
Term: An                             Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: As                             Term Frequency: 0         
Term: Linguistics                    Term Frequency: 0         
Term: CO                             Term Frequency: 0         
Term: Using                          Term Frequency: 0         
Term: Diverse                        Term Frequency: 0         
Term: Annual                         Term Frequency: 0         
Term: Bauer                          Term Frequency: 0         
Term: Previous                       Term Frequency: 0         
Term: Indian                         Term Frequency: 0         
Term: HI                             Term Frequency: 0         
Term: Sona                           Term Frequency: 0         
Term: DOI                            Term Frequency: 0         
Term: Publication                    Term Frequency: 0         
Term: Novices                        Term Frequency: 0         
Term: Automatic                      Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: It                             Term Frequency: 0         
Term: Usage                          Term Frequency: 0         
Term: L2                             Term Frequency: 0         
Term: Journal                        Term Frequency: 0         
Term: Understanding                  Term Frequency: 0         
Term: No                             Term Frequency: 0         
Term: Analytics                      Term Frequency: 0         
Term: Cyclic                         Term Frequency: 0         
Term: Perhaps                        Term Frequency: 0         
Term: On                             Term Frequency: 0         
Term: Or                             Term Frequency: 0         
Term: Automatically                  Term Frequency: 0         
Term: Lexical                        Term Frequency: 0         
Term: SD                             Term Frequency: 0         
Term: Rd                             Term Frequency: 0         
Term: Figure                         Term Frequency: 0         
Term: such                           Term Frequency: 0         
Term: Scott                          Term Frequency: 0         
Term: Preliminary                    Term Frequency: 0         
Term: To                             Term Frequency: 0         
Term: Individual                     Term Frequency: 0         
Term: System                         Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: Netherlands                    Term Frequency: 0         
Term: Alternatively                  Term Frequency: 0         
Term: Surdeanu                       Term Frequency: 0         
Term: Oliver                         Term Frequency: 0         
Term: was                            Term Frequency: 0         
Term: We                             Term Frequency: 0         
Term: Teachers                       Term Frequency: 0         
Term: Tsai                           Term Frequency: 0         
Term: Research                       Term Frequency: 0         
Term: Implications                   Term Frequency: 0         
Term: Kyle                           Term Frequency: 0         
Term: Keyness                        Term Frequency: 0         
Term: Confusion                      Term Frequency: 0         
Term: RESULTS                        Term Frequency: 0         
Term: Generating                     Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: Benjamins                      Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: Although                       Term Frequency: 0         
Term: TAALES                         Term Frequency: 0         
Term: ACKNOWLEDGMENTS                Term Frequency: 0         
Term: if                             Term Frequency: 0         
Term: Don                            Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: it                             Term Frequency: 0         
Term: Tracking                       Term Frequency: 0         
Term: May                            Term Frequency: 0         
Term: Use                            Term Frequency: 0         
Term: Reflect                        Term Frequency: 0         
Term: Conditions                     Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: Differ                         Term Frequency: 0         
Term: no                             Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: Practicing                     Term Frequency: 0         
Term: Manning                        Term Frequency: 0         
Term: Melanie                        Term Frequency: 0         
Term: States                         Term Frequency: 0         
Term: Counseling                     Term Frequency: 0         
Term: they                           Term Frequency: 0         
Term: then                           Term Frequency: 0         
Term: Matthew                        Term Frequency: 0         
Term: Simple                         Term Frequency: 0         
Term: NLP                            Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: Views                          Term Frequency: 0         
Term: this                           Term Frequency: 0         
Term: Specifically                   Term Frequency: 0         
Term: Schunn                         Term Frequency: 0         
Term: Kristopher                     Term Frequency: 0         
Term: Reveals                        Term Frequency: 0         
Term: Request                        Term Frequency: 0         
Term: Sophistication                 Term Frequency: 0         
Term: NSF                            Term Frequency: 0         
Term: Campus                         Term Frequency: 0         
Term: Level                          Term Frequency: 0         
Term: Peffer                         Term Frequency: 0         
Term: Table                          Term Frequency: 0         
Term: Beckler                        Term Frequency: 0         
Term: Company                        Term Frequency: 0         
Term: will                           Term Frequency: 0         
Term: Shum                           Term Frequency: 0         
Term: African                        Term Frequency: 0         
Term: Environments                   Term Frequency: 0         
Term: Therefore                      Term Frequency: 0         
Term: these                          Term Frequency: 0         
Term: Merrin                         Term Frequency: 0         
Term: Analysis                       Term Frequency: 0         
Term: European                       Term Frequency: 0         
Term: LOOCV                          Term Frequency: 0         
Term: Colorado                       Term Frequency: 0         
Term: Manoa                          Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: there                          Term Frequency: 0         
Term: Berland                        Term Frequency: 0         
Term: John                           Term Frequency: 0         
Term: Putative                       Term Frequency: 0         
Term: Malhotra                       Term Frequency: 0         
Term: American                       Term Frequency: 0         
Term: Events                         Term Frequency: 0         
Term: Among                          Term Frequency: 0         
Term: Choice                         Term Frequency: 0         
Term: Moore                          Term Frequency: 0         
Term: TESOL                          Term Frequency: 0         
Term: Indicies                       Term Frequency: 0         
Term: However                        Term Frequency: 0         
Term: Tribble                        Term Frequency: 0         
Term: Qualitative                    Term Frequency: 0         
Term: English                        Term Frequency: 0         
Term: Stanford                       Term Frequency: 0         
Term: Deng                           Term Frequency: 0         
Term: Writing                        Term Frequency: 0         
Term: Demonstrations                 Term Frequency: 0         
Term: Bethard                        Term Frequency: 0         
Term: Harrison                       Term Frequency: 0         
Term: Current                        Term Frequency: 0         
Term: Revak                          Term Frequency: 0         
Term: Simulations                    Term Frequency: 0         
Term: Lemmatized                     Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: Practices                      Term Frequency: 0         
Term: Method                         Term Frequency: 0         
Term: Hall                           Term Frequency: 0         
Term: Pelicans                       Term Frequency: 0         
Term: Proceedings                    Term Frequency: 0         
Term: For                            Term Frequency: 0         
Term: CSCL                           Term Frequency: 0         
Term: Language                       Term Frequency: 0         
Term: Copyrights                     Term Frequency: 0         
Term: Exploring                      Term Frequency: 0         
Term: Ross                           Term Frequency: 0         
Term: NAACL                          Term Frequency: 0         
Term: ABSTRACT                       Term Frequency: 0         
Term: Northern                       Term Frequency: 0         
Term: Changes                        Term Frequency: 0         
Term: West                           Term Frequency: 0         
Term: United                         Term Frequency: 0         
Term: Epistemologically              Term Frequency: 0         
Term: Permission                     Term Frequency: 0         
Term: Concepts                       Term Frequency: 0         
Term: Renken                         Term Frequency: 0         
Term: Inquiry                        Term Frequency: 0         
Term: Littleton                      Term Frequency: 0         
Term: Frequency                      Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: Asian                          Term Frequency: 0         
Term: Our                            Term Frequency: 0         
Term: Examples                       Term Frequency: 0         
Term: Computing                      Term Frequency: 0         
Term: Furthermore                    Term Frequency: 0         
Term: METHODOLOGY                    Term Frequency: 0         
Term: Content                        Term Frequency: 0         
Term: HLT                            Term Frequency: 0         
Term: Amazon.com                     Term Frequency: 0         
Term: Learner                        Term Frequency: 0         
Term: Participants                   Term Frequency: 0         
Term: Profiles                       Term Frequency: 0         
Term: Mike                           Term Frequency: 0         
Term: Part                           Term Frequency: 0         
Term: East                           Term Frequency: 0         
Term: Honolulu                       Term Frequency: 0         
Term: Classroom                      Term Frequency: 0         
Term: White                          Term Frequency: 0         
Term: PhD                            Term Frequency: 0         
Term: Meeting                        Term Frequency: 0         
Term: Toolkit                        Term Frequency: 0         
Term: Study                          Term Frequency: 0         
Term: Limitations                    Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: Epistemologies                 Term Frequency: 0         
Term: REFERENCES                     Term Frequency: 0         
Term: Feature                        Term Frequency: 0         
Term: Students                       Term Frequency: 0         
Term: Unusual                        Term Frequency: 0         
Term: Dependency                     Term Frequency: 0         
Term: Experts                        Term Frequency: 0         
Term: Scaffold                       Term Frequency: 0         
Term: Natural                        Term Frequency: 0         
Term: Pelican                        Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: Permissions                    Term Frequency: 0         
Term: Domain                         Term Frequency: 0         
Term: Manatees                       Term Frequency: 0         
Term: Word                           Term Frequency: 0         
Term: Vancouver                      Term Frequency: 0         
Term: Tissenbaum                     Term Frequency: 0         
Term: Applied                        Term Frequency: 0         
Term: McClosky                       Term Frequency: 0         
Term: Salsbury                       Term Frequency: 0         
Term: Singer                         Term Frequency: 0         
Term: Black                          Term Frequency: 0         
Term: Hawai’i                        Term Frequency: 0         
Term: Toutanova                      Term Frequency: 0         
Term: Gracilaria                     Term Frequency: 0         
Term: ACM                            Term Frequency: 0         
Term: Knight                         Term Frequency: 0         
Term: Authentic                      Term Frequency: 0         
Term: Instead                        Term Frequency: 0         
Term: Abstracting                    Term Frequency: 0         
Term: Rich                           Term Frequency: 0         
Term: Material                       Term Frequency: 0         
Term: S.A                            Term Frequency: 0         
Term: S.J                            Term Frequency: 0         
Term: Davis                          Term Frequency: 0         
Term: Tool                           Term Frequency: 0         
Term: Conley                         Term Frequency: 0         
Term: Pintrich                       Term Frequency: 0         
Term: Studying                       Term Frequency: 0         
Term: but                            Term Frequency: 0         
Term: Modern                         Term Frequency: 0         
Term: What                           Term Frequency: 0         
Term: Skalicky                       Term Frequency: 0         
Term: Corpus                         Term Frequency: 0         
Term: Vekiri                         Term Frequency: 0         
Term: SCI                            Term Frequency: 0         
