Term: misconception                  Term Frequency: 135       
Term: techniques                     Term Frequency: 1         
Term: purposes                       Term Frequency: 1         
Term: challenges                     Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: contributor                    Term Frequency: 1         
Term: allowing                       Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: correlation                    Term Frequency: 1         
Term: much                           Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: blue                           Term Frequency: 1         
Term: 606                            Term Frequency: 1         
Term: evolution                      Term Frequency: 1         
Term: 620                            Term Frequency: 1         
Term: focus                          Term Frequency: 1         
Term: 630                            Term Frequency: 1         
Term: understand                     Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: assisted                       Term Frequency: 1         
Term: indicating                     Term Frequency: 1         
Term: robust                         Term Frequency: 1         
Term: heading                        Term Frequency: 1         
Term: framework                      Term Frequency: 1         
Term: attributes                     Term Frequency: 1         
Term: equally                        Term Frequency: 1         
Term: whether                        Term Frequency: 1         
Term: basis                          Term Frequency: 1         
Term: cause                          Term Frequency: 1         
Term: design                         Term Frequency: 1         
Term: tied                           Term Frequency: 1         
Term: performing                     Term Frequency: 1         
Term: conduct                        Term Frequency: 1         
Term: extending                      Term Frequency: 1         
Term: actions                        Term Frequency: 1         
Term: giving                         Term Frequency: 1         
Term: chasm                          Term Frequency: 1         
Term: gives                          Term Frequency: 1         
Term: validate                       Term Frequency: 1         
Term: combining                      Term Frequency: 1         
Term: differing                      Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: asking                         Term Frequency: 1         
Term: thicker                        Term Frequency: 1         
Term: refining                       Term Frequency: 1         
Term: evaluations                    Term Frequency: 1         
Term: curves                         Term Frequency: 1         
Term: identified                     Term Frequency: 1         
Term: her                            Term Frequency: 1         
Term: microgenetic                   Term Frequency: 1         
Term: efficient                      Term Frequency: 1         
Term: consistent                     Term Frequency: 1         
Term: him                            Term Frequency: 1         
Term: major                          Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: epigenesis                     Term Frequency: 1         
Term: numeric                        Term Frequency: 1         
Term: clear                          Term Frequency: 1         
Term: alternative                    Term Frequency: 1         
Term: account                        Term Frequency: 1         
Term: easiness                       Term Frequency: 1         
Term: evaluation                     Term Frequency: 1         
Term: limitations                    Term Frequency: 1         
Term: bolded                         Term Frequency: 1         
Term: series                         Term Frequency: 1         
Term: correctly                      Term Frequency: 1         
Term: italicized                     Term Frequency: 1         
Term: 2000                           Term Frequency: 1         
Term: immediate                      Term Frequency: 1         
Term: relatively                     Term Frequency: 1         
Term: carrying                       Term Frequency: 1         
Term: 2010                           Term Frequency: 1         
Term: primarily                      Term Frequency: 1         
Term: 2009                           Term Frequency: 1         
Term: 2008                           Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: tracks                         Term Frequency: 1         
Term: approximately                  Term Frequency: 1         
Term: 2015                           Term Frequency: 1         
Term: owned                          Term Frequency: 1         
Term: 2014                           Term Frequency: 1         
Term: explain                        Term Frequency: 1         
Term: variants                       Term Frequency: 1         
Term: tracking                       Term Frequency: 1         
Term: 757                            Term Frequency: 1         
Term: validation                     Term Frequency: 1         
Term: asks                           Term Frequency: 1         
Term: 5th                            Term Frequency: 1         
Term: trigger                        Term Frequency: 1         
Term: 798                            Term Frequency: 1         
Term: dramatically                   Term Frequency: 1         
Term: progressed                     Term Frequency: 1         
Term: workflow                       Term Frequency: 1         
Term: fill                           Term Frequency: 1         
Term: strengths                      Term Frequency: 1         
Term: 0.366                          Term Frequency: 1         
Term: experienced                    Term Frequency: 1         
Term: evident                        Term Frequency: 1         
Term: ongoing                        Term Frequency: 1         
Term: temporal                       Term Frequency: 1         
Term: differentially                 Term Frequency: 1         
Term: operating                      Term Frequency: 1         
Term: intervening                    Term Frequency: 1         
Term: extends                        Term Frequency: 1         
Term: glmer                          Term Frequency: 1         
Term: hints                          Term Frequency: 1         
Term: disproportionately             Term Frequency: 1         
Term: pslcdatashop.web.cmu.edu       Term Frequency: 1         
Term: causes                         Term Frequency: 1         
Term: demonstrated                   Term Frequency: 1         
Term: evolving                       Term Frequency: 1         
Term: assessing                      Term Frequency: 1         
Term: asymptotically                 Term Frequency: 1         
Term: 14th                           Term Frequency: 1         
Term: paper                          Term Frequency: 1         
Term: validated                      Term Frequency: 1         
Term: growth                         Term Frequency: 1         
Term: providing                      Term Frequency: 1         
Term: manual                         Term Frequency: 1         
Term: targeted                       Term Frequency: 1         
Term: linked                         Term Frequency: 1         
Term: red                            Term Frequency: 1         
Term: interleaved                    Term Frequency: 1         
Term: activation                     Term Frequency: 1         
Term: message                        Term Frequency: 1         
Term: albeit                         Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: system                         Term Frequency: 1         
Term: outcome                        Term Frequency: 1         
Term: always                         Term Frequency: 1         
Term: constructing                   Term Frequency: 1         
Term: real                           Term Frequency: 1         
Term: differed                       Term Frequency: 1         
Term: contemporary                   Term Frequency: 1         
Term: expanding                      Term Frequency: 1         
Term: accurate                       Term Frequency: 1         
Term: containing                     Term Frequency: 1         
Term: completed                      Term Frequency: 1         
Term: varying                        Term Frequency: 1         
Term: taken                          Term Frequency: 1         
Term: came                           Term Frequency: 1         
Term: takes                          Term Frequency: 1         
Term: art                            Term Frequency: 1         
Term: probabilistically              Term Frequency: 1         
Term: individuals                    Term Frequency: 1         
Term: either                         Term Frequency: 1         
Term: correctness                    Term Frequency: 1         
Term: worse                          Term Frequency: 1         
Term: longer                         Term Frequency: 1         
Term: benefits                       Term Frequency: 1         
Term: dotted                         Term Frequency: 1         
Term: interfaces                     Term Frequency: 1         
Term: largely                        Term Frequency: 1         
Term: refined                        Term Frequency: 1         
Term: simple                         Term Frequency: 1         
Term: described                      Term Frequency: 1         
Term: package                        Term Frequency: 1         
Term: kind                           Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: move                           Term Frequency: 1         
Term: saw                            Term Frequency: 1         
Term: gets                           Term Frequency: 1         
Term: investigation                  Term Frequency: 1         
Term: latter                         Term Frequency: 1         
Term: buggy                          Term Frequency: 1         
Term: completing                     Term Frequency: 1         
Term: offer                          Term Frequency: 1         
Term: complex                        Term Frequency: 1         
Term: personal                       Term Frequency: 1         
Term: misattribution                 Term Frequency: 1         
Term: subsequent                     Term Frequency: 1         
Term: compared                       Term Frequency: 1         
Term: contain                        Term Frequency: 1         
Term: set                            Term Frequency: 1         
Term: psychometric                   Term Frequency: 1         
Term: differentiate                  Term Frequency: 1         
Term: she                            Term Frequency: 1         
Term: sources                        Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: conversion                     Term Frequency: 1         
Term: expert                         Term Frequency: 1         
Term: tasks                          Term Frequency: 1         
Term: penalize                       Term Frequency: 1         
Term: entropy                        Term Frequency: 1         
Term: change                         Term Frequency: 1         
Term: systematic                     Term Frequency: 1         
Term: lme4                           Term Frequency: 1         
Term: directly                       Term Frequency: 1         
Term: alleviating                    Term Frequency: 1         
Term: scores                         Term Frequency: 1         
Term: cross                          Term Frequency: 1         
Term: worthwhile                     Term Frequency: 1         
Term: counts                         Term Frequency: 1         
Term: conditions                     Term Frequency: 1         
Term: sub                            Term Frequency: 1         
Term: 137                            Term Frequency: 1         
Term: managed                        Term Frequency: 1         
Term: specificity                    Term Frequency: 1         
Term: guiding                        Term Frequency: 1         
Term: 4093                           Term Frequency: 1         
Term: 154                            Term Frequency: 1         
Term: extreme                        Term Frequency: 1         
Term: 164                            Term Frequency: 1         
Term: inhibiting                     Term Frequency: 1         
Term: especially                     Term Frequency: 1         
Term: once                           Term Frequency: 1         
Term: assessed                       Term Frequency: 1         
Term: doing                          Term Frequency: 1         
Term: 175                            Term Frequency: 1         
Term: throughout                     Term Frequency: 1         
Term: selects                        Term Frequency: 1         
Term: goal                           Term Frequency: 1         
Term: derive                         Term Frequency: 1         
Term: 16th                           Term Frequency: 1         
Term: assess                         Term Frequency: 1         
Term: elements                       Term Frequency: 1         
Term: smooth                         Term Frequency: 1         
Term: limited                        Term Frequency: 1         
Term: Mellon                         Term Frequency: 0         
Term: A                              Term Frequency: 0         
Term: B                              Term Frequency: 0         
Term: C                              Term Frequency: 0         
Term: D                              Term Frequency: 0         
Term: E                              Term Frequency: 0         
Term: H                              Term Frequency: 0         
Term: I                              Term Frequency: 0         
Term: J                              Term Frequency: 0         
Term: K                              Term Frequency: 0         
Term: M                              Term Frequency: 0         
Term: P                              Term Frequency: 0         
Term: Q                              Term Frequency: 0         
Term: R                              Term Frequency: 0         
Term: S                              Term Frequency: 0         
Term: T                              Term Frequency: 0         
Term: Y                              Term Frequency: 0         
Term: Based                          Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: Pechenizkiy                    Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Corbett                        Term Frequency: 0         
Term: Its                            Term Frequency: 0         
Term: Checkbox                       Term Frequency: 0         
Term: Multiply                       Term Frequency: 0         
Term: Computers                      Term Frequency: 0         
Term: Keywords                       Term Frequency: 0         
Term: Criterion                      Term Frequency: 0         
Term: BIC                            Term Frequency: 0         
Term: Multiple                       Term Frequency: 0         
Term: Popular                        Term Frequency: 0         
Term: Instruction                    Term Frequency: 0         
Term: Conversely                     Term Frequency: 0         
Term: Education                      Term Frequency: 0         
Term: Consequently                   Term Frequency: 0         
Term: Any                            Term Frequency: 0         
Term: That                           Term Frequency: 0         
Term: KCs                            Term Frequency: 0         
Term: Cunningham                     Term Frequency: 0         
Term: They                           Term Frequency: 0         
Term: Estimating                     Term Frequency: 0         
Term: There                          Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: These                          Term Frequency: 0         
Term: KLI                            Term Frequency: 0         
Term: Conference                     Term Frequency: 0         
Term: Components                     Term Frequency: 0         
Term: Training                       Term Frequency: 0         
Term: Improvement                    Term Frequency: 0         
Term: Computer                       Term Frequency: 0         
Term: DISCUSSION                     Term Frequency: 0         
Term: Variations                     Term Frequency: 0         
Term: Core                           Term Frequency: 0         
Term: Tutor                          Term Frequency: 0         
Term: York                           Term Frequency: 0         
Term: Durkin                         Term Frequency: 0         
Term: Coefficient                    Term Frequency: 0         
Term: Data                           Term Frequency: 0         
Term: CCS                            Term Frequency: 0         
Term: Leber                          Term Frequency: 0         
Term: Thus                           Term Frequency: 0         
Term: Raton                          Term Frequency: 0         
Term: Here                           Term Frequency: 0         
Term: Kenneth                        Term Frequency: 0         
Term: Interaction                    Term Frequency: 0         
Term: Psychologists                  Term Frequency: 0         
Term: Because                        Term Frequency: 0         
Term: University                     Term Frequency: 0         
Term: Interdisciplinary              Term Frequency: 0         
Term: Crowley                        Term Frequency: 0         
Term: Additive                       Term Frequency: 0         
Term: Adams                          Term Frequency: 0         
Term: Educational                    Term Frequency: 0         
Term: Weighting                      Term Frequency: 0         
Term: LAK                            Term Frequency: 0         
Term: Adapted                        Term Frequency: 0         
Term: Addition                       Term Frequency: 0         
Term: LCD                            Term Frequency: 0         
Term: CRC                            Term Frequency: 0         
Term: Information                    Term Frequency: 0         
Term: Vienna                         Term Frequency: 0         
Term: Edinburgh                      Term Frequency: 0         
Term: Anderson                       Term Frequency: 0         
Term: INTRODUCTION                   Term Frequency: 0         
Term: Differences                    Term Frequency: 0         
Term: into                           Term Frequency: 0         
Term: Baker                          Term Frequency: 0         
Term: But                            Term Frequency: 0         
Term: Forbes                         Term Frequency: 0         
Term: Process                        Term Frequency: 0         
Term: Cognition                      Term Frequency: 0         
Term: Program                        Term Frequency: 0         
Term: Koedinger                      Term Frequency: 0         
Term: DatasetInfo                    Term Frequency: 0         
Term: Child                          Term Frequency: 0         
Term: Velsen                         Term Frequency: 0         
Term: Fraction                       Term Frequency: 0         
Term: Assessment                     Term Frequency: 0         
Term: Science                        Term Frequency: 0         
Term: Points                         Term Frequency: 0         
Term: Since                          Term Frequency: 0         
Term: Cognitive                      Term Frequency: 0         
Term: Future                         Term Frequency: 0         
Term: Cen                            Term Frequency: 0         
Term: An                             Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: As                             Term Frequency: 0         
Term: At                             Term Frequency: 0         
Term: AAAI                           Term Frequency: 0         
Term: Using                          Term Frequency: 0         
Term: Ed                             Term Frequency: 0         
Term: FL                             Term Frequency: 0         
Term: Previous                       Term Frequency: 0         
Term: Hidden                         Term Frequency: 0         
Term: DOI                            Term Frequency: 0         
Term: IN                             Term Frequency: 0         
Term: Student                        Term Frequency: 0         
Term: Standardizing                  Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: It                             Term Frequency: 0         
Term: Bridging                       Term Frequency: 0         
Term: KC                             Term Frequency: 0         
Term: Markov                         Term Frequency: 0         
Term: Sons                           Term Frequency: 0         
Term: Jr                             Term Frequency: 0         
Term: Gelman                         Term Frequency: 0         
Term: Journal                        Term Frequency: 0         
Term: AddSameDen                     Term Frequency: 0         
Term: NJ                             Term Frequency: 0         
Term: Mahwah                         Term Frequency: 0         
Term: NY                             Term Frequency: 0         
Term: Ni                             Term Frequency: 0         
Term: Tutors                         Term Frequency: 0         
Term: PA                             Term Frequency: 0         
Term: Find                           Term Frequency: 0         
Term: Strategy                       Term Frequency: 0         
Term: R305B110003                    Term Frequency: 0         
Term: RL                             Term Frequency: 0         
Term: RP                             Term Frequency: 0         
Term: Erlbaum                        Term Frequency: 0         
Term: Reynolds                       Term Frequency: 0         
Term: Figure                         Term Frequency: 0         
Term: such                           Term Frequency: 0         
Term: Liu                            Term Frequency: 0         
Term: Other                          Term Frequency: 0         
Term: To                             Term Frequency: 0         
Term: US                             Term Frequency: 0         
Term: Automated                      Term Frequency: 0         
Term: Individual                     Term Frequency: 0         
Term: Problem                        Term Frequency: 0         
Term: Factors                        Term Frequency: 0         
Term: Evaluating                     Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: Alternatively                  Term Frequency: 0         
Term: Barnes                         Term Frequency: 0         
Term: was                            Term Frequency: 0         
Term: Logistic                       Term Frequency: 0         
Term: We                             Term Frequency: 0         
Term: Matrix                         Term Frequency: 0         
Term: Log                            Term Frequency: 0         
Term: Tracing                        Term Frequency: 0         
Term: Rule                           Term Frequency: 0         
Term: Research                       Term Frequency: 0         
Term: Intelligence                   Term Frequency: 0         
Term: EDM                            Term Frequency: 0         
Term: Behavior                       Term Frequency: 0         
Term: Equivalent                     Term Frequency: 0         
Term: Summary                        Term Frequency: 0         
Term: Handbook                       Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: Theory                         Term Frequency: 0         
Term: Comparison                     Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: Tatsuoka                       Term Frequency: 0         
Term: Bayesian                       Term Frequency: 0         
Term: BACKGROUND                     Term Frequency: 0         
Term: Arithmetic                     Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: Number                         Term Frequency: 0         
Term: Post                           Term Frequency: 0         
Term: Although                       Term Frequency: 0         
Term: Mining                         Term Frequency: 0         
Term: ACKNOWLEDGMENTS                Term Frequency: 0         
Term: if                             Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: it                             Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: Boca                           Term Frequency: 0         
Term: no                             Term Frequency: 0         
Term: Perspective                    Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: Statistical                    Term Frequency: 0         
Term: Reise                          Term Frequency: 0         
Term: Currently                      Term Frequency: 0         
Term: they                           Term Frequency: 0         
Term: then                           Term Frequency: 0         
Term: Convert                        Term Frequency: 0         
Term: Section                        Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: Misconception                  Term Frequency: 0         
Term: this                           Term Frequency: 0         
Term: Common                         Term Frequency: 0         
Term: ISBN                           Term Frequency: 0         
Term: Request                        Term Frequency: 0         
Term: Van                            Term Frequency: 0         
Term: Item                           Term Frequency: 0         
Term: More                           Term Frequency: 0         
Term: Adding                         Term Frequency: 0         
Term: Table                          Term Frequency: 0         
Term: LEARNING                       Term Frequency: 0         
Term: Model                          Term Frequency: 0         
Term: www.R                          Term Frequency: 0         
Term: Most                           Term Frequency: 0         
Term: Eds                            Term Frequency: 0         
Term: Ventura                        Term Frequency: 0         
Term: Both                           Term Frequency: 0         
Term: will                           Term Frequency: 0         
Term: R.S.J.d                        Term Frequency: 0         
Term: these                          Term Frequency: 0         
Term: Analysis                       Term Frequency: 0         
Term: Weighted                       Term Frequency: 0         
Term: Workshop                       Term Frequency: 0         
Term: Psychologist                   Term Frequency: 0         
Term: Vol                            Term Frequency: 0         
Term: Press                          Term Frequency: 0         
Term: Nixon                          Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: there                          Term Frequency: 0         
Term: John                           Term Frequency: 0         
Term: STUDY                          Term Frequency: 0         
Term: Finally                        Term Frequency: 0         
Term: American                       Term Frequency: 0         
Term: Intelligent                    Term Frequency: 0         
Term: AddDiffDen                     Term Frequency: 0         
Term: New                            Term Frequency: 0         
Term: However                        Term Frequency: 0         
Term: Stamper                        Term Frequency: 0         
Term: Artificial                     Term Frequency: 0         
Term: Williams                       Term Frequency: 0         
Term: Qualitative                    Term Frequency: 0         
Term: Pavlik                         Term Frequency: 0         
Term: Kulikowich                     Term Frequency: 0         
Term: GENERAL                        Term Frequency: 0         
Term: Multidisciplinary              Term Frequency: 0         
Term: CASE                           Term Frequency: 0         
Term: R305B090023                    Term Frequency: 0         
Term: Rittle                         Term Frequency: 0         
Term: Performance                    Term Frequency: 0         
Term: Austria                        Term Frequency: 0         
Term: DataShop                       Term Frequency: 0         
Term: Embretson                      Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: Applying                       Term Frequency: 0         
Term: Fienberg                       Term Frequency: 0         
Term: Enabling                       Term Frequency: 0         
Term: Method                         Term Frequency: 0         
Term: Lehn                           Term Frequency: 0         
Term: McLaren                        Term Frequency: 0         
Term: Regular                        Term Frequency: 0         
Term: Proceedings                    Term Frequency: 0         
Term: Procedure                      Term Frequency: 0         
Term: For                            Term Frequency: 0         
Term: Discussion                     Term Frequency: 0         
Term: Measurement                    Term Frequency: 0         
Term: Rony                           Term Frequency: 0         
Term: datasetId                      Term Frequency: 0         
Term: International                  Term Frequency: 0         
Term: Grant                          Term Frequency: 0         
Term: Patel                          Term Frequency: 0         
Term: Copyrights                     Term Frequency: 0         
Term: Human                          Term Frequency: 0         
Term: Johnson                        Term Frequency: 0         
Term: Dataset                        Term Frequency: 0         
Term: Whole                          Term Frequency: 0         
Term: ABSTRACT                       Term Frequency: 0         
Term: Independent                    Term Frequency: 0         
Term: Each                           Term Frequency: 0         
Term: United                         Term Frequency: 0         
Term: Siegler                        Term Frequency: 0         
Term: Department                     Term Frequency: 0         
Term: Permission                     Term Frequency: 0         
Term: Akaike                         Term Frequency: 0         
Term: Concepts                       Term Frequency: 0         
Term: One                            Term Frequency: 0         
Term: Team                           Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: Our                            Term Frequency: 0         
Term: Computing                      Term Frequency: 0         
Term: Results                        Term Frequency: 0         
Term: Comparing                      Term Frequency: 0         
Term: Systems                        Term Frequency: 0         
Term: Furthermore                    Term Frequency: 0         
Term: Misconceptions                 Term Frequency: 0         
Term: Spearman’s                     Term Frequency: 0         
Term: Response                       Term Frequency: 0         
Term: Skogsholm                      Term Frequency: 0         
Term: Acquisition                    Term Frequency: 0         
Term: PIER                           Term Frequency: 0         
Term: McLaughlin                     Term Frequency: 0         
Term: Perfetti                       Term Frequency: 0         
Term: Carnegie                       Term Frequency: 0         
Term: Springer                       Term Frequency: 0         
Term: Prediction                     Term Frequency: 0         
Term: Representation                 Term Frequency: 0         
Term: Opportunity                    Term Frequency: 0         
Term: Mayer                          Term Frequency: 0         
Term: Component                      Term Frequency: 0         
Term: Applications                   Term Frequency: 0         
Term: April                          Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: A.C                            Term Frequency: 0         
Term: MODELING                       Term Frequency: 0         
Term: REFERENCES                     Term Frequency: 0         
Term: Psychology                     Term Frequency: 0         
Term: Least                          Term Frequency: 0         
Term: Foundation                     Term Frequency: 0         
Term: ARITHMETIC                     Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: Many                           Term Frequency: 0         
Term: Pre                            Term Frequency: 0         
Term: Permissions                    Term Frequency: 0         
Term: Domain                         Term Frequency: 0         
Term: Yet                            Term Frequency: 0         
Term: Modeling                       Term Frequency: 0         
Term: Isotani                        Term Frequency: 0         
Term: Celebration                    Term Frequency: 0         
Term: Matrices                       Term Frequency: 0         
Term: Knowledge                      Term Frequency: 0         
Term: Romero                         Term Frequency: 0         
Term: Applied                        Term Frequency: 0         
Term: Original                       Term Frequency: 0         
Term: Model’s                        Term Frequency: 0         
Term: Kuhn                           Term Frequency: 0         
Term: IRT                            Term Frequency: 0         
Term: ANOVA                          Term Frequency: 0         
Term: ACM                            Term Frequency: 0         
Term: Statistics                     Term Frequency: 0         
Term: Repository                     Term Frequency: 0         
Term: Teaching                       Term Frequency: 0         
Term: MISCONCEPTION                  Term Frequency: 0         
Term: Procedural                     Term Frequency: 0         
Term: Alexander                      Term Frequency: 0         
Term: AFM                            Term Frequency: 0         
Term: Abstracting                    Term Frequency: 0         
Term: Existing                       Term Frequency: 0         
Term: Wiley                          Term Frequency: 0         
Term: Example                        Term Frequency: 0         
Term: AIC                            Term Frequency: 0         
Term: Qjk                            Term Frequency: 0         
Term: S.E                            Term Frequency: 0         
Term: S.P                            Term Frequency: 0         
Term: Zhou                           Term Frequency: 0         
Term: Pittsburgh                     Term Frequency: 0         
Term: Equation                       Term Frequency: 0         
Term: FRACTION                       Term Frequency: 0         
Term: Tutoring                       Term Frequency: 0         
Term: but                            Term Frequency: 0         
Term: Improvements                   Term Frequency: 0         
Term: PSLC                           Term Frequency: 0         
Term: Kingdom                        Term Frequency: 0         
Term: Models                         Term Frequency: 0         
Term: IWNS                           Term Frequency: 0         
Term: Avenue                         Term Frequency: 0         
Term: K.R                            Term Frequency: 0         
Term: When                           Term Frequency: 0         
Term: Sometimes                      Term Frequency: 0         
Term: Multiplication                 Term Frequency: 0         
Term: User                           Term Frequency: 0         
Term: Atkinson                       Term Frequency: 0         
Term: While                          Term Frequency: 0         
Term: Ran                            Term Frequency: 0         
Term: Junker                         Term Frequency: 0         
