Term: out                            Term Frequency: 90        
Term: 58.9                           Term Frequency: 1         
Term: note                           Term Frequency: 1         
Term: challenges                     Term Frequency: 1         
Term: scale                          Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: aims                           Term Frequency: 1         
Term: factors                        Term Frequency: 1         
Term: intend                         Term Frequency: 1         
Term: introduces                     Term Frequency: 1         
Term: analyse                        Term Frequency: 1         
Term: explanation                    Term Frequency: 1         
Term: thus                           Term Frequency: 1         
Term: much                           Term Frequency: 1         
Term: independent                    Term Frequency: 1         
Term: concluded                      Term Frequency: 1         
Term: 1483                           Term Frequency: 1         
Term: arcs                           Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: faced                          Term Frequency: 1         
Term: 32.4                           Term Frequency: 1         
Term: 32.3                           Term Frequency: 1         
Term: 6.5                            Term Frequency: 1         
Term: clearer                        Term Frequency: 1         
Term: success                        Term Frequency: 1         
Term: young                          Term Frequency: 1         
Term: approach                       Term Frequency: 1         
Term: per                            Term Frequency: 1         
Term: birth                          Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: framework                      Term Frequency: 1         
Term: pioneering                     Term Frequency: 1         
Term: sustained                      Term Frequency: 1         
Term: 1;0;0;0;0                      Term Frequency: 1         
Term: earlier                        Term Frequency: 1         
Term: 50.3                           Term Frequency: 1         
Term: cause                          Term Frequency: 1         
Term: 7674                           Term Frequency: 1         
Term: despite                        Term Frequency: 1         
Term: followed                       Term Frequency: 1         
Term: interested                     Term Frequency: 1         
Term: comparisons                    Term Frequency: 1         
Term: found                          Term Frequency: 1         
Term: 21.40                          Term Frequency: 1         
Term: validate                       Term Frequency: 1         
Term: seekers                        Term Frequency: 1         
Term: simplification                 Term Frequency: 1         
Term: had                            Term Frequency: 1         
Term: adapt                          Term Frequency: 1         
Term: weight                         Term Frequency: 1         
Term: intrinsic                      Term Frequency: 1         
Term: effort                         Term Frequency: 1         
Term: yet                            Term Frequency: 1         
Term: detects                        Term Frequency: 1         
Term: light                          Term Frequency: 1         
Term: 7.30                           Term Frequency: 1         
Term: organized                      Term Frequency: 1         
Term: small                          Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: potential                      Term Frequency: 1         
Term: group                          Term Frequency: 1         
Term: logically                      Term Frequency: 1         
Term: 1541                           Term Frequency: 1         
Term: classify                       Term Frequency: 1         
Term: 46.1                           Term Frequency: 1         
Term: dimension                      Term Frequency: 1         
Term: clear                          Term Frequency: 1         
Term: 1,643                          Term Frequency: 1         
Term: account                        Term Frequency: 1         
Term: safely                         Term Frequency: 1         
Term: knowledge                      Term Frequency: 1         
Term: happen                         Term Frequency: 1         
Term: databases                      Term Frequency: 1         
Term: active                         Term Frequency: 1         
Term: 7.4                            Term Frequency: 1         
Term: cites                          Term Frequency: 1         
Term: negates                        Term Frequency: 1         
Term: ignores                        Term Frequency: 1         
Term: ignored                        Term Frequency: 1         
Term: jminguillona                   Term Frequency: 1         
Term: blank                          Term Frequency: 1         
Term: 2002                           Term Frequency: 1         
Term: just                           Term Frequency: 1         
Term: action                         Term Frequency: 1         
Term: 64.3                           Term Frequency: 1         
Term: classified                     Term Frequency: 1         
Term: asks                           Term Frequency: 1         
Term: cancelled                      Term Frequency: 1         
Term: longest                        Term Frequency: 1         
Term: bibliography                   Term Frequency: 1         
Term: within                         Term Frequency: 1         
Term: trigger                        Term Frequency: 1         
Term: positive                       Term Frequency: 1         
Term: able                           Term Frequency: 1         
Term: return                         Term Frequency: 1         
Term: specificities                  Term Frequency: 1         
Term: codes                          Term Frequency: 1         
Term: instance                       Term Frequency: 1         
Term: 795                            Term Frequency: 1         
Term: experiences                    Term Frequency: 1         
Term: present                        Term Frequency: 1         
Term: concerning                     Term Frequency: 1         
Term: reflect                        Term Frequency: 1         
Term: herein                         Term Frequency: 1         
Term: intention                      Term Frequency: 1         
Term: 1,718                          Term Frequency: 1         
Term: 4.61                           Term Frequency: 1         
Term: 16.6                           Term Frequency: 1         
Term: every                          Term Frequency: 1         
Term: humanistic                     Term Frequency: 1         
Term: disadvantaged                  Term Frequency: 1         
Term: explains                       Term Frequency: 1         
Term: anonymous                      Term Frequency: 1         
Term: bottom                         Term Frequency: 1         
Term: finished                       Term Frequency: 1         
Term: 10104;1;0;0                    Term Frequency: 1         
Term: 2,101                          Term Frequency: 1         
Term: 78.60                          Term Frequency: 1         
Term: quantity                       Term Frequency: 1         
Term: resources                      Term Frequency: 1         
Term: stages                         Term Frequency: 1         
Term: exemplification                Term Frequency: 1         
Term: 34.5                           Term Frequency: 1         
Term: 8.7                            Term Frequency: 1         
Term: properly                       Term Frequency: 1         
Term: indicators                     Term Frequency: 1         
Term: 815                            Term Frequency: 1         
Term: 21.9                           Term Frequency: 1         
Term: close                          Term Frequency: 1         
Term: 21.7                           Term Frequency: 1         
Term: congestion                     Term Frequency: 1         
Term: post                           Term Frequency: 1         
Term: educationally                  Term Frequency: 1         
Term: respect                        Term Frequency: 1         
Term: 65.6                           Term Frequency: 1         
Term: 1.12                           Term Frequency: 1         
Term: label                          Term Frequency: 1         
Term: recorded                       Term Frequency: 1         
Term: 867                            Term Frequency: 1         
Term: age                            Term Frequency: 1         
Term: tendency                       Term Frequency: 1         
Term: ago                            Term Frequency: 1         
Term: 1.22                           Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: 1.35                           Term Frequency: 1         
Term: 1.46                           Term Frequency: 1         
Term: 1.39                           Term Frequency: 1         
Term: demographic                    Term Frequency: 1         
Term: proportionally                 Term Frequency: 1         
Term: future                         Term Frequency: 1         
Term: percentages                    Term Frequency: 1         
Term: 1.75                           Term Frequency: 1         
Term: adaptable                      Term Frequency: 1         
Term: 1.80                           Term Frequency: 1         
Term: fifteen                        Term Frequency: 1         
Term: any                            Term Frequency: 1         
Term: until                          Term Frequency: 1         
Term: accurate                       Term Frequency: 1         
Term: tagged                         Term Frequency: 1         
Term: 3,14                           Term Frequency: 1         
Term: completed                      Term Frequency: 1         
Term: annually                       Term Frequency: 1         
Term: diversity                      Term Frequency: 1         
Term: 3,38                           Term Frequency: 1         
Term: 3,36                           Term Frequency: 1         
Term: describes                      Term Frequency: 1         
Term: call                           Term Frequency: 1         
Term: 11.13                          Term Frequency: 1         
Term: 62450                          Term Frequency: 1         
Term: significant                    Term Frequency: 1         
Term: bold                           Term Frequency: 1         
Term: bounded                        Term Frequency: 1         
Term: parameters                     Term Frequency: 1         
Term: benefits                       Term Frequency: 1         
Term: show                           Term Frequency: 1         
Term: description                    Term Frequency: 1         
Term: negative                       Term Frequency: 1         
Term: assuming                       Term Frequency: 1         
Term: collected                      Term Frequency: 1         
Term: 3,89                           Term Frequency: 1         
Term: participating                  Term Frequency: 1         
Term: matches                        Term Frequency: 1         
Term: display                        Term Frequency: 1         
Term: 0;1                            Term Frequency: 1         
Term: totally                        Term Frequency: 1         
Term: described                      Term Frequency: 1         
Term: package                        Term Frequency: 1         
Term: both                           Term Frequency: 1         
Term: most                           Term Frequency: 1         
Term: 9.6                            Term Frequency: 1         
Term: 9.8                            Term Frequency: 1         
Term: database                       Term Frequency: 1         
Term: visually                       Term Frequency: 1         
Term: mentioned                      Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: move                           Term Frequency: 1         
Term: original                       Term Frequency: 1         
Term: enough                         Term Frequency: 1         
Term: particularities                Term Frequency: 1         
Term: completing                     Term Frequency: 1         
Term: complex                        Term Frequency: 1         
Term: greatly                        Term Frequency: 1         
Term: strong                         Term Frequency: 1         
Term: offered                        Term Frequency: 1         
Term: completion                     Term Frequency: 1         
Term: set                            Term Frequency: 1         
Term: sex                            Term Frequency: 1         
Term: founded                        Term Frequency: 1         
Term: words                          Term Frequency: 1         
Term: somewhat                       Term Frequency: 1         
Term: 66.8                           Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: bound                          Term Frequency: 1         
Term: improved                       Term Frequency: 1         
Term: satisfied                      Term Frequency: 1         
Term: thinking                       Term Frequency: 1         
Term: world                          Term Frequency: 1         
Term: embarked                       Term Frequency: 1         
Term: 40.9                           Term Frequency: 1         
Term: report                         Term Frequency: 1         
Term: regularity                     Term Frequency: 1         
Term: chance                         Term Frequency: 1         
Term: nature                         Term Frequency: 1         
Term: 105                            Term Frequency: 1         
Term: 107                            Term Frequency: 1         
Term: drawn                          Term Frequency: 1         
Term: 5396                           Term Frequency: 1         
Term: accept                         Term Frequency: 1         
Term: 125                            Term Frequency: 1         
Term: interpreted                    Term Frequency: 1         
Term: lecturers                      Term Frequency: 1         
Term: 141                            Term Frequency: 1         
Term: vast                           Term Frequency: 1         
Term: fourth                         Term Frequency: 1         
Term: 173                            Term Frequency: 1         
Term: collects                       Term Frequency: 1         
Term: successful                     Term Frequency: 1         
Term: types                          Term Frequency: 1         
Term: passing                        Term Frequency: 1         
Term: approximations                 Term Frequency: 1         
Term: 49.5                           Term Frequency: 1         
Term: 49.7                           Term Frequency: 1         
Term: natural                        Term Frequency: 1         
Term: 1;0                            Term Frequency: 1         
Term: place                          Term Frequency: 1         
Term: 1889                           Term Frequency: 1         
Term: posed                          Term Frequency: 1         
Term: files                          Term Frequency: 1         
Term: award                          Term Frequency: 1         
Term: said                           Term Frequency: 1         
Term: limited                        Term Frequency: 1         
Term: A                              Term Frequency: 0         
Term: D                              Term Frequency: 0         
Term: G                              Term Frequency: 0         
Term: J                              Term Frequency: 0         
Term: K                              Term Frequency: 0         
Term: L                              Term Frequency: 0         
Term: N                              Term Frequency: 0         
Term: P                              Term Frequency: 0         
Term: R                              Term Frequency: 0         
Term: S                              Term Frequency: 0         
Term: T                              Term Frequency: 0         
Term: V                              Term Frequency: 0         
Term: Y                              Term Frequency: 0         
Term: Z                              Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Res                            Term Frequency: 0         
Term: Barcelona                      Term Frequency: 0         
Term: Available                      Term Frequency: 0         
Term: DescriptorsJ                   Term Frequency: 0         
Term: ValldoseraMarket               Term Frequency: 0         
Term: Copyright                      Term Frequency: 0         
Term: Education                      Term Frequency: 0         
Term: Huang                          Term Frequency: 0         
Term: Análisis                       Term Frequency: 0         
Term: Consequently                   Term Frequency: 0         
Term: KeywordsDropping               Term Frequency: 0         
Term: Kerka                          Term Frequency: 0         
Term: That                           Term Frequency: 0         
Term: Techniques                     Term Frequency: 0         
Term: Code                           Term Frequency: 0         
Term: Administrative                 Term Frequency: 0         
Term: uoc.eduABSTRACTIn              Term Frequency: 0         
Term: Loring                         Term Frequency: 0         
Term: Noel                           Term Frequency: 0         
Term: They                           Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: Attention                      Term Frequency: 0         
Term: These                          Term Frequency: 0         
Term: Callejo                        Term Frequency: 0         
Term: Computer                       Term Frequency: 0         
Term: Strategies                     Term Frequency: 0         
Term: Navarro                        Term Frequency: 0         
Term: Data                           Term Frequency: 0         
Term: Second                         Term Frequency: 0         
Term: Sci                            Term Frequency: 0         
Term: DROPPING                       Term Frequency: 0         
Term: Towards                        Term Frequency: 0         
Term: Increasing                     Term Frequency: 0         
Term: Gómez                          Term Frequency: 0         
Term: University                     Term Frequency: 0         
Term: Processing                     Term Frequency: 0         
Term: Revista                        Term Frequency: 0         
Term: Distance                       Term Frequency: 0         
Term: Canada                         Term Frequency: 0         
Term: Monitoring                     Term Frequency: 0         
Term: Educational                    Term Frequency: 0         
Term: Spain                          Term Frequency: 0         
Term: LAK                            Term Frequency: 0         
Term: MinguillónComputer             Term Frequency: 0         
Term: Error                          Term Frequency: 0         
Term: outBusiness                    Term Frequency: 0         
Term: Categories                     Term Frequency: 0         
Term: March                          Term Frequency: 0         
Term: Differences                    Term Frequency: 0         
Term: into                           Term Frequency: 0         
Term: First                          Term Frequency: 0         
Term: Frankola                       Term Frequency: 0         
Term: Programme                      Term Frequency: 0         
Term: CONCLUSIONS                    Term Frequency: 0         
Term: DATA                           Term Frequency: 0         
Term: Science                        Term Frequency: 0         
Term: Since                          Term Frequency: 0         
Term: February                       Term Frequency: 0         
Term: TOTAL                          Term Frequency: 0         
Term: Tec                            Term Frequency: 0         
Term: Malaga                         Term Frequency: 0         
Term: Observe                        Term Frequency: 0         
Term: Where                          Term Frequency: 0         
Term: June                           Term Frequency: 0         
Term: An                             Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: As                             Term Frequency: 0         
Term: Enroment                       Term Frequency: 0         
Term: At                             Term Frequency: 0         
Term: CM                             Term Frequency: 0         
Term: CS                             Term Frequency: 0         
Term: Abandono                       Term Frequency: 0         
Term: Market                         Term Frequency: 0         
Term: 78Table                        Term Frequency: 0         
Term: UOC                            Term Frequency: 0         
Term: Sustainable                    Term Frequency: 0         
Term: He                             Term Frequency: 0         
Term: Student                        Term Frequency: 0         
Term: Person                         Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: It                             Term Frequency: 0         
Term: Learners                       Term Frequency: 0         
Term: Law                            Term Frequency: 0         
Term: Enrolment                      Term Frequency: 0         
Term: Notice                         Term Frequency: 0         
Term: Iberoamericana                 Term Frequency: 0         
Term: MR                             Term Frequency: 0         
Term: 77Nevertheless                 Term Frequency: 0         
Term: OF                             Term Frequency: 0         
Term: On                             Term Frequency: 0         
Term: Accredited                     Term Frequency: 0         
Term: Figure                         Term Frequency: 0         
Term: such                           Term Frequency: 0         
Term: Other                          Term Frequency: 0         
Term: Audiovisual                    Term Frequency: 0         
Term: UK                             Term Frequency: 0         
Term: To                             Term Frequency: 0         
Term: Economics                      Term Frequency: 0         
Term: Problem                        Term Frequency: 0         
Term: September                      Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: was                            Term Frequency: 0         
Term: We                             Term Frequency: 0         
Term: Catalonia                      Term Frequency: 0         
Term: Research                       Term Frequency: 0         
Term: Dropout                        Term Frequency: 0         
Term: RESULTS                        Term Frequency: 0         
Term: Armed                          Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: dataNumber                     Term Frequency: 0         
Term: Transfer                       Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: Returning                      Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: Number                         Term Frequency: 0         
Term: Psychopedagogy                 Term Frequency: 0         
Term: Although                       Term Frequency: 0         
Term: if                             Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: it                             Term Frequency: 0         
Term: INTRODUCTIONFrom               Term Frequency: 0         
Term: Sciences                       Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: Universitat                    Term Frequency: 0         
Term: no                             Term Frequency: 0         
Term: Perspective                    Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: they                           Term Frequency: 0         
Term: then                           Term Frequency: 0         
Term: Additionally                   Term Frequency: 0         
Term: Section                        Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: this                           Term Frequency: 0         
Term: Specifically                   Term Frequency: 0         
Term: Estudio                        Term Frequency: 0         
Term: Dropping                       Term Frequency: 0         
Term: Table                          Term Frequency: 0         
Term: Model                          Term Frequency: 0         
Term: Catalunya                      Term Frequency: 0         
Term: will                           Term Frequency: 0         
Term: Normally                       Term Frequency: 0         
Term: Therefore                      Term Frequency: 0         
Term: these                          Term Frequency: 0         
Term: Oberta                         Term Frequency: 0         
Term: Analysis                       Term Frequency: 0         
Term: Multimedia                     Term Frequency: 0         
Term: Eng                            Term Frequency: 0         
Term: UNED                           Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: there                          Term Frequency: 0         
Term: Finally                        Term Frequency: 0         
Term: SPSS                           Term Frequency: 0         
Term: Percentage                     Term Frequency: 0         
Term: Cohorte                        Term Frequency: 0         
Term: However                        Term Frequency: 0         
Term: Catalan                        Term Frequency: 0         
Term: learningGeneral                Term Frequency: 0         
Term: Berge                          Term Frequency: 0         
Term: Once                           Term Frequency: 0         
Term: Review                         Term Frequency: 0         
Term: Engineer                       Term Frequency: 0         
Term: Ashby                          Term Frequency: 0         
Term: Equal                          Term Frequency: 0         
Term: Special                        Term Frequency: 0         
Term: Banff                          Term Frequency: 0         
Term: OUT                            Term Frequency: 0         
Term: ANALYSIS                       Term Frequency: 0         
Term: Telecom                        Term Frequency: 0         
Term: Why                            Term Frequency: 0         
Term: Saluri                         Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: Fig                            Term Frequency: 0         
Term: Digest                         Term Frequency: 0         
Term: Only                           Term Frequency: 0         
Term: Political                      Term Frequency: 0         
Term: Columns                        Term Frequency: 0         
Term: Dropouts                       Term Frequency: 0         
Term: For                            Term Frequency: 0         
Term: Measurement                    Term Frequency: 0         
Term: International                  Term Frequency: 0         
Term: Obviously                      Term Frequency: 0         
Term: Labour                         Term Frequency: 0         
Term: Department                     Term Frequency: 0         
Term: Permission                     Term Frequency: 0         
Term: One                            Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: Tech                           Term Frequency: 0         
Term: Levitz                         Term Frequency: 0         
Term: Our                            Term Frequency: 0         
Term: Noticeably                     Term Frequency: 0         
Term: Following                      Term Frequency: 0         
Term: Results                        Term Frequency: 0         
Term: Spanish                        Term Frequency: 0         
Term: Furthermore                    Term Frequency: 0         
Term: METHODOLOGY                    Term Frequency: 0         
Term: Tinto                          Term Frequency: 0         
Term: Tourism                        Term Frequency: 0         
Term: Josep                          Term Frequency: 0         
Term: Evidence                       Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: Tresman                        Term Frequency: 0         
Term: Lastly                         Term Frequency: 0         
Term: REFERENCES                     Term Frequency: 0         
Term: Psychology                     Term Frequency: 0         
Term: Retention                      Term Frequency: 0         
Term: Open                           Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: IDP                            Term Frequency: 0         
Term: ERIC                           Term Frequency: 0         
Term: TermsManagement                Term Frequency: 0         
Term: DEOSNEWS                       Term Frequency: 0         
Term: Educación                      Term Frequency: 0         
Term: Studies                        Term Frequency: 0         
Term: Aproximación                   Term Frequency: 0         
Term: Humanities                     Term Frequency: 0         
Term: Holistic                       Term Frequency: 0         
Term: Associates                     Term Frequency: 0         
Term: Lassibille                     Term Frequency: 0         
Term: ACM                            Term Frequency: 0         
Term: Business                       Term Frequency: 0         
Term: Documentation                  Term Frequency: 0         
Term: Duration                       Term Frequency: 0         
Term: Accumulatedpercentage          Term Frequency: 0         
Term: Possibly                       Term Frequency: 0         
Term: Alberta                        Term Frequency: 0         
Term: AND                            Term Frequency: 0         
Term: Pappas                         Term Frequency: 0         
Term: PRIOR                          Term Frequency: 0         
Term: Such                           Term Frequency: 0         
Term: Redefining                     Term Frequency: 0         
Term: Grau                           Term Frequency: 0         
Term: but                            Term Frequency: 0         
Term: Workforce                      Term Frequency: 0         
Term: Identifier                     Term Frequency: 0         
Term: UNIVERSITY                     Term Frequency: 0         
Term: uoc.eduJulià                   Term Frequency: 0         
Term: Subject                        Term Frequency: 0         
Term: Estudiantes                    Term Frequency: 0         
Term: Distancia                      Term Frequency: 0         
Term: Uses                           Term Frequency: 0         
Term: Engineering                    Term Frequency: 0         
