Term: week                           Term Frequency: 115       
Term: 65                             Term Frequency: 1         
Term: common                         Term Frequency: 1         
Term: 70                             Term Frequency: 1         
Term: 74                             Term Frequency: 1         
Term: 75                             Term Frequency: 1         
Term: 79                             Term Frequency: 1         
Term: apply                          Term Frequency: 1         
Term: 80                             Term Frequency: 1         
Term: 81                             Term Frequency: 1         
Term: relational                     Term Frequency: 1         
Term: 85                             Term Frequency: 1         
Term: 91                             Term Frequency: 1         
Term: preliminary                    Term Frequency: 1         
Term: 98                             Term Frequency: 1         
Term: van                            Term Frequency: 1         
Term: word                           Term Frequency: 1         
Term: misconceptions                 Term Frequency: 1         
Term: simplest                       Term Frequency: 1         
Term: exists                         Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: threshold                      Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: seems                          Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: 10.88                          Term Frequency: 1         
Term: allowed                        Term Frequency: 1         
Term: interdisciplinary              Term Frequency: 1         
Term: appropriate                    Term Frequency: 1         
Term: representing                   Term Frequency: 1         
Term: evidence                       Term Frequency: 1         
Term: lpaq                           Term Frequency: 1         
Term: generated                      Term Frequency: 1         
Term: often                          Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: noted                          Term Frequency: 1         
Term: 4.2                            Term Frequency: 1         
Term: achieved                       Term Frequency: 1         
Term: occurs                         Term Frequency: 1         
Term: 401                            Term Frequency: 1         
Term: 10027                          Term Frequency: 1         
Term: share                          Term Frequency: 1         
Term: 2nd                            Term Frequency: 1         
Term: 425                            Term Frequency: 1         
Term: etc                            Term Frequency: 1         
Term: below                          Term Frequency: 1         
Term: 440                            Term Frequency: 1         
Term: 450                            Term Frequency: 1         
Term: chose                          Term Frequency: 1         
Term: 460                            Term Frequency: 1         
Term: represented                    Term Frequency: 1         
Term: expected                       Term Frequency: 1         
Term: specifying                     Term Frequency: 1         
Term: unweighted                     Term Frequency: 1         
Term: metric                         Term Frequency: 1         
Term: remains                        Term Frequency: 1         
Term: submit                         Term Frequency: 1         
Term: impose                         Term Frequency: 1         
Term: incorporating                  Term Frequency: 1         
Term: grained                        Term Frequency: 1         
Term: massively                      Term Frequency: 1         
Term: double                         Term Frequency: 1         
Term: republish                      Term Frequency: 1         
Term: completely                     Term Frequency: 1         
Term: portion                        Term Frequency: 1         
Term: homophily                      Term Frequency: 1         
Term: receiving                      Term Frequency: 1         
Term: 5.99                           Term Frequency: 1         
Term: explore                        Term Frequency: 1         
Term: distinction                    Term Frequency: 1         
Term: exceptions                     Term Frequency: 1         
Term: integrated                     Term Frequency: 1         
Term: variance                       Term Frequency: 1         
Term: various                        Term Frequency: 1         
Term: attention                      Term Frequency: 1         
Term: assumption                     Term Frequency: 1         
Term: interpretation                 Term Frequency: 1         
Term: patterns                       Term Frequency: 1         
Term: 5.1                            Term Frequency: 1         
Term: 5.2                            Term Frequency: 1         
Term: plot                           Term Frequency: 1         
Term: form                           Term Frequency: 1         
Term: relationships                  Term Frequency: 1         
Term: context                        Term Frequency: 1         
Term: likely                         Term Frequency: 1         
Term: interacted                     Term Frequency: 1         
Term: advisors                       Term Frequency: 1         
Term: affinity                       Term Frequency: 1         
Term: grades                         Term Frequency: 1         
Term: graded                         Term Frequency: 1         
Term: proliferation                  Term Frequency: 1         
Term: limit                          Term Frequency: 1         
Term: p1                             Term Frequency: 1         
Term: head                           Term Frequency: 1         
Term: intelligent                    Term Frequency: 1         
Term: them                           Term Frequency: 1         
Term: seat                           Term Frequency: 1         
Term: concepts                       Term Frequency: 1         
Term: adopt                          Term Frequency: 1         
Term: so                             Term Frequency: 1         
Term: calendar                       Term Frequency: 1         
Term: closer                         Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: separate                       Term Frequency: 1         
Term: up                             Term Frequency: 1         
Term: know                           Term Frequency: 1         
Term: changed                        Term Frequency: 1         
Term: readings                       Term Frequency: 1         
Term: create                         Term Frequency: 1         
Term: equivalently                   Term Frequency: 1         
Term: scale                          Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: observations                   Term Frequency: 1         
Term: earning                        Term Frequency: 1         
Term: introduces                     Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: introduced                     Term Frequency: 1         
Term: replies                        Term Frequency: 1         
Term: educators                      Term Frequency: 1         
Term: much                           Term Frequency: 1         
Term: standard                       Term Frequency: 1         
Term: correct                        Term Frequency: 1         
Term: lack                           Term Frequency: 1         
Term: 61820                          Term Frequency: 1         
Term: 612                            Term Frequency: 1         
Term: 614                            Term Frequency: 1         
Term: focus                          Term Frequency: 1         
Term: 638                            Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: analyze                        Term Frequency: 1         
Term: restrict                       Term Frequency: 1         
Term: particularly                   Term Frequency: 1         
Term: earlier                        Term Frequency: 1         
Term: lagged                         Term Frequency: 1         
Term: policies                       Term Frequency: 1         
Term: units                          Term Frequency: 1         
Term: convey                         Term Frequency: 1         
Term: performing                     Term Frequency: 1         
Term: crowds                         Term Frequency: 1         
Term: thinks                         Term Frequency: 1         
Term: events                         Term Frequency: 1         
Term: must                           Term Frequency: 1         
Term: found                          Term Frequency: 1         
Term: automated                      Term Frequency: 1         
Term: predominantly                  Term Frequency: 1         
Term: instructors                    Term Frequency: 1         
Term: late                           Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: early                          Term Frequency: 1         
Term: confirmed                      Term Frequency: 1         
Term: linguistic                     Term Frequency: 1         
Term: ways                           Term Frequency: 1         
Term: small                          Term Frequency: 1         
Term: before                         Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: potential                      Term Frequency: 1         
Term: twice                          Term Frequency: 1         
Term: convergence                    Term Frequency: 1         
Term: point                          Term Frequency: 1         
Term: ceiling                        Term Frequency: 1         
Term: alternative                    Term Frequency: 1         
Term: mean                           Term Frequency: 1         
Term: diverse                        Term Frequency: 1         
Term: strict                         Term Frequency: 1         
Term: limitations                    Term Frequency: 1         
Term: how                            Term Frequency: 1         
Term: summing                        Term Frequency: 1         
Term: questions                      Term Frequency: 1         
Term: aggregating                    Term Frequency: 1         
Term: ignored                        Term Frequency: 1         
Term: confusion                      Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: hub                            Term Frequency: 1         
Term: nonlinear                      Term Frequency: 1         
Term: tracking                       Term Frequency: 1         
Term: action                         Term Frequency: 1         
Term: 761                            Term Frequency: 1         
Term: phenomenon                     Term Frequency: 1         
Term: 770                            Term Frequency: 1         
Term: generalize                     Term Frequency: 1         
Term: defining                       Term Frequency: 1         
Term: 783                            Term Frequency: 1         
Term: calculated                     Term Frequency: 1         
Term: coded                          Term Frequency: 1         
Term: certainly                      Term Frequency: 1         
Term: concerning                     Term Frequency: 1         
Term: reflect                        Term Frequency: 1         
Term: 4.07                           Term Frequency: 1         
Term: refinement                     Term Frequency: 1         
Term: intention                      Term Frequency: 1         
Term: pointed                        Term Frequency: 1         
Term: meta                           Term Frequency: 1         
Term: 4.36                           Term Frequency: 1         
Term: 4.49                           Term Frequency: 1         
Term: actually                       Term Frequency: 1         
Term: habitual                       Term Frequency: 1         
Term: independence                   Term Frequency: 1         
Term: 4.76                           Term Frequency: 1         
Term: caveats                        Term Frequency: 1         
Term: discussions                    Term Frequency: 1         
Term: 4.90                           Term Frequency: 1         
Term: provisional                    Term Frequency: 1         
Term: preferably                     Term Frequency: 1         
Term: fewer                          Term Frequency: 1         
Term: clearly                        Term Frequency: 1         
Term: according                      Term Frequency: 1         
Term: quantity                       Term Frequency: 1         
Term: stages                         Term Frequency: 1         
Term: fairly                         Term Frequency: 1         
Term: persons                        Term Frequency: 1         
Term: criterion                      Term Frequency: 1         
Term: linked                         Term Frequency: 1         
Term: characterization               Term Frequency: 1         
Term: 832                            Term Frequency: 1         
Term: 842                            Term Frequency: 1         
Term: joining                        Term Frequency: 1         
Term: yzhang002                      Term Frequency: 1         
Term: previously                     Term Frequency: 1         
Term: authorship                     Term Frequency: 1         
Term: identify                       Term Frequency: 1         
Term: learner’s                      Term Frequency: 1         
Term: unit                           Term Frequency: 1         
Term: predict                        Term Frequency: 1         
Term: hypothesis                     Term Frequency: 1         
Term: exclusive                      Term Frequency: 1         
Term: predictors                     Term Frequency: 1         
Term: frequently                     Term Frequency: 1         
Term: taken                          Term Frequency: 1         
Term: takes                          Term Frequency: 1         
Term: challenging                    Term Frequency: 1         
Term: those                          Term Frequency: 1         
Term: parameters                     Term Frequency: 1         
Term: attract                        Term Frequency: 1         
Term: learned                        Term Frequency: 1         
Term: connectivist                   Term Frequency: 1         
Term: correlational                  Term Frequency: 1         
Term: important                      Term Frequency: 1         
Term: 9.14                           Term Frequency: 1         
Term: offer                          Term Frequency: 1         
Term: afterwards                     Term Frequency: 1         
Term: 9.31                           Term Frequency: 1         
Term: 9.34                           Term Frequency: 1         
Term: offered                        Term Frequency: 1         
Term: words                          Term Frequency: 1         
Term: covariate                      Term Frequency: 1         
Term: normalizing                    Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: subset                         Term Frequency: 1         
Term: expert                         Term Frequency: 1         
Term: output                         Term Frequency: 1         
Term: sign                           Term Frequency: 1         
Term: directly                       Term Frequency: 1         
Term: volumetric                     Term Frequency: 1         
Term: cross                          Term Frequency: 1         
Term: acknowledge                    Term Frequency: 1         
Term: objective                      Term Frequency: 1         
Term: available                      Term Frequency: 1         
Term: enrollees                      Term Frequency: 1         
Term: throughout                     Term Frequency: 1         
Term: exhibited                      Term Frequency: 1         
Term: pitfalls                       Term Frequency: 1         
Term: lean                           Term Frequency: 1         
Term: observation                    Term Frequency: 1         
Term: inclusion                      Term Frequency: 1         
Term: predictor                      Term Frequency: 1         
Term: studied                        Term Frequency: 1         
Term: played                         Term Frequency: 1         
Term: densities                      Term Frequency: 1         
Term: address                        Term Frequency: 1         
Term: consisting                     Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: blocks                         Term Frequency: 1         
Term: went                           Term Frequency: 1         
Term: product                        Term Frequency: 1         
Term: 3.01                           Term Frequency: 1         
Term: upon                           Term Frequency: 1         
Term: platforms                      Term Frequency: 1         
Term: 2883851.2883934                Term Frequency: 1         
Term: centrality                     Term Frequency: 1         
Term: function                       Term Frequency: 1         
Term: law                            Term Frequency: 1         
Term: 3.15                           Term Frequency: 1         
Term: improve                        Term Frequency: 1         
Term: 3.05                           Term Frequency: 1         
Term: characterizations              Term Frequency: 1         
Term: similarly                      Term Frequency: 1         
Term: 3.29                           Term Frequency: 1         
Term: 3.40                           Term Frequency: 1         
Term: 3.43                           Term Frequency: 1         
Term: 3.58                           Term Frequency: 1         
Term: 3.56                           Term Frequency: 1         
Term: 3.60                           Term Frequency: 1         
Term: 4190                           Term Frequency: 1         
Term: 3.63                           Term Frequency: 1         
Term: 3.73                           Term Frequency: 1         
Term: 3.85                           Term Frequency: 1         
Term: weakened                       Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: 1978                           Term Frequency: 1         
Term: computed                       Term Frequency: 1         
Term: mzhu                           Term Frequency: 1         
Term: teaching                       Term Frequency: 1         
Term: 1994                           Term Frequency: 1         
Term: experience                     Term Frequency: 1         
Term: particular                     Term Frequency: 1         
Term: done                           Term Frequency: 1         
Term: correlate                      Term Frequency: 1         
Term: alternately                    Term Frequency: 1         
Term: constructs                     Term Frequency: 1         
Term: principal                      Term Frequency: 1         
Term: mutually                       Term Frequency: 1         
Term: depending                      Term Frequency: 1         
Term: added                          Term Frequency: 1         
Term: adding                         Term Frequency: 1         
Term: ryanshaunbaker                 Term Frequency: 1         
Term: sense                          Term Frequency: 1         
Term: field                          Term Frequency: 1         
Term: serves                         Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: oriented                       Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: above                          Term Frequency: 1         
Term: received                       Term Frequency: 1         
Term: quality                        Term Frequency: 1         
Term: endogenous                     Term Frequency: 1         
Term: middle                         Term Frequency: 1         
Term: collaboration                  Term Frequency: 1         
Term: reciprocated                   Term Frequency: 1         
Term: allow                          Term Frequency: 1         
Term: still                          Term Frequency: 1         
Term: constitute                     Term Frequency: 1         
Term: toward                         Term Frequency: 1         
Term: ourselves                      Term Frequency: 1         
Term: tutoring                       Term Frequency: 1         
Term: dimensions                     Term Frequency: 1         
Term: capture                        Term Frequency: 1         
Term: sequence                       Term Frequency: 1         
Term: because                        Term Frequency: 1         
Term: assigning                      Term Frequency: 1         
Term: detail                         Term Frequency: 1         
Term: decreased                      Term Frequency: 1         
Term: mechanics                      Term Frequency: 1         
Term: 08541                          Term Frequency: 1         
Term: elle.wang                      Term Frequency: 1         
Term: arises                         Term Frequency: 1         
Term: release                        Term Frequency: 1         
Term: foundations                    Term Frequency: 1         
Term: driven                         Term Frequency: 1         
Term: acm.org                        Term Frequency: 1         
Term: holiday                        Term Frequency: 1         
Term: logic                          Term Frequency: 1         
Term: intervals                      Term Frequency: 1         
Term: networked                      Term Frequency: 1         
Term: boundary                       Term Frequency: 1         
Term: influences                     Term Frequency: 1         
Term: super                          Term Frequency: 1         
Term: developments                   Term Frequency: 1         
Term: fully                          Term Frequency: 1         
Term: associations                   Term Frequency: 1         
Term: automatically                  Term Frequency: 1         
Term: permitted                      Term Frequency: 1         
Term: understood                     Term Frequency: 1         
Term: resulted                       Term Frequency: 1         
Term: involving                      Term Frequency: 1         
Term: scalability                    Term Frequency: 1         
Term: continuity                     Term Frequency: 1         
Term: columbia.edu                   Term Frequency: 1         
Term: struggling                     Term Frequency: 1         
Term: determined                     Term Frequency: 1         
Term: explicitly                     Term Frequency: 1         
Term: earned                         Term Frequency: 1         
Term: otherwise                      Term Frequency: 1         
Term: hierarchy                      Term Frequency: 1         
Term: consideration                  Term Frequency: 1         
Term: illinois.edu                   Term Frequency: 1         
Term: communications                 Term Frequency: 1         
Term: accounted                      Term Frequency: 1         
Term: decade                         Term Frequency: 1         
Term: dependency                     Term Frequency: 1         
Term: 2.00                           Term Frequency: 1         
Term: resulting                      Term Frequency: 1         
Term: traditional                    Term Frequency: 1         
Term: turned                         Term Frequency: 1         
Term: 2.07                           Term Frequency: 1         
Term: seemed                         Term Frequency: 1         
Term: draw                           Term Frequency: 1         
Term: 2.22                           Term Frequency: 1         
Term: 2.20                           Term Frequency: 1         
Term: generally                      Term Frequency: 1         
Term: constructivist                 Term Frequency: 1         
Term: 2.38                           Term Frequency: 1         
Term: 2.58                           Term Frequency: 1         
Term: 2.54                           Term Frequency: 1         
Term: assessments                    Term Frequency: 1         
Term: 2.68                           Term Frequency: 1         
Term: decreasing                     Term Frequency: 1         
Term: constructivism                 Term Frequency: 1         
Term: 2.59                           Term Frequency: 1         
Term: 2.72                           Term Frequency: 1         
Term: 2.70                           Term Frequency: 1         
Term: 2.76                           Term Frequency: 1         
Term: 2.74                           Term Frequency: 1         
Term: 2.87                           Term Frequency: 1         
Term: 2.85                           Term Frequency: 1         
Term: 2.94                           Term Frequency: 1         
Term: 2.99                           Term Frequency: 1         
Term: 2.98                           Term Frequency: 1         
Term: nonsignificant                 Term Frequency: 1         
Term: 2.95                           Term Frequency: 1         
Term: persist                        Term Frequency: 1         
Term: extract                        Term Frequency: 1         
Term: lies                           Term Frequency: 1         
Term: cases                          Term Frequency: 1         
Term: connection                     Term Frequency: 1         
Term: streams                        Term Frequency: 1         
Term: exist                          Term Frequency: 1         
Term: examples                       Term Frequency: 1         
Term: distribution                   Term Frequency: 1         
Term: out                            Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: connecting                     Term Frequency: 1         
Term: realistic                      Term Frequency: 1         
Term: development                    Term Frequency: 1         
Term: efforts                        Term Frequency: 1         
Term: note                           Term Frequency: 1         
Term: link                           Term Frequency: 1         
Term: 37102                          Term Frequency: 1         
Term: functions                      Term Frequency: 1         
Term: contributions                  Term Frequency: 1         
Term: plausible                      Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: specifications                 Term Frequency: 1         
Term: weighted                       Term Frequency: 1         
Term: divided                        Term Frequency: 1         
Term: linear                         Term Frequency: 1         
Term: reproduced                     Term Frequency: 1         
Term: requiring                      Term Frequency: 1         
Term: everyone                       Term Frequency: 1         
Term: simplified                     Term Frequency: 1         
Term: design                         Term Frequency: 1         
Term: comparisons                    Term Frequency: 1         
Term: pronounced                     Term Frequency: 1         
Term: typical                        Term Frequency: 1         
Term: standpoint                     Term Frequency: 1         
Term: 7.38                           Term Frequency: 1         
Term: choice                         Term Frequency: 1         
Term: major                          Term Frequency: 1         
Term: consider                       Term Frequency: 1         
Term: reciprocity                    Term Frequency: 1         
Term: substitution                   Term Frequency: 1         
Term: 7.64                           Term Frequency: 1         
Term: applying                       Term Frequency: 1         
Term: eighth                         Term Frequency: 1         
Term: account                        Term Frequency: 1         
Term: videos                         Term Frequency: 1         
Term: population                     Term Frequency: 1         
Term: tags                           Term Frequency: 1         
Term: simplifications                Term Frequency: 1         
Term: consisted                      Term Frequency: 1         
Term: embedded                       Term Frequency: 1         
Term: series                         Term Frequency: 1         
Term: analytic                       Term Frequency: 1         
Term: represent                      Term Frequency: 1         
Term: commonly                       Term Frequency: 1         
Term: take                           Term Frequency: 1         
Term: additional                     Term Frequency: 1         
Term: 2009                           Term Frequency: 1         
Term: just                           Term Frequency: 1         
Term: owned                          Term Frequency: 1         
Term: answers                        Term Frequency: 1         
Term: hope                           Term Frequency: 1         
Term: validation                     Term Frequency: 1         
Term: together                       Term Frequency: 1         
Term: instance                       Term Frequency: 1         
Term: 1418219                        Term Frequency: 1         
Term: fine                           Term Frequency: 1         
Term: since                          Term Frequency: 1         
Term: firm                           Term Frequency: 1         
Term: processing                     Term Frequency: 1         
Term: five                           Term Frequency: 1         
Term: collection                     Term Frequency: 1         
Term: definition                     Term Frequency: 1         
Term: during                         Term Frequency: 1         
Term: dependent                      Term Frequency: 1         
Term: reduced                        Term Frequency: 1         
Term: versions                       Term Frequency: 1         
Term: violate                        Term Frequency: 1         
Term: evolving                       Term Frequency: 1         
Term: 0.0005                         Term Frequency: 1         
Term: allure                         Term Frequency: 1         
Term: assessing                      Term Frequency: 1         
Term: depart                         Term Frequency: 1         
Term: fading                         Term Frequency: 1         
Term: operationalization             Term Frequency: 1         
Term: membership                     Term Frequency: 1         
Term: building                       Term Frequency: 1         
Term: ran                            Term Frequency: 1         
Term: assistants                     Term Frequency: 1         
Term: 1.02                           Term Frequency: 1         
Term: 1.13                           Term Frequency: 1         
Term: 1.03                           Term Frequency: 1         
Term: smaller                        Term Frequency: 1         
Term: ago                            Term Frequency: 1         
Term: 1.23                           Term Frequency: 1         
Term: odds                           Term Frequency: 1         
Term: 1.15                           Term Frequency: 1         
Term: aggregated                     Term Frequency: 1         
Term: 1.31                           Term Frequency: 1         
Term: 1.43                           Term Frequency: 1         
Term: 1.37                           Term Frequency: 1         
Term: 1.55                           Term Frequency: 1         
Term: 1.47                           Term Frequency: 1         
Term: 1.63                           Term Frequency: 1         
Term: 1.64                           Term Frequency: 1         
Term: 1.58                           Term Frequency: 1         
Term: 1.70                           Term Frequency: 1         
Term: 1.71                           Term Frequency: 1         
Term: already                        Term Frequency: 1         
Term: 1.80                           Term Frequency: 1         
Term: negatively                     Term Frequency: 1         
Term: 1.98                           Term Frequency: 1         
Term: 010101                         Term Frequency: 1         
Term: reversed                       Term Frequency: 1         
Term: thought                        Term Frequency: 1         
Term: grade                          Term Frequency: 1         
Term: choices                        Term Frequency: 1         
Term: describes                      Term Frequency: 1         
Term: theories                       Term Frequency: 1         
Term: strength                       Term Frequency: 1         
Term: affiliation                    Term Frequency: 1         
Term: correctness                    Term Frequency: 1         
Term: statistic                      Term Frequency: 1         
Term: affective                      Term Frequency: 1         
Term: analogous                      Term Frequency: 1         
Term: assignments                    Term Frequency: 1         
Term: collected                      Term Frequency: 1         
Term: participating                  Term Frequency: 1         
Term: connections                    Term Frequency: 1         
Term: timing                         Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: latter                         Term Frequency: 1         
Term: frequencies                    Term Frequency: 1         
Term: simply                         Term Frequency: 1         
Term: interdependent                 Term Frequency: 1         
Term: affect                         Term Frequency: 1         
Term: poses                          Term Frequency: 1         
Term: typically                      Term Frequency: 1         
Term: little                         Term Frequency: 1         
Term: comprehensive                  Term Frequency: 1         
Term: improved                       Term Frequency: 1         
Term: change                         Term Frequency: 1         
Term: constant                       Term Frequency: 1         
Term: highly                         Term Frequency: 1         
Term: 106                            Term Frequency: 1         
Term: encouraged                     Term Frequency: 1         
Term: spanned                        Term Frequency: 1         
Term: 117                            Term Frequency: 1         
Term: 123                            Term Frequency: 1         
Term: 126                            Term Frequency: 1         
Term: interpreted                    Term Frequency: 1         
Term: sum                            Term Frequency: 1         
Term: actively                       Term Frequency: 1         
Term: handled                        Term Frequency: 1         
Term: 151                            Term Frequency: 1         
Term: frequency                      Term Frequency: 1         
Term: 155                            Term Frequency: 1         
Term: 164                            Term Frequency: 1         
Term: 167                            Term Frequency: 1         
Term: 169                            Term Frequency: 1         
Term: 173                            Term Frequency: 1         
Term: weaker                         Term Frequency: 1         
Term: immensely                      Term Frequency: 1         
Term: 191                            Term Frequency: 1         
Term: 192                            Term Frequency: 1         
Term: 193                            Term Frequency: 1         
Term: shrinking                      Term Frequency: 1         
Term: natural                        Term Frequency: 1         
Term: 2.1.1                          Term Frequency: 1         
Term: commenters                     Term Frequency: 1         
Term: towards                        Term Frequency: 1         
Term: distinct                       Term Frequency: 1         
Term: interplay                      Term Frequency: 1         
Term: response                       Term Frequency: 1         
Term: coefficients                   Term Frequency: 1         
Term: Massive                        Term Frequency: 0         
Term: Strauss                        Term Frequency: 0         
Term: A                              Term Frequency: 0         
Term: BDE                            Term Frequency: 0         
Term: B                              Term Frequency: 0         
Term: C                              Term Frequency: 0         
Term: SET                            Term Frequency: 0         
Term: D                              Term Frequency: 0         
Term: E                              Term Frequency: 0         
Term: G                              Term Frequency: 0         
Term: H                              Term Frequency: 0         
Term: I                              Term Frequency: 0         
Term: J                              Term Frequency: 0         
Term: K                              Term Frequency: 0         
Term: L                              Term Frequency: 0         
Term: M                              Term Frequency: 0         
Term: N                              Term Frequency: 0         
Term: O                              Term Frequency: 0         
Term: P                              Term Frequency: 0         
Term: R                              Term Frequency: 0         
Term: S                              Term Frequency: 0         
Term: T                              Term Frequency: 0         
Term: U                              Term Frequency: 0         
Term: W                              Term Frequency: 0         
Term: Y                              Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Outcomes                       Term Frequency: 0         
Term: Age                            Term Frequency: 0         
Term: Handcock                       Term Frequency: 0         
Term: T.M                            Term Frequency: 0         
Term: T.W                            Term Frequency: 0         
Term: SNA                            Term Frequency: 0         
Term: All                            Term Frequency: 0         
Term: Random                         Term Frequency: 0         
Term: Huang                          Term Frequency: 0         
Term: And                            Term Frequency: 0         
Term: Connectivity                   Term Frequency: 0         
Term: Connectivism                   Term Frequency: 0         
Term: Nowicki                        Term Frequency: 0         
Term: Networks                       Term Frequency: 0         
Term: Are                            Term Frequency: 0         
Term: Movements                      Term Frequency: 0         
Term: There                          Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: Estimation                     Term Frequency: 0         
Term: These                          Term Frequency: 0         
Term: Supported                      Term Frequency: 0         
Term: Ramos                          Term Frequency: 0         
Term: Conference                     Term Frequency: 0         
Term: Computer                       Term Frequency: 0         
Term: TAs                            Term Frequency: 0         
Term: RELATED                        Term Frequency: 0         
Term: Digital                        Term Frequency: 0         
Term: Alternate                      Term Frequency: 0         
Term: Bad                            Term Frequency: 0         
Term: Thus                           Term Frequency: 0         
Term: Space                          Term Frequency: 0         
Term: Princeton                      Term Frequency: 0         
Term: Sep                            Term Frequency: 0         
Term: Crossley                       Term Frequency: 0         
Term: Career                         Term Frequency: 0         
Term: Columbia                       Term Frequency: 0         
Term: University                     Term Frequency: 0         
Term: Methodological                 Term Frequency: 0         
Term: Big                            Term Frequency: 0         
Term: U.S                            Term Frequency: 0         
Term: D.R                            Term Frequency: 0         
Term: Conversation                   Term Frequency: 0         
Term: Educational                    Term Frequency: 0         
Term: Eynon                          Term Frequency: 0         
Term: Counts                         Term Frequency: 0         
Term: Information                    Term Frequency: 0         
Term: Edinburgh                      Term Frequency: 0         
Term: Wang                           Term Frequency: 0         
Term: Estimate                       Term Frequency: 0         
Term: Baker                          Term Frequency: 0         
Term: Hints                          Term Frequency: 0         
Term: Games                          Term Frequency: 0         
Term: Zhang                          Term Frequency: 0         
Term: Duijn                          Term Frequency: 0         
Term: Kortemeyer                     Term Frequency: 0         
Term: Preference                     Term Frequency: 0         
Term: CONCLUSIONS                    Term Frequency: 0         
Term: ets.orgRyan                    Term Frequency: 0         
Term: Testing                        Term Frequency: 0         
Term: Service                        Term Frequency: 0         
Term: An                             Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: As                             Term Frequency: 0         
Term: Rabbany                        Term Frequency: 0         
Term: By                             Term Frequency: 0         
Term: Cho                            Term Frequency: 0         
Term: DOI                            Term Frequency: 0         
Term: II                             Term Frequency: 0         
Term: IL                             Term Frequency: 0         
Term: IT                             Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: It                             Term Frequency: 0         
Term: Psychometrika                  Term Frequency: 0         
Term: Markov                         Term Frequency: 0         
Term: DRL                            Term Frequency: 0         
Term: Rather                         Term Frequency: 0         
Term: Journal                        Term Frequency: 0         
Term: NJ                             Term Frequency: 0         
Term: NY                             Term Frequency: 0         
Term: Understanding                  Term Frequency: 0         
Term: Paquette                       Term Frequency: 0         
Term: Behavioral                     Term Frequency: 0         
Term: OP                             Term Frequency: 0         
Term: Of                             Term Frequency: 0         
Term: On                             Term Frequency: 0         
Term: TA                             Term Frequency: 0         
Term: Figure                         Term Frequency: 0         
Term: such                           Term Frequency: 0         
Term: Mathematically                 Term Frequency: 0         
Term: To                             Term Frequency: 0         
Term: Score                          Term Frequency: 0         
Term: Problem                        Term Frequency: 0         
Term: Bernoulli                      Term Frequency: 0         
Term: was                            Term Frequency: 0         
Term: We                             Term Frequency: 0         
Term: Teachers                       Term Frequency: 0         
Term: Research                       Term Frequency: 0         
Term: Trends                         Term Frequency: 0         
Term: Behavior                       Term Frequency: 0         
Term: Valente                        Term Frequency: 0         
Term: Fall                           Term Frequency: 0         
Term: Formation                      Term Frequency: 0         
Term: Physical                       Term Frequency: 0         
Term: Generating                     Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: Distributed                    Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: Dahlstrom                      Term Frequency: 0         
Term: Advancement                    Term Frequency: 0         
Term: Asynchronous                   Term Frequency: 0         
Term: ACKNOWLEDGMENTS                Term Frequency: 0         
Term: if                             Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: Position                       Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: it                             Term Frequency: 0         
Term: Structure                      Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: no                             Term Frequency: 0         
Term: Similar                        Term Frequency: 0         
Term: Perspective                    Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: they                           Term Frequency: 0         
Term: then                           Term Frequency: 0         
Term: Communication                  Term Frequency: 0         
Term: Section                        Term Frequency: 0         
Term: Pattison                       Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: Multiplexity                   Term Frequency: 0         
Term: Architectures                  Term Frequency: 0         
Term: this                           Term Frequency: 0         
Term: Internet                       Term Frequency: 0         
