Term: twitter                        Term Frequency: 82        
Term: 47                             Term Frequency: 1         
Term: seven                          Term Frequency: 1         
Term: microblogging                  Term Frequency: 1         
Term: 51                             Term Frequency: 1         
Term: 52                             Term Frequency: 1         
Term: 55                             Term Frequency: 1         
Term: surprise                       Term Frequency: 1         
Term: 56                             Term Frequency: 1         
Term: 59                             Term Frequency: 1         
Term: look                           Term Frequency: 1         
Term: 66                             Term Frequency: 1         
Term: 67                             Term Frequency: 1         
Term: 68                             Term Frequency: 1         
Term: recording                      Term Frequency: 1         
Term: interest                       Term Frequency: 1         
Term: tobecome                       Term Frequency: 1         
Term: numberonly                     Term Frequency: 1         
Term: understanddifferent            Term Frequency: 1         
Term: dents                          Term Frequency: 1         
Term: disconnect                     Term Frequency: 1         
Term: didthe                         Term Frequency: 1         
Term: cused                          Term Frequency: 1         
Term: lost                           Term Frequency: 1         
Term: withmulti                      Term Frequency: 1         
Term: 99                             Term Frequency: 1         
Term: word                           Term Frequency: 1         
Term: theory                         Term Frequency: 1         
Term: identity                       Term Frequency: 1         
Term: 25.6                           Term Frequency: 1         
Term: thinner                        Term Frequency: 1         
Term: 12.8                           Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: platform                       Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: 1207                           Term Frequency: 1         
Term: themes                         Term Frequency: 1         
Term: 3890                           Term Frequency: 1         
Term: 23rd                           Term Frequency: 1         
Term: version                        Term Frequency: 1         
Term: couldalso                      Term Frequency: 1         
Term: least                          Term Frequency: 1         
Term: measurement                    Term Frequency: 1         
Term: increasingemphasis             Term Frequency: 1         
Term: brands                         Term Frequency: 1         
Term: characterize                   Term Frequency: 1         
Term: 342http                        Term Frequency: 1         
Term: generates                      Term Frequency: 1         
Term: turbo                          Term Frequency: 1         
Term: official                       Term Frequency: 1         
Term: ethics                         Term Frequency: 1         
Term: insightsabout                  Term Frequency: 1         
Term: 29bodong                       Term Frequency: 1         
Term: studentcollaboration           Term Frequency: 1         
Term: need                           Term Frequency: 1         
Term: often                          Term Frequency: 1         
Term: tests                          Term Frequency: 1         
Term: graesser                       Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: clusteranalysis                Term Frequency: 1         
Term: horizon                        Term Frequency: 1         
Term: 4.2                            Term Frequency: 1         
Term: andthe                         Term Frequency: 1         
Term: 4.5                            Term Frequency: 1         
Term: 4.7                            Term Frequency: 1         
Term: authors                        Term Frequency: 1         
Term: tions                          Term Frequency: 1         
Term: creasingly                     Term Frequency: 1         
Term: relatedhashtags                Term Frequency: 1         
Term: television                     Term Frequency: 1         
Term: participants2                  Term Frequency: 1         
Term: 74.7                           Term Frequency: 1         
Term: perception                     Term Frequency: 1         
Term: 430                            Term Frequency: 1         
Term: links                          Term Frequency: 1         
Term: bridging                       Term Frequency: 1         
Term: keynote                        Term Frequency: 1         
Term: ety                            Term Frequency: 1         
Term: chose                          Term Frequency: 1         
Term: rates                          Term Frequency: 1         
Term: establishing                   Term Frequency: 1         
Term: remain                         Term Frequency: 1         
Term: expected                       Term Frequency: 1         
Term: multimodal                     Term Frequency: 1         
Term: hubs                           Term Frequency: 1         
Term: journalists                    Term Frequency: 1         
Term: structured                     Term Frequency: 1         
Term: scaling                        Term Frequency: 1         
Term: ness                           Term Frequency: 1         
Term: datain                         Term Frequency: 1         
Term: edchat                         Term Frequency: 1         
Term: featured                       Term Frequency: 1         
Term: incorporate                    Term Frequency: 1         
Term: reconstruct                    Term Frequency: 1         
Term: fortopic                       Term Frequency: 1         
Term: expressions                    Term Frequency: 1         
Term: improving                      Term Frequency: 1         
Term: enlarged.students              Term Frequency: 1         
Term: astweets                       Term Frequency: 1         
Term: fields                         Term Frequency: 1         
Term: generated3                     Term Frequency: 1         
Term: analyticsover                  Term Frequency: 1         
Term: 90dgasevic                     Term Frequency: 1         
Term: wouldbe                        Term Frequency: 1         
Term: central                        Term Frequency: 1         
Term: green                          Term Frequency: 1         
Term: studentneeds                   Term Frequency: 1         
Term: grew                           Term Frequency: 1         
Term: disciplines                    Term Frequency: 1         
Term: issues                         Term Frequency: 1         
Term: far                            Term Frequency: 1         
Term: republish                      Term Frequency: 1         
Term: searchers                      Term Frequency: 1         
Term: portion                        Term Frequency: 1         
Term: mostprobable                   Term Frequency: 1         
Term: explore                        Term Frequency: 1         
Term: great                          Term Frequency: 1         
Term: 13.1                           Term Frequency: 1         
Term: dominance                      Term Frequency: 1         
Term: replieshave                    Term Frequency: 1         
Term: 13.5                           Term Frequency: 1         
Term: 13.4                           Term Frequency: 1         
Term: contribute                     Term Frequency: 1         
Term: win                            Term Frequency: 1         
Term: egalitarian                    Term Frequency: 1         
Term: multidimensional               Term Frequency: 1         
Term: evaluates                      Term Frequency: 1         
Term: fix                            Term Frequency: 1         
Term: ac                             Term Frequency: 1         
Term: ag                             Term Frequency: 1         
Term: onits                          Term Frequency: 1         
Term: ap                             Term Frequency: 1         
Term: extend                         Term Frequency: 1         
Term: fold                           Term Frequency: 1         
Term: interpretation                 Term Frequency: 1         
Term: itsability                     Term Frequency: 1         
Term: looking                        Term Frequency: 1         
Term: cluded                         Term Frequency: 1         
Term: 1358                           Term Frequency: 1         
Term: pages5                         Term Frequency: 1         
Term: all1,217                       Term Frequency: 1         
Term: predictive                     Term Frequency: 1         
Term: 1369                           Term Frequency: 1         
Term: rare                           Term Frequency: 1         
Term: conferenceand                  Term Frequency: 1         
Term: wererelatively                 Term Frequency: 1         
Term: en                             Term Frequency: 1         
Term: affirm                         Term Frequency: 1         
Term: ex                             Term Frequency: 1         
Term: piece                          Term Frequency: 1         
Term: 5.0                            Term Frequency: 1         
Term: 5.3                            Term Frequency: 1         
Term: 5.4                            Term Frequency: 1         
Term: 5.5                            Term Frequency: 1         
Term: 5.6                            Term Frequency: 1         
Term: fol                            Term Frequency: 1         
Term: fo                             Term Frequency: 1         
Term: ofambient                      Term Frequency: 1         
Term: divide                         Term Frequency: 1         
Term: form                           Term Frequency: 1         
Term: gate                           Term Frequency: 1         
Term: he                             Term Frequency: 1         
Term: placed                         Term Frequency: 1         
Term: andrepresented                 Term Frequency: 1         
Term: likely                         Term Frequency: 1         
Term: im                             Term Frequency: 1         
Term: aimed                          Term Frequency: 1         
Term: platformbroadly                Term Frequency: 1         
Term: meetneeds                      Term Frequency: 1         
Term: literature                     Term Frequency: 1         
Term: powerlaw                       Term Frequency: 1         
Term: dimensionalspace               Term Frequency: 1         
Term: situa                          Term Frequency: 1         
Term: corresponded                   Term Frequency: 1         
Term: 569                            Term Frequency: 1         
Term: termsincluding                 Term Frequency: 1         
Term: andspace                       Term Frequency: 1         
Term: intelligent                    Term Frequency: 1         
Term: increasingly                   Term Frequency: 1         
Term: 591                            Term Frequency: 1         
Term: socialsectors                  Term Frequency: 1         
Term: extremely                      Term Frequency: 1         
Term: recent                         Term Frequency: 1         
Term: obtained                       Term Frequency: 1         
Term: bridge                         Term Frequency: 1         
Term: discovered                     Term Frequency: 1         
Term: executed                       Term Frequency: 1         
Term: tweetsposted                   Term Frequency: 1         
Term: seek                           Term Frequency: 1         
Term: se                             Term Frequency: 1         
Term: tolearning                     Term Frequency: 1         
Term: analyzed                       Term Frequency: 1         
Term: started                        Term Frequency: 1         
Term: closer                         Term Frequency: 1         
Term: interestedin                   Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: un                             Term Frequency: 1         
Term: isscaled                       Term Frequency: 1         
Term: academicjournals               Term Frequency: 1         
Term: know                           Term Frequency: 1         
Term: changed                        Term Frequency: 1         
Term: mistakeof                      Term Frequency: 1         
Term: gap                            Term Frequency: 1         
Term: uncovered                      Term Frequency: 1         
Term: conclude                       Term Frequency: 1         
Term: reflectionupon                 Term Frequency: 1         
Term: charac                         Term Frequency: 1         
Term: 14.1                           Term Frequency: 1         
Term: 14.9                           Term Frequency: 1         
Term: increasedaverage               Term Frequency: 1         
Term: get                            Term Frequency: 1         
Term: asreflected                    Term Frequency: 1         
Term: thetopicmodels                 Term Frequency: 1         
Term: earthquake                     Term Frequency: 1         
Term: sent                           Term Frequency: 1         
Term: 115sbskmi                      Term Frequency: 1         
Term: purposes                       Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: connec                         Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: to_user                        Term Frequency: 1         
Term: much                           Term Frequency: 1         
Term: potentialrisks                 Term Frequency: 1         
Term: theleft                        Term Frequency: 1         
Term: 6.0                            Term Frequency: 1         
Term: timeline                       Term Frequency: 1         
Term: 6.3                            Term Frequency: 1         
Term: analyticscommunity             Term Frequency: 1         
Term: adopted                        Term Frequency: 1         
Term: 6.7                            Term Frequency: 1         
Term: contributes                    Term Frequency: 1         
Term: success                        Term Frequency: 1         
Term: 600                            Term Frequency: 1         
Term: 601                            Term Frequency: 1         
Term: inlater                        Term Frequency: 1         
Term: weretherefore                  Term Frequency: 1         
Term: ethno                          Term Frequency: 1         
Term: 76.7                           Term Frequency: 1         
Term: seemsto                        Term Frequency: 1         
Term: focus                          Term Frequency: 1         
Term: changing                       Term Frequency: 1         
Term: entire                         Term Frequency: 1         
Term: lags                           Term Frequency: 1         
Term: write                          Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: ular                           Term Frequency: 1         
Term: denser                         Term Frequency: 1         
Term: 13.9lak14                      Term Frequency: 1         
Term: participations                 Term Frequency: 1         
Term: discussed                      Term Frequency: 1         
Term: opportunities                  Term Frequency: 1         
Term: fastunfolding                  Term Frequency: 1         
Term: almost                         Term Frequency: 1         
Term: earlier                        Term Frequency: 1         
Term: rangeof                        Term Frequency: 1         
Term: basic                          Term Frequency: 1         
Term: ties                           Term Frequency: 1         
Term: conver                         Term Frequency: 1         
Term: envisioning                    Term Frequency: 1         
Term: fourconferences                Term Frequency: 1         
Term: extending                      Term Frequency: 1         
Term: 90.70lak12                     Term Frequency: 1         
Term: largenetworks                  Term Frequency: 1         
Term: discussing                     Term Frequency: 1         
Term: evolv                          Term Frequency: 1         
Term: must                           Term Frequency: 1         
Term: detec                          Term Frequency: 1         
Term: characterizing                 Term Frequency: 1         
Term: updated                        Term Frequency: 1         
Term: communi                        Term Frequency: 1         
Term: theprevious                    Term Frequency: 1         
Term: ence                           Term Frequency: 1         
Term: multi                          Term Frequency: 1         
Term: inspec                         Term Frequency: 1         
Term: her                            Term Frequency: 1         
Term: having                         Term Frequency: 1         
Term: centrality.increasing          Term Frequency: 1         
Term: andtopics                      Term Frequency: 1         
Term: 1521                           Term Frequency: 1         
Term: small                          Term Frequency: 1         
Term: his                            Term Frequency: 1         
Term: emphasis                       Term Frequency: 1         
Term: point                          Term Frequency: 1         
Term: abled                          Term Frequency: 1         
Term: debut                          Term Frequency: 1         
Term: dimension                      Term Frequency: 1         
Term: persisted                      Term Frequency: 1         
Term: distort                        Term Frequency: 1         
Term: natives                        Term Frequency: 1         
Term: 7.4                            Term Frequency: 1         
Term: 7.7                            Term Frequency: 1         
Term: 7.9                            Term Frequency: 1         
Term: 0907.1013                      Term Frequency: 1         
Term: hot                            Term Frequency: 1         
Term: hov                            Term Frequency: 1         
Term: beenemerging                   Term Frequency: 1         
Term: inaugural                      Term Frequency: 1         
Term: cally                          Term Frequency: 1         
Term: corpus                         Term Frequency: 1         
Term: count                          Term Frequency: 1         
Term: analytical                     Term Frequency: 1         
Term: 736                            Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: although                       Term Frequency: 1         
Term: reaches                        Term Frequency: 1         
Term: 58dan                          Term Frequency: 1         
Term: action                         Term Frequency: 1         
Term: explored                       Term Frequency: 1         
Term: ably                           Term Frequency: 1         
Term: products                       Term Frequency: 1         
Term: periods                        Term Frequency: 1         
Term: ticipation                     Term Frequency: 1         
Term: 13abelardopardo                Term Frequency: 1         
Term: coded                          Term Frequency: 1         
Term: transformingjournalism         Term Frequency: 1         
Term: emergenceof                    Term Frequency: 1         
Term: cover                          Term Frequency: 1         
Term: one’s                          Term Frequency: 1         
Term: meta                           Term Frequency: 1         
Term: 29.8                           Term Frequency: 1         
Term: stakeholders                   Term Frequency: 1         
Term: fade                           Term Frequency: 1         
Term: evolve                         Term Frequency: 1         
Term: conferencethe                  Term Frequency: 1         
Term: calculation                    Term Frequency: 1         
Term: 2900                           Term Frequency: 1         
Term: afforded                       Term Frequency: 1         
Term: modularity                     Term Frequency: 1         
Term: revealing                      Term Frequency: 1         
Term: 16.9                           Term Frequency: 1         
Term: replacing                      Term Frequency: 1         
Term: aswe                           Term Frequency: 1         
Term: 16.3                           Term Frequency: 1         
Term: characteristics                Term Frequency: 1         
Term: termsare                       Term Frequency: 1         
Term: discussions                    Term Frequency: 1         
Term: onespecific                    Term Frequency: 1         
Term: profession                     Term Frequency: 1         
Term: overshadowed                   Term Frequency: 1         
Term: couldfurther                   Term Frequency: 1         
Term: culture                        Term Frequency: 1         
Term: interactionnetwork             Term Frequency: 1         
Term: runs                           Term Frequency: 1         
Term: speaker                        Term Frequency: 1         
Term: ina                            Term Frequency: 1         
Term: 8.6                            Term Frequency: 1         
Term: differentcolors                Term Frequency: 1         
Term: from1                          Term Frequency: 1         
Term: pool                           Term Frequency: 1         
Term: plexity                        Term Frequency: 1         
Term: close                          Term Frequency: 1         
Term: performedthe                   Term Frequency: 1         
Term: atconferences                  Term Frequency: 1         
Term: isa                            Term Frequency: 1         
Term: cific                          Term Frequency: 1         
Term: interpretationof               Term Frequency: 1         
Term: edtools                        Term Frequency: 1         
Term: post                           Term Frequency: 1         
Term: 2georgekroner                  Term Frequency: 1         
Term: ontology                       Term Frequency: 1         
Term: article                        Term Frequency: 1         
Term: ity                            Term Frequency: 1         
Term: themwas                        Term Frequency: 1         
Term: plotted                        Term Frequency: 1         
Term: improvement                    Term Frequency: 1         
Term: college                        Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: conferenceuse                  Term Frequency: 1         
Term: screenshots                    Term Frequency: 1         
Term: emergedand                     Term Frequency: 1         
Term: supportedcollaborative         Term Frequency: 1         
Term: real                           Term Frequency: 1         
Term: construction                   Term Frequency: 1         
Term: reason                         Term Frequency: 1         
Term: revolutions                    Term Frequency: 1         
Term: containing                     Term Frequency: 1         
Term: overtime                       Term Frequency: 1         
Term: forvarious                     Term Frequency: 1         
Term: pressive                       Term Frequency: 1         
Term: similarities                   Term Frequency: 1         
Term: tothe                          Term Frequency: 1         
Term: repeated                       Term Frequency: 1         
Term: excitingmoves                  Term Frequency: 1         
Term: futuredirections               Term Frequency: 1         
Term: colleagues                     Term Frequency: 1         
Term: detecting                      Term Frequency: 1         
Term: selling                        Term Frequency: 1         
Term: tounderstand                   Term Frequency: 1         
Term: node’s                         Term Frequency: 1         
Term: largely                        Term Frequency: 1         
Term: violet                         Term Frequency: 1         
Term: stress                         Term Frequency: 1         
Term: consulted                      Term Frequency: 1         
Term: 340http                        Term Frequency: 1         
Term: wecould                        Term Frequency: 1         
Term: theyappeared                   Term Frequency: 1         
Term: diagrams                       Term Frequency: 1         
Term: sheet                          Term Frequency: 1         
Term: original                       Term Frequency: 1         
Term: customer                       Term Frequency: 1         
Term: offer                          Term Frequency: 1         
Term: wereput                        Term Frequency: 1         
Term: topicmodel                     Term Frequency: 1         
Term: offered                        Term Frequency: 1         
Term: humanists                      Term Frequency: 1         
Term: audiences                      Term Frequency: 1         
Term: parts                          Term Frequency: 1         
Term: thecommunity                   Term Frequency: 1         
Term: theyears                       Term Frequency: 1         
Term: 973                            Term Frequency: 1         
Term: 974                            Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: 992                            Term Frequency: 1         
Term: 993                            Term Frequency: 1         
Term: itand                          Term Frequency: 1         
Term: counthow                       Term Frequency: 1         
Term: moregeneral                    Term Frequency: 1         
Term: attracted                      Term Frequency: 1         
Term: works                          Term Frequency: 1         
Term: proportion                     Term Frequency: 1         
Term: focuses                        Term Frequency: 1         
Term: interac                        Term Frequency: 1         
Term: world                          Term Frequency: 1         
Term: composed                       Term Frequency: 1         
Term: 40.4                           Term Frequency: 1         
Term: exceptfor                      Term Frequency: 1         
Term: report                         Term Frequency: 1         
Term: sign                           Term Frequency: 1         
Term: diffuse                        Term Frequency: 1         
Term: falls                          Term Frequency: 1         
Term: expressed                      Term Frequency: 1         
Term: directly                       Term Frequency: 1         
Term: roots                          Term Frequency: 1         
Term: establish                      Term Frequency: 1         
Term: anexploratory                  Term Frequency: 1         
Term: dynam                          Term Frequency: 1         
Term: informa                        Term Frequency: 1         
Term: metadata                       Term Frequency: 1         
Term: identifiedas                   Term Frequency: 1         
Term: 4050                           Term Frequency: 1         
Term: corpora                        Term Frequency: 1         
Term: communitiesin                  Term Frequency: 1         
Term: literatureand                  Term Frequency: 1         
Term: 18.4                           Term Frequency: 1         
Term: ofparticipation                Term Frequency: 1         
Term: teens                          Term Frequency: 1         
Term: stopped                        Term Frequency: 1         
Term: confirm                        Term Frequency: 1         
Term: horizontal                     Term Frequency: 1         
Term: 1817                           Term Frequency: 1         
Term: extreme                        Term Frequency: 1         
Term: andcollaboration               Term Frequency: 1         
Term: especially                     Term Frequency: 1         
Term: scriptive                      Term Frequency: 1         
Term: yearand                        Term Frequency: 1         
Term: vivid                          Term Frequency: 1         
Term: beenbroadly                    Term Frequency: 1         
Term: coverage                       Term Frequency: 1         
Term: specially                      Term Frequency: 1         
Term: theother                       Term Frequency: 1         
Term: positively                     Term Frequency: 1         
Term: drivers                        Term Frequency: 1         
Term: place                          Term Frequency: 1         
Term: informed                       Term Frequency: 1         
Term: deepening                      Term Frequency: 1         
Term: fraction                       Term Frequency: 1         
Term: aver                           Term Frequency: 1         
Term: surprisingly                   Term Frequency: 1         
Term: mechanisms                     Term Frequency: 1         
Term: individual                     Term Frequency: 1         
Term: regards                        Term Frequency: 1         
Term: person                         Term Frequency: 1         
Term: limited                        Term Frequency: 1         
Term: studied                        Term Frequency: 1         
Term: 0lak12                         Term Frequency: 1         
Term: outcomes                       Term Frequency: 1         
Term: anddistinctions                Term Frequency: 1         
Term: significanceof                 Term Frequency: 1         
Term: left                           Term Frequency: 1         
Term: eleven                         Term Frequency: 1         
Term: meaningfulexchanges            Term Frequency: 1         
Term: fifth                          Term Frequency: 1         
Term: understandthe                  Term Frequency: 1         
Term: scholarship                    Term Frequency: 1         
Term: speakers                       Term Frequency: 1         
Term: check                          Term Frequency: 1         
Term: launchedin                     Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: irrelevant                     Term Frequency: 1         
Term: eachyear’s                     Term Frequency: 1         
Term: inter                          Term Frequency: 1         
Term: hashtagging                    Term Frequency: 1         
Term: usagesuch                      Term Frequency: 1         
Term: thenused                       Term Frequency: 1         
Term: developmentover                Term Frequency: 1         
Term: constrains                     Term Frequency: 1         
Term: platforms                      Term Frequency: 1         
Term: biggest                        Term Frequency: 1         
Term: function                       Term Frequency: 1         
Term: lar                            Term Frequency: 1         
Term: topicsgenerally                Term Frequency: 1         
Term: 3.10                           Term Frequency: 1         
Term: successive                     Term Frequency: 1         
Term: ularity                        Term Frequency: 1         
Term: eral                           Term Frequency: 1         
Term: tional                         Term Frequency: 1         
Term: streamingand                   Term Frequency: 1         
Term: 19.5                           Term Frequency: 1         
Term: led                            Term Frequency: 1         
Term: spected                        Term Frequency: 1         
Term: does                           Term Frequency: 1         
Term: graphic                        Term Frequency: 1         
Term: 3.78                           Term Frequency: 1         
Term: importantly                    Term Frequency: 1         
Term: underlyingtopics               Term Frequency: 1         
Term: countsand                      Term Frequency: 1         
Term: 13mhawksey                     Term Frequency: 1         
Term: sentations                     Term Frequency: 1         
Term: influentialfigure              Term Frequency: 1         
Term: dominated                      Term Frequency: 1         
Term: thisend                        Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: away                           Term Frequency: 1         
Term: 1helinur                       Term Frequency: 1         
Term: center                         Term Frequency: 1         
Term: fromone                        Term Frequency: 1         
Term: paid                           Term Frequency: 1         
Term: formation                      Term Frequency: 1         
Term: distinguishable                Term Frequency: 1         
Term: prob                           Term Frequency: 1         
Term: interests                      Term Frequency: 1         
Term: denote                         Term Frequency: 1         
Term: obtain                         Term Frequency: 1         
Term: displayed.could                Term Frequency: 1         
Term: intra                          Term Frequency: 1         
Term: retweetsto                     Term Frequency: 1         
Term: part                           Term Frequency: 1         
Term: conversations                  Term Frequency: 1         
Term: relief                         Term Frequency: 1         
Term: termsmay                       Term Frequency: 1         
Term: changingpresentations          Term Frequency: 1         
Term: domain                         Term Frequency: 1         
Term: pairsor                        Term Frequency: 1         
Term: appearingin                    Term Frequency: 1         
Term: socialphenomena                Term Frequency: 1         
Term: inde                           Term Frequency: 1         
Term: indi                           Term Frequency: 1         
Term: 87.50lak14                     Term Frequency: 1         
Term: 1aneesha                       Term Frequency: 1         
Term: encodings                      Term Frequency: 1         
Term: elifocus                       Term Frequency: 1         
Term: down                           Term Frequency: 1         
Term: signal                         Term Frequency: 1         
Term: alarge                         Term Frequency: 1         
Term: clus                           Term Frequency: 1         
Term: 2cteplovs                      Term Frequency: 1         
Term: whereas                        Term Frequency: 1         
Term: inspection                     Term Frequency: 1         
Term: sense                          Term Frequency: 1         
Term: asbridges                      Term Frequency: 1         
Term: thedevelopment                 Term Frequency: 1         
Term: therisk                        Term Frequency: 1         
Term: identifyingmajor               Term Frequency: 1         
Term: may                            Term Frequency: 1         
Term: networkvisualizations          Term Frequency: 1         
Term: ethical                        Term Frequency: 1         
Term: technologiesadopted            Term Frequency: 1         
Term: 10,736                         Term Frequency: 1         
Term: directions                     Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: edtech20                       Term Frequency: 1         
Term: toillustrate                   Term Frequency: 1         
Term: structure                      Term Frequency: 1         
Term: authentic                      Term Frequency: 1         
Term: illus                          Term Frequency: 1         
Term: messing                        Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: sizes                          Term Frequency: 1         
Term: thetweet                       Term Frequency: 1         
Term: andcollege                     Term Frequency: 1         
Term: substantial                    Term Frequency: 1         
Term: shared                         Term Frequency: 1         
Term: components                     Term Frequency: 1         
Term: eliminate                      Term Frequency: 1         
Term: fell                           Term Frequency: 1         
Term: includedthe                    Term Frequency: 1         
Term: supports                       Term Frequency: 1         
Term: appear                         Term Frequency: 1         
Term: associated                     Term Frequency: 1         
Term: atten                          Term Frequency: 1         
Term: project                        Term Frequency: 1         
Term: helpus                         Term Frequency: 1         
Term: newinsights                    Term Frequency: 1         
Term: richer                         Term Frequency: 1         
Term: actionable                     Term Frequency: 1         
Term: forever                        Term Frequency: 1         
Term: scaleevents                    Term Frequency: 1         
Term: specified                      Term Frequency: 1         
Term: impor                          Term Frequency: 1         
Term: bearthis                       Term Frequency: 1         
Term: pages17599                     Term Frequency: 1         
Term: comprehensiveness              Term Frequency: 1         
Term: ests                           Term Frequency: 1         
Term: 51cab938                       Term Frequency: 1         
Term: discover                       Term Frequency: 1         
Term: imply                          Term Frequency: 1         
Term: failed                         Term Frequency: 1         
Term: monly                          Term Frequency: 1         
Term: sequence                       Term Frequency: 1         
Term: cleaned                        Term Frequency: 1         
Term: recip                          Term Frequency: 1         
Term: 69.5                           Term Frequency: 1         
Term: substantialamount              Term Frequency: 1         
Term: drawnfrom                      Term Frequency: 1         
Term: pernumber                      Term Frequency: 1         
Term: topicswe                       Term Frequency: 1         
Term: saved                          Term Frequency: 1         
Term: leading                        Term Frequency: 1         
Term: ouranalysis                    Term Frequency: 1         
Term: toredistribute                 Term Frequency: 1         
Term: assigning                      Term Frequency: 1         
Term: selection                      Term Frequency: 1         
Term: decreased                      Term Frequency: 1         
Term: debates                        Term Frequency: 1         
Term: hashtagclouds                  Term Frequency: 1         
Term: challengewe                    Term Frequency: 1         
Term: influen                        Term Frequency: 1         
Term: networkswas                    Term Frequency: 1         
Term: 2723576.2723584ics             Term Frequency: 1         
Term: inconsistencies                Term Frequency: 1         
Term: rich                           Term Frequency: 1         
Term: detected                       Term Frequency: 1         
Term: 30.9                           Term Frequency: 1         
Term: similar                        Term Frequency: 1         
Term: solelyfocused                  Term Frequency: 1         
Term: stored                         Term Frequency: 1         
Term: cessing                        Term Frequency: 1         
Term: thestudy                       Term Frequency: 1         
Term: outbound                       Term Frequency: 1         
Term: morebalanced                   Term Frequency: 1         
Term: domains                        Term Frequency: 1         
Term: positions                      Term Frequency: 1         
Term: conferences.or                 Term Frequency: 1         
Term: followingmajor                 Term Frequency: 1         
Term: relatedtopics                  Term Frequency: 1         
Term: specificsyntax                 Term Frequency: 1         
Term: respective                     Term Frequency: 1         
Term: engage                         Term Frequency: 1         
Term: developments                   Term Frequency: 1         
Term: decided                        Term Frequency: 1         
Term: models                         Term Frequency: 1         
Term: exchanges                      Term Frequency: 1         
Term: permitted                      Term Frequency: 1         
Term: enablericher                   Term Frequency: 1         
Term: supported                      Term Frequency: 1         
Term: 19th                           Term Frequency: 1         
Term: sciences                       Term Frequency: 1         
Term: tweetstended                   Term Frequency: 1         
Term: 61houshuang                    Term Frequency: 1         
Term: involving                      Term Frequency: 1         
Term: simplicity                     Term Frequency: 1         
Term: nor                            Term Frequency: 1         
Term: nov                            Term Frequency: 1         
Term: tagsv5                         Term Frequency: 1         
Term: lives                          Term Frequency: 1         
Term: tagsv3                         Term Frequency: 1         
Term: cated                          Term Frequency: 1         
Term: enables                        Term Frequency: 1         
Term: participantsfrom               Term Frequency: 1         
Term: areusing                       Term Frequency: 1         
Term: width                          Term Frequency: 1         
Term: thepast                        Term Frequency: 1         
Term: networkand                     Term Frequency: 1         
Term: 6dougclow                      Term Frequency: 1         
Term: centraltopics                  Term Frequency: 1         
Term: sonal                          Term Frequency: 1         
Term: ipad                           Term Frequency: 1         
Term: couldonly                      Term Frequency: 1         
Term: ticular                        Term Frequency: 1         
Term: topicsis                       Term Frequency: 1         
Term: investi                        Term Frequency: 1         
Term: along                          Term Frequency: 1         
Term: designed                       Term Frequency: 1         
Term: rocate                         Term Frequency: 1         
Term: easilyinspect                  Term Frequency: 1         
Term: participantsand                Term Frequency: 1         
Term: manypeople                     Term Frequency: 1         
Term: giant                          Term Frequency: 1         
Term: viability                      Term Frequency: 1         
Term: havebeen                       Term Frequency: 1         
Term: iswc2009                       Term Frequency: 1         
Term: innovation                     Term Frequency: 1         
Term: communicationbetween           Term Frequency: 1         
Term: essential                      Term Frequency: 1         
Term: lesssuitable                   Term Frequency: 1         
Term: accounted                      Term Frequency: 1         
Term: 42nd                           Term Frequency: 1         
Term: 31.5                           Term Frequency: 1         
Term: venue                          Term Frequency: 1         
Term: identifying                    Term Frequency: 1         
Term: researchdiscipline             Term Frequency: 1         
Term: teachers                       Term Frequency: 1         
Term: 3105                           Term Frequency: 1         
Term: venues                         Term Frequency: 1         
Term: significantly                  Term Frequency: 1         
Term: basedon                        Term Frequency: 1         
Term: presents                       Term Frequency: 1         
Term: resulting                      Term Frequency: 1         
Term: traditional                    Term Frequency: 1         
Term: remotely                       Term Frequency: 1         
Term: descriptiveanalysis            Term Frequency: 1         
Term: eventually                     Term Frequency: 1         
Term: newand                         Term Frequency: 1         
Term: growninto                      Term Frequency: 1         
Term: ofa                            Term Frequency: 1         
Term: andhypermedia                  Term Frequency: 1         
Term: semantically                   Term Frequency: 1         
Term: retrieve                       Term Frequency: 1         
Term: 2.51                           Term Frequency: 1         
Term: sations                        Term Frequency: 1         
Term: brief                          Term Frequency: 1         
Term: determine                      Term Frequency: 1         
Term: decreasing                     Term Frequency: 1         
Term: 2.65                           Term Frequency: 1         
Term: 2.63                           Term Frequency: 1         
Term: pendent                        Term Frequency: 1         
Term: themajority                    Term Frequency: 1         
Term: ourexperience                  Term Frequency: 1         
Term: 2.73                           Term Frequency: 1         
Term: andorganizers                  Term Frequency: 1         
Term: includ                         Term Frequency: 1         
Term: sensitiveto                    Term Frequency: 1         
