Term: collaboration                  Term Frequency: 46        
Term: necessary                      Term Frequency: 1         
Term: analyzed                       Term Frequency: 1         
Term: undergraduate                  Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: details                        Term Frequency: 1         
Term: children's                     Term Frequency: 1         
Term: wide                           Term Frequency: 1         
Term: 307;321                        Term Frequency: 1         
Term: tagging                        Term Frequency: 1         
Term: problem                        Term Frequency: 1         
Term: connection                     Term Frequency: 1         
Term: phase                          Term Frequency: 1         
Term: method                         Term Frequency: 1         
Term: exist                          Term Frequency: 1         
Term: encompassed                    Term Frequency: 1         
Term: get                            Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: continued                      Term Frequency: 1         
Term: 1417997                        Term Frequency: 1         
Term: prone                          Term Frequency: 1         
Term: minimum                        Term Frequency: 1         
Term: wiki                           Term Frequency: 1         
Term: like                           Term Frequency: 1         
Term: addressed                      Term Frequency: 1         
Term: 255;265                        Term Frequency: 1         
Term: scale                          Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: salient                        Term Frequency: 1         
Term: disequilibrium                 Term Frequency: 1         
Term: considers                      Term Frequency: 1         
Term: cognition                      Term Frequency: 1         
Term: implementation                 Term Frequency: 1         
Term: 190;195                        Term Frequency: 1         
Term: introduces                     Term Frequency: 1         
Term: microstructure                 Term Frequency: 1         
Term: undergoing                     Term Frequency: 1         
Term: explanation                    Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: introduced                     Term Frequency: 1         
Term: contributions                  Term Frequency: 1         
Term: system’s                       Term Frequency: 1         
Term: 13;49                          Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: 334;345                        Term Frequency: 1         
Term: freshman                       Term Frequency: 1         
Term: 1488                           Term Frequency: 1         
Term: 1486                           Term Frequency: 1         
Term: inflected                      Term Frequency: 1         
Term: adopted                        Term Frequency: 1         
Term: analyses                       Term Frequency: 1         
Term: 188;209                        Term Frequency: 1         
Term: disambiguation                 Term Frequency: 1         
Term: perform                        Term Frequency: 1         
Term: evolution                      Term Frequency: 1         
Term: service                        Term Frequency: 1         
Term: named                          Term Frequency: 1         
Term: focus                          Term Frequency: 1         
Term: 193;208                        Term Frequency: 1         
Term: 193;207                        Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: indicating                     Term Frequency: 1         
Term: framework                      Term Frequency: 1         
Term: imposed                        Term Frequency: 1         
Term: environments                   Term Frequency: 1         
Term: glean                          Term Frequency: 1         
Term: members                        Term Frequency: 1         
Term: counting                       Term Frequency: 1         
Term: units                          Term Frequency: 1         
Term: represents                     Term Frequency: 1         
Term: unity                          Term Frequency: 1         
Term: ties                           Term Frequency: 1         
Term: attending                      Term Frequency: 1         
Term: working                        Term Frequency: 1         
Term: followed                       Term Frequency: 1         
Term: extending                      Term Frequency: 1         
Term: determinant                    Term Frequency: 1         
Term: tuning                         Term Frequency: 1         
Term: comparisons                    Term Frequency: 1         
Term: 28;98                          Term Frequency: 1         
Term: emerging                       Term Frequency: 1         
Term: validate                       Term Frequency: 1         
Term: grading                        Term Frequency: 1         
Term: had                            Term Frequency: 1         
Term: 145;220                        Term Frequency: 1         
Term: continue                       Term Frequency: 1         
Term: last                           Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: proximity                      Term Frequency: 1         
Term: impossible                     Term Frequency: 1         
Term: overview                       Term Frequency: 1         
Term: detects                        Term Frequency: 1         
Term: applications                   Term Frequency: 1         
Term: extracting                     Term Frequency: 1         
Term: 220;259                        Term Frequency: 1         
Term: having                         Term Frequency: 1         
Term: approximated                   Term Frequency: 1         
Term: chain                          Term Frequency: 1         
Term: facility                       Term Frequency: 1         
Term: small                          Term Frequency: 1         
Term: 27;131                         Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: sustain                        Term Frequency: 1         
Term: 331;407                        Term Frequency: 1         
Term: 184;194                        Term Frequency: 1         
Term: point                          Term Frequency: 1         
Term: correspondingly                Term Frequency: 1         
Term: induced                        Term Frequency: 1         
Term: determining                    Term Frequency: 1         
Term: mostly                         Term Frequency: 1         
Term: qualitative                    Term Frequency: 1         
Term: active                         Term Frequency: 1         
Term: 88;112                         Term Frequency: 1         
Term: 19;148                         Term Frequency: 1         
Term: regarded                       Term Frequency: 1         
Term: represent                      Term Frequency: 1         
Term: 64;227                         Term Frequency: 1         
Term: prior                          Term Frequency: 1         
Term: session                        Term Frequency: 1         
Term: additional                     Term Frequency: 1         
Term: 2009                           Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: grants                         Term Frequency: 1         
Term: owned                          Term Frequency: 1         
Term: collaborate                    Term Frequency: 1         
Term: 364;373                        Term Frequency: 1         
Term: 167;298                        Term Frequency: 1         
Term: 139;287                        Term Frequency: 1         
Term: lemmatization                  Term Frequency: 1         
Term: 144;169                        Term Frequency: 1         
Term: 321;359                        Term Frequency: 1         
Term: induction                      Term Frequency: 1         
Term: elimination                    Term Frequency: 1         
Term: positive                       Term Frequency: 1         
Term: able                           Term Frequency: 1         
Term: solution                       Term Frequency: 1         
Term: fine                           Term Frequency: 1         
Term: calculated                     Term Frequency: 1         
Term: difficult                      Term Frequency: 1         
Term: steps                          Term Frequency: 1         
Term: 245;266                        Term Frequency: 1         
Term: task                           Term Frequency: 1         
Term: true                           Term Frequency: 1         
Term: best                           Term Frequency: 1         
Term: master                         Term Frequency: 1         
Term: except                         Term Frequency: 1         
Term: fact                           Term Frequency: 1         
Term: global                         Term Frequency: 1         
Term: free                           Term Frequency: 1         
Term: thorough                       Term Frequency: 1         
Term: face                           Term Frequency: 1         
Term: 16;285                         Term Frequency: 1         
Term: five                           Term Frequency: 1         
Term: finding                        Term Frequency: 1         
Term: detect                         Term Frequency: 1         
Term: employ                         Term Frequency: 1         
Term: discussions                    Term Frequency: 1         
Term: disadvantages                  Term Frequency: 1         
Term: 154;228                        Term Frequency: 1         
Term: games                          Term Frequency: 1         
Term: 260;384                        Term Frequency: 1         
Term: briefly                        Term Frequency: 1         
Term: itself                         Term Frequency: 1         
Term: spectrum                       Term Frequency: 1         
Term: demonstrated                   Term Frequency: 1         
Term: multitude                      Term Frequency: 1         
Term: stringent                      Term Frequency: 1         
Term: space                          Term Frequency: 1         
Term: philippe.dessus                Term Frequency: 1         
Term: bottom                         Term Frequency: 1         
Term: 10;47                          Term Frequency: 1         
Term: moments                        Term Frequency: 1         
Term: enforced                       Term Frequency: 1         
Term: constructed                    Term Frequency: 1         
Term: currently                      Term Frequency: 1         
Term: setting                        Term Frequency: 1         
Term: virtually                      Term Frequency: 1         
Term: cultural                       Term Frequency: 1         
Term: advancement                    Term Frequency: 1         
Term: inclusions                     Term Frequency: 1         
Term: essence                        Term Frequency: 1         
Term: 3417                           Term Frequency: 1         
Term: 221;236                        Term Frequency: 1         
Term: 2111                           Term Frequency: 1         
Term: repetitions                    Term Frequency: 1         
Term: act                            Term Frequency: 1         
Term: post                           Term Frequency: 1         
Term: binder                         Term Frequency: 1         
Term: ontology                       Term Frequency: 1         
Term: 299;356                        Term Frequency: 1         
Term: adjustment                     Term Frequency: 1         
Term: ratings                        Term Frequency: 1         
Term: identify                       Term Frequency: 1         
Term: 59;172                         Term Frequency: 1         
Term: age                            Term Frequency: 1         
Term: shorter                        Term Frequency: 1         
Term: viewpoint                      Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: aggregated                     Term Frequency: 1         
Term: script                         Term Frequency: 1         
Term: 27;75                          Term Frequency: 1         
Term: animation                      Term Frequency: 1         
Term: quantitatively                 Term Frequency: 1         
Term: learners                       Term Frequency: 1         
Term: 308;314                        Term Frequency: 1         
Term: 134398                         Term Frequency: 1         
Term: precision                      Term Frequency: 1         
Term: implemented                    Term Frequency: 1         
Term: complement                     Term Frequency: 1         
Term: conducted                      Term Frequency: 1         
Term: 80;190                         Term Frequency: 1         
Term: adaptable                      Term Frequency: 1         
Term: dialogism                      Term Frequency: 1         
Term: 167;182                        Term Frequency: 1         
Term: subjective                     Term Frequency: 1         
Term: expanding                      Term Frequency: 1         
Term: containing                     Term Frequency: 1         
Term: 14;126                         Term Frequency: 1         
Term: notion                         Term Frequency: 1         
Term: broader                        Term Frequency: 1         
Term: 234;243                        Term Frequency: 1         
Term: shifted                        Term Frequency: 1         
Term: disagreements                  Term Frequency: 1         
Term: challenging                    Term Frequency: 1         
Term: debate                         Term Frequency: 1         
Term: either                         Term Frequency: 1         
Term: those                          Term Frequency: 1         
Term: 68;131                         Term Frequency: 1         
Term: significant                    Term Frequency: 1         
Term: spaces                         Term Frequency: 1         
Term: detecting                      Term Frequency: 1         
Term: 15;353                         Term Frequency: 1         
Term: 55;79                          Term Frequency: 1         
Term: distance                       Term Frequency: 1         
Term: augmented                      Term Frequency: 1         
Term: negative                       Term Frequency: 1         
Term: broad                          Term Frequency: 1         
Term: truly                          Term Frequency: 1         
Term: 120;265                        Term Frequency: 1         
Term: 203;212                        Term Frequency: 1         
Term: rely                           Term Frequency: 1         
Term: participation                  Term Frequency: 1         
Term: 291;298                        Term Frequency: 1         
Term: 84;121                         Term Frequency: 1         
Term: connections                    Term Frequency: 1         
Term: important                      Term Frequency: 1         
Term: cosine                         Term Frequency: 1         
Term: database                       Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: 3502                           Term Frequency: 1         
Term: greatly                        Term Frequency: 1         
Term: 238;279                        Term Frequency: 1         
Term: proves                         Term Frequency: 1         
Term: proved                         Term Frequency: 1         
Term: responsibility                 Term Frequency: 1         
Term: subsequent                     Term Frequency: 1         
Term: indicate                       Term Frequency: 1         
Term: mihai.dascalu                  Term Frequency: 1         
Term: confirmations                  Term Frequency: 1         
Term: 267;305                        Term Frequency: 1         
Term: 127;184                        Term Frequency: 1         
Term: 108;128                        Term Frequency: 1         
Term: deep                           Term Frequency: 1         
Term: opted                          Term Frequency: 1         
Term: trained                        Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: 253;257                        Term Frequency: 1         
Term: over                           Term Frequency: 1         
Term: merged                         Term Frequency: 1         
Term: 229;236                        Term Frequency: 1         
Term: elaborate                      Term Frequency: 1         
Term: 993                            Term Frequency: 1         
Term: influencing                    Term Frequency: 1         
Term: tasks                          Term Frequency: 1         
Term: reduce                         Term Frequency: 1         
Term: large                          Term Frequency: 1         
Term: composed                       Term Frequency: 1         
Term: polyphonic                     Term Frequency: 1         
Term: improvements                   Term Frequency: 1         
Term: several                        Term Frequency: 1         
Term: split                          Term Frequency: 1         
Term: level                          Term Frequency: 1         
Term: relevant                       Term Frequency: 1         
Term: 85287                          Term Frequency: 1         
Term: errors                         Term Frequency: 1         
Term: 48;67                          Term Frequency: 1         
Term: 18;152                         Term Frequency: 1         
Term: viable                         Term Frequency: 1         
Term: 238;250                        Term Frequency: 1         
Term: relying                        Term Frequency: 1         
Term: 100                            Term Frequency: 1         
Term: 104                            Term Frequency: 1         
Term: coherent                       Term Frequency: 1         
Term: 346;362                        Term Frequency: 1         
Term: actors                         Term Frequency: 1         
Term: generalization                 Term Frequency: 1         
Term: 133                            Term Frequency: 1         
Term: 138                            Term Frequency: 1         
Term: specificity                    Term Frequency: 1         
Term: key                            Term Frequency: 1         
Term: situations                     Term Frequency: 1         
Term: 40;97                          Term Frequency: 1         
Term: 143                            Term Frequency: 1         
Term: 248;308                        Term Frequency: 1         
Term: 145                            Term Frequency: 1         
Term: fourth                         Term Frequency: 1         
Term: available                      Term Frequency: 1         
Term: 152                            Term Frequency: 1         
Term: 159                            Term Frequency: 1         
Term: fragments                      Term Frequency: 1         
Term: written                        Term Frequency: 1         
Term: generate                       Term Frequency: 1         
Term: extreme                        Term Frequency: 1         
Term: degree                         Term Frequency: 1         
Term: 37;128                         Term Frequency: 1         
Term: 165                            Term Frequency: 1         
Term: nutshell                       Term Frequency: 1         
Term: assessed                       Term Frequency: 1         
Term: 170                            Term Frequency: 1         
Term: discrepancies                  Term Frequency: 1         
Term: 184                            Term Frequency: 1         
Term: 190                            Term Frequency: 1         
Term: justify                        Term Frequency: 1         
Term: derive                         Term Frequency: 1         
Term: recall                         Term Frequency: 1         
Term: 47;331                         Term Frequency: 1         
Term: 397;401                        Term Frequency: 1         
Term: highlights                     Term Frequency: 1         
Term: utter                          Term Frequency: 1         
Term: behaviors                      Term Frequency: 1         
Term: numerical                      Term Frequency: 1         
Term: limited                        Term Frequency: 1         
Term: A                              Term Frequency: 0         
Term: B                              Term Frequency: 0         
Term: C                              Term Frequency: 0         
Term: D                              Term Frequency: 0         
Term: E                              Term Frequency: 0         
Term: F                              Term Frequency: 0         
Term: G                              Term Frequency: 0         
Term: H                              Term Frequency: 0         
Term: I                              Term Frequency: 0         
Term: J                              Term Frequency: 0         
Term: K                              Term Frequency: 0         
Term: M                              Term Frequency: 0         
Term: N                              Term Frequency: 0         
Term: P                              Term Frequency: 0         
Term: R                              Term Frequency: 0         
Term: S                              Term Frequency: 0         
Term: T                              Term Frequency: 0         
Term: ACKNOWLEDGEMENTS               Term Frequency: 0         
Term: W                              Term Frequency: 0         
Term: Z                              Term Frequency: 0         
Term: Based                          Term Frequency: 0         
Term: Jordan                         Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Agreement                      Term Frequency: 0         
Term: 353Based                       Term Frequency: 0         
Term: Operational                    Term Frequency: 0         
Term: Keywords                       Term Frequency: 0         
Term: Rho                            Term Frequency: 0         
Term: Verb                           Term Frequency: 0         
Term: Collaborative                  Term Frequency: 0         
Term: T.K                            Term Frequency: 0         
Term: Crete                          Term Frequency: 0         
Term: COHESION                       Term Frequency: 0         
Term: C.D                            Term Frequency: 0         
Term: C.M                            Term Frequency: 0         
Term: Multi                          Term Frequency: 0         
Term: Annals                         Term Frequency: 0         
Term: Algorithms                     Term Frequency: 0         
Term: Searle                         Term Frequency: 0         
Term: Copyright                      Term Frequency: 0         
Term: Education                      Term Frequency: 0         
Term: Huang                          Term Frequency: 0         
Term: Rummel                         Term Frequency: 0         
Term: Publishing                     Term Frequency: 0         
Term: Louwerse                       Term Frequency: 0         
Term: Collaboration                  Term Frequency: 0         
Term: TextEnfants                    Term Frequency: 0         
Term: Then                           Term Frequency: 0         
Term: Toward                         Term Frequency: 0         
Term: Tempe                          Term Frequency: 0         
Term: Funds                          Term Frequency: 0         
Term: Cohesion                       Term Frequency: 0         
Term: Group                          Term Frequency: 0         
Term: 24M                            Term Frequency: 0         
Term: Court                          Term Frequency: 0         
Term: Blei                           Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: Stefan                         Term Frequency: 0         
Term: Dennis                         Term Frequency: 0         
Term: Supported                      Term Frequency: 0         
Term: Intense                        Term Frequency: 0         
Term: Panourgia                      Term Frequency: 0         
Term: Support                        Term Frequency: 0         
Term: Conversations                  Term Frequency: 0         
Term: Greece                         Term Frequency: 0         
Term: Computer                       Term Frequency: 0         
Term: Alpes                          Term Frequency: 0         
Term: Measures                       Term Frequency: 0         
Term: Conf                           Term Frequency: 0         
Term: F38000                         Term Frequency: 0         
Term: Resolution                     Term Frequency: 0         
Term: Acceptance                     Term Frequency: 0         
Term: Sagot                          Term Frequency: 0         
Term: Dascalu                        Term Frequency: 0         
Term: S.K.S                          Term Frequency: 0         
Term: Second                         Term Frequency: 0         
Term: TEL                            Term Frequency: 0         
Term: Chats                          Term Frequency: 0         
Term: Philippe                       Term Frequency: 0         
Term: Note                           Term Frequency: 0         
Term: Textual                        Term Frequency: 0         
Term: Computational                  Term Frequency: 0         
Term: Analyzing                      Term Frequency: 0         
Term: Foundations                    Term Frequency: 0         
Term: Collective                     Term Frequency: 0         
Term: Interaction                    Term Frequency: 0         
Term: University                     Term Frequency: 0         
Term: Processing                     Term Frequency: 0         
Term: With                           Term Frequency: 0         
Term: Denhière                       Term Frequency: 0         
Term: Jensen                         Term Frequency: 0         
Term: D.M                            Term Frequency: 0         
Term: D.S                            Term Frequency: 0         
Term: Relatedness                    Term Frequency: 0         
Term: McKeown                        Term Frequency: 0         
Term: LAK                            Term Frequency: 0         
Term: Chambers                       Term Frequency: 0         
Term: Roschelle                      Term Frequency: 0         
Term: LDA                            Term Frequency: 0         
Term: Information                    Term Frequency: 0         
Term: INTRODUCTION                   Term Frequency: 0         
Term: Importantly                    Term Frequency: 0         
Term: Categories                     Term Frequency: 0         
Term: McNamara                       Term Frequency: 0         
Term: Psychological                  Term Frequency: 0         
Term: March                          Term Frequency: 0         
Term: into                           Term Frequency: 0         
Term: First                          Term Frequency: 0         
Term: Lemaire                        Term Frequency: 0         
Term: Bereiter                       Term Frequency: 0         
Term: China                          Term Frequency: 0         
Term: M.I                            Term Frequency: 0         
Term: M.M                            Term Frequency: 0         
Term: Speech                         Term Frequency: 0         
Term: Zones                          Term Frequency: 0         
Term: Grenoble                       Term Frequency: 0         
Term: Landauer                       Term Frequency: 0         
Term: Smith                          Term Frequency: 0         
Term: Wave                           Term Frequency: 0         
Term: Programme                      Term Frequency: 0         
Term: Chat                           Term Frequency: 0         
Term: EMNLP                          Term Frequency: 0         
Term: Sieve                          Term Frequency: 0         
Term: CONCLUSIONS                    Term Frequency: 0         
Term: LSA                            Term Frequency: 0         
Term: LSE                            Term Frequency: 0         
Term: Cai                            Term Frequency: 0         
Term: Danielle                       Term Frequency: 0         
Term: Assessment                     Term Frequency: 0         
Term: Science                        Term Frequency: 0         
Term: COLLABORATION                  Term Frequency: 0         
Term: Maroc                          Term Frequency: 0         
Term: Poughkeepsie                   Term Frequency: 0         
Term: Semantically                   Term Frequency: 0         
Term: An                             Term Frequency: 0         
Term: Machine                        Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: As                             Term Frequency: 0         
Term: At                             Term Frequency: 0         
Term: Linguistics                    Term Frequency: 0         
Term: MOOCs                          Term Frequency: 0         
Term: Average                        Term Frequency: 0         
Term: Putting                        Term Frequency: 0         
Term: By                             Term Frequency: 0         
Term: M.a.K                          Term Frequency: 0         
Term: EC                             Term Frequency: 0         
Term: Galley                         Term Frequency: 0         
Term: F1                             Term Frequency: 0         
Term: Do                             Term Frequency: 0         
Term: Metrix                         Term Frequency: 0         
Term: Afterwards                     Term Frequency: 0         
Term: Automatic                      Term Frequency: 0         
Term: Nejdl                          Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: It                             Term Frequency: 0         
Term: KB                             Term Frequency: 0         
Term: Coh                            Term Frequency: 0         
Term: USA                            Term Frequency: 0         
Term: Journal                        Term Frequency: 0         
Term: MA                             Term Frequency: 0         
Term: Le                             Term Frequency: 0         
Term: Kapur                          Term Frequency: 0         
Term: Cerri                          Term Frequency: 0         
Term: Sarmiento                      Term Frequency: 0         
Term: NJ                             Term Frequency: 0         
Term: Mahwah                         Term Frequency: 0         
Term: NY                             Term Frequency: 0         
Term: Allocation                     Term Frequency: 0         
Term: OF                             Term Frequency: 0         
Term: Ng                             Term Frequency: 0         
Term: France                         Term Frequency: 0         
Term: No                             Term Frequency: 0         
Term: Lee                            Term Frequency: 0         
Term: Analytics                      Term Frequency: 0         
Term: On                             Term Frequency: 0         
Term: Indiana                        Term Frequency: 0         
Term: Academy                        Term Frequency: 0         
Term: MIT                            Term Frequency: 0         
Term: Lexical                        Term Frequency: 0         
Term: ReaderBench                    Term Frequency: 0         
Term: Erlbaum                        Term Frequency: 0         
Term: Martin                         Term Frequency: 0         
Term: such                           Term Frequency: 0         
Term: Tf                             Term Frequency: 0         
Term: UK                             Term Frequency: 0         
Term: To                             Term Frequency: 0         
Term: Automated                      Term Frequency: 0         
Term: Factors                        Term Frequency: 0         
Term: Evaluating                     Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: Surdeanu                       Term Frequency: 0         
Term: was                            Term Frequency: 0         
Term: We                             Term Frequency: 0         
Term: Within                         Term Frequency: 0         
Term: Wu                             Term Frequency: 0         
Term: Pearson                        Term Frequency: 0         
Term: Initially                      Term Frequency: 0         
Term: Hence                          Term Frequency: 0         
Term: Research                       Term Frequency: 0         
Term: Mccarthy                       Term Frequency: 0         
Term: Intelligence                   Term Frequency: 0         
Term: Raghunathan                    Term Frequency: 0         
Term: Kienle                         Term Frequency: 0         
Term: AUTOMATIC                      Term Frequency: 0         
Term: From                           Term Frequency: 0         
Term: ConcertChat                    Term Frequency: 0         
Term: Handbook                       Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: W.J                            Term Frequency: 0         
Term: Darja                          Term Frequency: 0         
Term: Adaptive                       Term Frequency: 0         
Term: Miller                         Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: Dessus                         Term Frequency: 0         
Term: DISCOURSE                      Term Frequency: 0         
Term: Rangarajan                     Term Frequency: 0         
Term: if                             Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: it                             Term Frequency: 0         
Term: Bakhtin's                      Term Frequency: 0         
Term: Longman                        Term Frequency: 0         
Term: TASA                           Term Frequency: 0         
Term: Bellissens                     Term Frequency: 0         
Term: Univ                           Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: no                             Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: Schütze                        Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: Manning                        Term Frequency: 0         
Term: Statistical                    Term Frequency: 0         
Term: VALIDATION                     Term Frequency: 0         
Term: then                           Term Frequency: 0         
Term: London                         Term Frequency: 0         
Term: NLP                            Term Frequency: 0         
Term: Additionally                   Term Frequency: 0         
Term: Acts                           Term Frequency: 0         
Term: Words                          Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: Ontolex                        Term Frequency: 0         
Term: this                           Term Frequency: 0         
Term: Papadourakis                   Term Frequency: 0         
Term: Request                        Term Frequency: 0         
Term: V.S.K                          Term Frequency: 0         
Term: NSF                            Term Frequency: 0         
Term: More                           Term Frequency: 0         
Term: According                      Term Frequency: 0         
Term: Table                          Term Frequency: 0         
Term: Gottlob                        Term Frequency: 0         
Term: Online                         Term Frequency: 0         
Term: Budanitsky                     Term Frequency: 0         
Term: Eds                            Term Frequency: 0         
Term: Hybrid                         Term Frequency: 0         
Term: UTTERANCE                      Term Frequency: 0         
Term: will                           Term Frequency: 0         
Term: Chicago                        Term Frequency: 0         
Term: Therefore                      Term Frequency: 0         
Term: Austin                         Term Frequency: 0         
Term: WordNet                        Term Frequency: 0         
Term: these                          Term Frequency: 0         
Term: ISLS                           Term Frequency: 0         
Term: Alto                           Term Frequency: 0         
Term: Things                         Term Frequency: 0         
Term: Scardamalia                    Term Frequency: 0         
Term: Analysis                       Term Frequency: 0         
Term: Morgan                         Term Frequency: 0         
Term: G.A                            Term Frequency: 0         
Term: Financial                      Term Frequency: 0         
Term: FP7                            Term Frequency: 0         
Term: European                       Term Frequency: 0         
Term: State                          Term Frequency: 0         
Term: Scientists                     Term Frequency: 0         
Term: Press                          Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: there                          Term Frequency: 0         
Term: Bucharest                      Term Frequency: 0         
Term: New                            Term Frequency: 0         
Term: However                        Term Frequency: 0         
Term: Through                        Term Frequency: 0         
Term: Capturing                      Term Frequency: 0         
Term: Foremost                       Term Frequency: 0         
Term: English                        Term Frequency: 0         
Term: Tsang                          Term Frequency: 0         
Term: P.M                            Term Frequency: 0         
Term: Discourse                      Term Frequency: 0         
Term: Puntambekar                    Term Frequency: 0         
Term: Tochtermann                    Term Frequency: 0         
Term: Lawrence                       Term Frequency: 0         
Term: Français                       Term Frequency: 0         
Term: Review                         Term Frequency: 0         
Term: Normalized                     Term Frequency: 0         
Term: Development                    Term Frequency: 0         
Term: Publishers                     Term Frequency: 0         
Term: Technology                     Term Frequency: 0         
Term: Conver                         Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: Hasan                          Term Frequency: 0         
Term: Monde                          Term Frequency: 0         
Term: Wessner                        Term Frequency: 0         
Term: Cheung                         Term Frequency: 0         
Term: Hall                           Term Frequency: 0         
Term: Nevertheless                   Term Frequency: 0         
Term: Discussion                     Term Frequency: 0         
Term: Measurement                    Term Frequency: 0         
Term: CSCL                           Term Frequency: 0         
Term: Language                       Term Frequency: 0         
Term: Copyrights                     Term Frequency: 0         
Term: Human                          Term Frequency: 0         
Term: Google                         Term Frequency: 0         
Term: LTfLL                          Term Frequency: 0         
Term: Hirst                          Term Frequency: 0         
Term: ABSTRACT                       Term Frequency: 0         
Term: Hoadley                        Term Frequency: 0         
Term: Plato's                        Term Frequency: 0         
Term: Overall                        Term Frequency: 0         
Term: Each                           Term Frequency: 0         
Term: Cambridge                      Term Frequency: 0         
Term: Permission                     Term Frequency: 0         
Term: Starting                       Term Frequency: 0         
Term: 4.2M                           Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: Our                            Term Frequency: 0         
Term: Out                            Term Frequency: 0         
Term: Libre                          Term Frequency: 0         
Term: Society                        Term Frequency: 0         
Term: Dumais                         Term Frequency: 0         
Term: Palo                           Term Frequency: 0         
Term: Shannon                        Term Frequency: 0         
Term: Systems                        Term Frequency: 0         
Term: Spearman’s                     Term Frequency: 0         
Term: Stahl                          Term Frequency: 0         
Term: SCORING                        Term Frequency: 0         
Term: Pass                           Term Frequency: 0         
Term: Wordnet                        Term Frequency: 0         
Term: Clancey                        Term Frequency: 0         
Term: Chania                         Term Frequency: 0         
Term: Building                       Term Frequency: 0         
Term: French                         Term Frequency: 0         
Term: Springer                       Term Frequency: 0         
Term: Coreference                    Term Frequency: 0         
Term: Graesser                       Term Frequency: 0         
Term: Philosophy                     Term Frequency: 0         
Term: Harvard                        Term Frequency: 0         
Term: Trausan                        Term Frequency: 0         
Term: Palmer                         Term Frequency: 0         
Term: Madison                        Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: A.C                            Term Frequency: 0         
Term: A.Y                            Term Frequency: 0         
Term: Series                         Term Frequency: 0         
Term: Mexico                         Term Frequency: 0         
Term: REFERENCES                     Term Frequency: 0         
Term: ASSESSMENT                     Term Frequency: 0         
Term: Natural                        Term Frequency: 0         
Term: Open                           Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: ICC                            Term Frequency: 0         
Term: Sectoral                       Term Frequency: 0         
Term: Grece                          Term Frequency: 0         
Term: Explicit                       Term Frequency: 0         
Term: Jurafsky                       Term Frequency: 0         
Term: Permissions                    Term Frequency: 0         
Term: IDs                            Term Frequency: 0         
Term: Class                          Term Frequency: 0         
Term: Holmer                         Term Frequency: 0         
Term: Kaufmann                       Term Frequency: 0         
Term: Indepententei                  Term Frequency: 0         
Term: Matu                           Term Frequency: 0         
Term: Studies                        Term Frequency: 0         
Term: Mihai                          Term Frequency: 0         
Term: Holistic                       Term Frequency: 0         
Term: Associates                     Term Frequency: 0         
Term: Knowledge                      Term Frequency: 0         
Term: Dirichlet                      Term Frequency: 0         
Term: J.H                            Term Frequency: 0         
Term: J.L                            Term Frequency: 0         
Term: Applied                        Term Frequency: 0         
Term: Mckeown                        Term Frequency: 0         
Term: POSDRU                         Term Frequency: 0         
Term: Marrakech                      Term Frequency: 0         
Term: Assessing                      Term Frequency: 0         
Term: Touchstone                     Term Frequency: 0         
Term: Communications                 Term Frequency: 0         
Term: Latent                         Term Frequency: 0         
Term: How                            Term Frequency: 0         
Term: Essay                          Term Frequency: 0         
Term: Walsh                          Term Frequency: 0         
Term: Liberal                        Term Frequency: 0         
Term: ACL                            Term Frequency: 0         
Term: ACM                            Term Frequency: 0         
Term: ITS                            Term Frequency: 0         
Term: Koschmann                      Term Frequency: 0         
Term: Abstracting                    Term Frequency: 0         
Term: Processes                      Term Frequency: 0         
Term: Splaiul                        Term Frequency: 0         
Term: Kintsch                        Term Frequency: 0         
