Term: high                           Term Frequency: 78        
Term: 2005                           Term Frequency: 1         
Term: 2002                           Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: material                       Term Frequency: 1         
Term: owned                          Term Frequency: 1         
Term: regression                     Term Frequency: 1         
Term: answers                        Term Frequency: 1         
Term: sensitive                      Term Frequency: 1         
Term: 765                            Term Frequency: 1         
Term: asks                           Term Frequency: 1         
Term: eight                          Term Frequency: 1         
Term: periods                        Term Frequency: 1         
Term: within                         Term Frequency: 1         
Term: could                          Term Frequency: 1         
Term: codes                          Term Frequency: 1         
Term: steps                          Term Frequency: 1         
Term: hour                           Term Frequency: 1         
Term: reflect                        Term Frequency: 1         
Term: edits                          Term Frequency: 1         
Term: measurements                   Term Frequency: 1         
Term: exhaustive                     Term Frequency: 1         
Term: denials                        Term Frequency: 1         
Term: systematically                 Term Frequency: 1         
Term: assistance                     Term Frequency: 1         
Term: answered                       Term Frequency: 1         
Term: desirable                      Term Frequency: 1         
Term: foreign                        Term Frequency: 1         
Term: collective                     Term Frequency: 1         
Term: explains                       Term Frequency: 1         
Term: 1.502                          Term Frequency: 1         
Term: cannot                         Term Frequency: 1         
Term: covered                        Term Frequency: 1         
Term: interact                       Term Frequency: 1         
Term: distractions                   Term Frequency: 1         
Term: trace                          Term Frequency: 1         
Term: 361194                         Term Frequency: 1         
Term: psychiatry                     Term Frequency: 1         
Term: 0.413                          Term Frequency: 1         
Term: achievers                      Term Frequency: 1         
Term: 3417                           Term Frequency: 1         
Term: autoregression                 Term Frequency: 1         
Term: protocols                      Term Frequency: 1         
Term: identify                       Term Frequency: 1         
Term: age                            Term Frequency: 1         
Term: smaller                        Term Frequency: 1         
Term: ago                            Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: system                         Term Frequency: 1         
Term: city                           Term Frequency: 1         
Term: removed                        Term Frequency: 1         
Term: unit                           Term Frequency: 1         
Term: collect                        Term Frequency: 1         
Term: facilitate                     Term Frequency: 1         
Term: construction                   Term Frequency: 1         
Term: abroad                         Term Frequency: 1         
Term: any                            Term Frequency: 1         
Term: formulated                     Term Frequency: 1         
Term: 0.5                            Term Frequency: 1         
Term: until                          Term Frequency: 1         
Term: exclusive                      Term Frequency: 1         
Term: 001                            Term Frequency: 1         
Term: grade                          Term Frequency: 1         
Term: conceptualize                  Term Frequency: 1         
Term: takes                          Term Frequency: 1         
Term: similarities                   Term Frequency: 1         
Term: relations                      Term Frequency: 1         
Term: view                           Term Frequency: 1         
Term: those                          Term Frequency: 1         
Term: 51.338                         Term Frequency: 1         
Term: street                         Term Frequency: 1         
Term: introduce                      Term Frequency: 1         
Term: monitored                      Term Frequency: 1         
Term: greater                        Term Frequency: 1         
Term: elicited                       Term Frequency: 1         
Term: percentage                     Term Frequency: 1         
Term: most                           Term Frequency: 1         
Term: important                      Term Frequency: 1         
Term: transfer                       Term Frequency: 1         
Term: mentioned                      Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: enough                         Term Frequency: 1         
Term: increase                       Term Frequency: 1         
Term: differ                         Term Frequency: 1         
Term: latter                         Term Frequency: 1         
Term: boys                           Term Frequency: 1         
Term: 0.540                          Term Frequency: 1         
Term: personal                       Term Frequency: 1         
Term: affect                         Term Frequency: 1         
Term: sixth                          Term Frequency: 1         
Term: completion                     Term Frequency: 1         
Term: practices                      Term Frequency: 1         
Term: 0.552                          Term Frequency: 1         
Term: typically                      Term Frequency: 1         
Term: she                            Term Frequency: 1         
Term: adjust                         Term Frequency: 1         
Term: parts                          Term Frequency: 1         
Term: helps                          Term Frequency: 1         
Term: mediator                       Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: false                          Term Frequency: 1         
Term: big                            Term Frequency: 1         
Term: select                         Term Frequency: 1         
Term: improves                       Term Frequency: 1         
Term: begin                          Term Frequency: 1         
Term: report                         Term Frequency: 1         
Term: several                        Term Frequency: 1         
Term: expressed                      Term Frequency: 1         
Term: 1.2                            Term Frequency: 1         
Term: box                            Term Frequency: 1         
Term: boy                            Term Frequency: 1         
Term: dynamics                       Term Frequency: 1         
Term: facilitates                    Term Frequency: 1         
Term: hinder                         Term Frequency: 1         
Term: 236mailto:mingmingchiu         Term Frequency: 1         
Term: closely                        Term Frequency: 1         
Term: 125                            Term Frequency: 1         
Term: sub                            Term Frequency: 1         
Term: sum                            Term Frequency: 1         
Term: 137                            Term Frequency: 1         
Term: audio                          Term Frequency: 1         
Term: situations                     Term Frequency: 1         
Term: 143                            Term Frequency: 1         
Term: 147                            Term Frequency: 1         
Term: fourth                         Term Frequency: 1         
Term: contexts                       Term Frequency: 1         
Term: 160                            Term Frequency: 1         
Term: 178                            Term Frequency: 1         
Term: encourages                     Term Frequency: 1         
Term: 193                            Term Frequency: 1         
Term: aligned                        Term Frequency: 1         
Term: natural                        Term Frequency: 1         
Term: baseline                       Term Frequency: 1         
Term: suggest                        Term Frequency: 1         
Term: should                         Term Frequency: 1         
Term: indirect                       Term Frequency: 1         
Term: towards                        Term Frequency: 1         
Term: limited                        Term Frequency: 1         
Term: independently                  Term Frequency: 1         
Term: SDA                            Term Frequency: 0         
Term: Small                          Term Frequency: 0         
Term: A                              Term Frequency: 0         
Term: B                              Term Frequency: 0         
Term: C                              Term Frequency: 0         
Term: D                              Term Frequency: 0         
Term: E                              Term Frequency: 0         
Term: F                              Term Frequency: 0         
Term: G                              Term Frequency: 0         
Term: H                              Term Frequency: 0         
Term: I                              Term Frequency: 0         
Term: J                              Term Frequency: 0         
Term: K                              Term Frequency: 0         
Term: M                              Term Frequency: 0         
Term: P                              Term Frequency: 0         
Term: R                              Term Frequency: 0         
Term: S                              Term Frequency: 0         
Term: T                              Term Frequency: 0         
Term: V                              Term Frequency: 0         
Term: W                              Term Frequency: 0         
Term: X                              Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: Boxtel                         Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Its                            Term Frequency: 0         
Term: Computers                      Term Frequency: 0         
Term: Keywords                       Term Frequency: 0         
Term: Collaborative                  Term Frequency: 0         
Term: Unrelated                      Term Frequency: 0         
Term: C.D                            Term Frequency: 0         
Term: All                            Term Frequency: 0         
Term: Copyright                      Term Frequency: 0         
Term: Education                      Term Frequency: 0         
Term: THEORETICAL                    Term Frequency: 0         
Term: Earlier_Speaker                Term Frequency: 0         
Term: Then                           Term Frequency: 0         
Term: Group                          Term Frequency: 0         
Term: Flowing                        Term Frequency: 0         
Term: Greene                         Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: Unlike                         Term Frequency: 0         
Term: Attention                      Term Frequency: 0         
Term: These                          Term Frequency: 0         
Term: Supported                      Term Frequency: 0         
Term: Conversations                  Term Frequency: 0         
Term: Conference                     Term Frequency: 0         
Term: Computer                       Term Frequency: 0         
Term: Solving                        Term Frequency: 0         
Term: DISCUSSION                     Term Frequency: 0         
Term: Wolters                        Term Frequency: 0         
Term: Taxonomy                       Term Frequency: 0         
Term: Self                           Term Frequency: 0         
Term: Scaffolding                    Term Frequency: 0         
Term: Characteristics                Term Frequency: 0         
Term: York                           Term Frequency: 0         
Term: Thus                           Term Frequency: 0         
Term: High_cognitionijk              Term Frequency: 0         
Term: Järvelä                        Term Frequency: 0         
Term: Interaction                    Term Frequency: 0         
Term: University                     Term Frequency: 0         
Term: Peterson                       Term Frequency: 0         
Term: Effects                        Term Frequency: 0         
Term: Malmberg                       Term Frequency: 0         
Term: Diermanse                      Term Frequency: 0         
Term: Educational                    Term Frequency: 0         
Term: LAK                            Term Frequency: 0         
Term: Wald                           Term Frequency: 0         
Term: Radboud                        Term Frequency: 0         
Term: Kirschner                      Term Frequency: 0         
Term: INTRODUCTION                   Term Frequency: 0         
Term: Thicker                        Term Frequency: 0         
Term: Categories                     Term Frequency: 0         
Term: March                          Term Frequency: 0         
Term: into                           Term Frequency: 0         
Term: Baker                          Term Frequency: 0         
Term: Winne                          Term Frequency: 0         
Term: Cognition                      Term Frequency: 0         
Term: Process                        Term Frequency: 0         
Term: Iceland                        Term Frequency: 0         
Term: First                          Term Frequency: 0         
Term: THIS                           Term Frequency: 0         
Term: Time                           Term Frequency: 0         
Term: M.M                            Term Frequency: 0         
Term: Reliability                    Term Frequency: 0         
Term: Ting                           Term Frequency: 0         
Term: Kok                            Term Frequency: 0         
Term: FRAMEWORK                      Term Frequency: 0         
Term: Science                        Term Frequency: 0         
Term: Janssen                        Term Frequency: 0         
Term: Cognitive                      Term Frequency: 0         
Term: zjkSchool_interactionsijk      Term Frequency: 0         
Term: Future                         Term Frequency: 0         
Term: Poughkeepsie                   Term Frequency: 0         
Term: An                             Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: Chiu                           Term Frequency: 0         
Term: As                             Term Frequency: 0         
Term: Meanwhile                      Term Frequency: 0         
Term: Using                          Term Frequency: 0         
Term: AACE                           Term Frequency: 0         
Term: Wageningen                     Term Frequency: 0         
Term: SocRL’s                        Term Frequency: 0         
Term: Purdue                         Term Frequency: 0         
Term: During                         Term Frequency: 0         
Term: Activities                     Term Frequency: 0         
Term: Measuring                      Term Frequency: 0         
Term: Previous                       Term Frequency: 0         
Term: IN                             Term Frequency: 0         
Term: Student                        Term Frequency: 0         
Term: Afterwards                     Term Frequency: 0         
Term: Too                            Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: USA                            Term Frequency: 0         
Term: Sons                           Term Frequency: 0         
Term: Dialogic                       Term Frequency: 0         
Term: Task                           Term Frequency: 0         
Term: Journal                        Term Frequency: 0         
Term: Motivation                     Term Frequency: 0         
Term: Dissecting                     Term Frequency: 0         
Term: NY                             Term Frequency: 0         
Term: On                             Term Frequency: 0         
Term: Hout                           Term Frequency: 0         
Term: Two                            Term Frequency: 0         
Term: SD                             Term Frequency: 0         
Term: Meijer                         Term Frequency: 0         
Term: Figure                         Term Frequency: 0         
Term: such                           Term Frequency: 0         
Term: C.A.M                          Term Frequency: 0         
Term: To                             Term Frequency: 0         
Term: Evaluation                     Term Frequency: 0         
Term: VA                             Term Frequency: 0         
Term: Lassner                        Term Frequency: 0         
Term: Problem                        Term Frequency: 0         
Term: Micro                          Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: Netherlands                    Term Frequency: 0         
Term: was                            Term Frequency: 0         
Term: We                             Term Frequency: 0         
Term: VAR                            Term Frequency: 0         
Term: Teachers                       Term Frequency: 0         
Term: Previous_Speaker               Term Frequency: 0         
Term: Low                            Term Frequency: 0         
Term: Hadwin’s                       Term Frequency: 0         
Term: Research                       Term Frequency: 0         
Term: Attributes                     Term Frequency: 0         
Term: Regulatory                     Term Frequency: 0         
Term: Behavior                       Term Frequency: 0         
Term: RESULTS                        Term Frequency: 0         
Term: Summary                        Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: Theory                         Term Frequency: 0         
Term: 00sPerformance00k              Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: Pergamon                       Term Frequency: 0         
Term: Vauras                         Term Frequency: 0         
Term: Adaptive                       Term Frequency: 0         
Term: Regulated                      Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: CHOI                           Term Frequency: 0         
Term: Mining                         Term Frequency: 0         
Term: ACKNOWLEDGMENTS                Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: McGaw                          Term Frequency: 0         
Term: 238Group                       Term Frequency: 0         
Term: Sciences                       Term Frequency: 0         
Term: Socially                       Term Frequency: 0         
Term: Metacognition                  Term Frequency: 0         
Term: Veldhuis                       Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: Explanatory                    Term Frequency: 0         
Term: Metacognitive                  Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: Statistical                    Term Frequency: 0         
Term: Currently                      Term Frequency: 0         
Term: they                           Term Frequency: 0         
Term: London                         Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: 00tSchool00k                   Term Frequency: 0         
Term: this                           Term Frequency: 0         
Term: Teacher                        Term Frequency: 0         
Term: Telecommunications             Term Frequency: 0         
Term: Please                         Term Frequency: 0         
Term: McNaught                       Term Frequency: 0         
Term: Request                        Term Frequency: 0         
Term: Moos                           Term Frequency: 0         
Term: Van                            Term Frequency: 0         
Term: More                           Term Frequency: 0         
Term: Table                          Term Frequency: 0         
Term: Online                         Term Frequency: 0         
Term: World                          Term Frequency: 0         
Term: Eds                            Term Frequency: 0         
Term: Zealand                        Term Frequency: 0         
Term: Encyclopedia                   Term Frequency: 0         
Term: Also                           Term Frequency: 0         
Term: Therefore                      Term Frequency: 0         
Term: these                          Term Frequency: 0         
Term: Sequential                     Term Frequency: 0         
Term: Analysis                       Term Frequency: 0         
Term: Kanselaar                      Term Frequency: 0         
Term: Social                         Term Frequency: 0         
Term: Multimedia                     Term Frequency: 0         
Term: About                          Term Frequency: 0         
Term: Vol                            Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: there                          Term Frequency: 0         
Term: John                           Term Frequency: 0         
Term: STUDY                          Term Frequency: 0         
Term: Experimentation                Term Frequency: 0         
Term: Finally                        Term Frequency: 0         
Term: New                            Term Frequency: 0         
Term: Bannert                        Term Frequency: 0         
Term: However                        Term Frequency: 0         
Term: High                           Term Frequency: 0         
Term: Hypermedia                     Term Frequency: 0         
Term: Deny                           Term Frequency: 0         
Term: P.H                            Term Frequency: 0         
Term: Discourse                      Term Frequency: 0         
Term: Nijmegen                       Term Frequency: 0         
Term: Dashed                         Term Frequency: 0         
Term: Would                          Term Frequency: 0         
Term: Solid                          Term Frequency: 0         
Term: Non                            Term Frequency: 0         
Term: Not                            Term Frequency: 0         
Term: Medium                         Term Frequency: 0         
Term: Sleegers                       Term Frequency: 0         
Term: Review                         Term Frequency: 0         
Term: Development                    Term Frequency: 0         
Term: Recapture                      Term Frequency: 0         
Term: Performance                    Term Frequency: 0         
Term: Chesapeake                     Term Frequency: 0         
Term: Proportions                    Term Frequency: 0         
Term: Roda                           Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: Lehtinen                       Term Frequency: 0         
Term: Design                         Term Frequency: 0         
Term: Method                         Term Frequency: 0         
Term: Proceedings                    Term Frequency: 0         
Term: Procedure                      Term Frequency: 0         
Term: For                            Term Frequency: 0         
Term: xjkPrevious_Speaker            Term Frequency: 0         
Term: Measurement                    Term Frequency: 0         
Term: CSCL                           Term Frequency: 0         
Term: School                         Term Frequency: 0         
Term: Schoor                         Term Frequency: 0         
Term: Developments                   Term Frequency: 0         
Term: International                  Term Frequency: 0         
Term: Pragmatics                     Term Frequency: 0         
Term: Hellenic                       Term Frequency: 0         
Term: Copyrights                     Term Frequency: 0         
Term: Human                          Term Frequency: 0         
Term: SocRL                          Term Frequency: 0         
Term: Exploring                      Term Frequency: 0         
Term: Off                            Term Frequency: 0         
Term: Ross                           Term Frequency: 0         
Term: Johnson                        Term Frequency: 0         
Term: Probit                         Term Frequency: 0         
Term: Sequences                      Term Frequency: 0         
Term: Blote                          Term Frequency: 0         
Term: ABSTRACT                       Term Frequency: 0         
Term: West                           Term Frequency: 0         
Term: Hadwin                         Term Frequency: 0         
Term: Each                           Term Frequency: 0         
Term: Overall                        Term Frequency: 0         
Term: Permission                     Term Frequency: 0         
Term: After                          Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: Montessorilaan                 Term Frequency: 0         
Term: Ability                        Term Frequency: 0         
Term: Our                            Term Frequency: 0         
Term: Description                    Term Frequency: 0         
Term: Furthermore                    Term Frequency: 0         
Term: Content                        Term Frequency: 0         
Term: I.molenaar                     Term Frequency: 0         
Term: Participants                   Term Frequency: 0         
Term: Past                           Term Frequency: 0         
Term: Planning                       Term Frequency: 0         
Term: Volet                          Term Frequency: 0         
Term: Ming                           Term Frequency: 0         
Term: Path                           Term Frequency: 0         
Term: Extending                      Term Frequency: 0         
Term: Participation                  Term Frequency: 0         
Term: Springer                       Term Frequency: 0         
Term: Inge                           Term Frequency: 0         
Term: Avatar                         Term Frequency: 0         
Term: Lafay                          Term Frequency: 0         
Term: Text                           Term Frequency: 0         
Term: Kirchner                       Term Frequency: 0         
Term: Wincopyfind                    Term Frequency: 0         
Term: Dynamic                        Term Frequency: 0         
Term: Monitor                        Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: A.D                            Term Frequency: 0         
Term: A.M                            Term Frequency: 0         
Term: Main                           Term Frequency: 0         
Term: Lastly                         Term Frequency: 0         
Term: REFERENCES                     Term Frequency: 0         
Term: Psychology                     Term Frequency: 0         
Term: Students                       Term Frequency: 0         
Term: Challenges                     Term Frequency: 0         
Term: Instructional                  Term Frequency: 0         
Term: 00vGroup00k                    Term Frequency: 0         
Term: Scaffold                       Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: Groups                         Term Frequency: 0         
Term: 0wkStudent0jk                  Term Frequency: 0         
Term: Fleiss                         Term Frequency: 0         
Term: Permissions                    Term Frequency: 0         
Term: Yet                            Term Frequency: 0         
Term: Erkens                         Term Frequency: 0         
Term: Summarizing                    Term Frequency: 0         
Term: Wood                           Term Frequency: 0         
Term: Exploration                    Term Frequency: 0         
Term: Logit                          Term Frequency: 0         
Term: Yik                            Term Frequency: 0         
Term: Cronbach’s                     Term Frequency: 0         
Term: J.C                            Term Frequency: 0         
Term: Turns                          Term Frequency: 0         
Term: Rates                          Term Frequency: 0         
Term: Relational                     Term Frequency: 0         
Term: How                            Term Frequency: 0         
Term: ACM                            Term Frequency: 0         
Term: Regarding                      Term Frequency: 0         
Term: North                          Term Frequency: 0         
Term: Procedural                     Term Frequency: 0         
Term: Accordingly                    Term Frequency: 0         
Term: Abstracting                    Term Frequency: 0         
Term: Azevedo                        Term Frequency: 0         
Term: 00uScaffold00k                 Term Frequency: 0         
Term: Researcher                     Term Frequency: 0         
Term: Processes                      Term Frequency: 0         
Term: Wiley                          Term Frequency: 0         
Term: Example                        Term Frequency: 0         
Term: Together                       Term Frequency: 0         
Term: Chauncey                       Term Frequency: 0         
Term: Scaffolded                     Term Frequency: 0         
Term: Terms                          Term Frequency: 0         
Term: Regulative                     Term Frequency: 0         
Term: Elsevier                       Term Frequency: 0         
Term: David                          Term Frequency: 0         
Term: Before                         Term Frequency: 0         
Term: Issues                         Term Frequency: 0         
Term: Veenman                        Term Frequency: 0         
Term: Improving                      Term Frequency: 0         
Term: Studying                       Term Frequency: 0         
Term: Temporal                       Term Frequency: 0         
Term: Descriptors                    Term Frequency: 0         
Term: Bruner                         Term Frequency: 0         
Term: Outcome                        Term Frequency: 0         
Term: but                            Term Frequency: 0         
Term: xjkEarlier_Speaker             Term Frequency: 0         
Term: Cohen’s                        Term Frequency: 0         
Term: General                        Term Frequency: 0         
Term: Molenaar                       Term Frequency: 0         
Term: Subject                        Term Frequency: 0         
Term: 237In                          Term Frequency: 0         
Term: Moreover                       Term Frequency: 0         
Term: Elementary                     Term Frequency: 0         
Term: Edition                        Term Frequency: 0         
Term: Next                           Term Frequency: 0         
Term: Ontdeknet                      Term Frequency: 0         
Term: When                           Term Frequency: 0         
Term: Insights                       Term Frequency: 0         
Term: Uses                           Term Frequency: 0         
Term: Reimann                        Term Frequency: 0         
Term: Management                     Term Frequency: 0         
